Year,SeriesCode,GeoAreaName,Age,Location,Sex,Value
2002,"SI_POV_DAY1","Albania","ALLAGE","ALLAREA","BOTHSEX",1.1
2005,"SI_POV_DAY1","Albania","ALLAGE","ALLAREA","BOTHSEX",0.6
2008,"SI_POV_DAY1","Albania","ALLAGE","ALLAREA","BOTHSEX",0.2
2012,"SI_POV_DAY1","Albania","ALLAGE","ALLAREA","BOTHSEX",0.6
2014,"SI_POV_DAY1","Albania","ALLAGE","ALLAREA","BOTHSEX",1
2015,"SI_POV_DAY1","Albania","ALLAGE","ALLAREA","BOTHSEX",0.1
2016,"SI_POV_DAY1","Albania","ALLAGE","ALLAREA","BOTHSEX",0.1
2017,"SI_POV_DAY1","Albania","ALLAGE","ALLAREA","BOTHSEX",0.4
2018,"SI_POV_DAY1","Albania","ALLAGE","ALLAREA","BOTHSEX",0
2018,"SI_POV_DAY1","Albania","<15Y","ALLAREA","BOTHSEX",0.05476
2018,"SI_POV_DAY1","Albania","65+","ALLAREA","BOTHSEX",0
2018,"SI_POV_DAY1","Albania","ALLAGE","ALLAREA","FEMALE",0.03543
2018,"SI_POV_DAY1","Albania","ALLAGE","ALLAREA","MALE",0.06049
2018,"SI_POV_DAY1","Albania","15-64","ALLAREA","BOTHSEX",0.05629
2019,"SI_POV_DAY1","Albania","ALLAGE","ALLAREA","BOTHSEX",0
2020,"SI_POV_DAY1","Albania","ALLAGE","ALLAREA","BOTHSEX",0
2020,"SI_POV_DAY1","Albania","<15Y","ALLAREA","BOTHSEX",0.05187
2020,"SI_POV_DAY1","Albania","15-64","ALLAREA","BOTHSEX",0.01869
2020,"SI_POV_DAY1","Albania","65+","ALLAREA","BOTHSEX",0
2020,"SI_POV_DAY1","Albania","ALLAGE","ALLAREA","FEMALE",0.02545
2020,"SI_POV_DAY1","Albania","ALLAGE","ALLAREA","MALE",0.01708
2001,"SI_POV_DAY1","Azerbaijan","ALLAGE","ALLAREA","BOTHSEX",6.2
2002,"SI_POV_DAY1","Azerbaijan","ALLAGE","ALLAREA","FEMALE",0.08965
2002,"SI_POV_DAY1","Azerbaijan","ALLAGE","ALLAREA","MALE",0.06846
2002,"SI_POV_DAY1","Azerbaijan","ALLAGE","RURAL","BOTHSEX",0.17156
2002,"SI_POV_DAY1","Azerbaijan","ALLAGE","URBAN","BOTHSEX",0
2002,"SI_POV_DAY1","Azerbaijan","ALLAGE","ALLAREA","BOTHSEX",0.1
2002,"SI_POV_DAY1","Azerbaijan","<15Y","ALLAREA","BOTHSEX",0.14974
2002,"SI_POV_DAY1","Azerbaijan","15-64","ALLAREA","BOTHSEX",0.05659
2002,"SI_POV_DAY1","Azerbaijan","65+","ALLAREA","BOTHSEX",0.03953
2003,"SI_POV_DAY1","Azerbaijan","<15Y","ALLAREA","BOTHSEX",0.05746
2003,"SI_POV_DAY1","Azerbaijan","15-64","ALLAREA","BOTHSEX",0.05421
2003,"SI_POV_DAY1","Azerbaijan","65+","ALLAREA","BOTHSEX",0
2003,"SI_POV_DAY1","Azerbaijan","ALLAGE","ALLAREA","FEMALE",0.05689
