Year,GeoAreaName,Age,Sex,Value
2000,Kazakhstan,15-24,BOTHSEX,10.19
2000,Kazakhstan,15+,MALE,8.17
2000,Kazakhstan,25+,MALE,7.71
2000,Kazakhstan,15-24,MALE,10.41
2000,Kazakhstan,15-24,FEMALE,9.94
2000,Kazakhstan,15+,FEMALE,6.43
2000,Kazakhstan,25+,BOTHSEX,6.76
2000,Kazakhstan,15+,BOTHSEX,7.33
2000,Kazakhstan,25+,FEMALE,5.77
2001,Kazakhstan,25+,MALE,7.13
2001,Kazakhstan,25+,FEMALE,5.08
2001,Kazakhstan,15+,MALE,7.54
2001,Kazakhstan,15-24,BOTHSEX,9.26
2001,Kazakhstan,15+,BOTHSEX,6.65
2001,Kazakhstan,15+,FEMALE,5.71
2001,Kazakhstan,15-24,FEMALE,9
2001,Kazakhstan,15-24,MALE,9.49
2001,Kazakhstan,25+,BOTHSEX,6.12
2002,Kazakhstan,25+,FEMALE,2.87
2002,Kazakhstan,25+,BOTHSEX,3.62
2002,Kazakhstan,15+,FEMALE,3.27
2002,Kazakhstan,25+,MALE,4.34
2002,Kazakhstan,15-24,BOTHSEX,5.58
2002,Kazakhstan,15+,BOTHSEX,3.95
2002,Kazakhstan,15+,MALE,4.59
2002,Kazakhstan,15-24,MALE,5.78
2002,Kazakhstan,15-24,FEMALE,5.36
2003,Kazakhstan,15-24,FEMALE,3.34
2003,Kazakhstan,15+,BOTHSEX,2.41
2003,Kazakhstan,25+,MALE,2.65
2003,Kazakhstan,15+,MALE,2.83
2003,Kazakhstan,15-24,BOTHSEX,3.52
2003,Kazakhstan,15-24,MALE,3.67
2003,Kazakhstan,25+,BOTHSEX,2.18
2003,Kazakhstan,25+,FEMALE,1.69
2003,Kazakhstan,15+,FEMALE,1.96
2004,Kazakhstan,25+,MALE,0.92
2004,Kazakhstan,15+,FEMALE,0.65
2004,Kazakhstan,15-24,MALE,1.28
2004,Kazakhstan,15+,MALE,0.99
2004,Kazakhstan,15-24,FEMALE,1.14
2004,Kazakhstan,25+,BOTHSEX,0.74
2004,Kazakhstan,25+,FEMALE,0.56
2004,Kazakhstan,15+,BOTHSEX,0.82
2004,Kazakhstan,15-24,BOTHSEX,1.21
2005,Kazakhstan,15-24,MALE,0.47
2005,Kazakhstan,15-24,FEMALE,0.41
2005,Kazakhstan,25+,MALE,0.32
2005,Kazakhstan,25+,FEMALE,0.19
2005,Kazakhstan,15-24,BOTHSEX,0.44
2005,Kazakhstan,25+,BOTHSEX,0.25
2005,Kazakhstan,15+,BOTHSEX,0.29
2005,Kazakhstan,15+,MALE,0.35
2005,Kazakhstan,15+,FEMALE,0.22
2006,Kazakhstan,15+,FEMALE,0.1
2006,Kazakhstan,15-24,BOTHSEX,0.21
2006,Kazakhstan,15-24,FEMALE,0.2
2006,Kazakhstan,15+,MALE,0.17
2006,Kazakhstan,25+,FEMALE,0.09
2006,Kazakhstan,15+,BOTHSEX,0.14
2006,Kazakhstan,25+,BOTHSEX,0.12
2006,Kazakhstan,15-24,MALE,0.23
2006,Kazakhstan,25+,MALE,0.15
2007,Kazakhstan,25+,MALE,0.08
