Year,GeoAreaName,Age,Location,Sex,Value
2004,Hungary,ALLAGE,ALLAREA,BOTHSEX,0.1
2004,Hungary,<15Y,ALLAREA,BOTHSEX,0.08253
2004,Hungary,15-64,ALLAREA,BOTHSEX,0.26918
2004,Hungary,ALLAGE,RURAL,BOTHSEX,0.28226
2004,Hungary,ALLAGE,ALLAREA,MALE,0.23797
2004,Hungary,ALLAGE,ALLAREA,FEMALE,0.17586
2004,Hungary,65+,ALLAREA,BOTHSEX,0.0468
2004,Hungary,ALLAGE,URBAN,BOTHSEX,0.14269
2005,Hungary,<15Y,ALLAREA,BOTHSEX,1.48397
2005,Hungary,15-64,ALLAREA,BOTHSEX,1.05153
2005,Hungary,65+,ALLAREA,BOTHSEX,0.57007
2005,Hungary,ALLAGE,ALLAREA,FEMALE,0.88396
2005,Hungary,ALLAGE,ALLAREA,MALE,1.21766
2005,Hungary,ALLAGE,RURAL,BOTHSEX,1.39434
2005,Hungary,ALLAGE,URBAN,BOTHSEX,0.73997
2005,Hungary,ALLAGE,ALLAREA,BOTHSEX,0.7
2006,Hungary,ALLAGE,ALLAREA,BOTHSEX,0.1
2006,Hungary,<15Y,ALLAREA,BOTHSEX,0.03209
2006,Hungary,15-64,ALLAREA,BOTHSEX,0.18426
2012,Montenegro,15-64,ALLAREA,BOTHSEX,2.65721
2012,Montenegro,<15Y,ALLAREA,BOTHSEX,6.09358
2012,Montenegro,ALLAGE,URBAN,BOTHSEX,1.65522
2012,Montenegro,ALLAGE,RURAL,BOTHSEX,5.54259
2012,Montenegro,ALLAGE,ALLAREA,MALE,3.00937
2012,Montenegro,65+,ALLAREA,BOTHSEX,0.55768
2012,Montenegro,ALLAGE,ALLAREA,BOTHSEX,3
2013,Montenegro,ALLAGE,ALLAREA,BOTHSEX,3
2014,Montenegro,ALLAGE,ALLAREA,BOTHSEX,1.6
2015,Montenegro,ALLAGE,ALLAREA,BOTHSEX,1.3
1996,Albania,ALLAGE,ALLAREA,BOTHSEX,0.5
2002,Albania,ALLAGE,ALLAREA,BOTHSEX,1.1
2005,Albania,ALLAGE,ALLAREA,BOTHSEX,0.6
2008,Albania,ALLAGE,ALLAREA,BOTHSEX,0.2
2012,Albania,ALLAGE,ALLAREA,BOTHSEX,0.6
2014,Albania,ALLAGE,ALLAREA,BOTHSEX,1
2015,Albania,ALLAGE,ALLAREA,BOTHSEX,0.1
2016,Albania,ALLAGE,ALLAREA,BOTHSEX,0.1
2017,Albania,ALLAGE,ALLAREA,BOTHSEX,0.4
2006,Hungary,65+,ALLAREA,BOTHSEX,0.0864
2006,Hungary,ALLAGE,ALLAREA,FEMALE,0.14595
2006,Hungary,ALLAGE,ALLAREA,MALE,0.14534
2006,Hungary,ALLAGE,RURAL,BOTHSEX,0.17345
2006,Hungary,ALLAGE,URBAN,BOTHSEX,0.12017
2007,Hungary,<15Y,ALLAREA,BOTHSEX,0.20832
