Year,SeriesCode,GeoAreaName,Age,Location,Sex,Value
2010,"SD_MDP_ANDI","Colombia","ALLAGE","URBAN","BOTHSEX",42
2010,"SD_MDP_ANDI","Colombia","ALLAGE","RURAL","BOTHSEX",44
2010,"SD_MDP_ANDI","Colombia","ALLAGE","ALLAREA","BOTHSEX",43
2011,"SD_MDP_ANDI","Colombia","ALLAGE","ALLAREA","BOTHSEX",43
2011,"SD_MDP_ANDI","Colombia","ALLAGE","RURAL","BOTHSEX",44
2011,"SD_MDP_ANDI","Colombia","ALLAGE","URBAN","BOTHSEX",42
2012,"SD_MDP_ANDI","Colombia","ALLAGE","ALLAREA","BOTHSEX",42
2012,"SD_MDP_ANDI","Colombia","ALLAGE","RURAL","BOTHSEX",44
2012,"SD_MDP_ANDI","Colombia","ALLAGE","URBAN","BOTHSEX",42
2013,"SD_MDP_ANDI","Colombia","ALLAGE","ALLAREA","BOTHSEX",42
2013,"SD_MDP_ANDI","Colombia","ALLAGE","RURAL","BOTHSEX",43
2013,"SD_MDP_ANDI","Colombia","ALLAGE","URBAN","BOTHSEX",42
2014,"SD_MDP_ANDI","Colombia","ALLAGE","RURAL","BOTHSEX",43
2014,"SD_MDP_ANDI","Colombia","ALLAGE","URBAN","BOTHSEX",41
2014,"SD_MDP_ANDI","Colombia","ALLAGE","ALLAREA","BOTHSEX",42
2015,"SD_MDP_ANDI","Colombia","ALLAGE","URBAN","BOTHSEX",41
2015,"SD_MDP_ANDI","Colombia","ALLAGE","ALLAREA","BOTHSEX",42
2015,"SD_MDP_ANDI","Colombia","ALLAGE","RURAL","BOTHSEX",43
2016,"SD_MDP_ANDI","Colombia","ALLAGE","RURAL","BOTHSEX",42
2016,"SD_MDP_ANDI","Colombia","ALLAGE","ALLAREA","BOTHSEX",41
2016,"SD_MDP_ANDI","Colombia","ALLAGE","URBAN","BOTHSEX",41
2017,"SD_MDP_ANDI","Colombia","ALLAGE","URBAN","BOTHSEX",41
2018,"SD_MDP_ANDI","Colombia","ALLAGE","URBAN","BOTHSEX",41
2018,"SD_MDP_ANDI","Colombia","ALLAGE","ALLAREA","BOTHSEX",42
2018,"SD_MDP_ANDI","Colombia","ALLAGE","RURAL","BOTHSEX",42
2019,"SD_MDP_ANDI","Colombia","ALLAGE","URBAN","BOTHSEX",41
2019,"SD_MDP_ANDI","Colombia","ALLAGE","ALLAREA","BOTHSEX",41
2019,"SD_MDP_ANDI","Colombia","ALLAGE","RURAL","BOTHSEX",42
2020,"SD_MDP_ANDI","Colombia","ALLAGE","URBAN","BOTHSEX",41
2020,"SD_MDP_ANDI","Colombia","ALLAGE","ALLAREA","BOTHSEX",41
2020,"SD_MDP_ANDI","Colombia","ALLAGE","RURAL","BOTHSEX",42
2021,"SD_MDP_ANDI","Colombia","ALLAGE","RURAL","BOTHSEX",42
2021,"SD_MDP_ANDI","Colombia","ALLAGE","URBAN","BOTHSEX",40
2021,"SD_MDP_ANDI","Colombia","ALLAGE","ALLAREA","BOTHSEX",41
2010,"SD_MDP_ANDI","Costa Rica","ALLAGE","ALLAREA","BOTHSEX",28
2010,"SD_MDP_ANDI","Costa Rica","ALLAGE","RURAL","BOTHSEX",30
2010,"SD_MDP_ANDI","Costa Rica","ALLAGE","URBAN","BOTHSEX",27
2011,"SD_MDP_ANDI","Costa Rica","ALLAGE","RURAL","BOTHSEX",30
2011,"SD_MDP_ANDI","Costa Rica","ALLAGE","URBAN","BOTHSEX",27
2011,"SD_MDP_ANDI","Costa Rica","ALLAGE","ALLAREA","BOTHSEX",28
2012,"SD_MDP_ANDI","Costa Rica","ALLAGE","ALLAREA","BOTHSEX",29
2012,"SD_MDP_ANDI","Costa Rica","ALLAGE","URBAN","BOTHSEX",27
2012,"SD_MDP_ANDI","Costa Rica","ALLAGE","RURAL","BOTHSEX",29
2013,"SD_MDP_ANDI","Costa Rica","ALLAGE","RURAL","BOTHSEX",29
2013,"SD_MDP_ANDI","Costa Rica","ALLAGE","ALLAREA","BOTHSEX",28
2013,"SD_MDP_ANDI","Costa Rica","ALLAGE","URBAN","BOTHSEX",26
2014,"SD_MDP_ANDI","Costa Rica","ALLAGE","URBAN","BOTHSEX",26
2014,"SD_MDP_ANDI","Costa Rica","ALLAGE","ALLAREA","BOTHSEX",27
2014,"SD_MDP_ANDI","Costa Rica","ALLAGE","RURAL","BOTHSEX",29
2015,"SD_MDP_ANDI","Costa Rica","ALLAGE","RURAL","BOTHSEX",29
2015,"SD_MDP_ANDI","Costa Rica","ALLAGE","ALLAREA","BOTHSEX",28
2015,"SD_MDP_ANDI","Costa Rica","ALLAGE","URBAN","BOTHSEX",27
2016,"SD_MDP_ANDI","Costa Rica","ALLAGE","RURAL","BOTHSEX",28
2016,"SD_MDP_ANDI","Costa Rica","ALLAGE","ALLAREA","BOTHSEX",28
2016,"SD_MDP_ANDI","Costa Rica","ALLAGE","URBAN","BOTHSEX",27
2017,"SD_MDP_ANDI","Costa Rica","ALLAGE","URBAN","BOTHSEX",27
2017,"SD_MDP_ANDI","Costa Rica","ALLAGE","RURAL","BOTHSEX",28
2017,"SD_MDP_ANDI","Costa Rica","ALLAGE","ALLAREA","BOTHSEX",27
2018,"SD_MDP_ANDI","Costa Rica","ALLAGE","RURAL","BOTHSEX",27
2018,"SD_MDP_ANDI","Costa Rica","ALLAGE","ALLAREA","BOTHSEX",27
2018,"SD_MDP_ANDI","Costa Rica","ALLAGE","URBAN","BOTHSEX",26
2019,"SD_MDP_ANDI","Costa Rica","ALLAGE","URBAN","BOTHSEX",26
2019,"SD_MDP_ANDI","Costa Rica","ALLAGE","ALLAREA","BOTHSEX",27
2019,"SD_MDP_ANDI","Costa Rica","ALLAGE","RURAL","BOTHSEX",28
2020,"SD_MDP_ANDI","Costa Rica","ALLAGE","RURAL","BOTHSEX",27
2020,"SD_MDP_ANDI","Costa Rica","ALLAGE","URBAN","BOTHSEX",26
2021,"SD_MDP_ANDI","Costa Rica","ALLAGE","RURAL","BOTHSEX",27
2021,"SD_MDP_ANDI","Costa Rica","ALLAGE","URBAN","BOTHSEX",26
2022,"SD_MDP_ANDI","Costa Rica","ALLAGE","RURAL","BOTHSEX",26
2022,"SD_MDP_ANDI","Costa Rica","ALLAGE","URBAN","BOTHSEX",25
2010,"SD_MDP_ANDI","Mexico","ALLAGE","URBAN","BOTHSEX",2
2010,"SD_MDP_ANDI","Mexico","ALLAGE","RURAL","BOTHSEX",3
2010,"SD_MDP_ANDI","Mexico","ALLAGE","ALLAREA","BOTHSEX",3
2012,"SD_MDP_ANDI","Mexico","ALLAGE","RURAL","BOTHSEX",3
2012,"SD_MDP_ANDI","Mexico","ALLAGE","URBAN","BOTHSEX",2
2012,"SD_MDP_ANDI","Mexico","ALLAGE","ALLAREA","BOTHSEX",2
2014,"SD_MDP_ANDI","Mexico","ALLAGE","URBAN","BOTHSEX",2
2014,"SD_MDP_ANDI","Mexico","ALLAGE","ALLAREA","BOTHSEX",2
2014,"SD_MDP_ANDI","Mexico","ALLAGE","RURAL","BOTHSEX",3
2016,"SD_MDP_ANDI","Mexico","ALLAGE","URBAN","BOTHSEX",2
2016,"SD_MDP_ANDI","Mexico","ALLAGE","ALLAREA","BOTHSEX",2
2016,"SD_MDP_ANDI","Mexico","ALLAGE","RURAL","BOTHSEX",3
2018,"SD_MDP_ANDI","Mexico","ALLAGE","RURAL","BOTHSEX",3
2018,"SD_MDP_ANDI","Mexico","ALLAGE","ALLAREA","BOTHSEX",2
2018,"SD_MDP_ANDI","Mexico","ALLAGE","URBAN","BOTHSEX",2
2020,"SD_MDP_ANDI","Mexico","ALLAGE","URBAN","BOTHSEX",2
2020,"SD_MDP_ANDI","Mexico","ALLAGE","RURAL","BOTHSEX",3
2020,"SD_MDP_ANDI","Mexico","ALLAGE","ALLAREA","BOTHSEX",2
2020,"SD_MDP_ANDI","Mexico","ALLAGE","ALLAREA","BOTHSEX",2
