Year,SeriesCode,GeoAreaName,Age,Location,Sex,Value
2013,"SD_MDP_CSMP","Armenia","<18Y","URBAN","BOTHSEX",53
2013,"SD_MDP_CSMP","Armenia","<18Y","RURAL","BOTHSEX",82
2013,"SD_MDP_CSMP","Armenia","<18Y","ALLAREA","BOTHSEX",64
2015,"SD_MDP_CSMP","Armenia","<18Y","URBAN","BOTHSEX",51
2015,"SD_MDP_CSMP","Armenia","<18Y","RURAL","BOTHSEX",80
2015,"SD_MDP_CSMP","Armenia","<18Y","ALLAREA","BOTHSEX",65
2016,"SD_MDP_CSMP","Armenia","<18Y","URBAN","BOTHSEX",51
2016,"SD_MDP_CSMP","Armenia","<18Y","ALLAREA","BOTHSEX",57
2016,"SD_MDP_CSMP","Armenia","<18Y","RURAL","BOTHSEX",69
2017,"SD_MDP_CSMP","Armenia","<18Y","ALLAREA","BOTHSEX",62
2017,"SD_MDP_CSMP","Armenia","<18Y","URBAN","BOTHSEX",52
2017,"SD_MDP_CSMP","Armenia","<18Y","RURAL","BOTHSEX",75
2017,"SD_MDP_CSMP","Armenia","<18Y","RURAL","BOTHSEX",75
