Year,SeriesCode,GeoAreaName,Sex,Value
2021,"SI_COV_BENFTS","Albania","BOTHSEX",77.6
2016,"SI_COV_BENFTS","Azerbaijan","BOTHSEX",40.3
2020,"SI_COV_BENFTS","Azerbaijan","BOTHSEX",39
2016,"SI_COV_BENFTS","Australia","BOTHSEX",82
2020,"SI_COV_BENFTS","Australia","BOTHSEX",100
2020,"SI_COV_BENFTS","Australia","FEMALE",100
2020,"SI_COV_BENFTS","Australia","MALE",100
2016,"SI_COV_BENFTS","Austria","BOTHSEX",98.6
2020,"SI_COV_BENFTS","Austria","BOTHSEX",98.6
2016,"SI_COV_BENFTS","Armenia","BOTHSEX",47.3
2020,"SI_COV_BENFTS","Armenia","BOTHSEX",54.4
2016,"SI_COV_BENFTS","Belgium","BOTHSEX",100
2020,"SI_COV_BENFTS","Belgium","MALE",100
2020,"SI_COV_BENFTS","Belgium","BOTHSEX",100
2020,"SI_COV_BENFTS","Belgium","FEMALE",100
2020,"SI_COV_BENFTS","Bosnia and Herzegovina","BOTHSEX",40
2016,"SI_COV_BENFTS","Bulgaria","BOTHSEX",88.3
2020,"SI_COV_BENFTS","Bulgaria","BOTHSEX",88.3
2020,"SI_COV_BENFTS","Belarus","BOTHSEX",36
2016,"SI_COV_BENFTS","Canada","BOTHSEX",99.8
2020,"SI_COV_BENFTS","Canada","BOTHSEX",99.8
2017,"SI_COV_BENFTS","Chile","BOTHSEX",69.2
2020,"SI_COV_BENFTS","Chile","BOTHSEX",70.2
2021,"SI_COV_BENFTS","Chile","BOTHSEX",83
2016,"SI_COV_BENFTS","China","BOTHSEX",63
2017,"SI_COV_BENFTS","China","BOTHSEX",67.4
2020,"SI_COV_BENFTS","China","BOTHSEX",70.8
2017,"SI_COV_BENFTS","Colombia","BOTHSEX",40.8
2020,"SI_COV_BENFTS","Colombia","BOTHSEX",52.5
2021,"SI_COV_BENFTS","Colombia","BOTHSEX",49.7
2017,"SI_COV_BENFTS","Costa Rica","BOTHSEX",72
2020,"SI_COV_BENFTS","Costa Rica","BOTHSEX",58
2021,"SI_COV_BENFTS","Costa Rica","BOTHSEX",60.5
2020,"SI_COV_BENFTS","Croatia","BOTHSEX",56
2016,"SI_COV_BENFTS","Cyprus","BOTHSEX",61.2
2020,"SI_COV_BENFTS","Cyprus","BOTHSEX",61.2
2016,"SI_COV_BENFTS","Czechia","BOTHSEX",88.8
2020,"SI_COV_BENFTS","Czechia","BOTHSEX",88.8
2016,"SI_COV_BENFTS","Denmark","BOTHSEX",89.5
2020,"SI_COV_BENFTS","Denmark","BOTHSEX",89.5
2016,"SI_COV_BENFTS","Estonia","BOTHSEX",98.4
2020,"SI_COV_BENFTS","Estonia","BOTHSEX",98.4
2016,"SI_COV_BENFTS","Finland","BOTHSEX",100
2020,"SI_COV_BENFTS","Finland","FEMALE",100
2020,"SI_COV_BENFTS","Finland","BOTHSEX",100
2020,"SI_COV_BENFTS","Finland","MALE",100
2016,"SI_COV_BENFTS","France","BOTHSEX",100
2020,"SI_COV_BENFTS","France","FEMALE",100
2020,"SI_COV_BENFTS","France","BOTHSEX",100
2020,"SI_COV_BENFTS","France","MALE",100
2016,"SI_COV_BENFTS","Georgia","BOTHSEX",28.6
2020,"SI_COV_BENFTS","Georgia","BOTHSEX",97.1
2016,"SI_COV_BENFTS","Germany","BOTHSEX",99.5
2020,"SI_COV_BENFTS","Germany","BOTHSEX",99.5
2020,"SI_COV_BENFTS","Greece","BOTHSEX",64
2016,"SI_COV_BENFTS","Hungary","BOTHSEX",86.2
2020,"SI_COV_BENFTS","Hungary","BOTHSEX",86.2
2020,"SI_COV_BENFTS","Iceland","BOTHSEX",81
2016,"SI_COV_BENFTS","India","BOTHSEX",22
2020,"SI_COV_BENFTS","India","BOTHSEX",24.4
2016,"SI_COV_BENFTS","Ireland","BOTHSEX",90.1
2020,"SI_COV_BENFTS","Ireland","BOTHSEX",90.1
