Year,SeriesCode,GeoAreaName,Quantile,Value
2008,"SI_COV_SOCINS","Albania","Q1",48.43734
2008,"SI_COV_SOCINS","Albania","_T",45.93881
2012,"SI_COV_SOCINS","Albania","Q1",38.22971
2012,"SI_COV_SOCINS","Albania","_T",36.25506
2015,"SI_COV_SOCINS","Azerbaijan","Q1",56.98233
2015,"SI_COV_SOCINS","Azerbaijan","_T",50.6121
2008,"SI_COV_SOCINS","Armenia","_T",49.99086
2008,"SI_COV_SOCINS","Armenia","Q1",55.33722
2009,"SI_COV_SOCINS","Armenia","Q1",55.07897
2009,"SI_COV_SOCINS","Armenia","_T",51.284
2010,"SI_COV_SOCINS","Armenia","Q1",54.16628
2010,"SI_COV_SOCINS","Armenia","_T",52.10611
2011,"SI_COV_SOCINS","Armenia","Q1",53.53614
2011,"SI_COV_SOCINS","Armenia","_T",52.87971
2012,"SI_COV_SOCINS","Armenia","Q1",56.42332
2012,"SI_COV_SOCINS","Armenia","_T",53.36276
2013,"SI_COV_SOCINS","Armenia","_T",53.03151
2013,"SI_COV_SOCINS","Armenia","Q1",56.69281
2014,"SI_COV_SOCINS","Armenia","Q1",56.99563
2014,"SI_COV_SOCINS","Armenia","_T",54.75134
2015,"SI_COV_SOCINS","Armenia","Q1",56.56097
2015,"SI_COV_SOCINS","Armenia","_T",53.41843
2016,"SI_COV_SOCINS","Armenia","Q1",55.48178
2016,"SI_COV_SOCINS","Armenia","_T",51.89175
2017,"SI_COV_SOCINS","Armenia","Q1",57.52963
2017,"SI_COV_SOCINS","Armenia","_T",55.05737
2018,"SI_COV_SOCINS","Armenia","Q1",55.90557
2018,"SI_COV_SOCINS","Armenia","_T",52.32998
2007,"SI_COV_SOCINS","Bosnia and Herzegovina","_T",41.52379
2007,"SI_COV_SOCINS","Bosnia and Herzegovina","Q1",36.91917
2015,"SI_COV_SOCINS","Bosnia and Herzegovina","Q1",37.2437
2015,"SI_COV_SOCINS","Bosnia and Herzegovina","_T",40.16296
2007,"SI_COV_SOCINS","Bulgaria","Q1",48.19672
2007,"SI_COV_SOCINS","Bulgaria","_T",47.71536
2008,"SI_COV_SOCINS","Belarus","Q1",39.38569
2008,"SI_COV_SOCINS","Belarus","_T",43.08533
2009,"SI_COV_SOCINS","Belarus","Q1",36.75283
2009,"SI_COV_SOCINS","Belarus","_T",40.88504
2010,"SI_COV_SOCINS","Belarus","_T",42.38952
2010,"SI_COV_SOCINS","Belarus","Q1",37.15201
2012,"SI_COV_SOCINS","Belarus","Q1",42.49706
2012,"SI_COV_SOCINS","Belarus","_T",47.92547
