Year,SeriesCode,GeoAreaName,Value
2010,"FI_FSI_FSKNL","Albania",35.9460427642301
2011,"FI_FSI_FSKNL","Albania",52.0111702395648
2012,"FI_FSI_FSKNL","Albania",55.6225293052017
2013,"FI_FSI_FSKNL","Albania",40.2212321023147
2014,"FI_FSI_FSKNL","Albania",38.2510617027294
2015,"FI_FSI_FSKNL","Albania",24.059438106513
2016,"FI_FSI_FSKNL","Albania",23.0830360854874
2017,"FI_FSI_FSKNL","Albania",15.7209501746281
2018,"FI_FSI_FSKNL","Albania",15.5062913972016
2019,"FI_FSI_FSKNL","Albania",13.6412174045044
2020,"FI_FSI_FSKNL","Albania",11.2838202448708
2021,"FI_FSI_FSKNL","Albania",7.12602349920201
2022,"FI_FSI_FSKNL","Albania",7.34822151999476
2005,"FI_FSI_FSKNL","Australia",4.62090313369471
2006,"FI_FSI_FSKNL","Australia",4.749533311325
2007,"FI_FSI_FSKNL","Australia",4.73258665315006
2008,"FI_FSI_FSKNL","Australia",11.4479187873598
2009,"FI_FSI_FSKNL","Australia",17.1389886411256
2010,"FI_FSI_FSKNL","Australia",19.8419431072711
2011,"FI_FSI_FSKNL","Australia",18.6719035635503
2012,"FI_FSI_FSKNL","Australia",15.6565536324125
2013,"FI_FSI_FSKNL","Australia",12.6493510823537
2014,"FI_FSI_FSKNL","Australia",9.3007737262737
2015,"FI_FSI_FSKNL","Australia",7.2864645287214
2016,"FI_FSI_FSKNL","Australia",7.58784942313708
2017,"FI_FSI_FSKNL","Australia",6.91845391587525
2018,"FI_FSI_FSKNL","Australia",7.50651029929153
2019,"FI_FSI_FSKNL","Australia",7.55513488351701
2020,"FI_FSI_FSKNL","Australia",7.74296292908064
2021,"FI_FSI_FSKNL","Australia",6.52302122940652
2006,"FI_FSI_FSKNL","Austria",6.58350148018322
2007,"FI_FSI_FSKNL","Austria",4.38180502755883
2008,"FI_FSI_FSKNL","Austria",6.51516651966521
2009,"FI_FSI_FSKNL","Austria",4.85836469104874
2010,"FI_FSI_FSKNL","Austria",6.48788960187479
2011,"FI_FSI_FSKNL","Austria",6.41889934747806
2012,"FI_FSI_FSKNL","Austria",5.60563848458115
2013,"FI_FSI_FSKNL","Austria",4.67966805687607
2014,"FI_FSI_FSKNL","Austria",10.3262581402519
2015,"FI_FSI_FSKNL","Austria",10.0848243890068
2016,"FI_FSI_FSKNL","Austria",8.84137321871464
2017,"FI_FSI_FSKNL","Austria",8.66383970944368
2018,"FI_FSI_FSKNL","Austria",6.66746202337983
2019,"FI_FSI_FSKNL","Austria",5.40118556287243
2020,"FI_FSI_FSKNL","Austria",3.93396003414167
2005,"FI_FSI_FSKNL","Armenia",3.38569179313711
2006,"FI_FSI_FSKNL","Armenia",3.92059229093062
2007,"FI_FSI_FSKNL","Armenia",4.57419548613605
2008,"FI_FSI_FSKNL","Armenia",11.0866790300436
2009,"FI_FSI_FSKNL","Armenia",9.73961477863621
2010,"FI_FSI_FSKNL","Armenia",7.28018409743819
2011,"FI_FSI_FSKNL","Armenia",9.62825177596374
2012,"FI_FSI_FSKNL","Armenia",11.8382192708128
2013,"FI_FSI_FSKNL","Armenia",13.9962871478486
2014,"FI_FSI_FSKNL","Armenia",24.7531255507825
2015,"FI_FSI_FSKNL","Armenia",24.9845729150802
2016,"FI_FSI_FSKNL","Armenia",17.0567985455288
2017,"FI_FSI_FSKNL","Armenia",14.671173240213
2018,"FI_FSI_FSKNL","Armenia",8.78643123613849
2019,"FI_FSI_FSKNL","Armenia",12.545846274371
2020,"FI_FSI_FSKNL","Armenia",16.8975806340161
2018,"FI_FSI_FSKNL","Belgium",13.6320482465093
2019,"FI_FSI_FSKNL","Belgium",13.171114568551
2020,"FI_FSI_FSKNL","Belgium",13.6748213217229
2021,"FI_FSI_FSKNL","Belgium",10.6295965711829
2000,"FI_FSI_FSKNL","Bosnia and Herzegovina",30.3025143311198
2001,"FI_FSI_FSKNL","Bosnia and Herzegovina",33.4647106349994
2002,"FI_FSI_FSKNL","Bosnia and Herzegovina",24.4193211742133
2003,"FI_FSI_FSKNL","Bosnia and Herzegovina",19.7738219895288
2004,"FI_FSI_FSKNL","Bosnia and Herzegovina",15.5333872144707
2005,"FI_FSI_FSKNL","Bosnia and Herzegovina",15.652780550162
2006,"FI_FSI_FSKNL","Bosnia and Herzegovina",11.7611558500533
2007,"FI_FSI_FSKNL","Bosnia and Herzegovina",9.53644976500117
2008,"FI_FSI_FSKNL","Bosnia and Herzegovina",10.2740374753594
2009,"FI_FSI_FSKNL","Bosnia and Herzegovina",19.6420942940095
2010,"FI_FSI_FSKNL","Bosnia and Herzegovina",32.8362046798663
2011,"FI_FSI_FSKNL","Bosnia and Herzegovina",20.5991825597654
2012,"FI_FSI_FSKNL","Bosnia and Herzegovina",24.7880360947389
2013,"FI_FSI_FSKNL","Bosnia and Herzegovina",26.4445838685561
2014,"FI_FSI_FSKNL","Bosnia and Herzegovina",24.635117268701
2015,"FI_FSI_FSKNL","Bosnia and Herzegovina",24.8954020604884
2016,"FI_FSI_FSKNL","Bosnia and Herzegovina",17.550705025481
2017,"FI_FSI_FSKNL","Bosnia and Herzegovina",13.5162711632087
2018,"FI_FSI_FSKNL","Bosnia and Herzegovina",11.4232644117347
2019,"FI_FSI_FSKNL","Bosnia and Herzegovina",9.61235371458789
2020,"FI_FSI_FSKNL","Bosnia and Herzegovina",7.38030003427457
2021,"FI_FSI_FSKNL","Bosnia and Herzegovina",6.9967130809057
2008,"FI_FSI_FSKNL","Bulgaria",3.48709847208362
2009,"FI_FSI_FSKNL","Bulgaria",15.0868133930954
2010,"FI_FSI_FSKNL","Bulgaria",28.0167577882702
2011,"FI_FSI_FSKNL","Bulgaria",36.9203188859219
2012,"FI_FSI_FSKNL","Bulgaria",38.9370158119795
2013,"FI_FSI_FSKNL","Bulgaria",36.2110489506021
2014,"FI_FSI_FSKNL","Bulgaria",43.5062409597353
2015,"FI_FSI_FSKNL","Bulgaria",49.8458176491775
2016,"FI_FSI_FSKNL","Bulgaria",44.658782526272
2017,"FI_FSI_FSKNL","Bulgaria",36.5695570937047
2018,"FI_FSI_FSKNL","Bulgaria",28.2156662755102
2019,"FI_FSI_FSKNL","Bulgaria",23.8565678216866
2020,"FI_FSI_FSKNL","Bulgaria",20.7745299968727
2010,"FI_FSI_FSKNL","Belarus",12.398305784379
2011,"FI_FSI_FSKNL","Belarus",11.7925463721319
2012,"FI_FSI_FSKNL","Belarus",17.6479666609841
2013,"FI_FSI_FSKNL","Belarus",13.9769871674716
2014,"FI_FSI_FSKNL","Belarus",14.5813049402908
2015,"FI_FSI_FSKNL","Belarus",21.175640118137
2016,"FI_FSI_FSKNL","Belarus",38.87746136633
2017,"FI_FSI_FSKNL","Belarus",37.1720314866011
2018,"FI_FSI_FSKNL","Belarus",15.55062319233
2019,"FI_FSI_FSKNL","Belarus",16.0231037590644
2020,"FI_FSI_FSKNL","Belarus",18.7928652590104
2021,"FI_FSI_FSKNL","Belarus",16.5734742829237
2005,"FI_FSI_FSKNL","Canada",2.25218692650608
2006,"FI_FSI_FSKNL","Canada",1.82027535510002
2007,"FI_FSI_FSKNL","Canada",2.36199610192292
2008,"FI_FSI_FSKNL","Canada",5.42363423453069
2009,"FI_FSI_FSKNL","Canada",8.71612760144166
2010,"FI_FSI_FSKNL","Canada",8.56831892878509
2011,"FI_FSI_FSKNL","Canada",5.58164543017869
2012,"FI_FSI_FSKNL","Canada",5.61076121775413
2013,"FI_FSI_FSKNL","Canada",5.78395743807459
2014,"FI_FSI_FSKNL","Canada",5.08002295777744
2015,"FI_FSI_FSKNL","Canada",5.02546119970632
2016,"FI_FSI_FSKNL","Canada",5.66729567606056
2017,"FI_FSI_FSKNL","Canada",4.45032841427846
2018,"FI_FSI_FSKNL","Canada",4.77057967000844
