Year,SeriesCode,GeoAreaName,Name of international institution,Value
2010,"SG_INT_MBRDEV","Australia","IFC",0.54945
2015,"SG_INT_MBRDEV","Australia","IFC",0.54348
2015,"SG_INT_MBRDEV","Australia","IMF",0.53191
2015,"SG_INT_MBRDEV","Australia","ECOSOC",1.85185
2015,"SG_INT_MBRDEV","Australia","ADB",1.4925
2015,"SG_INT_MBRDEV","Australia","IBRD",0.53191
2015,"SG_INT_MBRDEV","Australia","FSB",4.16667
2015,"SG_INT_MBRDEV","Australia","UNGA",0.51813
2015,"SG_INT_MBRDEV","Australia","WTO",0.625
2016,"SG_INT_MBRDEV","Australia","UNGA",0.51813
2016,"SG_INT_MBRDEV","Australia","WTO",0.61728
2016,"SG_INT_MBRDEV","Australia","FSB",4.16667
2016,"SG_INT_MBRDEV","Australia","IBRD",0.53191
2016,"SG_INT_MBRDEV","Australia","ADB",1.4925
2016,"SG_INT_MBRDEV","Australia","ECOSOC",1.85185
2016,"SG_INT_MBRDEV","Australia","IMF",0.53191
2016,"SG_INT_MBRDEV","Australia","IFC",0.54348
2017,"SG_INT_MBRDEV","Australia","UNGA",0.51813
2017,"SG_INT_MBRDEV","Australia","WTO",0.60976
2017,"SG_INT_MBRDEV","Australia","IFC",0.54348
2017,"SG_INT_MBRDEV","Australia","IMF",0.5291
2017,"SG_INT_MBRDEV","Australia","ADB",1.4925
2017,"SG_INT_MBRDEV","Australia","ECOSOC",1.85185
2017,"SG_INT_MBRDEV","Australia","IBRD",0.5291
2017,"SG_INT_MBRDEV","Australia","FSB",4.16667
2018,"SG_INT_MBRDEV","Australia","WTO",0.60976
2018,"SG_INT_MBRDEV","Australia","FSB",4.16667
2018,"SG_INT_MBRDEV","Australia","IBRD",0.5291
2018,"SG_INT_MBRDEV","Australia","ADB",1.4925
2018,"SG_INT_MBRDEV","Australia","IMF",0.5291
2018,"SG_INT_MBRDEV","Australia","IFC",0.54348
2018,"SG_INT_MBRDEV","Australia","UNGA",0.51813
2019,"SG_INT_MBRDEV","Australia","IFC",0.5435
2019,"SG_INT_MBRDEV","Australia","IMF",0.5291
2019,"SG_INT_MBRDEV","Australia","ADB",1.47059
2019,"SG_INT_MBRDEV","Australia","IBRD",0.5291
2019,"SG_INT_MBRDEV","Australia","FSB",4.16667
2019,"SG_INT_MBRDEV","Australia","WTO",0.60976
2019,"SG_INT_MBRDEV","Australia","UNGA",0.51813
2020,"SG_INT_MBRDEV","Australia","WTO",0.60976
2020,"SG_INT_MBRDEV","Australia","UNGA",0.51813
2020,"SG_INT_MBRDEV","Australia","FSB",4.16667
2020,"SG_INT_MBRDEV","Australia","ECOSOC",1.85185
2020,"SG_INT_MBRDEV","Australia","ADB",1.47059
2020,"SG_INT_MBRDEV","Australia","IMF",0.5291
2020,"SG_INT_MBRDEV","Australia","IFC",0.54054
2020,"SG_INT_MBRDEV","Australia","IBRD",0.5291
2021,"SG_INT_MBRDEV","Australia","FSB",4.16667
2021,"SG_INT_MBRDEV","Australia","UNGA",0.51813
2021,"SG_INT_MBRDEV","Australia","WTO",0.60976
2021,"SG_INT_MBRDEV","Australia","IBRD",0.5291
2021,"SG_INT_MBRDEV","Australia","IMF",0.52632
2021,"SG_INT_MBRDEV","Australia","IFC",0.54054
2021,"SG_INT_MBRDEV","Australia","ADB",1.47059
2021,"SG_INT_MBRDEV","Australia","ECOSOC",1.85185
2022,"SG_INT_MBRDEV","Australia","UNGA",0.51813
2022,"SG_INT_MBRDEV","Australia","IMF",0.52632
2022,"SG_INT_MBRDEV","Australia","WTO",0.60976
2022,"SG_INT_MBRDEV","Australia","FSB",4.16667
