Year,SeriesCode,GeoAreaName,Value
2017,"VC_DSR_MORT","Azerbaijan",0
2011,"VC_DSR_MORT","Australia",38
2015,"VC_DSR_MORT","Australia",10
2016,"VC_DSR_MORT","Australia",17
2017,"VC_DSR_MORT","Australia",8
2018,"VC_DSR_MORT","Australia",1
2019,"VC_DSR_MORT","Australia",33
2017,"VC_DSR_MORT","Ukraine",1
2018,"VC_DSR_MORT","Ukraine",0
2019,"VC_DSR_MORT","Ukraine",7
2020,"VC_DSR_MORT","Ukraine",19809
2021,"VC_DSR_MORT","Ukraine",77410
2005,"VC_DSR_MORT","United Kingdom of Great Britain and Northern Ireland",63
2006,"VC_DSR_MORT","United Kingdom of Great Britain and Northern Ireland",50
2020,"VC_DSR_MORT","Australia",92
2021,"VC_DSR_MORT","Australia",787
2005,"VC_DSR_MORT","Austria",15
2006,"VC_DSR_MORT","Austria",4
2007,"VC_DSR_MORT","Austria",4
2008,"VC_DSR_MORT","Austria",8
2009,"VC_DSR_MORT","Austria",6
2007,"VC_DSR_MORT","United Kingdom of Great Britain and Northern Ireland",46
2008,"VC_DSR_MORT","United Kingdom of Great Britain and Northern Ireland",48
2009,"VC_DSR_MORT","United Kingdom of Great Britain and Northern Ireland",70
2010,"VC_DSR_MORT","United Kingdom of Great Britain and Northern Ireland",49
2011,"VC_DSR_MORT","United Kingdom of Great Britain and Northern Ireland",49
2012,"VC_DSR_MORT","United Kingdom of Great Britain and Northern Ireland",45
2010,"VC_DSR_MORT","Austria",9
2011,"VC_DSR_MORT","Austria",1
2012,"VC_DSR_MORT","Austria",13
2013,"VC_DSR_MORT","Austria",15
2014,"VC_DSR_MORT","Austria",3
2015,"VC_DSR_MORT","Austria",6
2016,"VC_DSR_MORT","Austria",4
2013,"VC_DSR_MORT","United Kingdom of Great Britain and Northern Ireland",58
2014,"VC_DSR_MORT","United Kingdom of Great Britain and Northern Ireland",32
2015,"VC_DSR_MORT","United Kingdom of Great Britain and Northern Ireland",80
2016,"VC_DSR_MORT","United Kingdom of Great Britain and Northern Ireland",44
2017,"VC_DSR_MORT","United Kingdom of Great Britain and Northern Ireland",62
2018,"VC_DSR_MORT","United Kingdom of Great Britain and Northern Ireland",88
2017,"VC_DSR_MORT","Austria",11
2018,"VC_DSR_MORT","Austria",1
2019,"VC_DSR_MORT","Austria",9
2020,"VC_DSR_MORT","Austria",11
2005,"VC_DSR_MORT","Armenia",412
2006,"VC_DSR_MORT","Armenia",436
2007,"VC_DSR_MORT","Armenia",466
2005,"VC_DSR_MORT","Albania",7
2006,"VC_DSR_MORT","Albania",2
2007,"VC_DSR_MORT","Albania",2
2008,"VC_DSR_MORT","Albania",16
2009,"VC_DSR_MORT","Albania",6
2010,"VC_DSR_MORT","Albania",13
2011,"VC_DSR_MORT","Albania",13
2008,"VC_DSR_MORT","Armenia",500
2009,"VC_DSR_MORT","Armenia",402
2010,"VC_DSR_MORT","Armenia",155
2011,"VC_DSR_MORT","Armenia",188
2012,"VC_DSR_MORT","Armenia",274
2013,"VC_DSR_MORT","Armenia",393
2014,"VC_DSR_MORT","Armenia",393
2015,"VC_DSR_MORT","Armenia",430
2016,"VC_DSR_MORT","Armenia",333
2017,"VC_DSR_MORT","Armenia",356
2018,"VC_DSR_MORT","Armenia",403
2019,"VC_DSR_MORT","Armenia",427
2020,"VC_DSR_MORT","Armenia",3284
2021,"VC_DSR_MORT","Armenia",5577
2017,"VC_DSR_MORT","Bosnia and Herzegovina",0
2005,"VC_DSR_MORT","Bulgaria",2
2006,"VC_DSR_MORT","Bulgaria",0
2007,"VC_DSR_MORT","Bulgaria",9
2008,"VC_DSR_MORT","Bulgaria",0
2009,"VC_DSR_MORT","Bulgaria",0
2010,"VC_DSR_MORT","Bulgaria",0
2011,"VC_DSR_MORT","Bulgaria",0
2012,"VC_DSR_MORT","Bulgaria",10
2013,"VC_DSR_MORT","Bulgaria",0
2014,"VC_DSR_MORT","Bulgaria",21
2015,"VC_DSR_MORT","Bulgaria",0
2016,"VC_DSR_MORT","Bulgaria",7
2017,"VC_DSR_MORT","Bulgaria",4
2012,"VC_DSR_MORT","Albania",7
2013,"VC_DSR_MORT","Albania",9
2014,"VC_DSR_MORT","Albania",9
2015,"VC_DSR_MORT","Albania",10
2016,"VC_DSR_MORT","Albania",20
2017,"VC_DSR_MORT","Albania",0
2018,"VC_DSR_MORT","Albania",21
2018,"VC_DSR_MORT","Bulgaria",1
2019,"VC_DSR_MORT","Bulgaria",0
2020,"VC_DSR_MORT","Bulgaria",0
2021,"VC_DSR_MORT","Bulgaria",9
2015,"VC_DSR_MORT","Belarus",0
2016,"VC_DSR_MORT","Belarus",0
2017,"VC_DSR_MORT","Belarus",0
2018,"VC_DSR_MORT","Belarus",0
2019,"VC_DSR_MORT","Belarus",0
2020,"VC_DSR_MORT","Belarus",0
