Year,SeriesCode,GeoAreaName,Value
2005,"VC_DSR_BSDN","Albania",50
2006,"VC_DSR_BSDN","Albania",4
2007,"VC_DSR_BSDN","Albania",5
2008,"VC_DSR_BSDN","Albania",1
2009,"VC_DSR_BSDN","Albania",6
2010,"VC_DSR_BSDN","Albania",26
2011,"VC_DSR_BSDN","Albania",11
2012,"VC_DSR_BSDN","Albania",21
2013,"VC_DSR_BSDN","Albania",2
2014,"VC_DSR_BSDN","Albania",1
2015,"VC_DSR_BSDN","Albania",19
2016,"VC_DSR_BSDN","Albania",7
2018,"VC_DSR_BSDN","Albania",1
2019,"VC_DSR_BSDN","Albania",5
2020,"VC_DSR_BSDN","Albania",4
2015,"VC_DSR_BSDN","Australia",88
2016,"VC_DSR_BSDN","Australia",14
2017,"VC_DSR_BSDN","Australia",226
2018,"VC_DSR_BSDN","Australia",197
2019,"VC_DSR_BSDN","Australia",288733
2020,"VC_DSR_BSDN","Australia",258720
2021,"VC_DSR_BSDN","Australia",51143
2018,"VC_DSR_BSDN","Austria",26
2019,"VC_DSR_BSDN","Austria",41
2020,"VC_DSR_BSDN","Austria",21
2017,"VC_DSR_BSDN","Armenia",0
2018,"VC_DSR_BSDN","Armenia",4
2019,"VC_DSR_BSDN","Armenia",34
2020,"VC_DSR_BSDN","Armenia",24
2021,"VC_DSR_BSDN","Armenia",29
2005,"VC_DSR_BSDN","Bulgaria",31
2006,"VC_DSR_BSDN","Bulgaria",0
2007,"VC_DSR_BSDN","Bulgaria",6
2008,"VC_DSR_BSDN","Bulgaria",4
2009,"VC_DSR_BSDN","Bulgaria",0
2010,"VC_DSR_BSDN","Bulgaria",4
2011,"VC_DSR_BSDN","Bulgaria",1
2012,"VC_DSR_BSDN","Bulgaria",14
2013,"VC_DSR_BSDN","Bulgaria",2
2014,"VC_DSR_BSDN","Bulgaria",11
2015,"VC_DSR_BSDN","Bulgaria",22
2016,"VC_DSR_BSDN","Bulgaria",10
2017,"VC_DSR_BSDN","Bulgaria",13
2018,"VC_DSR_BSDN","Bulgaria",42
2019,"VC_DSR_BSDN","Bulgaria",0
2020,"VC_DSR_BSDN","Bulgaria",16
2021,"VC_DSR_BSDN","Bulgaria",69
2015,"VC_DSR_BSDN","Belarus",0
2016,"VC_DSR_BSDN","Belarus",0
2017,"VC_DSR_BSDN","Belarus",0
2018,"VC_DSR_BSDN","Belarus",0
2019,"VC_DSR_BSDN","Belarus",0
2020,"VC_DSR_BSDN","Belarus",0
2021,"VC_DSR_BSDN","Belarus",0
2005,"VC_DSR_BSDN","Chile",0
2006,"VC_DSR_BSDN","Chile",2
2007,"VC_DSR_BSDN","Chile",0
2008,"VC_DSR_BSDN","Chile",0
2009,"VC_DSR_BSDN","Chile",0
2010,"VC_DSR_BSDN","Chile",1
2011,"VC_DSR_BSDN","Chile",0
2012,"VC_DSR_BSDN","Chile",0
2013,"VC_DSR_BSDN","Chile",0
2014,"VC_DSR_BSDN","Chile",0
2015,"VC_DSR_BSDN","Chile",5
2016,"VC_DSR_BSDN","Chile",4
2017,"VC_DSR_BSDN","Chile",7
2018,"VC_DSR_BSDN","Chile",0
2019,"VC_DSR_BSDN","Chile",0
2020,"VC_DSR_BSDN","Chile",358
2021,"VC_DSR_BSDN","Chile",0
2005,"VC_DSR_BSDN","Colombia",116
2006,"VC_DSR_BSDN","Colombia",108
2007,"VC_DSR_BSDN","Colombia",67
2008,"VC_DSR_BSDN","Colombia",151
2009,"VC_DSR_BSDN","Colombia",100
2010,"VC_DSR_BSDN","Colombia",382
2011,"VC_DSR_BSDN","Colombia",343
2012,"VC_DSR_BSDN","Colombia",497
2013,"VC_DSR_BSDN","Colombia",266
2014,"VC_DSR_BSDN","Colombia",240
2015,"VC_DSR_BSDN","Colombia",239
2016,"VC_DSR_BSDN","Colombia",223
2017,"VC_DSR_BSDN","Colombia",251
2018,"VC_DSR_BSDN","Colombia",216
2019,"VC_DSR_BSDN","Colombia",625
2020,"VC_DSR_BSDN","Colombia",146
2021,"VC_DSR_BSDN","Colombia",524
2005,"VC_DSR_BSDN","Costa Rica",15
