Year,SeriesCode,GeoAreaName,Value
2016,"VC_DSR_CDAN","Belarus",0
2017,"VC_DSR_CDAN","Belarus",0
2018,"VC_DSR_CDAN","Belarus",0
2019,"VC_DSR_CDAN","Belarus",0
2009,"VC_DSR_CDAN","Chile",0
2013,"VC_DSR_CDAN","Chile",0
2016,"VC_DSR_CDAN","Chile",1
2017,"VC_DSR_CDAN","Chile",22
2018,"VC_DSR_CDAN","Chile",0
2019,"VC_DSR_CDAN","Chile",0
2021,"VC_DSR_CDAN","Chile",0
2005,"VC_DSR_CDAN","Colombia",0
2007,"VC_DSR_CDAN","Colombia",65759
2008,"VC_DSR_CDAN","Colombia",68588
2009,"VC_DSR_CDAN","Colombia",68874
2010,"VC_DSR_CDAN","Colombia",74473
2011,"VC_DSR_CDAN","Colombia",74119
2012,"VC_DSR_CDAN","Colombia",73058
2013,"VC_DSR_CDAN","Colombia",69954
2014,"VC_DSR_CDAN","Colombia",64393
2015,"VC_DSR_CDAN","Colombia",52886
2016,"VC_DSR_CDAN","Colombia",53060
2017,"VC_DSR_CDAN","Colombia",42585
2018,"VC_DSR_CDAN","Colombia",118029
2020,"VC_DSR_CDAN","Colombia",1485
2021,"VC_DSR_CDAN","Colombia",2711
2005,"VC_DSR_CDAN","Costa Rica",93
2007,"VC_DSR_CDAN","Costa Rica",0
2008,"VC_DSR_CDAN","Costa Rica",0
2009,"VC_DSR_CDAN","Costa Rica",27
2005,"VC_DSR_CDAN","Albania",21
2006,"VC_DSR_CDAN","Albania",2
2007,"VC_DSR_CDAN","Albania",1
2008,"VC_DSR_CDAN","Albania",0
2009,"VC_DSR_CDAN","Albania",8
2010,"VC_DSR_CDAN","Albania",9
2010,"VC_DSR_CDAN","Costa Rica",42
2011,"VC_DSR_CDAN","Costa Rica",0
2012,"VC_DSR_CDAN","Costa Rica",25
2013,"VC_DSR_CDAN","Costa Rica",0
2014,"VC_DSR_CDAN","Costa Rica",0
2015,"VC_DSR_CDAN","Costa Rica",54
2016,"VC_DSR_CDAN","Costa Rica",25
2017,"VC_DSR_CDAN","Costa Rica",42
2018,"VC_DSR_CDAN","Costa Rica",0
2019,"VC_DSR_CDAN","Costa Rica",0
2020,"VC_DSR_CDAN","Costa Rica",0
2021,"VC_DSR_CDAN","Costa Rica",1422
2017,"VC_DSR_CDAN","Croatia",0
2015,"VC_DSR_CDAN","Czechia",0
2016,"VC_DSR_CDAN","Czechia",0
