Year,SeriesCode,GeoAreaName,Value
2020,"VC_DSR_ESDN","Hungary",0
2021,"VC_DSR_ESDN","Hungary",0
2015,"VC_DSR_ESDN","Ireland",0
2016,"VC_DSR_ESDN","Ireland",1
2017,"VC_DSR_ESDN","Ireland",1
2015,"VC_DSR_ESDN","Japan",882
2016,"VC_DSR_ESDN","Japan",1097
2017,"VC_DSR_ESDN","Japan",8667
2018,"VC_DSR_ESDN","Japan",20373
2019,"VC_DSR_ESDN","Japan",11971
2020,"VC_DSR_ESDN","Japan",15120
2005,"VC_DSR_ESDN","Kazakhstan",0
2006,"VC_DSR_ESDN","Kazakhstan",0
2007,"VC_DSR_ESDN","Kazakhstan",0
2008,"VC_DSR_ESDN","Kazakhstan",0
2009,"VC_DSR_ESDN","Kazakhstan",0
2010,"VC_DSR_ESDN","Kazakhstan",0
2011,"VC_DSR_ESDN","Kazakhstan",0
2012,"VC_DSR_ESDN","Kazakhstan",0
2013,"VC_DSR_ESDN","Kazakhstan",0
2014,"VC_DSR_ESDN","Kazakhstan",1
2015,"VC_DSR_ESDN","Kazakhstan",0
2016,"VC_DSR_ESDN","Kazakhstan",0
2017,"VC_DSR_ESDN","Kazakhstan",0
2018,"VC_DSR_ESDN","Kazakhstan",0
2019,"VC_DSR_ESDN","Kazakhstan",0
2020,"VC_DSR_ESDN","Kazakhstan",1
2017,"VC_DSR_ESDN","Republic of Korea",0
2015,"VC_DSR_ESDN","Kyrgyzstan",95
2016,"VC_DSR_ESDN","Kyrgyzstan",0
2017,"VC_DSR_ESDN","Kyrgyzstan",2
2018,"VC_DSR_ESDN","Kyrgyzstan",24
2019,"VC_DSR_ESDN","Kyrgyzstan",8
2017,"VC_DSR_ESDN","Luxembourg",0
2018,"VC_DSR_ESDN","Luxembourg",0
2015,"VC_DSR_ESDN","Mexico",0
2005,"VC_DSR_ESDN","Albania",48
2006,"VC_DSR_ESDN","Albania",4
2007,"VC_DSR_ESDN","Albania",4
2008,"VC_DSR_ESDN","Albania",1
2009,"VC_DSR_ESDN","Albania",4
2010,"VC_DSR_ESDN","Albania",17
2011,"VC_DSR_ESDN","Albania",6
2012,"VC_DSR_ESDN","Albania",20
2013,"VC_DSR_ESDN","Albania",1
2014,"VC_DSR_ESDN","Albania",1
2015,"VC_DSR_ESDN","Albania",13
2016,"VC_DSR_ESDN","Albania",2
2018,"VC_DSR_ESDN","Albania",0
2019,"VC_DSR_ESDN","Albania",2
2020,"VC_DSR_ESDN","Albania",2
2015,"VC_DSR_ESDN","Australia",85
2016,"VC_DSR_ESDN","Australia",13
2017,"VC_DSR_ESDN","Australia",226
2018,"VC_DSR_ESDN","Australia",197
2019,"VC_DSR_ESDN","Australia",1461
2020,"VC_DSR_ESDN","Australia",917
2021,"VC_DSR_ESDN","Australia",6245
2018,"VC_DSR_ESDN","Austria",3
2019,"VC_DSR_ESDN","Austria",41
2020,"VC_DSR_ESDN","Austria",8
2018,"VC_DSR_ESDN","Armenia",0
2019,"VC_DSR_ESDN","Armenia",0
2020,"VC_DSR_ESDN","Armenia",0
2021,"VC_DSR_ESDN","Armenia",0
2005,"VC_DSR_ESDN","Bulgaria",17
2006,"VC_DSR_ESDN","Bulgaria",0
2007,"VC_DSR_ESDN","Bulgaria",4
2008,"VC_DSR_ESDN","Bulgaria",2
2009,"VC_DSR_ESDN","Bulgaria",0
2010,"VC_DSR_ESDN","Bulgaria",2
2011,"VC_DSR_ESDN","Bulgaria",0
2012,"VC_DSR_ESDN","Bulgaria",5
2013,"VC_DSR_ESDN","Bulgaria",1
2014,"VC_DSR_ESDN","Bulgaria",4
2015,"VC_DSR_ESDN","Bulgaria",9
2016,"VC_DSR_ESDN","Bulgaria",3
2017,"VC_DSR_ESDN","Bulgaria",10
2018,"VC_DSR_ESDN","Bulgaria",7
2019,"VC_DSR_ESDN","Bulgaria",0
2020,"VC_DSR_ESDN","Bulgaria",8
2015,"VC_DSR_ESDN","Belarus",0
2016,"VC_DSR_ESDN","Belarus",0
2017,"VC_DSR_ESDN","Belarus",0
2018,"VC_DSR_ESDN","Belarus",0
2019,"VC_DSR_ESDN","Belarus",0
2020,"VC_DSR_ESDN","Belarus",0
2021,"VC_DSR_ESDN","Belarus",0
2009,"VC_DSR_ESDN","Chile",0
2013,"VC_DSR_ESDN","Chile",0
2018,"VC_DSR_ESDN","Chile",0
2019,"VC_DSR_ESDN","Chile",0
2020,"VC_DSR_ESDN","Chile",358
2005,"VC_DSR_ESDN","Colombia",51
2006,"VC_DSR_ESDN","Colombia",57
2007,"VC_DSR_ESDN","Colombia",35
2008,"VC_DSR_ESDN","Colombia",63
2009,"VC_DSR_ESDN","Colombia",44
2010,"VC_DSR_ESDN","Colombia",172
2011,"VC_DSR_ESDN","Colombia",142
2012,"VC_DSR_ESDN","Colombia",227
2013,"VC_DSR_ESDN","Colombia",117
2014,"VC_DSR_ESDN","Colombia",98
2015,"VC_DSR_ESDN","Colombia",128
2016,"VC_DSR_ESDN","Colombia",108
2017,"VC_DSR_ESDN","Colombia",112
2018,"VC_DSR_ESDN","Colombia",102
2019,"VC_DSR_ESDN","Colombia",367
2020,"VC_DSR_ESDN","Colombia",0
2005,"VC_DSR_ESDN","Costa Rica",3
2006,"VC_DSR_ESDN","Costa Rica",1
2007,"VC_DSR_ESDN","Costa Rica",3
2008,"VC_DSR_ESDN","Costa Rica",0
2009,"VC_DSR_ESDN","Costa Rica",1
2010,"VC_DSR_ESDN","Costa Rica",1
2011,"VC_DSR_ESDN","Costa Rica",0
2012,"VC_DSR_ESDN","Costa Rica",1
2013,"VC_DSR_ESDN","Costa Rica",0
2014,"VC_DSR_ESDN","Costa Rica",0
2015,"VC_DSR_ESDN","Costa Rica",1
2016,"VC_DSR_ESDN","Costa Rica",1
2017,"VC_DSR_ESDN","Costa Rica",1
2018,"VC_DSR_ESDN","Costa Rica",1
2019,"VC_DSR_ESDN","Costa Rica",0
2020,"VC_DSR_ESDN","Costa Rica",0
2021,"VC_DSR_ESDN","Costa Rica",41
2015,"VC_DSR_ESDN","Czechia",0
2016,"VC_DSR_ESDN","Czechia",0
2017,"VC_DSR_ESDN","Czechia",0
2005,"VC_DSR_ESDN","Estonia",0
2006,"VC_DSR_ESDN","Estonia",0
2007,"VC_DSR_ESDN","Estonia",0
2008,"VC_DSR_ESDN","Estonia",0
2009,"VC_DSR_ESDN","Estonia",0
2010,"VC_DSR_ESDN","Estonia",0
2011,"VC_DSR_ESDN","Estonia",0
2012,"VC_DSR_ESDN","Estonia",0
2013,"VC_DSR_ESDN","Estonia",0
2014,"VC_DSR_ESDN","Estonia",0
2015,"VC_DSR_ESDN","Estonia",0
2016,"VC_DSR_ESDN","Estonia",0
2017,"VC_DSR_ESDN","Estonia",0
2018,"VC_DSR_ESDN","Estonia",0
2015,"VC_DSR_ESDN","Finland",0
2016,"VC_DSR_ESDN","Finland",0
2017,"VC_DSR_ESDN","Finland",0
2018,"VC_DSR_ESDN","Finland",0
2019,"VC_DSR_ESDN","Finland",0
2015,"VC_DSR_ESDN","Georgia",0
2016,"VC_DSR_ESDN","Georgia",0
2016,"VC_DSR_ESDN","Mexico",108
2018,"VC_DSR_ESDN","Mexico",12
2019,"VC_DSR_ESDN","Mexico",0
2020,"VC_DSR_ESDN","Mexico",0
2020,"VC_DSR_ESDN","Montenegro",1
2021,"VC_DSR_ESDN","Montenegro",0
2017,"VC_DSR_ESDN","Netherlands (Kingdom of the)",0
2019,"VC_DSR_ESDN","Netherlands (Kingdom of the)",0
2015,"VC_DSR_ESDN","New Zealand",0
2016,"VC_DSR_ESDN","New Zealand",262
2017,"VC_DSR_ESDN","New Zealand",187
2018,"VC_DSR_ESDN","New Zealand",147
2019,"VC_DSR_ESDN","New Zealand",2
2020,"VC_DSR_ESDN","New Zealand",4
2017,"VC_DSR_ESDN","Norway",0
2021,"VC_DSR_ESDN","Portugal",0
2019,"VC_DSR_ESDN","Romania",0
2020,"VC_DSR_ESDN","Romania",0
2021,"VC_DSR_ESDN","Romania",0
