Year,SeriesCode,GeoAreaName,Value
2005,"VC_DSR_HFDN","Romania",1802
2006,"VC_DSR_HFDN","Romania",12006
2007,"VC_DSR_HFDN","Romania",7
2008,"VC_DSR_HFDN","Romania",58011
2009,"VC_DSR_HFDN","Romania",613
2010,"VC_DSR_HFDN","Romania",517
2011,"VC_DSR_HFDN","Romania",9
2012,"VC_DSR_HFDN","Romania",10911
2013,"VC_DSR_HFDN","Romania",10
2014,"VC_DSR_HFDN","Romania",8
2015,"VC_DSR_HFDN","Romania",6301
2016,"VC_DSR_HFDN","Romania",9
2017,"VC_DSR_HFDN","Romania",87413
2018,"VC_DSR_HFDN","Romania",33
2019,"VC_DSR_HFDN","Romania",6
2020,"VC_DSR_HFDN","Romania",8
2021,"VC_DSR_HFDN","Romania",1
2020,"VC_DSR_HFDN","Serbia",1
2021,"VC_DSR_HFDN","Serbia",0
2005,"VC_DSR_HFDN","Viet Nam",0
2006,"VC_DSR_HFDN","Viet Nam",0
2007,"VC_DSR_HFDN","Viet Nam",0
2008,"VC_DSR_HFDN","Viet Nam",0
2009,"VC_DSR_HFDN","Viet Nam",0
2010,"VC_DSR_HFDN","Viet Nam",0
2019,"VC_DSR_HFDN","Viet Nam",0
2019,"VC_DSR_HFDN","Slovenia",2
2020,"VC_DSR_HFDN","Slovenia",0
2021,"VC_DSR_HFDN","Slovenia",0
2015,"VC_DSR_HFDN","Sweden",0
2016,"VC_DSR_HFDN","Sweden",0
2017,"VC_DSR_HFDN","Sweden",0
2018,"VC_DSR_HFDN","Sweden",0
2019,"VC_DSR_HFDN","Sweden",0
2020,"VC_DSR_HFDN","Sweden",0
2005,"VC_DSR_HFDN","Switzerland",588
2005,"VC_DSR_HFDN","Albania",0
2006,"VC_DSR_HFDN","Albania",0
2007,"VC_DSR_HFDN","Albania",0
2008,"VC_DSR_HFDN","Albania",0
2009,"VC_DSR_HFDN","Albania",4
2010,"VC_DSR_HFDN","Albania",2
2011,"VC_DSR_HFDN","Albania",1
2012,"VC_DSR_HFDN","Albania",1
2013,"VC_DSR_HFDN","Albania",0
2014,"VC_DSR_HFDN","Albania",0
2015,"VC_DSR_HFDN","Albania",0
2016,"VC_DSR_HFDN","Albania",1
2018,"VC_DSR_HFDN","Albania",1
2019,"VC_DSR_HFDN","Albania",1
2020,"VC_DSR_HFDN","Albania",0
2015,"VC_DSR_HFDN","Australia",0
2016,"VC_DSR_HFDN","Australia",0
2017,"VC_DSR_HFDN","Australia",0
2018,"VC_DSR_HFDN","Australia",0
2020,"VC_DSR_HFDN","Australia",0
2017,"VC_DSR_HFDN","Armenia",0
2018,"VC_DSR_HFDN","Armenia",0
2020,"VC_DSR_HFDN","Armenia",1
2021,"VC_DSR_HFDN","Armenia",0
2007,"VC_DSR_HFDN","Bulgaria",3
2008,"VC_DSR_HFDN","Bulgaria",0
2010,"VC_DSR_HFDN","Bulgaria",2
2011,"VC_DSR_HFDN","Bulgaria",0
2012,"VC_DSR_HFDN","Bulgaria",8
2013,"VC_DSR_HFDN","Bulgaria",0
2014,"VC_DSR_HFDN","Bulgaria",1
2015,"VC_DSR_HFDN","Bulgaria",3
2016,"VC_DSR_HFDN","Bulgaria",2
2019,"VC_DSR_HFDN","Bulgaria",2
2020,"VC_DSR_HFDN","Bulgaria",0
2016,"VC_DSR_HFDN","Belarus",0
2017,"VC_DSR_HFDN","Belarus",0
2018,"VC_DSR_HFDN","Belarus",0
2019,"VC_DSR_HFDN","Belarus",0
2009,"VC_DSR_HFDN","Chile",0
2013,"VC_DSR_HFDN","Chile",0
2016,"VC_DSR_HFDN","Chile",1
2017,"VC_DSR_HFDN","Chile",1
2018,"VC_DSR_HFDN","Chile",0
2019,"VC_DSR_HFDN","Chile",0
2005,"VC_DSR_HFDN","Colombia",0
2009,"VC_DSR_HFDN","Colombia",0
2016,"VC_DSR_HFDN","Colombia",0
2020,"VC_DSR_HFDN","Colombia",5
2021,"VC_DSR_HFDN","Colombia",11
2005,"VC_DSR_HFDN","Costa Rica",1
2007,"VC_DSR_HFDN","Costa Rica",0
2008,"VC_DSR_HFDN","Costa Rica",0
2009,"VC_DSR_HFDN","Costa Rica",3
2010,"VC_DSR_HFDN","Costa Rica",2
2011,"VC_DSR_HFDN","Costa Rica",0
2012,"VC_DSR_HFDN","Costa Rica",3
2013,"VC_DSR_HFDN","Costa Rica",0
2014,"VC_DSR_HFDN","Costa Rica",0
2015,"VC_DSR_HFDN","Costa Rica",0
2016,"VC_DSR_HFDN","Costa Rica",6
2017,"VC_DSR_HFDN","Costa Rica",6
2018,"VC_DSR_HFDN","Costa Rica",0
2019,"VC_DSR_HFDN","Costa Rica",0
2020,"VC_DSR_HFDN","Costa Rica",0
2021,"VC_DSR_HFDN","Costa Rica",3
2017,"VC_DSR_HFDN","Croatia",0
2015,"VC_DSR_HFDN","Czechia",0
2016,"VC_DSR_HFDN","Czechia",0
2017,"VC_DSR_HFDN","Czechia",0
2005,"VC_DSR_HFDN","Estonia",0
2006,"VC_DSR_HFDN","Estonia",0
2007,"VC_DSR_HFDN","Estonia",0
2008,"VC_DSR_HFDN","Estonia",0
2009,"VC_DSR_HFDN","Estonia",0
2010,"VC_DSR_HFDN","Estonia",0
2011,"VC_DSR_HFDN","Estonia",0
2012,"VC_DSR_HFDN","Estonia",0
2013,"VC_DSR_HFDN","Estonia",0
2014,"VC_DSR_HFDN","Estonia",0
2015,"VC_DSR_HFDN","Estonia",0
2016,"VC_DSR_HFDN","Estonia",0
2017,"VC_DSR_HFDN","Estonia",0
2018,"VC_DSR_HFDN","Estonia",0
2015,"VC_DSR_HFDN","Finland",0
2016,"VC_DSR_HFDN","Finland",0
2017,"VC_DSR_HFDN","Finland",0
2018,"VC_DSR_HFDN","Finland",0
2019,"VC_DSR_HFDN","Finland",0
2015,"VC_DSR_HFDN","Georgia",1
2016,"VC_DSR_HFDN","Georgia",0
2017,"VC_DSR_HFDN","Georgia",0
2018,"VC_DSR_HFDN","Georgia",0
2019,"VC_DSR_HFDN","Georgia",0
2021,"VC_DSR_HFDN","Georgia",0
2016,"VC_DSR_HFDN","Ireland",0
2015,"VC_DSR_HFDN","Japan",9
2016,"VC_DSR_HFDN","Japan",140
2017,"VC_DSR_HFDN","Japan",1
2019,"VC_DSR_HFDN","Japan",165
2005,"VC_DSR_HFDN","Kazakhstan",0
2006,"VC_DSR_HFDN","Kazakhstan",0
2007,"VC_DSR_HFDN","Kazakhstan",0
2008,"VC_DSR_HFDN","Kazakhstan",0
2009,"VC_DSR_HFDN","Kazakhstan",0
2010,"VC_DSR_HFDN","Kazakhstan",0
2011,"VC_DSR_HFDN","Kazakhstan",0
2012,"VC_DSR_HFDN","Kazakhstan",0
2013,"VC_DSR_HFDN","Kazakhstan",0
2014,"VC_DSR_HFDN","Kazakhstan",0
2015,"VC_DSR_HFDN","Kazakhstan",0
2016,"VC_DSR_HFDN","Kazakhstan",0
2017,"VC_DSR_HFDN","Kazakhstan",7
2018,"VC_DSR_HFDN","Kazakhstan",3
2019,"VC_DSR_HFDN","Kazakhstan",1
2020,"VC_DSR_HFDN","Kazakhstan",3
2017,"VC_DSR_HFDN","Republic of Korea",0
2015,"VC_DSR_HFDN","Kyrgyzstan",16
2016,"VC_DSR_HFDN","Kyrgyzstan",8
2017,"VC_DSR_HFDN","Kyrgyzstan",11
2018,"VC_DSR_HFDN","Kyrgyzstan",3
2019,"VC_DSR_HFDN","Kyrgyzstan",1
2020,"VC_DSR_HFDN","Lithuania",0
2015,"VC_DSR_HFDN","Mexico",399
2017,"VC_DSR_HFDN","Mexico",189
2018,"VC_DSR_HFDN","Mexico",30
2019,"VC_DSR_HFDN","Mexico",19
2020,"VC_DSR_HFDN","Mexico",10
