Year,SeriesCode,GeoAreaName,Value
2019,"SG_SCP_CNTRY","Albania",1
2022,"SG_SCP_CNTRY","Australia",1
2021,"SG_SCP_CNTRY","Belgium",1
2021,"SG_SCP_CNTRY","Bulgaria",1
2021,"SG_SCP_CNTRY","Chile",1
2019,"SG_SCP_CNTRY","China",1
2019,"SG_SCP_CNTRY","Colombia",1
2021,"SG_SCP_CNTRY","Costa Rica",1
2021,"SG_SCP_CNTRY","Croatia",1
2019,"SG_SCP_CNTRY","Czechia",1
2020,"SG_SCP_CNTRY","Finland",1
2022,"SG_SCP_CNTRY","France",1
2021,"SG_SCP_CNTRY","Germany",1
2022,"SG_SCP_CNTRY","Hungary",1
2019,"SG_SCP_CNTRY","India",1
2019,"SG_SCP_CNTRY","Republic of Korea",1
2020,"SG_SCP_CNTRY","Latvia",1
2019,"SG_SCP_CNTRY","Lithuania",1
2020,"SG_SCP_CNTRY","Mexico",1
2020,"SG_SCP_CNTRY","Netherlands (Kingdom of the)",1
2022,"SG_SCP_CNTRY","Norway",1
2020,"SG_SCP_CNTRY","Poland",1
2020,"SG_SCP_CNTRY","Romania",1
2022,"SG_SCP_CNTRY","Serbia",1
2021,"SG_SCP_CNTRY","Slovakia",1
2021,"SG_SCP_CNTRY","Slovenia",1
2022,"SG_SCP_CNTRY","Sweden",1
2022,"SG_SCP_CNTRY","Switzerland",1
2020,"SG_SCP_CNTRY","United Arab Emirates",1
2022,"SG_SCP_CNTRY","Türkiye",1
2021,"SG_SCP_CNTRY","Ukraine",1
2021,"SG_SCP_CNTRY","United Kingdom of Great Britain and Northern Ireland",1
2021,"SG_SCP_CNTRY","United Kingdom of Great Britain and Northern Ireland",1
