Year,SeriesCode,GeoAreaName,Value
2020,"SG_HAZ_CMRMNMT","Austria",66.67
2020,"SG_HAZ_CMRMNMT","Armenia",66.67
2020,"SG_HAZ_CMRMNMT","Belgium",33.33
2020,"SG_HAZ_CMRMNMT","Bulgaria",66.67
2020,"SG_HAZ_CMRMNMT","Canada",66.67
2020,"SG_HAZ_CMRMNMT","Chile",66.67
2020,"SG_HAZ_CMRMNMT","China",66.67
2020,"SG_HAZ_CMRMNMT","Colombia",66.67
2020,"SG_HAZ_CMRMNMT","Costa Rica",66.67
2020,"SG_HAZ_CMRMNMT","Croatia",66.67
2020,"SG_HAZ_CMRMNMT","Czechia",33.33
2020,"SG_HAZ_CMRMNMT","Denmark",66.67
2020,"SG_HAZ_CMRMNMT","Estonia",66.67
2020,"SG_HAZ_CMRMNMT","Finland",66.67
2020,"SG_HAZ_CMRMNMT","France",66.67
2020,"SG_HAZ_CMRMNMT","Germany",33.33
2020,"SG_HAZ_CMRMNMT","Hungary",66.67
2020,"SG_HAZ_CMRMNMT","Iceland",33.33
2020,"SG_HAZ_CMRMNMT","India",33.33
2020,"SG_HAZ_CMRMNMT","Ireland",66.67
2020,"SG_HAZ_CMRMNMT","Japan",66.67
2020,"SG_HAZ_CMRMNMT","Latvia",66.67
2020,"SG_HAZ_CMRMNMT","Liechtenstein",66.67
2020,"SG_HAZ_CMRMNMT","Lithuania",66.67
2020,"SG_HAZ_CMRMNMT","Luxembourg",66.67
2020,"SG_HAZ_CMRMNMT","Mexico",66.67
2020,"SG_HAZ_CMRMNMT","Republic of Moldova",66.67
2020,"SG_HAZ_CMRMNMT","Montenegro",66.67
2020,"SG_HAZ_CMRMNMT","Netherlands (Kingdom of the)",66.67
2020,"SG_HAZ_CMRMNMT","Norway",33.33
2020,"SG_HAZ_CMRMNMT","Portugal",33.33
2020,"SG_HAZ_CMRMNMT","Romania",33.33
2020,"SG_HAZ_CMRMNMT","Slovakia",66.67
2020,"SG_HAZ_CMRMNMT","Viet Nam",66.67
2020,"SG_HAZ_CMRMNMT","Slovenia",66.67
2020,"SG_HAZ_CMRMNMT","Sweden",66.67
2020,"SG_HAZ_CMRMNMT","Switzerland",66.67
2020,"SG_HAZ_CMRMNMT","United Kingdom of Great Britain and Northern Ireland",66.67
2020,"SG_HAZ_CMRMNMT","United Kingdom of Great Britain and Northern Ireland",66.67
