Year,SeriesCode,GeoAreaName,Value
2005,"EN_EWT_COLLV","Austria",19296
2006,"EN_EWT_COLLV","Austria",62629
2007,"EN_EWT_COLLV","Austria",64525
2008,"EN_EWT_COLLV","Austria",74754
2009,"EN_EWT_COLLV","Austria",75562
2010,"EN_EWT_COLLV","Austria",74256
2011,"EN_EWT_COLLV","Austria",75464
2012,"EN_EWT_COLLV","Austria",77402
2013,"EN_EWT_COLLV","Austria",76835
2014,"EN_EWT_COLLV","Austria",77726
2015,"EN_EWT_COLLV","Austria",80246
2016,"EN_EWT_COLLV","Austria",84776
2017,"EN_EWT_COLLV","Austria",116475
2018,"EN_EWT_COLLV","Austria",116414
2005,"EN_EWT_COLLV","Belgium",68150
2006,"EN_EWT_COLLV","Belgium",76187
2007,"EN_EWT_COLLV","Belgium",81829
2008,"EN_EWT_COLLV","Belgium",89109
2009,"EN_EWT_COLLV","Belgium",102977
2010,"EN_EWT_COLLV","Belgium",105556
2011,"EN_EWT_COLLV","Belgium",114981
2012,"EN_EWT_COLLV","Belgium",116458
2013,"EN_EWT_COLLV","Belgium",120365
2014,"EN_EWT_COLLV","Belgium",116345
2015,"EN_EWT_COLLV","Belgium",118545
2016,"EN_EWT_COLLV","Belgium",127680
2017,"EN_EWT_COLLV","Belgium",124011
2018,"EN_EWT_COLLV","Belgium",138218
2007,"EN_EWT_COLLV","Bulgaria",22166
2008,"EN_EWT_COLLV","Bulgaria",40374
2009,"EN_EWT_COLLV","Bulgaria",33423
2010,"EN_EWT_COLLV","Bulgaria",45056
2011,"EN_EWT_COLLV","Bulgaria",40442
2012,"EN_EWT_COLLV","Bulgaria",38431
2013,"EN_EWT_COLLV","Bulgaria",35162
2014,"EN_EWT_COLLV","Bulgaria",42310
2015,"EN_EWT_COLLV","Bulgaria",61987
2016,"EN_EWT_COLLV","Bulgaria",61481
2017,"EN_EWT_COLLV","Bulgaria",54493
2018,"EN_EWT_COLLV","Bulgaria",52616
2020,"EN_EWT_COLLV","Belarus",29.1
2021,"EN_EWT_COLLV","Belarus",23.9
2011,"EN_EWT_COLLV","Croatia",17518
2012,"EN_EWT_COLLV","Croatia",16187
2013,"EN_EWT_COLLV","Croatia",15025
2014,"EN_EWT_COLLV","Croatia",15488
2015,"EN_EWT_COLLV","Croatia",23758
2016,"EN_EWT_COLLV","Croatia",38815
2017,"EN_EWT_COLLV","Croatia",36434
2018,"EN_EWT_COLLV","Croatia",41523
2005,"EN_EWT_COLLV","Cyprus",3487
2006,"EN_EWT_COLLV","Cyprus",4510
2007,"EN_EWT_COLLV","Cyprus",2513
2008,"EN_EWT_COLLV","Cyprus",2397
2009,"EN_EWT_COLLV","Cyprus",2297
2010,"EN_EWT_COLLV","Cyprus",2609
2011,"EN_EWT_COLLV","Cyprus",2725
2012,"EN_EWT_COLLV","Cyprus",2514
2013,"EN_EWT_COLLV","Cyprus",2283
2014,"EN_EWT_COLLV","Cyprus",2292
2015,"EN_EWT_COLLV","Cyprus",2963
2016,"EN_EWT_COLLV","Cyprus",2692
2017,"EN_EWT_COLLV","Cyprus",4696
2018,"EN_EWT_COLLV","Cyprus",3318
2007,"EN_EWT_COLLV","Czechia",33396
2008,"EN_EWT_COLLV","Czechia",45290
2009,"EN_EWT_COLLV","Czechia",58206
2010,"EN_EWT_COLLV","Czechia",52989
2011,"EN_EWT_COLLV","Czechia",55438
2012,"EN_EWT_COLLV","Czechia",53685
2013,"EN_EWT_COLLV","Czechia",54215
2014,"EN_EWT_COLLV","Czechia",58585
2015,"EN_EWT_COLLV","Czechia",74288
2016,"EN_EWT_COLLV","Czechia",107081
2017,"EN_EWT_COLLV","Czechia",106656
2018,"EN_EWT_COLLV","Czechia",93083
2006,"EN_EWT_COLLV","Denmark",60245
2007,"EN_EWT_COLLV","Denmark",98308
2008,"EN_EWT_COLLV","Denmark",77627
2009,"EN_EWT_COLLV","Denmark",84399
2010,"EN_EWT_COLLV","Denmark",82931
2011,"EN_EWT_COLLV","Denmark",84319
2012,"EN_EWT_COLLV","Denmark",76200
