Year,SeriesCode,GeoAreaName,Value
2014,"EN_HAZ_TRTDISV","Albania",0
2000,"EN_HAZ_TRTDISV","Azerbaijan",26783
2001,"EN_HAZ_TRTDISV","Azerbaijan",4927
2002,"EN_HAZ_TRTDISV","Azerbaijan",3342
2003,"EN_HAZ_TRTDISV","Azerbaijan",11492
2004,"EN_HAZ_TRTDISV","Azerbaijan",105165
2005,"EN_HAZ_TRTDISV","Azerbaijan",5571
2006,"EN_HAZ_TRTDISV","Azerbaijan",1435482
2007,"EN_HAZ_TRTDISV","Azerbaijan",7677
2008,"EN_HAZ_TRTDISV","Azerbaijan",69180
2009,"EN_HAZ_TRTDISV","Azerbaijan",173658.0938
2010,"EN_HAZ_TRTDISV","Azerbaijan",151291.9062
2011,"EN_HAZ_TRTDISV","Azerbaijan",138281.5
2012,"EN_HAZ_TRTDISV","Azerbaijan",205211.2031
2013,"EN_HAZ_TRTDISV","Azerbaijan",152446
2014,"EN_HAZ_TRTDISV","Azerbaijan",529106.5
2015,"EN_HAZ_TRTDISV","Azerbaijan",382998
2016,"EN_HAZ_TRTDISV","Azerbaijan",707768
2017,"EN_HAZ_TRTDISV","Azerbaijan",216837
2018,"EN_HAZ_TRTDISV","Azerbaijan",283600
2019,"EN_HAZ_TRTDISV","Azerbaijan",254450
2020,"EN_HAZ_TRTDISV","Azerbaijan",296370
2021,"EN_HAZ_TRTDISV","Azerbaijan",299042
2004,"EN_HAZ_TRTDISV","Austria",861967
2006,"EN_HAZ_TRTDISV","Austria",335042
2008,"EN_HAZ_TRTDISV","Austria",395221
2010,"EN_HAZ_TRTDISV","Austria",401082
2012,"EN_HAZ_TRTDISV","Austria",338860
2014,"EN_HAZ_TRTDISV","Austria",440136
2016,"EN_HAZ_TRTDISV","Austria",448518
2018,"EN_HAZ_TRTDISV","Austria",458489
2020,"EN_HAZ_TRTDISV","Austria",402927
2000,"EN_HAZ_TRTDISV","Armenia",381578
2001,"EN_HAZ_TRTDISV","Armenia",375500
2002,"EN_HAZ_TRTDISV","Armenia",377900
2003,"EN_HAZ_TRTDISV","Armenia",344095
2004,"EN_HAZ_TRTDISV","Armenia",351400
2005,"EN_HAZ_TRTDISV","Armenia",346325
2006,"EN_HAZ_TRTDISV","Armenia",352279
2007,"EN_HAZ_TRTDISV","Armenia",362275
2008,"EN_HAZ_TRTDISV","Armenia",437258.53125
2009,"EN_HAZ_TRTDISV","Armenia",441023.5625
2010,"EN_HAZ_TRTDISV","Armenia",435397.78125
2011,"EN_HAZ_TRTDISV","Armenia",462895.8125
2012,"EN_HAZ_TRTDISV","Armenia",470505.6875
2013,"EN_HAZ_TRTDISV","Armenia",579049.8125
2014,"EN_HAZ_TRTDISV","Armenia",576419.375
2015,"EN_HAZ_TRTDISV","Armenia",555076.5625
2016,"EN_HAZ_TRTDISV","Armenia",615470.625
2017,"EN_HAZ_TRTDISV","Armenia",537813.6875
2018,"EN_HAZ_TRTDISV","Armenia",510858.5
2019,"EN_HAZ_TRTDISV","Armenia",570537
2004,"EN_HAZ_TRTDISV","Belgium",3310427
2006,"EN_HAZ_TRTDISV","Belgium",1760728
2008,"EN_HAZ_TRTDISV","Belgium",2200008
2010,"EN_HAZ_TRTDISV","Belgium",3487665
2012,"EN_HAZ_TRTDISV","Belgium",1703615
2014,"EN_HAZ_TRTDISV","Belgium",2101500
2016,"EN_HAZ_TRTDISV","Belgium",2449731
2018,"EN_HAZ_TRTDISV","Belgium",2713106
2020,"EN_HAZ_TRTDISV","Belgium",2284076
2004,"EN_HAZ_TRTDISV","Bulgaria",12090994
2006,"EN_HAZ_TRTDISV","Bulgaria",13474505
2008,"EN_HAZ_TRTDISV","Bulgaria",13037033
2010,"EN_HAZ_TRTDISV","Bulgaria",13561160
2012,"EN_HAZ_TRTDISV","Bulgaria",13389620
2014,"EN_HAZ_TRTDISV","Bulgaria",12176438
2016,"EN_HAZ_TRTDISV","Bulgaria",13177710
2018,"EN_HAZ_TRTDISV","Bulgaria",13557932
2020,"EN_HAZ_TRTDISV","Bulgaria",13791874
2005,"EN_HAZ_TRTDISV","Belarus",296800
2006,"EN_HAZ_TRTDISV","Belarus",323900
2007,"EN_HAZ_TRTDISV","Belarus",420400
2008,"EN_HAZ_TRTDISV","Belarus",537900
2009,"EN_HAZ_TRTDISV","Belarus",809800
2010,"EN_HAZ_TRTDISV","Belarus",957500
2011,"EN_HAZ_TRTDISV","Belarus",968400
2012,"EN_HAZ_TRTDISV","Belarus",1477060
2013,"EN_HAZ_TRTDISV","Belarus",1237640
2014,"EN_HAZ_TRTDISV","Belarus",1455060
2015,"EN_HAZ_TRTDISV","Belarus",1013570
2016,"EN_HAZ_TRTDISV","Belarus",1351350
2017,"EN_HAZ_TRTDISV","Belarus",1208420
2018,"EN_HAZ_TRTDISV","Belarus",2194923
2019,"EN_HAZ_TRTDISV","Belarus",1712710
2020,"EN_HAZ_TRTDISV","Belarus",1911507
2021,"EN_HAZ_TRTDISV","Belarus",1664040
2000,"EN_HAZ_TRTDISV","China",5870000
2001,"EN_HAZ_TRTDISV","China",6710000
2002,"EN_HAZ_TRTDISV","China",6330000
2003,"EN_HAZ_TRTDISV","China",8020000
2004,"EN_HAZ_TRTDISV","China",6780000
2005,"EN_HAZ_TRTDISV","China",8350000
2006,"EN_HAZ_TRTDISV","China",8550000
2007,"EN_HAZ_TRTDISV","China",9960000
2008,"EN_HAZ_TRTDISV","China",12080000
2009,"EN_HAZ_TRTDISV","China",12590000
2010,"EN_HAZ_TRTDISV","China",14895000
2011,"EN_HAZ_TRTDISV","China",26895300
2012,"EN_HAZ_TRTDISV","China",27028500
2013,"EN_HAZ_TRTDISV","China",24012900
2014,"EN_HAZ_TRTDISV","China",29908200
2015,"EN_HAZ_TRTDISV","China",32237000
2016,"EN_HAZ_TRTDISV","China",43172000
2017,"EN_HAZ_TRTDISV","China",59727000
2018,"EN_HAZ_TRTDISV","China",67885000
2019,"EN_HAZ_TRTDISV","China",75393000
2020,"EN_HAZ_TRTDISV","China",76304800
2004,"EN_HAZ_TRTDISV","Croatia",42636
2006,"EN_HAZ_TRTDISV","Croatia",623383
2008,"EN_HAZ_TRTDISV","Croatia",18364
2010,"EN_HAZ_TRTDISV","Croatia",68554
2012,"EN_HAZ_TRTDISV","Croatia",73404
2014,"EN_HAZ_TRTDISV","Croatia",66055
2016,"EN_HAZ_TRTDISV","Croatia",75892
2018,"EN_HAZ_TRTDISV","Croatia",80637
2020,"EN_HAZ_TRTDISV","Croatia",105625
2004,"EN_HAZ_TRTDISV","Cyprus",65047
2006,"EN_HAZ_TRTDISV","Cyprus",16651
2008,"EN_HAZ_TRTDISV","Cyprus",23290
2010,"EN_HAZ_TRTDISV","Cyprus",30779
2012,"EN_HAZ_TRTDISV","Cyprus",13277
2014,"EN_HAZ_TRTDISV","Cyprus",157243
2016,"EN_HAZ_TRTDISV","Cyprus",141504
2018,"EN_HAZ_TRTDISV","Cyprus",210645
2020,"EN_HAZ_TRTDISV","Cyprus",22434
2004,"EN_HAZ_TRTDISV","Czechia",648497
2006,"EN_HAZ_TRTDISV","Czechia",572497
2008,"EN_HAZ_TRTDISV","Czechia",834798
2010,"EN_HAZ_TRTDISV","Czechia",831600
2012,"EN_HAZ_TRTDISV","Czechia",753402
2014,"EN_HAZ_TRTDISV","Czechia",597309
2016,"EN_HAZ_TRTDISV","Czechia",529490
2018,"EN_HAZ_TRTDISV","Czechia",615884
2020,"EN_HAZ_TRTDISV","Czechia",629832
2004,"EN_HAZ_TRTDISV","Denmark",338334
2006,"EN_HAZ_TRTDISV","Denmark",375562
2008,"EN_HAZ_TRTDISV","Denmark",416095
2010,"EN_HAZ_TRTDISV","Denmark",1073218
2012,"EN_HAZ_TRTDISV","Denmark",1206582
2014,"EN_HAZ_TRTDISV","Denmark",1546812
2016,"EN_HAZ_TRTDISV","Denmark",1884932
2018,"EN_HAZ_TRTDISV","Denmark",1774584
2020,"EN_HAZ_TRTDISV","Denmark",1102204
2004,"EN_HAZ_TRTDISV","Estonia",7180381
2006,"EN_HAZ_TRTDISV","Estonia",6864430
2008,"EN_HAZ_TRTDISV","Estonia",7708801
2010,"EN_HAZ_TRTDISV","Estonia",8928558
2012,"EN_HAZ_TRTDISV","Estonia",9131275
2014,"EN_HAZ_TRTDISV","Estonia",10315094
2016,"EN_HAZ_TRTDISV","Estonia",9590378
2018,"EN_HAZ_TRTDISV","Estonia",10729229
2020,"EN_HAZ_TRTDISV","Estonia",1474556
2004,"EN_HAZ_TRTDISV","Finland",2229060
2006,"EN_HAZ_TRTDISV","Finland",2172452
2008,"EN_HAZ_TRTDISV","Finland",2178038
2010,"EN_HAZ_TRTDISV","Finland",1365767
2012,"EN_HAZ_TRTDISV","Finland",1411308
2014,"EN_HAZ_TRTDISV","Finland",1915719
2016,"EN_HAZ_TRTDISV","Finland",2003904
2018,"EN_HAZ_TRTDISV","Finland",1724057
2020,"EN_HAZ_TRTDISV","Finland",3039892
2004,"EN_HAZ_TRTDISV","France",6772000
2006,"EN_HAZ_TRTDISV","France",6689820
2008,"EN_HAZ_TRTDISV","France",6853136
2010,"EN_HAZ_TRTDISV","France",8533645
2012,"EN_HAZ_TRTDISV","France",8841003
2014,"EN_HAZ_TRTDISV","France",7605065
2016,"EN_HAZ_TRTDISV","France",7165230
2018,"EN_HAZ_TRTDISV","France",9522197
2020,"EN_HAZ_TRTDISV","France",8118893
2004,"EN_HAZ_TRTDISV","Germany",20556732
2006,"EN_HAZ_TRTDISV","Germany",21743227
2008,"EN_HAZ_TRTDISV","Germany",23823844
2010,"EN_HAZ_TRTDISV","Germany",19046941
2012,"EN_HAZ_TRTDISV","Germany",21098397
2014,"EN_HAZ_TRTDISV","Germany",20521107
2016,"EN_HAZ_TRTDISV","Germany",21499052
2018,"EN_HAZ_TRTDISV","Germany",22419164
2020,"EN_HAZ_TRTDISV","Germany",21407959
2004,"EN_HAZ_TRTDISV","Greece",292650
2006,"EN_HAZ_TRTDISV","Greece",186785
2008,"EN_HAZ_TRTDISV","Greece",157014
2010,"EN_HAZ_TRTDISV","Greece",108202
2012,"EN_HAZ_TRTDISV","Greece",108104
2014,"EN_HAZ_TRTDISV","Greece",115015
2016,"EN_HAZ_TRTDISV","Greece",419407
2018,"EN_HAZ_TRTDISV","Greece",499943
2020,"EN_HAZ_TRTDISV","Greece",468674
2004,"EN_HAZ_TRTDISV","Hungary",325032
2006,"EN_HAZ_TRTDISV","Hungary",1179859
2008,"EN_HAZ_TRTDISV","Hungary",449610
2010,"EN_HAZ_TRTDISV","Hungary",373999
2012,"EN_HAZ_TRTDISV","Hungary",376811
2014,"EN_HAZ_TRTDISV","Hungary",372580
2016,"EN_HAZ_TRTDISV","Hungary",341660
2018,"EN_HAZ_TRTDISV","Hungary",384006
2020,"EN_HAZ_TRTDISV","Hungary",421202
2004,"EN_HAZ_TRTDISV","Iceland",11000
2008,"EN_HAZ_TRTDISV","Iceland",135100
2010,"EN_HAZ_TRTDISV","Iceland",7926
2012,"EN_HAZ_TRTDISV","Iceland",11639
2014,"EN_HAZ_TRTDISV","Iceland",36250
2016,"EN_HAZ_TRTDISV","Iceland",47852
2018,"EN_HAZ_TRTDISV","Iceland",27020
2016,"EN_HAZ_TRTDISV","India",4649177.344
2017,"EN_HAZ_TRTDISV","India",7174779
2018,"EN_HAZ_TRTDISV","India",6941838.91
2019,"EN_HAZ_TRTDISV","India",8181049
2004,"EN_HAZ_TRTDISV","Ireland",122734
2006,"EN_HAZ_TRTDISV","Ireland",190951
2008,"EN_HAZ_TRTDISV","Ireland",192782
2010,"EN_HAZ_TRTDISV","Ireland",266742
2012,"EN_HAZ_TRTDISV","Ireland",69111
2014,"EN_HAZ_TRTDISV","Ireland",86518
2016,"EN_HAZ_TRTDISV","Ireland",78411
2018,"EN_HAZ_TRTDISV","Ireland",115085
2004,"EN_HAZ_TRTDISV","Italy",2885110
2006,"EN_HAZ_TRTDISV","Italy",2926159
2008,"EN_HAZ_TRTDISV","Italy",3277345
2010,"EN_HAZ_TRTDISV","Italy",3106766
2012,"EN_HAZ_TRTDISV","Italy",3258267
2014,"EN_HAZ_TRTDISV","Italy",3574305
2016,"EN_HAZ_TRTDISV","Italy",3648542
2018,"EN_HAZ_TRTDISV","Italy",4531197
2020,"EN_HAZ_TRTDISV","Italy",4412859
2004,"EN_HAZ_TRTDISV","Kazakhstan",28404118
2005,"EN_HAZ_TRTDISV","Kazakhstan",17450440
2006,"EN_HAZ_TRTDISV","Kazakhstan",60856496
2007,"EN_HAZ_TRTDISV","Kazakhstan",283727872
2008,"EN_HAZ_TRTDISV","Kazakhstan",369855040
2009,"EN_HAZ_TRTDISV","Kazakhstan",106067768
2010,"EN_HAZ_TRTDISV","Kazakhstan",85282656
2011,"EN_HAZ_TRTDISV","Kazakhstan",108102072
2012,"EN_HAZ_TRTDISV","Kazakhstan",126843584
2013,"EN_HAZ_TRTDISV","Kazakhstan",175721440
2014,"EN_HAZ_TRTDISV","Kazakhstan",131607696
2015,"EN_HAZ_TRTDISV","Kazakhstan",86369280
2016,"EN_HAZ_TRTDISV","Kazakhstan",53210292
2017,"EN_HAZ_TRTDISV","Kazakhstan",399558016
2018,"EN_HAZ_TRTDISV","Kazakhstan",536541792
2019,"EN_HAZ_TRTDISV","Kazakhstan",370582784
2000,"EN_HAZ_TRTDISV","Kyrgyzstan",4011426
2001,"EN_HAZ_TRTDISV","Kyrgyzstan",35
2002,"EN_HAZ_TRTDISV","Kyrgyzstan",39
2003,"EN_HAZ_TRTDISV","Kyrgyzstan",5327
2004,"EN_HAZ_TRTDISV","Kyrgyzstan",307
2005,"EN_HAZ_TRTDISV","Kyrgyzstan",1555
2006,"EN_HAZ_TRTDISV","Kyrgyzstan",1258
2007,"EN_HAZ_TRTDISV","Kyrgyzstan",7909705
2008,"EN_HAZ_TRTDISV","Kyrgyzstan",3006
2009,"EN_HAZ_TRTDISV","Kyrgyzstan",19342756
2010,"EN_HAZ_TRTDISV","Kyrgyzstan",187180.79688
2011,"EN_HAZ_TRTDISV","Kyrgyzstan",82317.14063
2012,"EN_HAZ_TRTDISV","Kyrgyzstan",53942.76953
2013,"EN_HAZ_TRTDISV","Kyrgyzstan",3131828.75
2014,"EN_HAZ_TRTDISV","Kyrgyzstan",4983976
2015,"EN_HAZ_TRTDISV","Kyrgyzstan",4936829.5
2016,"EN_HAZ_TRTDISV","Kyrgyzstan",4058328.5
2017,"EN_HAZ_TRTDISV","Kyrgyzstan",5086267
2004,"EN_HAZ_TRTDISV","Latvia",57791
2006,"EN_HAZ_TRTDISV","Latvia",52242
2008,"EN_HAZ_TRTDISV","Latvia",67877
2010,"EN_HAZ_TRTDISV","Latvia",54193
2012,"EN_HAZ_TRTDISV","Latvia",41749
2014,"EN_HAZ_TRTDISV","Latvia",43375
2016,"EN_HAZ_TRTDISV","Latvia",20491
2018,"EN_HAZ_TRTDISV","Latvia",39571
2020,"EN_HAZ_TRTDISV","Latvia",29714
2004,"EN_HAZ_TRTDISV","Lithuania",38081
2006,"EN_HAZ_TRTDISV","Lithuania",28101
2008,"EN_HAZ_TRTDISV","Lithuania",19927
2010,"EN_HAZ_TRTDISV","Lithuania",48853
2012,"EN_HAZ_TRTDISV","Lithuania",70246
2014,"EN_HAZ_TRTDISV","Lithuania",55457
2016,"EN_HAZ_TRTDISV","Lithuania",61179
2018,"EN_HAZ_TRTDISV","Lithuania",73090
2020,"EN_HAZ_TRTDISV","Lithuania",111292
2004,"EN_HAZ_TRTDISV","Luxembourg",34375
2006,"EN_HAZ_TRTDISV","Luxembourg",130189
2008,"EN_HAZ_TRTDISV","Luxembourg",46734
2010,"EN_HAZ_TRTDISV","Luxembourg",3272
2012,"EN_HAZ_TRTDISV","Luxembourg",1992
2014,"EN_HAZ_TRTDISV","Luxembourg",37843
2016,"EN_HAZ_TRTDISV","Luxembourg",45882
2018,"EN_HAZ_TRTDISV","Luxembourg",56058
2020,"EN_HAZ_TRTDISV","Luxembourg",75802
2004,"EN_HAZ_TRTDISV","Malta",0
2006,"EN_HAZ_TRTDISV","Malta",0
2008,"EN_HAZ_TRTDISV","Malta",327
2010,"EN_HAZ_TRTDISV","Malta",437
2012,"EN_HAZ_TRTDISV","Malta",502
2014,"EN_HAZ_TRTDISV","Malta",438
2016,"EN_HAZ_TRTDISV","Malta",477
2018,"EN_HAZ_TRTDISV","Malta",473
2020,"EN_HAZ_TRTDISV","Malta",642
2000,"EN_HAZ_TRTDISV","Republic of Moldova",2375
2001,"EN_HAZ_TRTDISV","Republic of Moldova",1902
2002,"EN_HAZ_TRTDISV","Republic of Moldova",3140
2003,"EN_HAZ_TRTDISV","Republic of Moldova",3936
2004,"EN_HAZ_TRTDISV","Republic of Moldova",2220
2005,"EN_HAZ_TRTDISV","Republic of Moldova",1211
2006,"EN_HAZ_TRTDISV","Republic of Moldova",1607
2007,"EN_HAZ_TRTDISV","Republic of Moldova",3562
2008,"EN_HAZ_TRTDISV","Republic of Moldova",1874
2009,"EN_HAZ_TRTDISV","Republic of Moldova",1593
2010,"EN_HAZ_TRTDISV","Republic of Moldova",964
2011,"EN_HAZ_TRTDISV","Republic of Moldova",1273.90002
2012,"EN_HAZ_TRTDISV","Republic of Moldova",1006.70001
2013,"EN_HAZ_TRTDISV","Republic of Moldova",1512
2014,"EN_HAZ_TRTDISV","Republic of Moldova",1289.19995
2015,"EN_HAZ_TRTDISV","Republic of Moldova",1254.90002
2016,"EN_HAZ_TRTDISV","Republic of Moldova",2981.3999
2017,"EN_HAZ_TRTDISV","Republic of Moldova",7614.8999
2018,"EN_HAZ_TRTDISV","Republic of Moldova",6685.2002
2019,"EN_HAZ_TRTDISV","Republic of Moldova",4960.2002
2012,"EN_HAZ_TRTDISV","Montenegro",209582
2014,"EN_HAZ_TRTDISV","Montenegro",268468
2016,"EN_HAZ_TRTDISV","Montenegro",325249
2018,"EN_HAZ_TRTDISV","Montenegro",337407
2020,"EN_HAZ_TRTDISV","Montenegro",318505
2004,"EN_HAZ_TRTDISV","Netherlands (Kingdom of the)",1810306
2006,"EN_HAZ_TRTDISV","Netherlands (Kingdom of the)",4595694
2008,"EN_HAZ_TRTDISV","Netherlands (Kingdom of the)",4032092
2010,"EN_HAZ_TRTDISV","Netherlands (Kingdom of the)",3799827
2012,"EN_HAZ_TRTDISV","Netherlands (Kingdom of the)",4443090
2014,"EN_HAZ_TRTDISV","Netherlands (Kingdom of the)",4495506
2016,"EN_HAZ_TRTDISV","Netherlands (Kingdom of the)",5305777
2018,"EN_HAZ_TRTDISV","Netherlands (Kingdom of the)",5228680
2020,"EN_HAZ_TRTDISV","Netherlands (Kingdom of the)",4880877
2004,"EN_HAZ_TRTDISV","Norway",1010921
2006,"EN_HAZ_TRTDISV","Norway",1256645
2008,"EN_HAZ_TRTDISV","Norway",1337680
2010,"EN_HAZ_TRTDISV","Norway",1560099
2012,"EN_HAZ_TRTDISV","Norway",1013027
2014,"EN_HAZ_TRTDISV","Norway",1483338
2016,"EN_HAZ_TRTDISV","Norway",1380511
2018,"EN_HAZ_TRTDISV","Norway",1412806
2020,"EN_HAZ_TRTDISV","Norway",1400730
2004,"EN_HAZ_TRTDISV","Poland",1575748
2006,"EN_HAZ_TRTDISV","Poland",2277779
2008,"EN_HAZ_TRTDISV","Poland",1624573
2010,"EN_HAZ_TRTDISV","Poland",1577966
2012,"EN_HAZ_TRTDISV","Poland",1434985
2014,"EN_HAZ_TRTDISV","Poland",1876577
2016,"EN_HAZ_TRTDISV","Poland",1391428
2018,"EN_HAZ_TRTDISV","Poland",2184119
2020,"EN_HAZ_TRTDISV","Poland",1616874
2004,"EN_HAZ_TRTDISV","Portugal",1898715
2006,"EN_HAZ_TRTDISV","Portugal",3363875
2008,"EN_HAZ_TRTDISV","Portugal",289216
2010,"EN_HAZ_TRTDISV","Portugal",330978
2012,"EN_HAZ_TRTDISV","Portugal",444199
2014,"EN_HAZ_TRTDISV","Portugal",466197
2016,"EN_HAZ_TRTDISV","Portugal",490956
2018,"EN_HAZ_TRTDISV","Portugal",614263
2020,"EN_HAZ_TRTDISV","Portugal",438967
2004,"EN_HAZ_TRTDISV","Romania",1697100
2006,"EN_HAZ_TRTDISV","Romania",867602
2008,"EN_HAZ_TRTDISV","Romania",259924
2010,"EN_HAZ_TRTDISV","Romania",431080
2012,"EN_HAZ_TRTDISV","Romania",620287
2014,"EN_HAZ_TRTDISV","Romania",500394
2016,"EN_HAZ_TRTDISV","Romania",348386
2018,"EN_HAZ_TRTDISV","Romania",536333
2020,"EN_HAZ_TRTDISV","Romania",374814
2008,"EN_HAZ_TRTDISV","Serbia",8392001
2009,"EN_HAZ_TRTDISV","Serbia",10070112
2010,"EN_HAZ_TRTDISV","Serbia",11180654
2011,"EN_HAZ_TRTDISV","Serbia",12801404
2012,"EN_HAZ_TRTDISV","Serbia",14429133
2013,"EN_HAZ_TRTDISV","Serbia",16560253
2014,"EN_HAZ_TRTDISV","Serbia",13493547
2015,"EN_HAZ_TRTDISV","Serbia",16558589
2016,"EN_HAZ_TRTDISV","Serbia",17209651
2018,"EN_HAZ_TRTDISV","Serbia",15334114
2020,"EN_HAZ_TRTDISV","Serbia",11333539
2004,"EN_HAZ_TRTDISV","Slovakia",439390
2006,"EN_HAZ_TRTDISV","Slovakia",367801
2008,"EN_HAZ_TRTDISV","Slovakia",355772
2010,"EN_HAZ_TRTDISV","Slovakia",223808
2012,"EN_HAZ_TRTDISV","Slovakia",199393
2014,"EN_HAZ_TRTDISV","Slovakia",201819
2016,"EN_HAZ_TRTDISV","Slovakia",171035
2018,"EN_HAZ_TRTDISV","Slovakia",153138
2020,"EN_HAZ_TRTDISV","Slovakia",122686
2004,"EN_HAZ_TRTDISV","Slovenia",99042
2006,"EN_HAZ_TRTDISV","Slovenia",87308
2008,"EN_HAZ_TRTDISV","Slovenia",116326
2010,"EN_HAZ_TRTDISV","Slovenia",100898
2012,"EN_HAZ_TRTDISV","Slovenia",73702
2014,"EN_HAZ_TRTDISV","Slovenia",91696
2016,"EN_HAZ_TRTDISV","Slovenia",76726
2018,"EN_HAZ_TRTDISV","Slovenia",76572
2020,"EN_HAZ_TRTDISV","Slovenia",61234
2004,"EN_HAZ_TRTDISV","Spain",3667222
2006,"EN_HAZ_TRTDISV","Spain",3722628
2008,"EN_HAZ_TRTDISV","Spain",3362069
2010,"EN_HAZ_TRTDISV","Spain",2743636
2012,"EN_HAZ_TRTDISV","Spain",2420583
2014,"EN_HAZ_TRTDISV","Spain",2321536
2016,"EN_HAZ_TRTDISV","Spain",2118455
2018,"EN_HAZ_TRTDISV","Spain",2309771
2020,"EN_HAZ_TRTDISV","Spain",2180840
2004,"EN_HAZ_TRTDISV","Sweden",1167606
2006,"EN_HAZ_TRTDISV","Sweden",653046
2008,"EN_HAZ_TRTDISV","Sweden",996222
2010,"EN_HAZ_TRTDISV","Sweden",769746
2012,"EN_HAZ_TRTDISV","Sweden",1123393
2014,"EN_HAZ_TRTDISV","Sweden",1092814
2016,"EN_HAZ_TRTDISV","Sweden",1331975
2018,"EN_HAZ_TRTDISV","Sweden",1577934
2020,"EN_HAZ_TRTDISV","Sweden",6977211
