Year,SeriesCode,GeoAreaName,Value
2013,"EN_MWT_EXP","Albania",0
2014,"EN_MWT_EXP","Albania",0
2015,"EN_MWT_EXP","Albania",0
2012,"EN_MWT_EXP","Colombia",155937.347
2013,"EN_MWT_EXP","Colombia",211266.388
2014,"EN_MWT_EXP","Colombia",159425.598
2015,"EN_MWT_EXP","Colombia",118253.563
2016,"EN_MWT_EXP","Colombia",103822.067
2010,"EN_MWT_EXP","Croatia",2482
2011,"EN_MWT_EXP","Croatia",12338
2012,"EN_MWT_EXP","Croatia",432
2000,"EN_MWT_EXP","Liechtenstein",31235.962
2001,"EN_MWT_EXP","Liechtenstein",31063.81
2002,"EN_MWT_EXP","Liechtenstein",30581.879
2003,"EN_MWT_EXP","Liechtenstein",31289.639
2004,"EN_MWT_EXP","Liechtenstein",30868.126
2005,"EN_MWT_EXP","Liechtenstein",33447.636
2006,"EN_MWT_EXP","Liechtenstein",33467.918
2007,"EN_MWT_EXP","Liechtenstein",33926.411
2008,"EN_MWT_EXP","Liechtenstein",31086.674
2009,"EN_MWT_EXP","Liechtenstein",30189.558
2010,"EN_MWT_EXP","Liechtenstein",27645.515
2011,"EN_MWT_EXP","Liechtenstein",29921.007
2012,"EN_MWT_EXP","Liechtenstein",28710.541
2013,"EN_MWT_EXP","Liechtenstein",26826.328
2014,"EN_MWT_EXP","Liechtenstein",25321.709
2015,"EN_MWT_EXP","Liechtenstein",27044.771
2016,"EN_MWT_EXP","Liechtenstein",27119.293
2017,"EN_MWT_EXP","Liechtenstein",28019.482
2018,"EN_MWT_EXP","Liechtenstein",26109.844
2019,"EN_MWT_EXP","Liechtenstein",27133.221
2000,"EN_MWT_EXP","Montenegro",0
2006,"EN_MWT_EXP","Serbia",0
2007,"EN_MWT_EXP","Serbia",0
2008,"EN_MWT_EXP","Serbia",0
2009,"EN_MWT_EXP","Serbia",0
2010,"EN_MWT_EXP","Serbia",0
2011,"EN_MWT_EXP","Serbia",0
2012,"EN_MWT_EXP","Serbia",0
2013,"EN_MWT_EXP","Serbia",0
2014,"EN_MWT_EXP","Serbia",0
2015,"EN_MWT_EXP","Serbia",0
2010,"EN_MWT_EXP","Ukraine",400
2011,"EN_MWT_EXP","Ukraine",0
2012,"EN_MWT_EXP","Ukraine",0
2013,"EN_MWT_EXP","Ukraine",0
2014,"EN_MWT_EXP","Ukraine",11200
2015,"EN_MWT_EXP","Ukraine",1100
2016,"EN_MWT_EXP","Ukraine",1100
2017,"EN_MWT_EXP","Ukraine",300
2019,"EN_MWT_EXP","Ukraine",0
2019,"EN_MWT_EXP","Ukraine",0
