Year,SeriesCode,GeoAreaName,Type of waste treatment,Value
2013,"EN_MWT_TREATR","Albania","INCINRT",8.82979
2014,"EN_MWT_TREATR","Albania","INCINRT",3.09194
2015,"EN_MWT_TREATR","Albania","INCINRT",2.54777
2016,"EN_MWT_TREATR","Albania","INCINRT_EGY",4.61538
2016,"EN_MWT_TREATR","Albania","INCINRT",3.15385
2017,"EN_MWT_TREATR","Albania","INCINRT",1.5949
2017,"EN_MWT_TREATR","Albania","INCINRT_EGY",3.42903
2018,"EN_MWT_TREATR","Albania","INCINRT",1.96226
2018,"EN_MWT_TREATR","Albania","INCINRT_EGY",4.75472
2019,"EN_MWT_TREATR","Albania","INCINRT_EGY",1.10396
2019,"EN_MWT_TREATR","Albania","INCINRT",0.18399
2020,"EN_MWT_TREATR","Albania","INCINRT_EGY",1.14504
2020,"EN_MWT_TREATR","Albania","INCINRT",0.09542
2021,"EN_MWT_TREATR","Albania","INCINRT_EGY",2.05714
2021,"EN_MWT_TREATR","Albania","INCINRT",0
2000,"EN_MWT_TREATR","Austria","INCINRT",0
2000,"EN_MWT_TREATR","Austria","INCINRT_EGY",11.23547
2001,"EN_MWT_TREATR","Austria","INCINRT",0
2001,"EN_MWT_TREATR","Austria","INCINRT_EGY",11.24299
2002,"EN_MWT_TREATR","Austria","INCINRT",0
2002,"EN_MWT_TREATR","Austria","INCINRT_EGY",10.78551
2003,"EN_MWT_TREATR","Austria","INCINRT_EGY",12.00324
2003,"EN_MWT_TREATR","Austria","INCINRT",0
2004,"EN_MWT_TREATR","Austria","INCINRT_EGY",29.44314
2004,"EN_MWT_TREATR","Austria","INCINRT",0
2005,"EN_MWT_TREATR","Austria","INCINRT",0
2005,"EN_MWT_TREATR","Austria","INCINRT_EGY",27.68385
2006,"EN_MWT_TREATR","Austria","INCINRT_EGY",28.98845
2006,"EN_MWT_TREATR","Austria","INCINRT",0
2007,"EN_MWT_TREATR","Austria","INCINRT_EGY",29.34761
2007,"EN_MWT_TREATR","Austria","INCINRT",0
2008,"EN_MWT_TREATR","Austria","INCINRT",0
2008,"EN_MWT_TREATR","Austria","INCINRT_EGY",27.15629
2009,"EN_MWT_TREATR","Austria","INCINRT",0
2009,"EN_MWT_TREATR","Austria","INCINRT_EGY",29.26235
2010,"EN_MWT_TREATR","Austria","INCINRT_EGY",34.80111
2010,"EN_MWT_TREATR","Austria","INCINRT",0
2011,"EN_MWT_TREATR","Austria","INCINRT",0
2011,"EN_MWT_TREATR","Austria","INCINRT_EGY",34.90743
2012,"EN_MWT_TREATR","Austria","INCINRT_EGY",34.67131
2012,"EN_MWT_TREATR","Austria","INCINRT",0
2013,"EN_MWT_TREATR","Austria","INCINRT_EGY",34.98471
2013,"EN_MWT_TREATR","Austria","INCINRT",0
2014,"EN_MWT_TREATR","Austria","INCINRT",0
2014,"EN_MWT_TREATR","Austria","INCINRT_EGY",36.33354
2015,"EN_MWT_TREATR","Austria","INCINRT_EGY",37.90323
2015,"EN_MWT_TREATR","Austria","INCINRT",0
2016,"EN_MWT_TREATR","Austria","INCINRT_EGY",37.64205
2016,"EN_MWT_TREATR","Austria","INCINRT",0
2017,"EN_MWT_TREATR","Austria","INCINRT_EGY",38.74053
2017,"EN_MWT_TREATR","Austria","INCINRT",0
2018,"EN_MWT_TREATR","Austria","INCINRT",0
2018,"EN_MWT_TREATR","Austria","INCINRT_EGY",38.62082
2019,"EN_MWT_TREATR","Austria","INCINRT_EGY",38.3908
2019,"EN_MWT_TREATR","Austria","INCINRT",0
2020,"EN_MWT_TREATR","Austria","INCINRT_EGY",35.8833
2020,"EN_MWT_TREATR","Austria","INCINRT",0.09411
