Year,SeriesCode,GeoAreaName,Type of waste treatment,Value
2010,"EN_MWT_TREATV","Kyrgyzstan","LANDFIL",1114662.598
2010,"EN_MWT_TREATV","Kyrgyzstan","LANDFILCTL",1114662.598
2010,"EN_MWT_TREATV","Kyrgyzstan","OTHERWM",1114662.598
2011,"EN_MWT_TREATV","Kyrgyzstan","OTHERWM",1173770.752
2011,"EN_MWT_TREATV","Kyrgyzstan","LANDFILCTL",1173770.752
2011,"EN_MWT_TREATV","Kyrgyzstan","LANDFIL",1173770.752
2012,"EN_MWT_TREATV","Kyrgyzstan","OTHERWM",980362.183
2012,"EN_MWT_TREATV","Kyrgyzstan","LANDFIL",980362.183
2012,"EN_MWT_TREATV","Kyrgyzstan","LANDFILCTL",980362.183
2013,"EN_MWT_TREATV","Kyrgyzstan","OTHERWM",1174366.089
2013,"EN_MWT_TREATV","Kyrgyzstan","LANDFIL",1174366.089
2013,"EN_MWT_TREATV","Kyrgyzstan","LANDFILCTL",1174366.089
2014,"EN_MWT_TREATV","Kyrgyzstan","OTHERWM",994848.389
2014,"EN_MWT_TREATV","Kyrgyzstan","LANDFILCTL",994848.389
2014,"EN_MWT_TREATV","Kyrgyzstan","LANDFIL",994848.389
2015,"EN_MWT_TREATV","Kyrgyzstan","LANDFIL",1113270.63
2015,"EN_MWT_TREATV","Kyrgyzstan","LANDFILCTL",1113270.63
2015,"EN_MWT_TREATV","Kyrgyzstan","OTHERWM",1113270.63
2016,"EN_MWT_TREATV","Kyrgyzstan","LANDFIL",1230000
2016,"EN_MWT_TREATV","Kyrgyzstan","LANDFILCTL",1230000
2016,"EN_MWT_TREATV","Kyrgyzstan","OTHERWM",1230000
2017,"EN_MWT_TREATV","Kyrgyzstan","LANDFIL",1403800.049
2017,"EN_MWT_TREATV","Kyrgyzstan","LANDFILCTL",1403800.049
2017,"EN_MWT_TREATV","Kyrgyzstan","OTHERWM",1403800.049
2013,"EN_MWT_TREATV","Albania","COMPOST",0
2013,"EN_MWT_TREATV","Albania","INCINRT",83000
2013,"EN_MWT_TREATV","Albania","OTHERWM",940159.973
2013,"EN_MWT_TREATV","Albania","INCINRT_EGY",92
2013,"EN_MWT_TREATV","Albania","LANDFILCTL",93076.202
2014,"EN_MWT_TREATV","Albania","INCINRT_EGY",44
2014,"EN_MWT_TREATV","Albania","COMPOST",0
2014,"EN_MWT_TREATV","Albania","INCINRT",38000
2014,"EN_MWT_TREATV","Albania","LANDFILCTL",84055.801
2014,"EN_MWT_TREATV","Albania","OTHERWM",1228884.033
2015,"EN_MWT_TREATV","Albania","LANDFILCTL",720181.824
2015,"EN_MWT_TREATV","Albania","OTHERWM",1413233.032
2015,"EN_MWT_TREATV","Albania","INCINRT_EGY",58
2000,"EN_MWT_TREATV","Latvia","INCINRT",0
2000,"EN_MWT_TREATV","Latvia","INCINRT_EGY",0
2001,"EN_MWT_TREATV","Latvia","INCINRT_EGY",9000
2001,"EN_MWT_TREATV","Latvia","INCINRT",0
2002,"EN_MWT_TREATV","Latvia","INCINRT",0
2002,"EN_MWT_TREATV","Latvia","INCINRT_EGY",13000
2003,"EN_MWT_TREATV","Latvia","INCINRT",0
2003,"EN_MWT_TREATV","Latvia","INCINRT_EGY",11000
2004,"EN_MWT_TREATV","Latvia","INCINRT_EGY",14000
2004,"EN_MWT_TREATV","Latvia","INCINRT",0
2005,"EN_MWT_TREATV","Latvia","INCINRT",0
2005,"EN_MWT_TREATV","Latvia","INCINRT_EGY",7000
2006,"EN_MWT_TREATV","Latvia","INCINRT",0
2015,"EN_MWT_TREATV","Albania","INCINRT",36000
2015,"EN_MWT_TREATV","Albania","COMPOST",0
2016,"EN_MWT_TREATV","Albania","INCINRT",41000
2016,"EN_MWT_TREATV","Albania","INCINRT_EGY",60000
2017,"EN_MWT_TREATV","Albania","INCINRT",20000
2017,"EN_MWT_TREATV","Albania","INCINRT_EGY",43000
2018,"EN_MWT_TREATV","Albania","INCINRT",26000
2018,"EN_MWT_TREATV","Albania","INCINRT_EGY",63000
2019,"EN_MWT_TREATV","Albania","INCINRT",2000
2019,"EN_MWT_TREATV","Albania","INCINRT_EGY",12000
2020,"EN_MWT_TREATV","Albania","INCINRT_EGY",12000
2020,"EN_MWT_TREATV","Albania","INCINRT",1000
2021,"EN_MWT_TREATV","Albania","INCINRT",0
2006,"EN_MWT_TREATV","Latvia","INCINRT_EGY",5000
2007,"EN_MWT_TREATV","Latvia","INCINRT",0
2007,"EN_MWT_TREATV","Latvia","INCINRT_EGY",3000
2008,"EN_MWT_TREATV","Latvia","INCINRT_EGY",3000
2008,"EN_MWT_TREATV","Latvia","INCINRT",0
2009,"EN_MWT_TREATV","Latvia","INCINRT_EGY",1000
2009,"EN_MWT_TREATV","Latvia","INCINRT",0
2010,"EN_MWT_TREATV","Latvia","INCINRT_EGY",0
2010,"EN_MWT_TREATV","Latvia","INCINRT",0
2011,"EN_MWT_TREATV","Latvia","INCINRT_EGY",0
2011,"EN_MWT_TREATV","Latvia","INCINRT",0
2012,"EN_MWT_TREATV","Latvia","INCINRT_EGY",3000
2012,"EN_MWT_TREATV","Latvia","INCINRT",0
2013,"EN_MWT_TREATV","Latvia","INCINRT_EGY",12000
2013,"EN_MWT_TREATV","Latvia","INCINRT",0
2014,"EN_MWT_TREATV","Latvia","INCINRT_EGY",11000
2014,"EN_MWT_TREATV","Latvia","INCINRT",0
2015,"EN_MWT_TREATV","Latvia","INCINRT_EGY",15000
2015,"EN_MWT_TREATV","Latvia","INCINRT",0
2016,"EN_MWT_TREATV","Latvia","INCINRT_EGY",19000
2016,"EN_MWT_TREATV","Latvia","INCINRT",0
2017,"EN_MWT_TREATV","Latvia","INCINRT",0
2017,"EN_MWT_TREATV","Latvia","INCINRT_EGY",22000
2018,"EN_MWT_TREATV","Latvia","INCINRT",0
2018,"EN_MWT_TREATV","Latvia","INCINRT_EGY",15000
