Year,SeriesCode,GeoAreaName,Activity,Value
2018,"EN_TWT_GENV","Estonia","ISIC4_A",138195
2018,"EN_TWT_GENV","Estonia","ISIC4_F",2192957
2018,"EN_TWT_GENV","Estonia","ISIC4_D",7489884
2018,"EN_TWT_GENV","Estonia","ISIC4_T",548242
2020,"EN_TWT_GENV","Estonia","ISIC4_C",3974702
2020,"EN_TWT_GENV","Estonia","ISIC4_A",195258
2020,"EN_TWT_GENV","Estonia","TOTAL",16181973
2020,"EN_TWT_GENV","Estonia","ISIC4_T",550331
2020,"EN_TWT_GENV","Estonia","ISIC4_F",1587266
2020,"EN_TWT_GENV","Estonia","ISIC4_B",2454865
2020,"EN_TWT_GENV","Estonia","ISIC4_D",5665867
2004,"EN_TWT_GENV","Finland","ISIC4_C",18612953
2004,"EN_TWT_GENV","Finland","ISIC4_F",20842637
2004,"EN_TWT_GENV","Finland","ISIC4_A",1537025
2004,"EN_TWT_GENV","Finland","ISIC4_D",1572994
2004,"EN_TWT_GENV","Finland","TOTAL",69708476
2004,"EN_TWT_GENV","Finland","ISIC4_B",23819060
2004,"EN_TWT_GENV","Finland","ISIC4_T",1164497
2006,"EN_TWT_GENV","Finland","ISIC4_T",1191220
2006,"EN_TWT_GENV","Finland","ISIC4_A",2038408
2006,"EN_TWT_GENV","Finland","TOTAL",72205476
2006,"EN_TWT_GENV","Finland","ISIC4_D",1635908
2006,"EN_TWT_GENV","Finland","ISIC4_C",17976517
2006,"EN_TWT_GENV","Finland","ISIC4_F",23145712
2006,"EN_TWT_GENV","Finland","ISIC4_B",21500896
2008,"EN_TWT_GENV","Finland","ISIC4_T",1674400
2003,"EN_TWT_GENV","Albania","ISIC4_T",571218.018
2003,"EN_TWT_GENV","Albania","ISIC4_F",698841.003
2004,"EN_TWT_GENV","Albania","ISIC4_T",622400.024
2005,"EN_TWT_GENV","Albania","ISIC4_T",633598.999
2006,"EN_TWT_GENV","Albania","ISIC4_T",722729.004
2007,"EN_TWT_GENV","Albania","ISIC4_T",722731.018
2008,"EN_TWT_GENV","Albania","ISIC4_T",762353.027
2009,"EN_TWT_GENV","Albania","ISIC4_T",857223.022
2008,"EN_TWT_GENV","Finland","ISIC4_D",1531317
2008,"EN_TWT_GENV","Finland","ISIC4_F",24455231
2008,"EN_TWT_GENV","Finland","TOTAL",81792854
2008,"EN_TWT_GENV","Finland","ISIC4_A",2738973
2008,"EN_TWT_GENV","Finland","ISIC4_C",16948362
2008,"EN_TWT_GENV","Finland","ISIC4_B",31796383
2010,"EN_TWT_GENV","Finland","ISIC4_F",24645393
2010,"EN_TWT_GENV","Finland","ISIC4_D",1444619
2010,"EN_TWT_GENV","Finland","ISIC4_B",54851000
2010,"EN_TWT_GENV","Finland","ISIC4_A",2772031
2010,"EN_TWT_GENV","Finland","TOTAL",104336944
2010,"EN_TWT_GENV","Finland","ISIC4_C",15211273
2010,"EN_TWT_GENV","Finland","ISIC4_T",1680763
2012,"EN_TWT_GENV","Finland","ISIC4_F",16033874
2012,"EN_TWT_GENV","Finland","ISIC4_A",3157813
2012,"EN_TWT_GENV","Finland","ISIC4_T",1733525
2012,"EN_TWT_GENV","Finland","ISIC4_B",52880000
2012,"EN_TWT_GENV","Finland","ISIC4_D",1010767
2012,"EN_TWT_GENV","Finland","ISIC4_C",14531463
2012,"EN_TWT_GENV","Finland","TOTAL",91824193
2014,"EN_TWT_GENV","Finland","ISIC4_F",16296811
2014,"EN_TWT_GENV","Finland","ISIC4_C",10292934
2014,"EN_TWT_GENV","Finland","ISIC4_T",1602959
2014,"EN_TWT_GENV","Finland","ISIC4_B",62775117
2014,"EN_TWT_GENV","Finland","ISIC4_A",4471
2014,"EN_TWT_GENV","Finland","TOTAL",95969888
2014,"EN_TWT_GENV","Finland","ISIC4_D",1464124
2016,"EN_TWT_GENV","Finland","ISIC4_C",9350226
2016,"EN_TWT_GENV","Finland","ISIC4_A",0
2016,"EN_TWT_GENV","Finland","ISIC4_D",1097723
2016,"EN_TWT_GENV","Finland","ISIC4_T",1791659
2016,"EN_TWT_GENV","Finland","ISIC4_F",13825168
2016,"EN_TWT_GENV","Finland","TOTAL",122869183
2016,"EN_TWT_GENV","Finland","ISIC4_B",93661383
2018,"EN_TWT_GENV","Finland","ISIC4_T",2037761
2018,"EN_TWT_GENV","Finland","ISIC4_D",1309192
2018,"EN_TWT_GENV","Finland","ISIC4_A",0
2018,"EN_TWT_GENV","Finland","TOTAL",128251735
2018,"EN_TWT_GENV","Finland","ISIC4_C",8572125
2019,"EN_TWT_GENV","Republic of Moldova","ISIC4_D",6100
2019,"EN_TWT_GENV","Republic of Moldova","ISIC4_C",391500
2019,"EN_TWT_GENV","Republic of Moldova","ISIC4_B",177199.997
2011,"EN_TWT_GENV","Montenegro","ISIC4_B",1790
2011,"EN_TWT_GENV","Montenegro","ISIC4_D",476640.015
2011,"EN_TWT_GENV","Montenegro","ISIC4_C",60270
2012,"EN_TWT_GENV","Montenegro","ISIC4_A",14144
2012,"EN_TWT_GENV","Montenegro","ISIC4_D",351425
2012,"EN_TWT_GENV","Montenegro","ISIC4_C",20662
2012,"EN_TWT_GENV","Montenegro","ISIC4_B",204584
2012,"EN_TWT_GENV","Montenegro","ISIC4_T",208245
2012,"EN_TWT_GENV","Montenegro","TOTAL",1014139
2010,"EN_TWT_GENV","Albania","ISIC4_T",1069093.994
2011,"EN_TWT_GENV","Albania","ISIC4_T",1077996.948
2012,"EN_TWT_GENV","Albania","ISIC4_T",1136802.002
2014,"EN_TWT_GENV","Albania","ISIC4_T",1228884.033
2015,"EN_TWT_GENV","Albania","ISIC4_T",1413233.032
2000,"EN_TWT_GENV","Azerbaijan","TOTAL",1210000
2000,"EN_TWT_GENV","Azerbaijan","ISIC4_T",1104000
2001,"EN_TWT_GENV","Azerbaijan","ISIC4_F",0
2001,"EN_TWT_GENV","Azerbaijan","TOTAL",1438100
2012,"EN_TWT_GENV","Montenegro","ISIC4_F",100665
2014,"EN_TWT_GENV","Montenegro","ISIC4_D",368592
