Year,SeriesCode,GeoAreaName,Value
2010,"ER_FFS_CMPT_PC_CD","Republic of Korea",39.10839
2011,"ER_FFS_CMPT_PC_CD","Republic of Korea",38.19229
2012,"ER_FFS_CMPT_PC_CD","Republic of Korea",36.30311
2013,"ER_FFS_CMPT_PC_CD","Republic of Korea",39.21827
2014,"ER_FFS_CMPT_PC_CD","Republic of Korea",39.02508
2015,"ER_FFS_CMPT_PC_CD","Republic of Korea",34.06034
2016,"ER_FFS_CMPT_PC_CD","Republic of Korea",27.13269
2017,"ER_FFS_CMPT_PC_CD","Republic of Korea",28.20106
2018,"ER_FFS_CMPT_PC_CD","Republic of Korea",28.36389
2019,"ER_FFS_CMPT_PC_CD","Republic of Korea",26.97561
2020,"ER_FFS_CMPT_PC_CD","Republic of Korea",27.36349
2021,"ER_FFS_CMPT_PC_CD","Republic of Korea",28.7712
2010,"ER_FFS_CMPT_PC_CD","Kyrgyzstan",62.05844
2011,"ER_FFS_CMPT_PC_CD","Kyrgyzstan",131.82
2012,"ER_FFS_CMPT_PC_CD","Kyrgyzstan",166.49067
2013,"ER_FFS_CMPT_PC_CD","Kyrgyzstan",179.97493
2014,"ER_FFS_CMPT_PC_CD","Kyrgyzstan",155.73582
2015,"ER_FFS_CMPT_PC_CD","Kyrgyzstan",73.41863
2016,"ER_FFS_CMPT_PC_CD","Kyrgyzstan",54.16425
2017,"ER_FFS_CMPT_PC_CD","Kyrgyzstan",81.31634
2018,"ER_FFS_CMPT_PC_CD","Kyrgyzstan",82.46279
2019,"ER_FFS_CMPT_PC_CD","Kyrgyzstan",87.91862
2020,"ER_FFS_CMPT_PC_CD","Kyrgyzstan",53.31481
2010,"ER_FFS_CMPT_PC_CD","Latvia",94.27074
2011,"ER_FFS_CMPT_PC_CD","Latvia",110.41273
2012,"ER_FFS_CMPT_PC_CD","Latvia",151.20226
2013,"ER_FFS_CMPT_PC_CD","Latvia",170.6994
2014,"ER_FFS_CMPT_PC_CD","Latvia",169.50982
2015,"ER_FFS_CMPT_PC_CD","Latvia",136.18955
2016,"ER_FFS_CMPT_PC_CD","Latvia",132.57325
2017,"ER_FFS_CMPT_PC_CD","Latvia",129.59876
2018,"ER_FFS_CMPT_PC_CD","Latvia",98.86145
2019,"ER_FFS_CMPT_PC_CD","Latvia",97.16078
2020,"ER_FFS_CMPT_PC_CD","Latvia",94.02758
2021,"ER_FFS_CMPT_PC_CD","Latvia",100.65296
2010,"ER_FFS_CMPT_PC_CD","Lithuania",54.32807
2011,"ER_FFS_CMPT_PC_CD","Lithuania",66.55855
2012,"ER_FFS_CMPT_PC_CD","Lithuania",70.44494
2013,"ER_FFS_CMPT_PC_CD","Lithuania",73.19839
2014,"ER_FFS_CMPT_PC_CD","Lithuania",80.00465
2015,"ER_FFS_CMPT_PC_CD","Lithuania",75.90577
2016,"ER_FFS_CMPT_PC_CD","Lithuania",101.85981
