Year,SeriesCode,GeoAreaName,Counterpart,Value
2017,"EN_MAR_BEALIT_BV","Albania","ME",2
2017,"EN_MAR_BEALIT_BV","Albania","MT",3
2017,"EN_MAR_BEALIT_BV","Albania","AL",228
2017,"EN_MAR_BEALIT_BV","Albania","HR",21
2017,"EN_MAR_BEALIT_BV","Albania","IL",474
2017,"EN_MAR_BEALIT_BV","Albania","GR",57
2017,"EN_MAR_BEALIT_BV","Albania","PS",18
2017,"EN_MAR_BEALIT_BV","Albania","CY",160
2017,"EN_MAR_BEALIT_BV","Albania","_T",16481
2017,"EN_MAR_BEALIT_BV","Albania","LY",5026
2017,"EN_MAR_BEALIT_BV","Albania","LB",201
2017,"EN_MAR_BEALIT_BV","Albania","BA",5
2017,"EN_MAR_BEALIT_BV","Albania","EG",5562
2017,"EN_MAR_BEALIT_BV","Albania","TR",104
2017,"EN_MAR_BEALIT_BV","Albania","TN",403
2017,"EN_MAR_BEALIT_BV","Albania","SY",317
2017,"EN_MAR_BEALIT_BV","Albania","IT",3891
2018,"EN_MAR_BEALIT_BV","Albania","TN",435
2018,"EN_MAR_BEALIT_BV","Albania","IT",4306
2018,"EN_MAR_BEALIT_BV","Albania","TR",141
2018,"EN_MAR_BEALIT_BV","Albania","BA",4
2018,"EN_MAR_BEALIT_BV","Albania","EG",6509
2018,"EN_MAR_BEALIT_BV","Albania","LY",5120
2018,"EN_MAR_BEALIT_BV","Albania","LB",223
2018,"EN_MAR_BEALIT_BV","Albania","CY",230
2018,"EN_MAR_BEALIT_BV","Albania","GR",86
2018,"EN_MAR_BEALIT_BV","Albania","PS",16
2018,"EN_MAR_BEALIT_BV","Albania","_T",18094
2018,"EN_MAR_BEALIT_BV","Albania","IL",462
2018,"EN_MAR_BEALIT_BV","Albania","AL",189
2018,"EN_MAR_BEALIT_BV","Albania","HR",16
2018,"EN_MAR_BEALIT_BV","Albania","SY",352
2018,"EN_MAR_BEALIT_BV","Albania","ME",5
2019,"EN_MAR_BEALIT_BV","Albania","SY",593
2019,"EN_MAR_BEALIT_BV","Albania","HR",462
2019,"EN_MAR_BEALIT_BV","Albania","BA",3
2019,"EN_MAR_BEALIT_BV","Albania","IL",773
2019,"EN_MAR_BEALIT_BV","Albania","AL",192
2019,"EN_MAR_BEALIT_BV","Albania","PS",23
2019,"EN_MAR_BEALIT_BV","Albania","GR",132
2019,"EN_MAR_BEALIT_BV","Albania","ME",29
2019,"EN_MAR_BEALIT_BV","Albania","LB",335
2019,"EN_MAR_BEALIT_BV","Albania","LY",5215
2019,"EN_MAR_BEALIT_BV","Albania","IT",3608
2019,"EN_MAR_BEALIT_BV","Albania","TR",175
2019,"EN_MAR_BEALIT_BV","Albania","TN",324
2019,"EN_MAR_BEALIT_BV","Albania","EG",6419
2019,"EN_MAR_BEALIT_BV","Albania","CY",215
2019,"EN_MAR_BEALIT_BV","Albania","_T",18500
2020,"EN_MAR_BEALIT_BV","Albania","HR",108
2020,"EN_MAR_BEALIT_BV","Albania","IL",1128
2020,"EN_MAR_BEALIT_BV","Albania","BA",1
2020,"EN_MAR_BEALIT_BV","Albania","TN",391
2020,"EN_MAR_BEALIT_BV","Albania","SY",533
2020,"EN_MAR_BEALIT_BV","Albania","TR",185
2020,"EN_MAR_BEALIT_BV","Albania","JO",0
2020,"EN_MAR_BEALIT_BV","Albania","_T",20157
2020,"EN_MAR_BEALIT_BV","Albania","PS",23
2020,"EN_MAR_BEALIT_BV","Albania","EG",6858
2020,"EN_MAR_BEALIT_BV","Albania","CY",268
2020,"EN_MAR_BEALIT_BV","Albania","GR",145
2020,"EN_MAR_BEALIT_BV","Albania","AL",156
2020,"EN_MAR_BEALIT_BV","Albania","IT",3601
2020,"EN_MAR_BEALIT_BV","Albania","LB",402
2020,"EN_MAR_BEALIT_BV","Albania","LY",6319
2020,"EN_MAR_BEALIT_BV","Albania","ME",16
2017,"EN_MAR_BEALIT_BV","Costa Rica","AU",5
2017,"EN_MAR_BEALIT_BV","Costa Rica","HN",20
2017,"EN_MAR_BEALIT_BV","Costa Rica","GT",52
2017,"EN_MAR_BEALIT_BV","Costa Rica","MY",12
2017,"EN_MAR_BEALIT_BV","Costa Rica","BS",0
2017,"EN_MAR_BEALIT_BV","Costa Rica","KE",0
2017,"EN_MAR_BEALIT_BV","Costa Rica","CR",840
2017,"EN_MAR_BEALIT_BV","Costa Rica","MX",24
2017,"EN_MAR_BEALIT_BV","Costa Rica","VE",1
2017,"EN_MAR_BEALIT_BV","Costa Rica","US",6
2017,"EN_MAR_BEALIT_BV","Costa Rica","BZ",19
2017,"EN_MAR_BEALIT_BV","Georgia","GR",8
2017,"EN_MAR_BEALIT_BV","Georgia","GE",59
2017,"EN_MAR_BEALIT_BV","Georgia","TR",135
2017,"EN_MAR_BEALIT_BV","Georgia","SY",1
2017,"EN_MAR_BEALIT_BV","Georgia","LY",2
2017,"EN_MAR_BEALIT_BV","Georgia","RU",80
2017,"EN_MAR_BEALIT_BV","Georgia","UA",3
2017,"EN_MAR_BEALIT_BV","Georgia","EG",13
2017,"EN_MAR_BEALIT_BV","Georgia","_T",315
2017,"EN_MAR_BEALIT_BV","Georgia","BG",14
2017,"EN_MAR_BEALIT_BV","Georgia","IL",0
2017,"EN_MAR_BEALIT_BV","Bulgaria","SY",1
2017,"EN_MAR_BEALIT_BV","Bulgaria","RU",6
2017,"EN_MAR_BEALIT_BV","Bulgaria","LY",2
2017,"EN_MAR_BEALIT_BV","Bulgaria","_T",90
2017,"EN_MAR_BEALIT_BV","Bulgaria","EG",8
2017,"EN_MAR_BEALIT_BV","Bulgaria","UA",2
2017,"EN_MAR_BEALIT_BV","Bulgaria","TR",38
2017,"EN_MAR_BEALIT_BV","Bulgaria","GR",4
2017,"EN_MAR_BEALIT_BV","Bulgaria","GE",2
2017,"EN_MAR_BEALIT_BV","Bulgaria","BG",26
2018,"EN_MAR_BEALIT_BV","Bulgaria","BG",57
2021,"EN_MAR_BEALIT_BV","Albania","TR",218
2021,"EN_MAR_BEALIT_BV","Albania","SY",596
2021,"EN_MAR_BEALIT_BV","Albania","TN",491
2021,"EN_MAR_BEALIT_BV","Albania","BA",7
2021,"EN_MAR_BEALIT_BV","Albania","AL",203
2021,"EN_MAR_BEALIT_BV","Albania","IL",1011
2021,"EN_MAR_BEALIT_BV","Albania","GR",311
2021,"EN_MAR_BEALIT_BV","Albania","LY",5232
2021,"EN_MAR_BEALIT_BV","Albania","LB",341
2021,"EN_MAR_BEALIT_BV","Albania","IT",3575
2021,"EN_MAR_BEALIT_BV","Albania","ME",30
2017,"EN_MAR_BEALIT_BV","Costa Rica","TH",5
2017,"EN_MAR_BEALIT_BV","Costa Rica","_T",3992
2017,"EN_MAR_BEALIT_BV","Costa Rica","JP",19
2017,"EN_MAR_BEALIT_BV","Costa Rica","ID",24
2017,"EN_MAR_BEALIT_BV","Costa Rica","CN",28
2017,"EN_MAR_BEALIT_BV","Costa Rica","KH",2
2017,"EN_MAR_BEALIT_BV","Costa Rica","CO",854
2017,"EN_MAR_BEALIT_BV","Costa Rica","FJ",15
2017,"EN_MAR_BEALIT_BV","Costa Rica","SV",2
2017,"EN_MAR_BEALIT_BV","Costa Rica","EC",60
2017,"EN_MAR_BEALIT_BV","Costa Rica","VN",59
2018,"EN_MAR_BEALIT_BV","Georgia","LY",1
2018,"EN_MAR_BEALIT_BV","Georgia","EG",13
2018,"EN_MAR_BEALIT_BV","Georgia","_T",423
2018,"EN_MAR_BEALIT_BV","Georgia","UA",5
2018,"EN_MAR_BEALIT_BV","Georgia","BG",47
2018,"EN_MAR_BEALIT_BV","Georgia","RO",1
2018,"EN_MAR_BEALIT_BV","Georgia","CY",1
2018,"EN_MAR_BEALIT_BV","Georgia","SY",1
2018,"EN_MAR_BEALIT_BV","Georgia","RU",47
2018,"EN_MAR_BEALIT_BV","Georgia","GE",55
2018,"EN_MAR_BEALIT_BV","Georgia","IL",0
2021,"EN_MAR_BEALIT_BV","Albania","PS",30
2021,"EN_MAR_BEALIT_BV","Albania","CY",266
2021,"EN_MAR_BEALIT_BV","Albania","EG",7382
2021,"EN_MAR_BEALIT_BV","Albania","HR",125
2021,"EN_MAR_BEALIT_BV","Albania","_T",19828
2022,"EN_MAR_BEALIT_BV","Albania","PS",44
2022,"EN_MAR_BEALIT_BV","Albania","IL",1341
2022,"EN_MAR_BEALIT_BV","Albania","GR",227
2022,"EN_MAR_BEALIT_BV","Albania","AL",105
2022,"EN_MAR_BEALIT_BV","Albania","BA",6
2022,"EN_MAR_BEALIT_BV","Albania","SY",597
2018,"EN_MAR_BEALIT_BV","Georgia","GR",14
2018,"EN_MAR_BEALIT_BV","Georgia","TR",239
2019,"EN_MAR_BEALIT_BV","Georgia","EG",17
2019,"EN_MAR_BEALIT_BV","Georgia","UA",7
2019,"EN_MAR_BEALIT_BV","Georgia","_T",424
2019,"EN_MAR_BEALIT_BV","Georgia","CY",0
2019,"EN_MAR_BEALIT_BV","Georgia","RO",2
2019,"EN_MAR_BEALIT_BV","Georgia","LY",3
2019,"EN_MAR_BEALIT_BV","Georgia","BG",47
2019,"EN_MAR_BEALIT_BV","Georgia","IL",1
