Year,SeriesCode,GeoAreaName,Age,Freq,Location,Sex,Value
2000,"ER_PTD_FRHWTR","Albania","","","","",48.88993
2001,"ER_PTD_FRHWTR","Albania","","","","",48.88993
2002,"ER_PTD_FRHWTR","Albania","","","","",48.88993
2003,"ER_PTD_FRHWTR","Albania","","","","",48.88993
2004,"ER_PTD_FRHWTR","Albania","","","","",62.91313
2005,"ER_PTD_FRHWTR","Albania","","","","",62.91313
2006,"ER_PTD_FRHWTR","Albania","","","","",62.91313
2007,"ER_PTD_FRHWTR","Albania","","","","",69.02074
2008,"ER_PTD_FRHWTR","Albania","","","","",69.02074
2009,"ER_PTD_FRHWTR","Albania","","","","",69.02074
2010,"ER_PTD_FRHWTR","Albania","","","","",96.58663
2011,"ER_PTD_FRHWTR","Albania","","","","",96.58663
2012,"ER_PTD_FRHWTR","Albania","","","","",96.58663
2013,"ER_PTD_FRHWTR","Albania","","","","",96.58663
2014,"ER_PTD_FRHWTR","Albania","","","","",96.58663
2015,"ER_PTD_FRHWTR","Albania","","","","",96.58663
2016,"ER_PTD_FRHWTR","Albania","","","","",96.58663
2017,"ER_PTD_FRHWTR","Albania","","","","",96.58663
2018,"ER_PTD_FRHWTR","Albania","","","","",96.58663
2019,"ER_PTD_FRHWTR","Albania","","","","",96.58663
2020,"ER_PTD_FRHWTR","Albania","","","","",96.58663
2021,"ER_PTD_FRHWTR","Albania","","","","",96.58663
2022,"ER_PTD_FRHWTR","Albania","","","","",96.58663
2000,"ER_PTD_FRHWTR","Azerbaijan","","","","",3.67615
2001,"ER_PTD_FRHWTR","Azerbaijan","","","","",3.67615
2002,"ER_PTD_FRHWTR","Azerbaijan","","","","",3.67615
2003,"ER_PTD_FRHWTR","Azerbaijan","","","","",12.32493
2004,"ER_PTD_FRHWTR","Azerbaijan","","","","",12.32493
2005,"ER_PTD_FRHWTR","Azerbaijan","","","","",12.7054
2006,"ER_PTD_FRHWTR","Azerbaijan","","","","",12.7054
2007,"ER_PTD_FRHWTR","Azerbaijan","","","","",12.7054
2008,"ER_PTD_FRHWTR","Azerbaijan","","","","",12.7054
2009,"ER_PTD_FRHWTR","Azerbaijan","","","","",12.7054
2010,"ER_PTD_FRHWTR","Azerbaijan","","","","",12.7054
2011,"ER_PTD_FRHWTR","Azerbaijan","","","","",12.7054
2012,"ER_PTD_FRHWTR","Azerbaijan","","","","",12.7054
2000,"ER_PTD_FRHWTR","Finland","","","","",61.76309
2001,"ER_PTD_FRHWTR","Finland","","","","",61.78541
2002,"ER_PTD_FRHWTR","Finland","","","","",62.23035
2003,"ER_PTD_FRHWTR","Finland","","","","",62.32876
2004,"ER_PTD_FRHWTR","Finland","","","","",71.22315
2005,"ER_PTD_FRHWTR","Finland","","","","",75.45177
2000,"ER_PTD_FRHWTR","Bulgaria","","","","",13.72236
2001,"ER_PTD_FRHWTR","Bulgaria","","","","",18.22249
2002,"ER_PTD_FRHWTR","Bulgaria","","","","",32.16041
2003,"ER_PTD_FRHWTR","Bulgaria","","","","",32.16041
2004,"ER_PTD_FRHWTR","Bulgaria","","","","",32.16041
2005,"ER_PTD_FRHWTR","Bulgaria","","","","",32.16073
2000,"ER_PTD_FRHWTR","Latvia","","","","",53.68777
2001,"ER_PTD_FRHWTR","Latvia","","","","",53.6882
2002,"ER_PTD_FRHWTR","Latvia","","","","",63.03078
2003,"ER_PTD_FRHWTR","Latvia","","","","",63.03078
2004,"ER_PTD_FRHWTR","Latvia","","","","",96.65741
2005,"ER_PTD_FRHWTR","Latvia","","","","",96.65741
2013,"ER_PTD_FRHWTR","Azerbaijan","","","","",12.7054
2014,"ER_PTD_FRHWTR","Azerbaijan","","","","",12.7054
2015,"ER_PTD_FRHWTR","Azerbaijan","","","","",12.7054
2016,"ER_PTD_FRHWTR","Azerbaijan","","","","",12.7054
2017,"ER_PTD_FRHWTR","Azerbaijan","","","","",12.7054
2018,"ER_PTD_FRHWTR","Azerbaijan","","","","",14.52677
2006,"ER_PTD_FRHWTR","Bulgaria","","","","",32.42361
2007,"ER_PTD_FRHWTR","Bulgaria","","","","",94.95133
2008,"ER_PTD_FRHWTR","Bulgaria","","","","",94.98791
2009,"ER_PTD_FRHWTR","Bulgaria","","","","",94.98791
2010,"ER_PTD_FRHWTR","Bulgaria","","","","",94.98791
2011,"ER_PTD_FRHWTR","Bulgaria","","","","",94.98791
2006,"ER_PTD_FRHWTR","Latvia","","","","",96.65741
2007,"ER_PTD_FRHWTR","Latvia","","","","",96.65741
2008,"ER_PTD_FRHWTR","Latvia","","","","",96.65741
2009,"ER_PTD_FRHWTR","Latvia","","","","",97.43761
2010,"ER_PTD_FRHWTR","Latvia","","","","",97.43761
2011,"ER_PTD_FRHWTR","Latvia","","","","",97.43761
2019,"ER_PTD_FRHWTR","Azerbaijan","","","","",14.52677
2020,"ER_PTD_FRHWTR","Azerbaijan","","","","",14.52677
2021,"ER_PTD_FRHWTR","Azerbaijan","","","","",14.52677
2022,"ER_PTD_FRHWTR","Azerbaijan","","","","",14.52677
2000,"ER_PTD_FRHWTR","Australia","","","","",22.55408
2001,"ER_PTD_FRHWTR","Australia","","","","",22.57221
2012,"ER_PTD_FRHWTR","Bulgaria","","","","",94.98791
2013,"ER_PTD_FRHWTR","Bulgaria","","","","",94.98791
2014,"ER_PTD_FRHWTR","Bulgaria","","","","",94.98791
2015,"ER_PTD_FRHWTR","Bulgaria","","","","",94.98791
2016,"ER_PTD_FRHWTR","Bulgaria","","","","",94.98791
2017,"ER_PTD_FRHWTR","Bulgaria","","","","",94.98791
2006,"ER_PTD_FRHWTR","Finland","","","","",75.45958
2007,"ER_PTD_FRHWTR","Finland","","","","",75.46063
2008,"ER_PTD_FRHWTR","Finland","","","","",75.46132
2009,"ER_PTD_FRHWTR","Finland","","","","",75.46248
2010,"ER_PTD_FRHWTR","Finland","","","","",75.46255
2011,"ER_PTD_FRHWTR","Finland","","","","",75.46349
2002,"ER_PTD_FRHWTR","Australia","","","","",25.61833
2003,"ER_PTD_FRHWTR","Australia","","","","",25.87665
2004,"ER_PTD_FRHWTR","Australia","","","","",26.08761
2005,"ER_PTD_FRHWTR","Australia","","","","",26.11333
2006,"ER_PTD_FRHWTR","Australia","","","","",26.11828
2007,"ER_PTD_FRHWTR","Australia","","","","",28.32133
2018,"ER_PTD_FRHWTR","Bulgaria","","","","",98.66798
2019,"ER_PTD_FRHWTR","Bulgaria","","","","",98.66798
2020,"ER_PTD_FRHWTR","Bulgaria","","","","",98.66798
2021,"ER_PTD_FRHWTR","Bulgaria","","","","",98.66798
2022,"ER_PTD_FRHWTR","Bulgaria","","","","",98.66798
2000,"ER_PTD_FRHWTR","Belarus","","","","",74.41934
2012,"ER_PTD_FRHWTR","Finland","","","","",75.46353
2013,"ER_PTD_FRHWTR","Finland","","","","",75.46368
2014,"ER_PTD_FRHWTR","Finland","","","","",75.46626
2015,"ER_PTD_FRHWTR","Finland","","","","",75.78502
2016,"ER_PTD_FRHWTR","Finland","","","","",75.78583
2017,"ER_PTD_FRHWTR","Finland","","","","",75.8049
2008,"ER_PTD_FRHWTR","Australia","","","","",28.38157
2009,"ER_PTD_FRHWTR","Australia","","","","",29.71156
2010,"ER_PTD_FRHWTR","Australia","","","","",29.72381
2011,"ER_PTD_FRHWTR","Australia","","","","",29.92775
2012,"ER_PTD_FRHWTR","Australia","","","","",30.25864
2013,"ER_PTD_FRHWTR","Australia","","","","",31.83033
2001,"ER_PTD_FRHWTR","Belarus","","","","",79.09908
2002,"ER_PTD_FRHWTR","Belarus","","","","",79.09908
2003,"ER_PTD_FRHWTR","Belarus","","","","",79.09908
2004,"ER_PTD_FRHWTR","Belarus","","","","",79.09908
2005,"ER_PTD_FRHWTR","Belarus","","","","",81.99909
2006,"ER_PTD_FRHWTR","Belarus","","","","",81.99909
2007,"ER_PTD_FRHWTR","Belarus","","","","",81.99909
2008,"ER_PTD_FRHWTR","Belarus","","","","",81.99909
2009,"ER_PTD_FRHWTR","Belarus","","","","",81.99909
2010,"ER_PTD_FRHWTR","Belarus","","","","",81.99909
2011,"ER_PTD_FRHWTR","Belarus","","","","",81.99909
2012,"ER_PTD_FRHWTR","Belarus","","","","",81.99909
2018,"ER_PTD_FRHWTR","Finland","","","","",75.80764
2019,"ER_PTD_FRHWTR","Finland","","","","",75.81041
2020,"ER_PTD_FRHWTR","Finland","","","","",75.81041
2021,"ER_PTD_FRHWTR","Finland","","","","",75.81041
2022,"ER_PTD_FRHWTR","Finland","","","","",75.81041
2000,"ER_PTD_FRHWTR","France","","","","",32.51417
2014,"ER_PTD_FRHWTR","Australia","","","","",33.50694
2015,"ER_PTD_FRHWTR","Australia","","","","",33.52467
2016,"ER_PTD_FRHWTR","Australia","","","","",34.93561
2017,"ER_PTD_FRHWTR","Australia","","","","",35.28953
