Year,SeriesCode,GeoAreaName,Sex,Value
2018,"VC_VOV_PHYL","Belgium","FEMALE",2.04
2018,"VC_VOV_PHYL","Belgium","MALE",3.42
2018,"VC_VOV_PHYL","Belgium","BOTHSEX",2.72
2014,"VC_VOV_PHYL","Canada","BOTHSEX",7.6
2014,"VC_VOV_PHYL","Canada","FEMALE",8.5
2014,"VC_VOV_PHYL","Canada","MALE",6.7
2019,"VC_VOV_PHYL","Canada","BOTHSEX",2.5
2019,"VC_VOV_PHYL","Canada","FEMALE",2.5
2019,"VC_VOV_PHYL","Canada","MALE",2.5
2016,"VC_VOV_PHYL","Chile","BOTHSEX",3
2016,"VC_VOV_PHYL","Chile","FEMALE",2.2
2016,"VC_VOV_PHYL","Chile","MALE",3.8
2017,"VC_VOV_PHYL","Chile","BOTHSEX",3.3
2017,"VC_VOV_PHYL","Chile","FEMALE",2.8
2017,"VC_VOV_PHYL","Chile","MALE",3.9
2018,"VC_VOV_PHYL","Chile","MALE",3.2
2018,"VC_VOV_PHYL","Chile","BOTHSEX",2.7
2018,"VC_VOV_PHYL","Chile","FEMALE",2.3
2019,"VC_VOV_PHYL","Chile","FEMALE",2.7
2019,"VC_VOV_PHYL","Chile","MALE",3
2019,"VC_VOV_PHYL","Chile","BOTHSEX",2.9
2020,"VC_VOV_PHYL","Chile","FEMALE",2.1
2020,"VC_VOV_PHYL","Chile","MALE",3.2
2020,"VC_VOV_PHYL","Chile","BOTHSEX",2.6
2021,"VC_VOV_PHYL","Chile","FEMALE",2
2021,"VC_VOV_PHYL","Chile","MALE",2.9
2021,"VC_VOV_PHYL","Chile","BOTHSEX",2.4
2013,"VC_VOV_PHYL","France","MALE",2.8
2013,"VC_VOV_PHYL","France","BOTHSEX",2.67
2013,"VC_VOV_PHYL","France","FEMALE",2.55
2014,"VC_VOV_PHYL","France","FEMALE",2.6
2014,"VC_VOV_PHYL","France","MALE",2.8
2014,"VC_VOV_PHYL","France","BOTHSEX",2.7
2015,"VC_VOV_PHYL","France","FEMALE",2.8
2015,"VC_VOV_PHYL","France","BOTHSEX",2.8
2015,"VC_VOV_PHYL","France","MALE",2.7
2016,"VC_VOV_PHYL","France","MALE",2.7
2016,"VC_VOV_PHYL","France","BOTHSEX",2.7
2016,"VC_VOV_PHYL","France","FEMALE",2.7
2017,"VC_VOV_PHYL","France","MALE",2.1
2017,"VC_VOV_PHYL","France","FEMALE",2
2017,"VC_VOV_PHYL","France","BOTHSEX",2.1
2018,"VC_VOV_PHYL","France","FEMALE",2.1
2018,"VC_VOV_PHYL","France","MALE",2.4
2018,"VC_VOV_PHYL","France","BOTHSEX",2.3
2019,"VC_VOV_PHYL","France","MALE",2.6
2019,"VC_VOV_PHYL","France","BOTHSEX",2.4
2019,"VC_VOV_PHYL","France","FEMALE",2.3
2020,"VC_VOV_PHYL","Germany","FEMALE",1.6
2020,"VC_VOV_PHYL","Germany","MALE",3
2020,"VC_VOV_PHYL","Germany","BOTHSEX",2.3
2015,"VC_VOV_PHYL","Ireland","BOTHSEX",2
2014,"VC_VOV_PHYL","Israel","MALE",1.63
2014,"VC_VOV_PHYL","Israel","BOTHSEX",1.29
2014,"VC_VOV_PHYL","Israel","FEMALE",0.98
2015,"VC_VOV_PHYL","Israel","BOTHSEX",1.18
2015,"VC_VOV_PHYL","Israel","FEMALE",0.8
2015,"VC_VOV_PHYL","Israel","MALE",1.58
2016,"VC_VOV_PHYL","Israel","MALE",1.26
2016,"VC_VOV_PHYL","Israel","FEMALE",0.91
2016,"VC_VOV_PHYL","Israel","BOTHSEX",1.08
2017,"VC_VOV_PHYL","Israel","FEMALE",1.04
2017,"VC_VOV_PHYL","Israel","MALE",2.2
2017,"VC_VOV_PHYL","Israel","BOTHSEX",1.61
2018,"VC_VOV_PHYL","Israel","FEMALE",0.78
2018,"VC_VOV_PHYL","Israel","BOTHSEX",1.16
2018,"VC_VOV_PHYL","Israel","MALE",1.56
2019,"VC_VOV_PHYL","Israel","MALE",1.54
2019,"VC_VOV_PHYL","Israel","BOTHSEX",1.15
2019,"VC_VOV_PHYL","Israel","FEMALE",0.78
2020,"VC_VOV_PHYL","Israel","BOTHSEX",0.8
2020,"VC_VOV_PHYL","Israel","MALE",1.1
2020,"VC_VOV_PHYL","Israel","FEMALE",0.5
2021,"VC_VOV_PHYL","Israel","BOTHSEX",0.97
2021,"VC_VOV_PHYL","Israel","FEMALE",0.75
2021,"VC_VOV_PHYL","Israel","MALE",1.21
2016,"VC_VOV_PHYL","Italy","FEMALE",1.1
2016,"VC_VOV_PHYL","Italy","BOTHSEX",1.3
2016,"VC_VOV_PHYL","Italy","MALE",1.6
2014,"VC_VOV_PHYL","Republic of Korea","FEMALE",0.1
2014,"VC_VOV_PHYL","Republic of Korea","BOTHSEX",0.3
2014,"VC_VOV_PHYL","Republic of Korea","MALE",0.3
2016,"VC_VOV_PHYL","Republic of Korea","BOTHSEX",0.3
2016,"VC_VOV_PHYL","Republic of Korea","FEMALE",0.2
2016,"VC_VOV_PHYL","Republic of Korea","MALE",0.3
2018,"VC_VOV_PHYL","Republic of Korea","BOTHSEX",0.16
2020,"VC_VOV_PHYL","Republic of Korea","BOTHSEX",0.16
2020,"VC_VOV_PHYL","Luxembourg","BOTHSEX",4.7
2020,"VC_VOV_PHYL","Luxembourg","MALE",4.82
2020,"VC_VOV_PHYL","Luxembourg","FEMALE",4.45
2013,"VC_VOV_PHYL","Mexico","BOTHSEX",9.29
2014,"VC_VOV_PHYL","Mexico","BOTHSEX",9.13
2015,"VC_VOV_PHYL","Mexico","BOTHSEX",9.03
2015,"VC_VOV_PHYL","Mexico","MALE",10.68
2015,"VC_VOV_PHYL","Mexico","FEMALE",7.6
2016,"VC_VOV_PHYL","Mexico","MALE",10.41
2016,"VC_VOV_PHYL","Mexico","BOTHSEX",8.86
2016,"VC_VOV_PHYL","Mexico","FEMALE",7.48
2017,"VC_VOV_PHYL","Mexico","BOTHSEX",9.72
2017,"VC_VOV_PHYL","Mexico","MALE",11.24
2017,"VC_VOV_PHYL","Mexico","FEMALE",8.39
2018,"VC_VOV_PHYL","Mexico","FEMALE",8.26
2018,"VC_VOV_PHYL","Mexico","BOTHSEX",9.25
2018,"VC_VOV_PHYL","Mexico","MALE",10.37
2019,"VC_VOV_PHYL","Mexico","BOTHSEX",7.98
2019,"VC_VOV_PHYL","Mexico","FEMALE",6.99
2019,"VC_VOV_PHYL","Mexico","MALE",9.12
2020,"VC_VOV_PHYL","Mexico","FEMALE",5.7
2020,"VC_VOV_PHYL","Mexico","MALE",7.61
2020,"VC_VOV_PHYL","Mexico","BOTHSEX",6.59
2021,"VC_VOV_PHYL","Mexico","BOTHSEX",6.44
2021,"VC_VOV_PHYL","Mexico","MALE",7.53
2021,"VC_VOV_PHYL","Mexico","FEMALE",5.51
2014,"VC_VOV_PHYL","New Zealand","BOTHSEX",5.7
2018,"VC_VOV_PHYL","New Zealand","BOTHSEX",2.85
2018,"VC_VOV_PHYL","New Zealand","FEMALE",2.02
2018,"VC_VOV_PHYL","New Zealand","MALE",3.7
2019,"VC_VOV_PHYL","New Zealand","FEMALE",2.85
2019,"VC_VOV_PHYL","New Zealand","MALE",3.07
2019,"VC_VOV_PHYL","New Zealand","BOTHSEX",2.96
2020,"VC_VOV_PHYL","New Zealand","BOTHSEX",2.82
2020,"VC_VOV_PHYL","New Zealand","MALE",3.23
2020,"VC_VOV_PHYL","New Zealand","FEMALE",2.4
2021,"VC_VOV_PHYL","New Zealand","FEMALE",2.2
2021,"VC_VOV_PHYL","New Zealand","BOTHSEX",2.5
2021,"VC_VOV_PHYL","New Zealand","MALE",2.8
2018,"VC_VOV_PHYL","Serbia","FEMALE",10.4
2020,"VC_VOV_PHYL","Slovenia","MALE",1.22
2020,"VC_VOV_PHYL","Slovenia","FEMALE",1.6
2020,"VC_VOV_PHYL","Slovenia","BOTHSEX",1.41
2020,"VC_VOV_PHYL","Slovenia","BOTHSEX",1.41
