Year,SeriesCode,GeoAreaName,Age,Sex,Value
2012,"VC_HTF_DETVOG","Armenia","ALLAGE","BOTHSEX",6
2010,"VC_HTF_DETVOG","Bulgaria","ALLAGE","BOTHSEX",6
2009,"VC_HTF_DETVOG","Republic of Moldova","ALLAGE","BOTHSEX",5
2015,"VC_HTF_DETVOG","Republic of Moldova","18+","MALE",6
2015,"VC_HTF_DETVOG","Republic of Moldova","ALLAGE","BOTHSEX",6
2017,"VC_HTF_DETVOG","Republic of Moldova","ALLAGE","BOTHSEX",5
2012,"VC_HTF_DETVOG","Tajikistan","ALLAGE","BOTHSEX",9
2013,"VC_HTF_DETVOG","Tajikistan","ALLAGE","BOTHSEX",10
2014,"VC_HTF_DETVOG","Tajikistan","ALLAGE","BOTHSEX",8
2008,"VC_HTF_DETVOG","Ukraine","ALLAGE","BOTHSEX",7
2011,"VC_HTF_DETVOG","Ukraine","ALLAGE","BOTHSEX",25
2016,"VC_HTF_DETVOG","Ukraine","ALLAGE","BOTHSEX",5
2020,"VC_HTF_DETVOG","Ukraine","ALLAGE","BOTHSEX",25
2020,"VC_HTF_DETVOG","United Kingdom of Great Britain and Northern Ireland","ALLAGE","BOTHSEX",5
2019,"VC_HTF_DETVOG","Bulgaria","ALLAGE","BOTHSEX",8
2020,"VC_HTF_DETVOG","Bulgaria","ALLAGE","BOTHSEX",5
2020,"VC_HTF_DETVOG","Bulgaria","18+","BOTHSEX",5
2021,"VC_HTF_DETVOG","Bulgaria","ALLAGE","BOTHSEX",8
2018,"VC_HTF_DETVOG","China","ALLAGE","BOTHSEX",8
2013,"VC_HTF_DETVOG","Costa Rica","ALLAGE","BOTHSEX",13
2019,"VC_HTF_DETVOG","Denmark","ALLAGE","BOTHSEX",17
2018,"VC_HTF_DETVOG","Hungary","ALLAGE","BOTHSEX",5
2018,"VC_HTF_DETVOG","India","ALLAGE","BOTHSEX",6
