Year,SeriesCode,GeoAreaName,Age,Sex,Value
2019,"VC_HTF_DETVSXR","Belgium","18+","MALE",1.05
2020,"VC_HTF_DETVSXR","Belgium","ALLAGE","BOTHSEX",0.31
2020,"VC_HTF_DETVSXR","Belgium","18+","BOTHSEX",0.39
2020,"VC_HTF_DETVSXR","Belgium","18+","MALE",0.77
2005,"VC_HTF_DETVSXR","Bosnia and Herzegovina","ALLAGE","BOTHSEX",1.59
2006,"VC_HTF_DETVSXR","Bosnia and Herzegovina","ALLAGE","BOTHSEX",1.7
2010,"VC_HTF_DETVSXR","Bosnia and Herzegovina","ALLAGE","BOTHSEX",0.21
2011,"VC_HTF_DETVSXR","Bosnia and Herzegovina","ALLAGE","BOTHSEX",0.48
2012,"VC_HTF_DETVSXR","Bosnia and Herzegovina","ALLAGE","BOTHSEX",0.54
2014,"VC_HTF_DETVSXR","Bosnia and Herzegovina","<18Y","MALE",1.72
2014,"VC_HTF_DETVSXR","Bosnia and Herzegovina","ALLAGE","BOTHSEX",0.28
2015,"VC_HTF_DETVSXR","Bosnia and Herzegovina","ALLAGE","BOTHSEX",0.17
2015,"VC_HTF_DETVSXR","Bosnia and Herzegovina","18+","MALE",0.43
2016,"VC_HTF_DETVSXR","Bosnia and Herzegovina","18+","MALE",0.51
2016,"VC_HTF_DETVSXR","Bosnia and Herzegovina","ALLAGE","BOTHSEX",0.2
2017,"VC_HTF_DETVSXR","Bosnia and Herzegovina","ALLAGE","BOTHSEX",0.29
2018,"VC_HTF_DETVSXR","Bosnia and Herzegovina","ALLAGE","BOTHSEX",0.26
2016,"VC_HTF_DETVSXR","Mexico","ALLAGE","BOTHSEX",0.59
2016,"VC_HTF_DETVSXR","Mexico","18+","MALE",1.2
2017,"VC_HTF_DETVSXR","Mexico","18+","MALE",1.04
2017,"VC_HTF_DETVSXR","Mexico","18+","FEMALE",0.09
2017,"VC_HTF_DETVSXR","Mexico","<18Y","FEMALE",0.12
2017,"VC_HTF_DETVSXR","Mexico","<18Y","MALE",0.83
2017,"VC_HTF_DETVSXR","Mexico","ALLAGE","BOTHSEX",0.53
2018,"VC_HTF_DETVSXR","Mexico","ALLAGE","BOTHSEX",0.24
2018,"VC_HTF_DETVSXR","Mexico","<18Y","MALE",0.42
2018,"VC_HTF_DETVSXR","Mexico","<18Y","FEMALE",0.11
2018,"VC_HTF_DETVSXR","Mexico","18+","MALE",0.47
2020,"VC_HTF_DETVSXR","Mexico","ALLAGE","BOTHSEX",0.42
2006,"VC_HTF_DETVSXR","Republic of Moldova","ALLAGE","BOTHSEX",21.79
2007,"VC_HTF_DETVSXR","Republic of Moldova","ALLAGE","BOTHSEX",5.62
2008,"VC_HTF_DETVSXR","Republic of Moldova","ALLAGE","BOTHSEX",5.38
2019,"VC_HTF_DETVSXR","Bosnia and Herzegovina","ALLAGE","BOTHSEX",0.45
2020,"VC_HTF_DETVSXR","Bosnia and Herzegovina","ALLAGE","BOTHSEX",0.51
2007,"VC_HTF_DETVSXR","Bulgaria","ALLAGE","BOTHSEX",3.41
2008,"VC_HTF_DETVSXR","Bulgaria","ALLAGE","BOTHSEX",2.51
2009,"VC_HTF_DETVSXR","Bulgaria","ALLAGE","BOTHSEX",3.82
2010,"VC_HTF_DETVSXR","Bulgaria","ALLAGE","BOTHSEX",4.7
2011,"VC_HTF_DETVSXR","Bulgaria","ALLAGE","BOTHSEX",5.22
2012,"VC_HTF_DETVSXR","Bulgaria","ALLAGE","BOTHSEX",6.16
2009,"VC_HTF_DETVSXR","Republic of Moldova","ALLAGE","BOTHSEX",3.68
2012,"VC_HTF_DETVSXR","Republic of Moldova","ALLAGE","BOTHSEX",3.99
2013,"VC_HTF_DETVSXR","Republic of Moldova","ALLAGE","BOTHSEX",3.83
2014,"VC_HTF_DETVSXR","Republic of Moldova","18+","MALE",8
2014,"VC_HTF_DETVSXR","Republic of Moldova","ALLAGE","BOTHSEX",3.47
2014,"VC_HTF_DETVSXR","Republic of Moldova","<18Y","MALE",4.97
2015,"VC_HTF_DETVSXR","Republic of Moldova","18+","MALE",7.5
2015,"VC_HTF_DETVSXR","Republic of Moldova","<18Y","MALE",13.37
2013,"VC_HTF_DETVSXR","Bulgaria","ALLAGE","BOTHSEX",5.76
2014,"VC_HTF_DETVSXR","Bulgaria","ALLAGE","BOTHSEX",5.55
2014,"VC_HTF_DETVSXR","Bulgaria","<18Y","MALE",4.45
2014,"VC_HTF_DETVSXR","Bulgaria","<18Y","FEMALE",1.67
2014,"VC_HTF_DETVSXR","Bulgaria","18+","MALE",12.57
2015,"VC_HTF_DETVSXR","Bulgaria","ALLAGE","BOTHSEX",4.3
2015,"VC_HTF_DETVSXR","Bulgaria","<18Y","MALE",3.83
2015,"VC_HTF_DETVSXR","Bulgaria","18+","MALE",9.84
2016,"VC_HTF_DETVSXR","Bulgaria","<18Y","MALE",3.2
2016,"VC_HTF_DETVSXR","Bulgaria","ALLAGE","BOTHSEX",4.54
2016,"VC_HTF_DETVSXR","Bulgaria","18+","MALE",10.32
2016,"VC_HTF_DETVSXR","Bulgaria","18+","FEMALE",0.32
2017,"VC_HTF_DETVSXR","Bulgaria","ALLAGE","BOTHSEX",4.5
2017,"VC_HTF_DETVSXR","Bulgaria","18+","FEMALE",0.22
2017,"VC_HTF_DETVSXR","Bulgaria","18+","MALE",9.93
2017,"VC_HTF_DETVSXR","Bulgaria","<18Y","MALE",5.16
2018,"VC_HTF_DETVSXR","Bulgaria","<18Y","MALE",7.99
2018,"VC_HTF_DETVSXR","Bulgaria","ALLAGE","BOTHSEX",4.34
2018,"VC_HTF_DETVSXR","Bulgaria","18+","MALE",9.09
2019,"VC_HTF_DETVSXR","Bulgaria","ALLAGE","BOTHSEX",3.97
