Year,SeriesCode,GeoAreaName,Sex,Value
2009,"VC_PRR_ROBB","Australia","BOTHSEX",39.1
2010,"VC_PRR_ROBB","Australia","BOTHSEX",60.7
2011,"VC_PRR_ROBB","Australia","BOTHSEX",60
2012,"VC_PRR_ROBB","Australia","BOTHSEX",51.5
2013,"VC_PRR_ROBB","Australia","BOTHSEX",49.7
2014,"VC_PRR_ROBB","Australia","BOTHSEX",56.4
2015,"VC_PRR_ROBB","Australia","BOTHSEX",54
2016,"VC_PRR_ROBB","Australia","BOTHSEX",51.7
2017,"VC_PRR_ROBB","Australia","BOTHSEX",58
2018,"VC_PRR_ROBB","Australia","BOTHSEX",58
2019,"VC_PRR_ROBB","Australia","BOTHSEX",51.1
2020,"VC_PRR_ROBB","Australia","BOTHSEX",63.8
2021,"VC_PRR_ROBB","Australia","BOTHSEX",63.8
2006,"VC_PRR_ROBB","Belgium","BOTHSEX",42.87
2009,"VC_PRR_ROBB","Belgium","BOTHSEX",40.49
2018,"VC_PRR_ROBB","Belgium","MALE",52.87
2018,"VC_PRR_ROBB","Belgium","FEMALE",59.18
2018,"VC_PRR_ROBB","Belgium","BOTHSEX",56.12
2004,"VC_PRR_ROBB","Canada","BOTHSEX",46
2009,"VC_PRR_ROBB","Canada","BOTHSEX",43
2014,"VC_PRR_ROBB","Canada","BOTHSEX",45
2014,"VC_PRR_ROBB","Canada","MALE",42.48
2014,"VC_PRR_ROBB","Canada","FEMALE",49.64
2019,"VC_PRR_ROBB","Canada","BOTHSEX",46.54
2006,"VC_PRR_ROBB","Chile","BOTHSEX",39.9
2007,"VC_PRR_ROBB","Chile","BOTHSEX",38.5
2008,"VC_PRR_ROBB","Chile","BOTHSEX",42.2
2009,"VC_PRR_ROBB","Chile","BOTHSEX",44.9
2010,"VC_PRR_ROBB","Chile","BOTHSEX",44.6
2011,"VC_PRR_ROBB","Chile","BOTHSEX",46.5
2012,"VC_PRR_ROBB","Chile","BOTHSEX",50.5
2013,"VC_PRR_ROBB","Chile","BOTHSEX",38.7
2014,"VC_PRR_ROBB","Chile","BOTHSEX",36
2015,"VC_PRR_ROBB","Chile","BOTHSEX",49.7
2015,"VC_PRR_ROBB","Chile","FEMALE",48.6
2015,"VC_PRR_ROBB","Chile","MALE",51.6
2016,"VC_PRR_ROBB","Chile","MALE",45.8
2016,"VC_PRR_ROBB","Chile","FEMALE",46.6
2016,"VC_PRR_ROBB","Chile","BOTHSEX",46.2
2017,"VC_PRR_ROBB","Chile","MALE",39.2
2017,"VC_PRR_ROBB","Chile","BOTHSEX",43.1
2017,"VC_PRR_ROBB","Chile","FEMALE",46
2018,"VC_PRR_ROBB","Chile","BOTHSEX",44.1
2018,"VC_PRR_ROBB","Chile","MALE",51.1
2018,"VC_PRR_ROBB","Chile","FEMALE",38.6
2019,"VC_PRR_ROBB","Chile","BOTHSEX",42.4
2019,"VC_PRR_ROBB","Chile","MALE",47.6
