Year,Metric,GeoAreaName,Value
2021,Control of Corruption,Albania,-0.555924177
2020,Control of Corruption,Albania,-0.551931083
2019,Control of Corruption,Albania,-0.543374062
2018,Control of Corruption,Albania,-0.524145126
2017,Control of Corruption,Albania,-0.45825699
2016,Control of Corruption,Albania,-0.44898048
2015,Control of Corruption,Albania,-0.520959854
2014,Control of Corruption,Albania,-0.586141348
2013,Control of Corruption,Albania,-0.750955939
2012,Control of Corruption,Albania,-0.778729439
2011,Control of Corruption,Albania,-0.701794147
2010,Control of Corruption,Albania,-0.531616509
2009,Control of Corruption,Albania,-0.54527092
2008,Control of Corruption,Albania,-0.60521239
2007,Control of Corruption,Albania,-0.706940055
2006,Control of Corruption,Albania,-0.790545285
2005,Control of Corruption,Albania,-0.813263893
2004,Control of Corruption,Albania,-0.723731816
2003,Control of Corruption,Albania,-0.853786588
2002,Control of Corruption,Albania,-0.845340908
2000,Control of Corruption,Albania,-0.855563641
1998,Control of Corruption,Albania,-0.992024779
1996,Control of Corruption,Albania,-0.893903494
2021,Control of Corruption,Armenia,0.072149873
2020,Control of Corruption,Armenia,0.020228101
2019,Control of Corruption,Armenia,-0.203820124
2018,Control of Corruption,Armenia,-0.385727823
2017,Control of Corruption,Armenia,-0.614445984
2016,Control of Corruption,Armenia,-0.637749076
2015,Control of Corruption,Armenia,-0.584427893
2014,Control of Corruption,Armenia,-0.565155387
2013,Control of Corruption,Armenia,-0.530450225
2012,Control of Corruption,Armenia,-0.58800149
2011,Control of Corruption,Armenia,-0.664559424
2010,Control of Corruption,Armenia,-0.69503957
2009,Control of Corruption,Armenia,-0.621459663
2008,Control of Corruption,Armenia,-0.712412357
2007,Control of Corruption,Armenia,-0.74589169
2006,Control of Corruption,Armenia,-0.669232607
2005,Control of Corruption,Armenia,-0.683349848
2004,Control of Corruption,Armenia,-0.703455329
2003,Control of Corruption,Armenia,-0.6490224
2002,Control of Corruption,Armenia,-0.778165162
2000,Control of Corruption,Armenia,-0.848086238
1998,Control of Corruption,Armenia,-0.936306059
1996,Control of Corruption,Armenia,-0.47305131
2021,Control of Corruption,Austria,1.271236777
2020,Control of Corruption,Austria,1.506872177
2019,Control of Corruption,Austria,1.554295182
2018,Control of Corruption,Austria,1.601476908
2017,Control of Corruption,Austria,1.537821054
2016,Control of Corruption,Austria,1.534534812
2015,Control of Corruption,Austria,1.508799553
2014,Control of Corruption,Austria,1.466749072
2013,Control of Corruption,Austria,1.537240982
2012,Control of Corruption,Austria,1.427254438
2011,Control of Corruption,Austria,1.47028935
2010,Control of Corruption,Austria,1.596122026
2009,Control of Corruption,Austria,1.6940341
2008,Control of Corruption,Austria,1.828758121
2007,Control of Corruption,Austria,2.003345251
2006,Control of Corruption,Austria,1.904876947
2005,Control of Corruption,Austria,1.912423491
2004,Control of Corruption,Austria,2.026624441
2003,Control of Corruption,Austria,1.963868618
2002,Control of Corruption,Austria,1.915159225
2000,Control of Corruption,Austria,1.751058698
1998,Control of Corruption,Austria,1.79937923
1996,Control of Corruption,Austria,1.732163548
2021,Control of Corruption,Azerbaijan,-0.827584863
2020,Control of Corruption,Azerbaijan,-1.057083011
2019,Control of Corruption,Azerbaijan,-0.829964042
2018,Control of Corruption,Azerbaijan,-0.831989169
2017,Control of Corruption,Azerbaijan,-0.885625541
2016,Control of Corruption,Azerbaijan,-0.831865549
2015,Control of Corruption,Azerbaijan,-0.930738151
2014,Control of Corruption,Azerbaijan,-1.022490263
2013,Control of Corruption,Azerbaijan,-0.970375061
2012,Control of Corruption,Azerbaijan,-1.142694116
2011,Control of Corruption,Azerbaijan,-1.195314765
2010,Control of Corruption,Azerbaijan,-1.245373249
2009,Control of Corruption,Azerbaijan,-1.194081903
2008,Control of Corruption,Azerbaijan,-1.156654239
2007,Control of Corruption,Azerbaijan,-1.129073739
2006,Control of Corruption,Azerbaijan,-1.095912457
2005,Control of Corruption,Azerbaijan,-1.052521467
2004,Control of Corruption,Azerbaijan,-1.18083179
2003,Control of Corruption,Azerbaijan,-1.046231985
2002,Control of Corruption,Azerbaijan,-1.195501924
2000,Control of Corruption,Azerbaijan,-1.292382717
1998,Control of Corruption,Azerbaijan,-1.289568424
1996,Control of Corruption,Azerbaijan,-1.445619464
2021,Control of Corruption,Belgium,1.484489679
2020,Control of Corruption,Belgium,1.47522223
2019,Control of Corruption,Belgium,1.481857061
2018,Control of Corruption,Belgium,1.461817741
2017,Control of Corruption,Belgium,1.440446138
2016,Control of Corruption,Belgium,1.569267988
2015,Control of Corruption,Belgium,1.511199117
2014,Control of Corruption,Belgium,1.512950301
2013,Control of Corruption,Belgium,1.604302645
2012,Control of Corruption,Belgium,1.559110403
2011,Control of Corruption,Belgium,1.519928932
2010,Control of Corruption,Belgium,1.473829985
2009,Control of Corruption,Belgium,1.452005267
2008,Control of Corruption,Belgium,1.36263752
2007,Control of Corruption,Belgium,1.347415328
2006,Control of Corruption,Belgium,1.301286578
2005,Control of Corruption,Belgium,1.377162457
2004,Control of Corruption,Belgium,1.360382557
2003,Control of Corruption,Belgium,1.375112772
2002,Control of Corruption,Belgium,1.45780158
2000,Control of Corruption,Belgium,1.446859002
1998,Control of Corruption,Belgium,1.313234091
1996,Control of Corruption,Belgium,1.359654307
2021,Control of Corruption,Bulgaria,-0.235711768
2020,Control of Corruption,Bulgaria,-0.300079286
2019,Control of Corruption,Bulgaria,-0.157977611
2018,Control of Corruption,Bulgaria,-0.164292946
2017,Control of Corruption,Bulgaria,-0.17138277
2016,Control of Corruption,Bulgaria,-0.236125767
2015,Control of Corruption,Bulgaria,-0.321295172
2014,Control of Corruption,Bulgaria,-0.302766591
2013,Control of Corruption,Bulgaria,-0.327604949
2012,Control of Corruption,Bulgaria,-0.281460792
2011,Control of Corruption,Bulgaria,-0.26926437
2010,Control of Corruption,Bulgaria,-0.237023547
2009,Control of Corruption,Bulgaria,-0.229267567
2008,Control of Corruption,Bulgaria,-0.274787337
2007,Control of Corruption,Bulgaria,-0.231792405
2006,Control of Corruption,Bulgaria,-0.110585965
2005,Control of Corruption,Bulgaria,0.018745424
2004,Control of Corruption,Bulgaria,0.06820406
2003,Control of Corruption,Bulgaria,-0.087321013
2002,Control of Corruption,Bulgaria,-0.171931699
2000,Control of Corruption,Bulgaria,-0.178624526
1998,Control of Corruption,Bulgaria,-0.178232148
1996,Control of Corruption,Bulgaria,-0.361505151
2021,Control of Corruption,Bosnia and Herzegovina,-0.643698514
2020,Control of Corruption,Bosnia and Herzegovina,-0.620458722
2019,Control of Corruption,Bosnia and Herzegovina,-0.625312626
2018,Control of Corruption,Bosnia and Herzegovina,-0.582578957
2017,Control of Corruption,Bosnia and Herzegovina,-0.529383123
2016,Control of Corruption,Bosnia and Herzegovina,-0.461519122
2015,Control of Corruption,Bosnia and Herzegovina,-0.391407371
2014,Control of Corruption,Bosnia and Herzegovina,-0.299684912
2013,Control of Corruption,Bosnia and Herzegovina,-0.244402736
2012,Control of Corruption,Bosnia and Herzegovina,-0.309364051
2011,Control of Corruption,Bosnia and Herzegovina,-0.326692939
2010,Control of Corruption,Bosnia and Herzegovina,-0.336401552
2009,Control of Corruption,Bosnia and Herzegovina,-0.379986048
2008,Control of Corruption,Bosnia and Herzegovina,-0.360781223
2007,Control of Corruption,Bosnia and Herzegovina,-0.374117345
2006,Control of Corruption,Bosnia and Herzegovina,-0.3014144
2005,Control of Corruption,Bosnia and Herzegovina,-0.232808679
2004,Control of Corruption,Bosnia and Herzegovina,-0.324706376
2003,Control of Corruption,Bosnia and Herzegovina,-0.282097161
2002,Control of Corruption,Bosnia and Herzegovina,-0.387543082
2000,Control of Corruption,Bosnia and Herzegovina,-0.595849037
1998,Control of Corruption,Bosnia and Herzegovina,-0.402136475
1996,Control of Corruption,Bosnia and Herzegovina,-0.270569712
2021,Control of Corruption,Belarus,-0.23533681
2020,Control of Corruption,Belarus,-0.110224746
2019,Control of Corruption,Belarus,0.032411866
2018,Control of Corruption,Belarus,-0.129793927
2017,Control of Corruption,Belarus,-0.215110376
2016,Control of Corruption,Belarus,-0.198352844
2015,Control of Corruption,Belarus,-0.289550424
2014,Control of Corruption,Belarus,-0.234706506
2013,Control of Corruption,Belarus,-0.40493837
2012,Control of Corruption,Belarus,-0.458519369
2011,Control of Corruption,Belarus,-0.619015694
2010,Control of Corruption,Belarus,-0.633431315
2009,Control of Corruption,Belarus,-0.56215173
2008,Control of Corruption,Belarus,-0.559036314
2007,Control of Corruption,Belarus,-0.574205935
2006,Control of Corruption,Belarus,-0.52986896
2005,Control of Corruption,Belarus,-0.723230779
2004,Control of Corruption,Belarus,-0.759292543
2003,Control of Corruption,Belarus,-0.537339866
2002,Control of Corruption,Belarus,-0.657884896
2000,Control of Corruption,Belarus,-0.504357815
1998,Control of Corruption,Belarus,-0.323169857
1996,Control of Corruption,Belarus,-0.389609158
2021,Control of Corruption,Switzerland,1.989697456
2020,Control of Corruption,Switzerland,2.07655406
2019,Control of Corruption,Switzerland,1.980325937
2018,Control of Corruption,Switzerland,2.004628181
2017,Control of Corruption,Switzerland,1.984895706
2016,Control of Corruption,Switzerland,1.983234882
2015,Control of Corruption,Switzerland,2.134661674
2014,Control of Corruption,Switzerland,2.147784948
2013,Control of Corruption,Switzerland,2.124835014
2012,Control of Corruption,Switzerland,2.13839817
2011,Control of Corruption,Switzerland,2.029069901
2010,Control of Corruption,Switzerland,2.064142466
2009,Control of Corruption,Switzerland,2.060199976
2008,Control of Corruption,Switzerland,2.108572006
2007,Control of Corruption,Switzerland,2.140349388
2006,Control of Corruption,Switzerland,2.083408356
2005,Control of Corruption,Switzerland,2.010125875
2004,Control of Corruption,Switzerland,1.985262632
2003,Control of Corruption,Switzerland,2.012480974
2002,Control of Corruption,Switzerland,2.059014559
2000,Control of Corruption,Switzerland,2.048353672
1998,Control of Corruption,Switzerland,2.051917791
1996,Control of Corruption,Switzerland,1.986975789
2021,Control of Corruption,Cyprus,0.394521177
2020,Control of Corruption,Cyprus,0.37409839
2019,Control of Corruption,Cyprus,0.626630962
