Year,SeriesCode,GeoAreaName,Age,Value
2021,"SG_DMK_PARLYN_UC","Australia","<=45Y",22
2022,"SG_DMK_PARLYN_UC","Australia","<=45Y",22
2023,"SG_DMK_PARLYN_UC","Australia","<=45Y",15
2021,"SG_DMK_PARLYN_UC","Austria","<=45Y",16
2022,"SG_DMK_PARLYN_UC","Austria","<=45Y",19
2023,"SG_DMK_PARLYN_UC","Austria","<=45Y",19
2021,"SG_DMK_PARLYN_UC","Belgium","<=45Y",29
2022,"SG_DMK_PARLYN_UC","Belgium","<=45Y",29
2023,"SG_DMK_PARLYN_UC","Belgium","<=45Y",29
2021,"SG_DMK_PARLYN_UC","Bosnia and Herzegovina","<=45Y",1
2022,"SG_DMK_PARLYN_UC","Bosnia and Herzegovina","<=45Y",1
2023,"SG_DMK_PARLYN_UC","Bosnia and Herzegovina","<=45Y",1
2021,"SG_DMK_PARLYN_UC","Belarus","<=45Y",10
2022,"SG_DMK_PARLYN_UC","Belarus","<=45Y",10
2023,"SG_DMK_PARLYN_UC","Belarus","<=45Y",10
2023,"SG_DMK_PARLYN_UC","Canada","<=45Y",1
2022,"SG_DMK_PARLYN_UC","Chile","<=45Y",8
2023,"SG_DMK_PARLYN_UC","Chile","<=45Y",9
2021,"SG_DMK_PARLYN_UC","Colombia","<=45Y",35
2022,"SG_DMK_PARLYN_UC","Colombia","<=45Y",35
2023,"SG_DMK_PARLYN_UC","Colombia","<=45Y",44
2021,"SG_DMK_PARLYN_UC","Czechia","<=45Y",4
2022,"SG_DMK_PARLYN_UC","Czechia","<=45Y",4
2023,"SG_DMK_PARLYN_UC","Czechia","<=45Y",7
2021,"SG_DMK_PARLYN_UC","France","<=45Y",25
2022,"SG_DMK_PARLYN_UC","France","<=45Y",25
2023,"SG_DMK_PARLYN_UC","France","<=45Y",25
2022,"SG_DMK_PARLYN_UC","Germany","<=45Y",9
2023,"SG_DMK_PARLYN_UC","Germany","<=45Y",9
2021,"SG_DMK_PARLYN_UC","India","<=45Y",9
2022,"SG_DMK_PARLYN_UC","India","<=45Y",9
2023,"SG_DMK_PARLYN_UC","India","<=45Y",18
2021,"SG_DMK_PARLYN_UC","Ireland","<=45Y",16
2022,"SG_DMK_PARLYN_UC","Ireland","<=45Y",16
2023,"SG_DMK_PARLYN_UC","Ireland","<=45Y",16
2021,"SG_DMK_PARLYN_UC","Italy","<=45Y",86
2022,"SG_DMK_PARLYN_UC","Italy","<=45Y",86
2023,"SG_DMK_PARLYN_UC","Italy","<=45Y",18
2021,"SG_DMK_PARLYN_UC","Japan","<=45Y",46
2022,"SG_DMK_PARLYN_UC","Japan","<=45Y",46
2023,"SG_DMK_PARLYN_UC","Japan","<=45Y",25
2022,"SG_DMK_PARLYN_UC","Kazakhstan","<=45Y",1
2023,"SG_DMK_PARLYN_UC","Kazakhstan","<=45Y",1
2021,"SG_DMK_PARLYN_UC","Mexico","<=45Y",30
2022,"SG_DMK_PARLYN_UC","Mexico","<=45Y",30
2023,"SG_DMK_PARLYN_UC","Mexico","<=45Y",30
2021,"SG_DMK_PARLYN_UC","Netherlands (Kingdom of the)","<=45Y",9
2022,"SG_DMK_PARLYN_UC","Netherlands (Kingdom of the)","<=45Y",9
2023,"SG_DMK_PARLYN_UC","Netherlands (Kingdom of the)","<=45Y",9
2021,"SG_DMK_PARLYN_UC","Poland","<=45Y",9
2022,"SG_DMK_PARLYN_UC","Poland","<=45Y",9
2023,"SG_DMK_PARLYN_UC","Poland","<=45Y",9
2021,"SG_DMK_PARLYN_UC","Romania","<=45Y",47
2022,"SG_DMK_PARLYN_UC","Romania","<=45Y",47
2023,"SG_DMK_PARLYN_UC","Romania","<=45Y",47
2022,"SG_DMK_PARLYN_UC","Slovenia","<=45Y",2
2023,"SG_DMK_PARLYN_UC","Slovenia","<=45Y",8
2021,"SG_DMK_PARLYN_UC","Spain","<=45Y",59
2022,"SG_DMK_PARLYN_UC","Spain","<=45Y",59
2023,"SG_DMK_PARLYN_UC","Spain","<=45Y",59
2021,"SG_DMK_PARLYN_UC","Switzerland","<=45Y",8
2022,"SG_DMK_PARLYN_UC","Switzerland","<=45Y",8
2023,"SG_DMK_PARLYN_UC","Switzerland","<=45Y",8
2022,"SG_DMK_PARLYN_UC","Tajikistan","<=45Y",7
2023,"SG_DMK_PARLYN_UC","Tajikistan","<=45Y",7
2021,"SG_DMK_PARLYN_UC","United Kingdom of Great Britain and Northern Ireland","<=45Y",15
2022,"SG_DMK_PARLYN_UC","United Kingdom of Great Britain and Northern Ireland","<=45Y",15
2023,"SG_DMK_PARLYN_UC","United Kingdom of Great Britain and Northern Ireland","<=45Y",15
2022,"SG_DMK_PARLYN_UC","Uzbekistan","<=45Y",16
2023,"SG_DMK_PARLYN_UC","Uzbekistan","<=45Y",16
2023,"SG_DMK_PARLYN_UC","Uzbekistan","<=45Y",16
