Year,SeriesCode,GeoAreaName,Value
2010,"FB_BNK_CAPA_ZS","Albania",8.65739
2011,"FB_BNK_CAPA_ZS","Albania",8.13171
2012,"FB_BNK_CAPA_ZS","Albania",7.92991
2013,"FB_BNK_CAPA_ZS","Albania",7.73183
2014,"FB_BNK_CAPA_ZS","Albania",7.42401
2015,"FB_BNK_CAPA_ZS","Albania",8.43099
2016,"FB_BNK_CAPA_ZS","Albania",8.74723
2017,"FB_BNK_CAPA_ZS","Albania",9.01865
2018,"FB_BNK_CAPA_ZS","Albania",9.15081
2019,"FB_BNK_CAPA_ZS","Albania",9.07841
2020,"FB_BNK_CAPA_ZS","Albania",9.06901
2021,"FB_BNK_CAPA_ZS","Albania",8.84649
2005,"FB_BNK_CAPA_ZS","Australia",4.939
2006,"FB_BNK_CAPA_ZS","Australia",4.75093
2007,"FB_BNK_CAPA_ZS","Australia",4.50428
2008,"FB_BNK_CAPA_ZS","Australia",4.19912
2009,"FB_BNK_CAPA_ZS","Australia",4.703
2010,"FB_BNK_CAPA_ZS","Australia",4.62022
2011,"FB_BNK_CAPA_ZS","Australia",4.69685
2012,"FB_BNK_CAPA_ZS","Australia",4.75558
2013,"FB_BNK_CAPA_ZS","Australia",4.6725
2014,"FB_BNK_CAPA_ZS","Australia",4.697
2015,"FB_BNK_CAPA_ZS","Australia",5.31732
2016,"FB_BNK_CAPA_ZS","Australia",5.44397
2017,"FB_BNK_CAPA_ZS","Australia",5.91272
2018,"FB_BNK_CAPA_ZS","Australia",5.91854
2019,"FB_BNK_CAPA_ZS","Australia",6.19863
2020,"FB_BNK_CAPA_ZS","Australia",6.37432
2021,"FB_BNK_CAPA_ZS","Australia",6.16934
2006,"FB_BNK_CAPA_ZS","Austria",3.79492
2007,"FB_BNK_CAPA_ZS","Austria",3.81391
2008,"FB_BNK_CAPA_ZS","Austria",3.612
2009,"FB_BNK_CAPA_ZS","Austria",4.58154
2010,"FB_BNK_CAPA_ZS","Austria",5.09505
2011,"FB_BNK_CAPA_ZS","Austria",4.98718
2012,"FB_BNK_CAPA_ZS","Austria",5.12553
2013,"FB_BNK_CAPA_ZS","Austria",5.36846
2014,"FB_BNK_CAPA_ZS","Austria",5.21249
2015,"FB_BNK_CAPA_ZS","Austria",5.37708
2016,"FB_BNK_CAPA_ZS","Austria",6.19178
2017,"FB_BNK_CAPA_ZS","Austria",6.89235
2018,"FB_BNK_CAPA_ZS","Austria",6.87103
2019,"FB_BNK_CAPA_ZS","Austria",7.50821
2020,"FB_BNK_CAPA_ZS","Austria",7.26714
2005,"FB_BNK_CAPA_ZS","Armenia",21.5459
2006,"FB_BNK_CAPA_ZS","Armenia",22.92493
2007,"FB_BNK_CAPA_ZS","Armenia",22.47723
2008,"FB_BNK_CAPA_ZS","Armenia",20.40533
2009,"FB_BNK_CAPA_ZS","Armenia",20.99481
2010,"FB_BNK_CAPA_ZS","Armenia",17.75258
2011,"FB_BNK_CAPA_ZS","Armenia",14.94373
2012,"FB_BNK_CAPA_ZS","Armenia",13.52963
2013,"FB_BNK_CAPA_ZS","Armenia",12.64094
2014,"FB_BNK_CAPA_ZS","Armenia",11.62917
2015,"FB_BNK_CAPA_ZS","Armenia",11.85845
2016,"FB_BNK_CAPA_ZS","Armenia",12.9515
2017,"FB_BNK_CAPA_ZS","Armenia",12.76062
2018,"FB_BNK_CAPA_ZS","Armenia",12.50277
2019,"FB_BNK_CAPA_ZS","Armenia",11.85864
2020,"FB_BNK_CAPA_ZS","Armenia",11.50393
2005,"FB_BNK_CAPA_ZS","Belgium",7.86186
2006,"FB_BNK_CAPA_ZS","Belgium",3.04176
2007,"FB_BNK_CAPA_ZS","Belgium",4.29751
2008,"FB_BNK_CAPA_ZS","Belgium",3.88354
2009,"FB_BNK_CAPA_ZS","Belgium",4.52617
2010,"FB_BNK_CAPA_ZS","Belgium",5.02588
2011,"FB_BNK_CAPA_ZS","Belgium",4.92118
2012,"FB_BNK_CAPA_ZS","Belgium",5.33174
2013,"FB_BNK_CAPA_ZS","Belgium",5.78444
2014,"FB_BNK_CAPA_ZS","Belgium",5.3782
2015,"FB_BNK_CAPA_ZS","Belgium",5.68502
2016,"FB_BNK_CAPA_ZS","Belgium",5.87334
2017,"FB_BNK_CAPA_ZS","Belgium",6.34337
2018,"FB_BNK_CAPA_ZS","Belgium",6.33769
2019,"FB_BNK_CAPA_ZS","Belgium",6.23057
2020,"FB_BNK_CAPA_ZS","Belgium",6.25219
2021,"FB_BNK_CAPA_ZS","Belgium",6.1739
2000,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",20.43923
2001,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",14.52766
2002,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",14.93297
2003,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",11.79346
2004,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",10.73723
2005,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",9.72961
2006,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",9.73689
2007,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",8.81781
2008,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",9.20405
2009,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",9.69789
2010,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",10.27702
2011,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",10.61361
2012,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",10.93375
2013,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",11.53761
2014,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",10.66636
2015,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",10.07751
2016,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",10.86116
2017,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",10.67599
2018,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",10.43046
2019,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",10.51084
2020,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",10.18703
2021,"FB_BNK_CAPA_ZS","Bosnia and Herzegovina",9.97462
2008,"FB_BNK_CAPA_ZS","Bulgaria",8.55634
2009,"FB_BNK_CAPA_ZS","Bulgaria",10.84216
2010,"FB_BNK_CAPA_ZS","Bulgaria",10.46769
2011,"FB_BNK_CAPA_ZS","Bulgaria",10.7647
2012,"FB_BNK_CAPA_ZS","Bulgaria",10.09607
2013,"FB_BNK_CAPA_ZS","Bulgaria",10.35152
2014,"FB_BNK_CAPA_ZS","Bulgaria",11.56688
2015,"FB_BNK_CAPA_ZS","Bulgaria",12.0159
2016,"FB_BNK_CAPA_ZS","Bulgaria",11.62961
2017,"FB_BNK_CAPA_ZS","Bulgaria",11.3934
2018,"FB_BNK_CAPA_ZS","Bulgaria",10.82327
2019,"FB_BNK_CAPA_ZS","Bulgaria",11.59432
2020,"FB_BNK_CAPA_ZS","Bulgaria",11.8822
2010,"FB_BNK_CAPA_ZS","Belarus",11.09652
2011,"FB_BNK_CAPA_ZS","Belarus",12.02255
2012,"FB_BNK_CAPA_ZS","Belarus",10.98354
2013,"FB_BNK_CAPA_ZS","Belarus",10.17698
2014,"FB_BNK_CAPA_ZS","Belarus",9.67767
2015,"FB_BNK_CAPA_ZS","Belarus",9.93939
2016,"FB_BNK_CAPA_ZS","Belarus",10.58598
2017,"FB_BNK_CAPA_ZS","Belarus",11.49544
2018,"FB_BNK_CAPA_ZS","Belarus",11.48124
2019,"FB_BNK_CAPA_ZS","Belarus",11.54639
2020,"FB_BNK_CAPA_ZS","Belarus",11.36816
2021,"FB_BNK_CAPA_ZS","Belarus",12.14014
2005,"FB_BNK_CAPA_ZS","Canada",4.50904
2006,"FB_BNK_CAPA_ZS","Canada",4.58167
2007,"FB_BNK_CAPA_ZS","Canada",4.22304
2008,"FB_BNK_CAPA_ZS","Canada",4.04616
2009,"FB_BNK_CAPA_ZS","Canada",4.75624
2010,"FB_BNK_CAPA_ZS","Canada",4.76631
2011,"FB_BNK_CAPA_ZS","Canada",4.87672
2012,"FB_BNK_CAPA_ZS","Canada",4.61983
2013,"FB_BNK_CAPA_ZS","Canada",4.30271
2014,"FB_BNK_CAPA_ZS","Canada",4.47839
2015,"FB_BNK_CAPA_ZS","Canada",4.55249
2016,"FB_BNK_CAPA_ZS","Canada",4.65117
2017,"FB_BNK_CAPA_ZS","Canada",4.79472
2018,"FB_BNK_CAPA_ZS","Canada",4.78625
2019,"FB_BNK_CAPA_ZS","Canada",4.70198
2020,"FB_BNK_CAPA_ZS","Canada",4.55593
2021,"FB_BNK_CAPA_ZS","Canada",4.76463
2001,"FB_BNK_CAPA_ZS","Chile",7.44365
2002,"FB_BNK_CAPA_ZS","Chile",7.90304
2003,"FB_BNK_CAPA_ZS","Chile",7.88341
2004,"FB_BNK_CAPA_ZS","Chile",7.42286
2005,"FB_BNK_CAPA_ZS","Chile",7.10102
2006,"FB_BNK_CAPA_ZS","Chile",6.79388
2007,"FB_BNK_CAPA_ZS","Chile",6.90689
2008,"FB_BNK_CAPA_ZS","Chile",7.24916
2009,"FB_BNK_CAPA_ZS","Chile",7.85398
2010,"FB_BNK_CAPA_ZS","Chile",7.83995
2011,"FB_BNK_CAPA_ZS","Chile",7.73891
2012,"FB_BNK_CAPA_ZS","Chile",7.93993
2013,"FB_BNK_CAPA_ZS","Chile",7.91157
2014,"FB_BNK_CAPA_ZS","Chile",7.76994
2015,"FB_BNK_CAPA_ZS","Chile",7.36574
2016,"FB_BNK_CAPA_ZS","Chile",8.24903
2017,"FB_BNK_CAPA_ZS","Chile",8.28941
2018,"FB_BNK_CAPA_ZS","Chile",8.19182
2019,"FB_BNK_CAPA_ZS","Chile",7.33893
2020,"FB_BNK_CAPA_ZS","Chile",6.63929
2021,"FB_BNK_CAPA_ZS","Chile",6.65193
2014,"FB_BNK_CAPA_ZS","China",6.86071
2015,"FB_BNK_CAPA_ZS","China",7.06619
2016,"FB_BNK_CAPA_ZS","China",6.87224
2017,"FB_BNK_CAPA_ZS","China",7.08841
2018,"FB_BNK_CAPA_ZS","China",7.37794
2019,"FB_BNK_CAPA_ZS","China",7.57138
2020,"FB_BNK_CAPA_ZS","China",7.54176
2021,"FB_BNK_CAPA_ZS","China",7.75345
2005,"FB_BNK_CAPA_ZS","Colombia",8.59409
2006,"FB_BNK_CAPA_ZS","Colombia",8.72688
2007,"FB_BNK_CAPA_ZS","Colombia",9.3947
2008,"FB_BNK_CAPA_ZS","Colombia",9.04003
2009,"FB_BNK_CAPA_ZS","Colombia",9.80458
2010,"FB_BNK_CAPA_ZS","Colombia",9.79385
2011,"FB_BNK_CAPA_ZS","Colombia",10.23354
2012,"FB_BNK_CAPA_ZS","Colombia",10.46302
2013,"FB_BNK_CAPA_ZS","Colombia",8.96216
2014,"FB_BNK_CAPA_ZS","Colombia",8.92944
2015,"FB_BNK_CAPA_ZS","Colombia",8.70103
2016,"FB_BNK_CAPA_ZS","Colombia",8.73123
2017,"FB_BNK_CAPA_ZS","Colombia",9.19236
2018,"FB_BNK_CAPA_ZS","Colombia",9.44158
2019,"FB_BNK_CAPA_ZS","Colombia",9.12952
2020,"FB_BNK_CAPA_ZS","Colombia",9.94699
2021,"FB_BNK_CAPA_ZS","Colombia",12.42672
2008,"FB_BNK_CAPA_ZS","Costa Rica",8.45403
2009,"FB_BNK_CAPA_ZS","Costa Rica",9.60532
2010,"FB_BNK_CAPA_ZS","Costa Rica",9.8972
2011,"FB_BNK_CAPA_ZS","Costa Rica",9.99752
2012,"FB_BNK_CAPA_ZS","Costa Rica",9.90515
2013,"FB_BNK_CAPA_ZS","Costa Rica",9.68715
2014,"FB_BNK_CAPA_ZS","Costa Rica",9.67861
2015,"FB_BNK_CAPA_ZS","Costa Rica",9.63798
2016,"FB_BNK_CAPA_ZS","Costa Rica",9.27888
2017,"FB_BNK_CAPA_ZS","Costa Rica",9.44245
2018,"FB_BNK_CAPA_ZS","Costa Rica",9.57078
2019,"FB_BNK_CAPA_ZS","Costa Rica",10.02038
2020,"FB_BNK_CAPA_ZS","Costa Rica",9.5617
2021,"FB_BNK_CAPA_ZS","Croatia",11.64255
2008,"FB_BNK_CAPA_ZS","Cyprus",4.26268
2009,"FB_BNK_CAPA_ZS","Cyprus",4.63489
2010,"FB_BNK_CAPA_ZS","Cyprus",6.004
2011,"FB_BNK_CAPA_ZS","Cyprus",4.38695
2012,"FB_BNK_CAPA_ZS","Cyprus",3.79657
2013,"FB_BNK_CAPA_ZS","Cyprus",8.12295
2014,"FB_BNK_CAPA_ZS","Cyprus",9.57784
2015,"FB_BNK_CAPA_ZS","Cyprus",9.86911
2016,"FB_BNK_CAPA_ZS","Cyprus",10.1841
2017,"FB_BNK_CAPA_ZS","Cyprus",8.69778
2018,"FB_BNK_CAPA_ZS","Cyprus",8.10081
2019,"FB_BNK_CAPA_ZS","Cyprus",8.92014
2020,"FB_BNK_CAPA_ZS","Cyprus",8.66211
2021,"FB_BNK_CAPA_ZS","Cyprus",7.34039
2005,"FB_BNK_CAPA_ZS","Czechia",19.53378
2007,"FB_BNK_CAPA_ZS","Czechia",5.04309
2008,"FB_BNK_CAPA_ZS","Czechia",5.44559
2009,"FB_BNK_CAPA_ZS","Czechia",6.05433
2010,"FB_BNK_CAPA_ZS","Czechia",6.45344
2011,"FB_BNK_CAPA_ZS","Czechia",6.46273
2012,"FB_BNK_CAPA_ZS","Czechia",6.84601
2013,"FB_BNK_CAPA_ZS","Czechia",7.17579
2014,"FB_BNK_CAPA_ZS","Czechia",7.26746
2015,"FB_BNK_CAPA_ZS","Czechia",7.49088
2016,"FB_BNK_CAPA_ZS","Czechia",7.22773
2017,"FB_BNK_CAPA_ZS","Czechia",6.46241
2018,"FB_BNK_CAPA_ZS","Czechia",6.52009
2019,"FB_BNK_CAPA_ZS","Czechia",6.81839
2020,"FB_BNK_CAPA_ZS","Czechia",7.34037
2021,"FB_BNK_CAPA_ZS","Czechia",6.89515
2005,"FB_BNK_CAPA_ZS","Denmark",6.14434
2006,"FB_BNK_CAPA_ZS","Denmark",5.73891
2007,"FB_BNK_CAPA_ZS","Denmark",6.2408
2008,"FB_BNK_CAPA_ZS","Denmark",5.51644
2009,"FB_BNK_CAPA_ZS","Denmark",5.49294
2010,"FB_BNK_CAPA_ZS","Denmark",5.43221
2011,"FB_BNK_CAPA_ZS","Denmark",18.85158
2012,"FB_BNK_CAPA_ZS","Denmark",18.52097
2013,"FB_BNK_CAPA_ZS","Denmark",21.5677
2014,"FB_BNK_CAPA_ZS","Denmark",5.11626
2015,"FB_BNK_CAPA_ZS","Denmark",5.09551
2016,"FB_BNK_CAPA_ZS","Denmark",5.13927
2017,"FB_BNK_CAPA_ZS","Denmark",4.88429
2018,"FB_BNK_CAPA_ZS","Denmark",5.10155
2019,"FB_BNK_CAPA_ZS","Denmark",4.82945
2020,"FB_BNK_CAPA_ZS","Denmark",4.64547
2021,"FB_BNK_CAPA_ZS","Denmark",4.80617
2008,"FB_BNK_CAPA_ZS","Estonia",7.14067
2009,"FB_BNK_CAPA_ZS","Estonia",8.66183
2010,"FB_BNK_CAPA_ZS","Estonia",9.0058
2011,"FB_BNK_CAPA_ZS","Estonia",8.20051
2012,"FB_BNK_CAPA_ZS","Estonia",9.04806
2013,"FB_BNK_CAPA_ZS","Estonia",9.87493
2014,"FB_BNK_CAPA_ZS","Estonia",10.68006
2015,"FB_BNK_CAPA_ZS","Estonia",15.04866
2016,"FB_BNK_CAPA_ZS","Estonia",13.96386
2017,"FB_BNK_CAPA_ZS","Estonia",13.09528
2018,"FB_BNK_CAPA_ZS","Estonia",12.69742
2019,"FB_BNK_CAPA_ZS","Estonia",12.10465
2020,"FB_BNK_CAPA_ZS","Estonia",10.54693
2021,"FB_BNK_CAPA_ZS","Estonia",9.26624
2007,"FB_BNK_CAPA_ZS","Finland",6.07915
2008,"FB_BNK_CAPA_ZS","Finland",5.0496
2009,"FB_BNK_CAPA_ZS","Finland",4.76133
2010,"FB_BNK_CAPA_ZS","Finland",4.26359
2011,"FB_BNK_CAPA_ZS","Finland",3.64715
2012,"FB_BNK_CAPA_ZS","Finland",3.99955
2013,"FB_BNK_CAPA_ZS","Finland",4.09704
2014,"FB_BNK_CAPA_ZS","Finland",4.35706
2015,"FB_BNK_CAPA_ZS","Finland",5.42519
2016,"FB_BNK_CAPA_ZS","Finland",6.56997
2017,"FB_BNK_CAPA_ZS","Finland",5.48573
2018,"FB_BNK_CAPA_ZS","Finland",7.83653
2019,"FB_BNK_CAPA_ZS","Finland",5.88198
2020,"FB_BNK_CAPA_ZS","Finland",6.14252
2021,"FB_BNK_CAPA_ZS","Finland",6.12053
2008,"FB_BNK_CAPA_ZS","France",2.96444
2009,"FB_BNK_CAPA_ZS","France",3.65846
2010,"FB_BNK_CAPA_ZS","France",3.88994
2011,"FB_BNK_CAPA_ZS","France",3.89023
2012,"FB_BNK_CAPA_ZS","France",4.26651
2013,"FB_BNK_CAPA_ZS","France",4.53258
2014,"FB_BNK_CAPA_ZS","France",4.23665
2015,"FB_BNK_CAPA_ZS","France",4.67838
2016,"FB_BNK_CAPA_ZS","France",5.15137
2017,"FB_BNK_CAPA_ZS","France",5.37401
2018,"FB_BNK_CAPA_ZS","France",5.41297
2019,"FB_BNK_CAPA_ZS","France",5.40184
2020,"FB_BNK_CAPA_ZS","France",5.30437
2021,"FB_BNK_CAPA_ZS","France",5.26285
2001,"FB_BNK_CAPA_ZS","Georgia",24.33096
2002,"FB_BNK_CAPA_ZS","Georgia",19.55428
2003,"FB_BNK_CAPA_ZS","Georgia",18.29388
2004,"FB_BNK_CAPA_ZS","Georgia",17.56863
2005,"FB_BNK_CAPA_ZS","Georgia",14.24946
2006,"FB_BNK_CAPA_ZS","Georgia",16.95897
2007,"FB_BNK_CAPA_ZS","Georgia",15.71902
2008,"FB_BNK_CAPA_ZS","Georgia",16.17922
2009,"FB_BNK_CAPA_ZS","Georgia",15.58202
2010,"FB_BNK_CAPA_ZS","Georgia",12.74397
2011,"FB_BNK_CAPA_ZS","Georgia",11.9892
2012,"FB_BNK_CAPA_ZS","Georgia",13.58037
2013,"FB_BNK_CAPA_ZS","Georgia",12.59165
2014,"FB_BNK_CAPA_ZS","Georgia",13.21519
2015,"FB_BNK_CAPA_ZS","Georgia",10.43177
2016,"FB_BNK_CAPA_ZS","Georgia",9.38294
2017,"FB_BNK_CAPA_ZS","Georgia",11.29743
2018,"FB_BNK_CAPA_ZS","Georgia",11.55032
2019,"FB_BNK_CAPA_ZS","Georgia",12.27817
2020,"FB_BNK_CAPA_ZS","Georgia",10.29381
2021,"FB_BNK_CAPA_ZS","Georgia",13.03952
2005,"FB_BNK_CAPA_ZS","Germany",4.07
2006,"FB_BNK_CAPA_ZS","Germany",4.33
2007,"FB_BNK_CAPA_ZS","Germany",4.27
2008,"FB_BNK_CAPA_ZS","Germany",4.49
2009,"FB_BNK_CAPA_ZS","Germany",4.81
2010,"FB_BNK_CAPA_ZS","Germany",4.3
2011,"FB_BNK_CAPA_ZS","Germany",4.36
2012,"FB_BNK_CAPA_ZS","Germany",4.73
2013,"FB_BNK_CAPA_ZS","Germany",5.45
2014,"FB_BNK_CAPA_ZS","Germany",5.61
2015,"FB_BNK_CAPA_ZS","Germany",5.94
2016,"FB_BNK_CAPA_ZS","Germany",5.98
2017,"FB_BNK_CAPA_ZS","Germany",6.33
2018,"FB_BNK_CAPA_ZS","Germany",6.47
2019,"FB_BNK_CAPA_ZS","Germany",6.31
2020,"FB_BNK_CAPA_ZS","Germany",5.93
2021,"FB_BNK_CAPA_ZS","Germany",5.94
2005,"FB_BNK_CAPA_ZS","Greece",4.40371
2008,"FB_BNK_CAPA_ZS","Greece",3.48283
2009,"FB_BNK_CAPA_ZS","Greece",4.40633
