Year,SeriesCode,GeoAreaName,Value
2000,"NE_CON_GOVT_KD_ZG","Azerbaijan",10.84851
2001,"NE_CON_GOVT_KD_ZG","Azerbaijan",5.30883
2002,"NE_CON_GOVT_KD_ZG","Azerbaijan",7.60708
2003,"NE_CON_GOVT_KD_ZG","Azerbaijan",33.55615
2004,"NE_CON_GOVT_KD_ZG","Azerbaijan",19.87917
2005,"NE_CON_GOVT_KD_ZG","Azerbaijan",28.44929
2006,"NE_CON_GOVT_KD_ZG","Azerbaijan",44.53256
2007,"NE_CON_GOVT_KD_ZG","Azerbaijan",20.66487
2008,"NE_CON_GOVT_KD_ZG","Azerbaijan",33.36976
2009,"NE_CON_GOVT_KD_ZG","Azerbaijan",5.67012
2010,"NE_CON_GOVT_KD_ZG","Azerbaijan",-9.80265
2000,"NE_CON_GOVT_KD_ZG","Estonia",-3.33206
2001,"NE_CON_GOVT_KD_ZG","Estonia",2.44517
2002,"NE_CON_GOVT_KD_ZG","Estonia",3.12096
2003,"NE_CON_GOVT_KD_ZG","Estonia",3.83125
2004,"NE_CON_GOVT_KD_ZG","Estonia",2.44046
2005,"NE_CON_GOVT_KD_ZG","Estonia",2.94066
2006,"NE_CON_GOVT_KD_ZG","Estonia",4.78046
2007,"NE_CON_GOVT_KD_ZG","Estonia",6.09855
2008,"NE_CON_GOVT_KD_ZG","Estonia",4.57091
2009,"NE_CON_GOVT_KD_ZG","Estonia",-3.17053
2010,"NE_CON_GOVT_KD_ZG","Estonia",-0.68093
2011,"NE_CON_GOVT_KD_ZG","Estonia",2.38687
2012,"NE_CON_GOVT_KD_ZG","Estonia",3.1696
2013,"NE_CON_GOVT_KD_ZG","Estonia",2.77755
2014,"NE_CON_GOVT_KD_ZG","Estonia",1.37455
2015,"NE_CON_GOVT_KD_ZG","Estonia",3.08741
2016,"NE_CON_GOVT_KD_ZG","Estonia",2.54384
2017,"NE_CON_GOVT_KD_ZG","Estonia",1.90537
2018,"NE_CON_GOVT_KD_ZG","Estonia",1.12166
2019,"NE_CON_GOVT_KD_ZG","Estonia",3.05805
2020,"NE_CON_GOVT_KD_ZG","Estonia",2.80664
2021,"NE_CON_GOVT_KD_ZG","Estonia",3.9692
