Year,SeriesCode,GeoAreaName,Value
2000,"NE_CON_PRVT_KD_ZG","Belgium",2.81687
2001,"NE_CON_PRVT_KD_ZG","Belgium",0.94325
2002,"NE_CON_PRVT_KD_ZG","Belgium",0.6116
2003,"NE_CON_PRVT_KD_ZG","Belgium",0.71785
2004,"NE_CON_PRVT_KD_ZG","Belgium",1.06418
2005,"NE_CON_PRVT_KD_ZG","Belgium",1.44428
2006,"NE_CON_PRVT_KD_ZG","Belgium",1.77486
2007,"NE_CON_PRVT_KD_ZG","Belgium",2.09228
2008,"NE_CON_PRVT_KD_ZG","Belgium",1.37497
2009,"NE_CON_PRVT_KD_ZG","Belgium",0.58452
2010,"NE_CON_PRVT_KD_ZG","Belgium",3.00906
2011,"NE_CON_PRVT_KD_ZG","Belgium",0.86543
2012,"NE_CON_PRVT_KD_ZG","Belgium",1.46746
2013,"NE_CON_PRVT_KD_ZG","Belgium",1.66925
2014,"NE_CON_PRVT_KD_ZG","Belgium",0.55201
2015,"NE_CON_PRVT_KD_ZG","Belgium",1.5851
2016,"NE_CON_PRVT_KD_ZG","Belgium",1.57005
2017,"NE_CON_PRVT_KD_ZG","Belgium",1.89223
2018,"NE_CON_PRVT_KD_ZG","Belgium",1.94494
2019,"NE_CON_PRVT_KD_ZG","Belgium",1.68817
2020,"NE_CON_PRVT_KD_ZG","Belgium",-8.32109
2021,"NE_CON_PRVT_KD_ZG","Belgium",5.54642
2000,"NE_CON_PRVT_KD_ZG","Albania",6.19822
2001,"NE_CON_PRVT_KD_ZG","Albania",3.99111
2002,"NE_CON_PRVT_KD_ZG","Albania",7.17256
2003,"NE_CON_PRVT_KD_ZG","Albania",10.39298
2004,"NE_CON_PRVT_KD_ZG","Albania",3.68703
2005,"NE_CON_PRVT_KD_ZG","Albania",6.39377
2006,"NE_CON_PRVT_KD_ZG","Albania",6.92426
2007,"NE_CON_PRVT_KD_ZG","Albania",12.73648
2008,"NE_CON_PRVT_KD_ZG","Albania",10.12853
2009,"NE_CON_PRVT_KD_ZG","Albania",0.71375
2010,"NE_CON_PRVT_KD_ZG","Albania",1.67042
2011,"NE_CON_PRVT_KD_ZG","Albania",1.77125
2012,"NE_CON_PRVT_KD_ZG","Albania",0.12898
2013,"NE_CON_PRVT_KD_ZG","Albania",1.83658
2014,"NE_CON_PRVT_KD_ZG","Albania",2.81394
2015,"NE_CON_PRVT_KD_ZG","Albania",1.18273
2016,"NE_CON_PRVT_KD_ZG","Albania",2.12682
2017,"NE_CON_PRVT_KD_ZG","Albania",2.44345
2018,"NE_CON_PRVT_KD_ZG","Albania",3.21554
2019,"NE_CON_PRVT_KD_ZG","Albania",2.22499
2020,"NE_CON_PRVT_KD_ZG","Albania",-3.52953
2021,"NE_CON_PRVT_KD_ZG","Albania",4.06901
2001,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",4.66434
2002,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",5.47205
2003,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",4.49713
2004,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",3.28523
2005,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",4.84107
2006,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",3.70271
2007,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",5.34485
2008,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",5.05121
2009,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",-4.271
2010,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",0.09176
2011,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",-0.15862
2012,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",-0.65288
2013,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",0.0509
2014,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",1.92101
2015,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",1.60808
2016,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",2.20181
2017,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",1.09859
2018,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",1.96691
2019,"NE_CON_PRVT_KD_ZG","Bosnia and Herzegovina",2.27595
2000,"NE_CON_PRVT_KD_ZG","Bulgaria",8.99853
2001,"NE_CON_PRVT_KD_ZG","Bulgaria",7.66989
2002,"NE_CON_PRVT_KD_ZG","Bulgaria",5.68429
2003,"NE_CON_PRVT_KD_ZG","Bulgaria",6.52114
2004,"NE_CON_PRVT_KD_ZG","Bulgaria",9.45919
2005,"NE_CON_PRVT_KD_ZG","Bulgaria",7.29318
2006,"NE_CON_PRVT_KD_ZG","Bulgaria",8.50636
2007,"NE_CON_PRVT_KD_ZG","Bulgaria",11.47641
2008,"NE_CON_PRVT_KD_ZG","Bulgaria",3.48485
2009,"NE_CON_PRVT_KD_ZG","Bulgaria",-4.26759
2010,"NE_CON_PRVT_KD_ZG","Bulgaria",2.37838
2011,"NE_CON_PRVT_KD_ZG","Bulgaria",1.99348
2012,"NE_CON_PRVT_KD_ZG","Bulgaria",3.74794
2013,"NE_CON_PRVT_KD_ZG","Bulgaria",-3.88102
2000,"NE_CON_PRVT_KD_ZG","Iceland",3.94889
2001,"NE_CON_PRVT_KD_ZG","Iceland",-2.78931
2002,"NE_CON_PRVT_KD_ZG","Iceland",-0.72479
2003,"NE_CON_PRVT_KD_ZG","Iceland",5.93856
2004,"NE_CON_PRVT_KD_ZG","Iceland",7.14868
2005,"NE_CON_PRVT_KD_ZG","Iceland",11.6643
2006,"NE_CON_PRVT_KD_ZG","Iceland",3.84961
2007,"NE_CON_PRVT_KD_ZG","Iceland",6.61762
2008,"NE_CON_PRVT_KD_ZG","Iceland",-6.69593
2009,"NE_CON_PRVT_KD_ZG","Iceland",-12.49893
2010,"NE_CON_PRVT_KD_ZG","Iceland",-0.26176
2000,"NE_CON_PRVT_KD_ZG","Serbia",5.06496
2001,"NE_CON_PRVT_KD_ZG","Serbia",1.55857
2002,"NE_CON_PRVT_KD_ZG","Serbia",9.18926
2003,"NE_CON_PRVT_KD_ZG","Serbia",2.69437
2004,"NE_CON_PRVT_KD_ZG","Serbia",12.69256
2005,"NE_CON_PRVT_KD_ZG","Serbia",2.36313
2006,"NE_CON_PRVT_KD_ZG","Serbia",10.53613
2007,"NE_CON_PRVT_KD_ZG","Serbia",7.67989
2008,"NE_CON_PRVT_KD_ZG","Serbia",4.49313
2009,"NE_CON_PRVT_KD_ZG","Serbia",-3.34559
2010,"NE_CON_PRVT_KD_ZG","Serbia",-0.61006
2011,"NE_CON_PRVT_KD_ZG","Serbia",1.41171
2012,"NE_CON_PRVT_KD_ZG","Serbia",-1.70116
2013,"NE_CON_PRVT_KD_ZG","Serbia",-1.6888
2014,"NE_CON_PRVT_KD_ZG","Serbia",-0.09887
2015,"NE_CON_PRVT_KD_ZG","Serbia",-0.63651
2016,"NE_CON_PRVT_KD_ZG","Serbia",1.89077
2017,"NE_CON_PRVT_KD_ZG","Serbia",2.20886
2018,"NE_CON_PRVT_KD_ZG","Serbia",3.11466
2019,"NE_CON_PRVT_KD_ZG","Serbia",3.66882
2020,"NE_CON_PRVT_KD_ZG","Serbia",-1.8694
2021,"NE_CON_PRVT_KD_ZG","Serbia",7.74801
2011,"NE_CON_PRVT_KD_ZG","Iceland",2.14377
2012,"NE_CON_PRVT_KD_ZG","Iceland",1.81968
2013,"NE_CON_PRVT_KD_ZG","Iceland",1.06833
2014,"NE_CON_PRVT_KD_ZG","Iceland",2.90545
2015,"NE_CON_PRVT_KD_ZG","Iceland",4.48601
2016,"NE_CON_PRVT_KD_ZG","Iceland",6.73372
2017,"NE_CON_PRVT_KD_ZG","Iceland",7.96519
2018,"NE_CON_PRVT_KD_ZG","Iceland",4.81166
2019,"NE_CON_PRVT_KD_ZG","Iceland",1.89249
2020,"NE_CON_PRVT_KD_ZG","Iceland",-2.92134
2021,"NE_CON_PRVT_KD_ZG","Iceland",7.74126
2000,"NE_CON_PRVT_KD_ZG","Slovakia",2.52561
2001,"NE_CON_PRVT_KD_ZG","Slovakia",5.29965
2002,"NE_CON_PRVT_KD_ZG","Slovakia",5.6597
2003,"NE_CON_PRVT_KD_ZG","Slovakia",0.89269
2004,"NE_CON_PRVT_KD_ZG","Slovakia",7.26921
2005,"NE_CON_PRVT_KD_ZG","Slovakia",4.51387
2006,"NE_CON_PRVT_KD_ZG","Slovakia",6.31713
2007,"NE_CON_PRVT_KD_ZG","Slovakia",7.86773
2008,"NE_CON_PRVT_KD_ZG","Slovakia",7.01649
2009,"NE_CON_PRVT_KD_ZG","Slovakia",-0.1735
2010,"NE_CON_PRVT_KD_ZG","Slovakia",0.83154
2014,"NE_CON_PRVT_KD_ZG","Bulgaria",1.39668
2015,"NE_CON_PRVT_KD_ZG","Bulgaria",2.8198
2016,"NE_CON_PRVT_KD_ZG","Bulgaria",2.22243
2017,"NE_CON_PRVT_KD_ZG","Bulgaria",2.5302
2018,"NE_CON_PRVT_KD_ZG","Bulgaria",3.72097
2019,"NE_CON_PRVT_KD_ZG","Bulgaria",5.9633
2020,"NE_CON_PRVT_KD_ZG","Bulgaria",-0.56728
2021,"NE_CON_PRVT_KD_ZG","Bulgaria",8.78066
2000,"NE_CON_PRVT_KD_ZG","Belarus",7.72811
2001,"NE_CON_PRVT_KD_ZG","Belarus",17.30632
2002,"NE_CON_PRVT_KD_ZG","Belarus",11.04023
2000,"NE_CON_PRVT_KD_ZG","India",3.43959
2001,"NE_CON_PRVT_KD_ZG","India",5.9529
2002,"NE_CON_PRVT_KD_ZG","India",2.87048
2003,"NE_CON_PRVT_KD_ZG","India",5.92532
2004,"NE_CON_PRVT_KD_ZG","India",5.17113
2005,"NE_CON_PRVT_KD_ZG","India",7.4557
2006,"NE_CON_PRVT_KD_ZG","India",4.93578
2007,"NE_CON_PRVT_KD_ZG","India",7.28156
2008,"NE_CON_PRVT_KD_ZG","India",4.4522
2009,"NE_CON_PRVT_KD_ZG","India",5.00078
2010,"NE_CON_PRVT_KD_ZG","India",6.72041
2011,"NE_CON_PRVT_KD_ZG","Slovakia",-1.91798
2012,"NE_CON_PRVT_KD_ZG","Slovakia",0.39765
2013,"NE_CON_PRVT_KD_ZG","Slovakia",-1.18041
2014,"NE_CON_PRVT_KD_ZG","Slovakia",1.88032
2015,"NE_CON_PRVT_KD_ZG","Slovakia",2.76612
2016,"NE_CON_PRVT_KD_ZG","Slovakia",3.90232
2017,"NE_CON_PRVT_KD_ZG","Slovakia",4.62134
2018,"NE_CON_PRVT_KD_ZG","Slovakia",4.07815
2019,"NE_CON_PRVT_KD_ZG","Slovakia",2.6994
2020,"NE_CON_PRVT_KD_ZG","Slovakia",-1.22356
2021,"NE_CON_PRVT_KD_ZG","Slovakia",1.65732
2003,"NE_CON_PRVT_KD_ZG","Belarus",7.19254
2004,"NE_CON_PRVT_KD_ZG","Belarus",9.40079
2005,"NE_CON_PRVT_KD_ZG","Belarus",14.64195
2006,"NE_CON_PRVT_KD_ZG","Belarus",12.70434
2007,"NE_CON_PRVT_KD_ZG","Belarus",13.36909
2008,"NE_CON_PRVT_KD_ZG","Belarus",16.33126
2009,"NE_CON_PRVT_KD_ZG","Belarus",0.0002
2010,"NE_CON_PRVT_KD_ZG","Belarus",9.4521
2011,"NE_CON_PRVT_KD_ZG","Belarus",2.20778
2012,"NE_CON_PRVT_KD_ZG","Belarus",10.68694
2013,"NE_CON_PRVT_KD_ZG","Belarus",10.65192
2011,"NE_CON_PRVT_KD_ZG","India",7.42199
2012,"NE_CON_PRVT_KD_ZG","India",5.47086
2013,"NE_CON_PRVT_KD_ZG","India",7.30318
2014,"NE_CON_PRVT_KD_ZG","India",6.39386
2015,"NE_CON_PRVT_KD_ZG","India",7.92811
2016,"NE_CON_PRVT_KD_ZG","India",8.13012
2017,"NE_CON_PRVT_KD_ZG","India",6.23881
2018,"NE_CON_PRVT_KD_ZG","India",7.08955
2019,"NE_CON_PRVT_KD_ZG","India",5.21321
2020,"NE_CON_PRVT_KD_ZG","India",-6.0047
2021,"NE_CON_PRVT_KD_ZG","India",7.91011
2000,"NE_CON_PRVT_KD_ZG","Azerbaijan",21.7467
2001,"NE_CON_PRVT_KD_ZG","Azerbaijan",-3.12391
2002,"NE_CON_PRVT_KD_ZG","Azerbaijan",12.4293
2003,"NE_CON_PRVT_KD_ZG","Azerbaijan",5.77708
2004,"NE_CON_PRVT_KD_ZG","Azerbaijan",10.65243
2005,"NE_CON_PRVT_KD_ZG","Azerbaijan",21.19787
2006,"NE_CON_PRVT_KD_ZG","Azerbaijan",36.37123
2007,"NE_CON_PRVT_KD_ZG","Azerbaijan",18.08754
2008,"NE_CON_PRVT_KD_ZG","Azerbaijan",6.58532
2009,"NE_CON_PRVT_KD_ZG","Azerbaijan",6.38911
2010,"NE_CON_PRVT_KD_ZG","Azerbaijan",-14.97175
2014,"NE_CON_PRVT_KD_ZG","Belarus",4.28142
2015,"NE_CON_PRVT_KD_ZG","Belarus",-2.31983
2016,"NE_CON_PRVT_KD_ZG","Belarus",-3.1894
2017,"NE_CON_PRVT_KD_ZG","Belarus",4.68151
2018,"NE_CON_PRVT_KD_ZG","Belarus",1.52749
2019,"NE_CON_PRVT_KD_ZG","Belarus",2.17709
2020,"NE_CON_PRVT_KD_ZG","Belarus",-3.88032
2021,"NE_CON_PRVT_KD_ZG","Belarus",0.67937
2000,"NE_CON_PRVT_KD_ZG","Canada",4.06399
2001,"NE_CON_PRVT_KD_ZG","Canada",2.40483
2002,"NE_CON_PRVT_KD_ZG","Canada",3.99841
2000,"NE_CON_PRVT_KD_ZG","Ireland",10.3958
2001,"NE_CON_PRVT_KD_ZG","Ireland",4.73431
2002,"NE_CON_PRVT_KD_ZG","Ireland",3.63589
2003,"NE_CON_PRVT_KD_ZG","Ireland",2.7918
2004,"NE_CON_PRVT_KD_ZG","Ireland",3.81742
2005,"NE_CON_PRVT_KD_ZG","Ireland",7.02351
2006,"NE_CON_PRVT_KD_ZG","Ireland",6.38724
2007,"NE_CON_PRVT_KD_ZG","Ireland",6.67454
2008,"NE_CON_PRVT_KD_ZG","Ireland",0.1911
2009,"NE_CON_PRVT_KD_ZG","Ireland",-5.32388
2010,"NE_CON_PRVT_KD_ZG","Ireland",0.30212
2003,"NE_CON_PRVT_KD_ZG","Canada",2.74411
2004,"NE_CON_PRVT_KD_ZG","Canada",3.06106
2005,"NE_CON_PRVT_KD_ZG","Canada",3.92746
2006,"NE_CON_PRVT_KD_ZG","Canada",4.19781
2007,"NE_CON_PRVT_KD_ZG","Canada",4.41284
