Year,SeriesCode,GeoAreaName,Value
2016,"SG_PLN_PRVNDI","Australia",84.1
2018,"SG_PLN_PRVNDI","Australia",83.01887
2016,"SG_PLN_PRVNDI","Austria",100
2018,"SG_PLN_PRVNDI","Austria",50
2016,"SG_PLN_PRVNDI","Belgium",91.3
2018,"SG_PLN_PRVNDI","Belgium",40
2016,"SG_PLN_PRVNDI","Canada",72.4
2018,"SG_PLN_PRVNDI","Canada",73.33333
2016,"SG_PLN_PRVNDI","China",100
2018,"SG_PLN_PRVNDI","China",50
2016,"SG_PLN_PRVNDI","Czechia",100
2018,"SG_PLN_PRVNDI","Czechia",72.22222
2016,"SG_PLN_PRVNDI","Denmark",78.3
2018,"SG_PLN_PRVNDI","Denmark",80
2016,"SG_PLN_PRVNDI","Finland",88.9
2018,"SG_PLN_PRVNDI","Finland",100
2016,"SG_PLN_PRVNDI","France",90.3
2018,"SG_PLN_PRVNDI","France",86.81319
2016,"SG_PLN_PRVNDI","Germany",82.7
2018,"SG_PLN_PRVNDI","Germany",92.39766
2016,"SG_PLN_PRVNDI","Iceland",100
2018,"SG_PLN_PRVNDI","Iceland",100
2016,"SG_PLN_PRVNDI","Ireland",90.9
2018,"SG_PLN_PRVNDI","Ireland",64.10257
2016,"SG_PLN_PRVNDI","Italy",83.3
2018,"SG_PLN_PRVNDI","Italy",93.84615
2016,"SG_PLN_PRVNDI","Japan",93.9
2018,"SG_PLN_PRVNDI","Japan",81.34921
2016,"SG_PLN_PRVNDI","Republic of Korea",84.6
2018,"SG_PLN_PRVNDI","Republic of Korea",89.74359
2016,"SG_PLN_PRVNDI","Luxembourg",100
2018,"SG_PLN_PRVNDI","Luxembourg",72.22222
2016,"SG_PLN_PRVNDI","Netherlands (Kingdom of the)",73.5
2018,"SG_PLN_PRVNDI","Netherlands (Kingdom of the)",63.82979
2016,"SG_PLN_PRVNDI","New Zealand",83.3
2018,"SG_PLN_PRVNDI","New Zealand",45.45455
2016,"SG_PLN_PRVNDI","Norway",69.6
2018,"SG_PLN_PRVNDI","Norway",72
2016,"SG_PLN_PRVNDI","Portugal",100
2018,"SG_PLN_PRVNDI","Portugal",90.90909
2016,"SG_PLN_PRVNDI","Romania",100
2016,"SG_PLN_PRVNDI","Slovakia",100
2016,"SG_PLN_PRVNDI","Slovenia",100
2018,"SG_PLN_PRVNDI","Slovenia",50
2016,"SG_PLN_PRVNDI","Spain",96.6
2018,"SG_PLN_PRVNDI","Spain",91.30435
2016,"SG_PLN_PRVNDI","Sweden",81.8
2018,"SG_PLN_PRVNDI","Sweden",65.21739
2016,"SG_PLN_PRVNDI","Switzerland",72.3
2018,"SG_PLN_PRVNDI","Switzerland",73.21429
2016,"SG_PLN_PRVNDI","Türkiye",0
2016,"SG_PLN_PRVNDI","United Kingdom of Great Britain and Northern Ireland",45.5
2018,"SG_PLN_PRVNDI","United Kingdom of Great Britain and Northern Ireland",69.11765
2018,"SG_PLN_PRVNDI","United Kingdom of Great Britain and Northern Ireland",69.11765
