Year,SeriesCode,GeoAreaName,Value
2000,"DC_ODA_LLDC","Australia",178.20488
2001,"DC_ODA_LLDC","Australia",188.61283
2002,"DC_ODA_LLDC","Australia",183.26136
2003,"DC_ODA_LLDC","Australia",153.00777
2004,"DC_ODA_LLDC","Australia",154.11788
2005,"DC_ODA_LLDC","Australia",131.12249
2006,"DC_ODA_LLDC","Australia",230.84085
2007,"DC_ODA_LLDC","Australia",225.43497
2008,"DC_ODA_LLDC","Australia",315.96235
2009,"DC_ODA_LLDC","Australia",352.57341
2010,"DC_ODA_LLDC","Australia",363.4848
2011,"DC_ODA_LLDC","Australia",434.24926
2012,"DC_ODA_LLDC","Australia",608.8853
2013,"DC_ODA_LLDC","Australia",471.96032
2014,"DC_ODA_LLDC","Australia",481.05961
2015,"DC_ODA_LLDC","Australia",433.47977
2016,"DC_ODA_LLDC","Australia",388.75911
2017,"DC_ODA_LLDC","Australia",349.13194
2018,"DC_ODA_LLDC","Australia",407.28944
2019,"DC_ODA_LLDC","Australia",235.88879
2020,"DC_ODA_LLDC","Australia",222.32554
2021,"DC_ODA_LLDC","Australia",191.02817
2000,"DC_ODA_LLDC","Austria",128.88509
2001,"DC_ODA_LLDC","Austria",261.83631
2002,"DC_ODA_LLDC","Austria",138.70783
2003,"DC_ODA_LLDC","Austria",157.09555
2004,"DC_ODA_LLDC","Austria",141.15291
2005,"DC_ODA_LLDC","Austria",164.21686
2006,"DC_ODA_LLDC","Austria",204.47666
2007,"DC_ODA_LLDC","Austria",177.27804
2008,"DC_ODA_LLDC","Austria",194.0251
2009,"DC_ODA_LLDC","Austria",239.15217
2010,"DC_ODA_LLDC","Austria",198.57929
2011,"DC_ODA_LLDC","Austria",178.27622
2012,"DC_ODA_LLDC","Austria",158.28144
2013,"DC_ODA_LLDC","Austria",204.72841
2014,"DC_ODA_LLDC","Austria",179.86061
2015,"DC_ODA_LLDC","Austria",198.45663
2016,"DC_ODA_LLDC","Austria",207.71843
2017,"DC_ODA_LLDC","Austria",231.05643
2018,"DC_ODA_LLDC","Austria",238.54656
2019,"DC_ODA_LLDC","Austria",243.10592
2020,"DC_ODA_LLDC","Austria",226.42814
2021,"DC_ODA_LLDC","Austria",217.8807
2000,"DC_ODA_LLDC","Belgium",271.48557
2001,"DC_ODA_LLDC","Belgium",303.43297
2002,"DC_ODA_LLDC","Belgium",313.09621
2003,"DC_ODA_LLDC","Belgium",269.891
2004,"DC_ODA_LLDC","Belgium",327.37753
2005,"DC_ODA_LLDC","Belgium",342.7814
2006,"DC_ODA_LLDC","Belgium",386.7976
2007,"DC_ODA_LLDC","Belgium",375.91773
2008,"DC_ODA_LLDC","Belgium",476.69566
2009,"DC_ODA_LLDC","Belgium",522.64797
2010,"DC_ODA_LLDC","Belgium",520.75738
2011,"DC_ODA_LLDC","Belgium",487.45022
2012,"DC_ODA_LLDC","Belgium",402.53457
2013,"DC_ODA_LLDC","Belgium",435.06067
2014,"DC_ODA_LLDC","Belgium",442.57125
2015,"DC_ODA_LLDC","Belgium",398.99347
2016,"DC_ODA_LLDC","Belgium",438.92255
2017,"DC_ODA_LLDC","Belgium",403.15598
2018,"DC_ODA_LLDC","Belgium",423.4561
2019,"DC_ODA_LLDC","Belgium",447.20973
2020,"DC_ODA_LLDC","Belgium",473.28117
2021,"DC_ODA_LLDC","Belgium",472.07179
2000,"DC_ODA_LLDC","Canada",330.07798
2001,"DC_ODA_LLDC","Canada",320.3423
2002,"DC_ODA_LLDC","Canada",453.75633
2003,"DC_ODA_LLDC","Canada",622.46604
2004,"DC_ODA_LLDC","Canada",627.98374
2005,"DC_ODA_LLDC","Canada",786.09828
2006,"DC_ODA_LLDC","Canada",812.20732
