Year,SeriesCode,GeoAreaName,Value
2006,"DC_ODA_SIDS","Japan",198.24909
2007,"DC_ODA_SIDS","Japan",175.90794
2008,"DC_ODA_SIDS","Japan",132.94792
2009,"DC_ODA_SIDS","Japan",292.33279
2010,"DC_ODA_SIDS","Japan",425.35056
2011,"DC_ODA_SIDS","Japan",299.84736
2012,"DC_ODA_SIDS","Japan",236.72735
2013,"DC_ODA_SIDS","Japan",258.76712
2014,"DC_ODA_SIDS","Japan",274.4336
2015,"DC_ODA_SIDS","Japan",292.10506
2016,"DC_ODA_SIDS","Japan",392.833
2017,"DC_ODA_SIDS","Japan",416.21755
2018,"DC_ODA_SIDS","Japan",520.72412
2019,"DC_ODA_SIDS","Japan",443.12727
2020,"DC_ODA_SIDS","Japan",560.75894
2021,"DC_ODA_SIDS","Japan",1131.8237
2000,"DC_ODA_SIDS","Republic of Korea",7.43591
2001,"DC_ODA_SIDS","Republic of Korea",11.91033
2002,"DC_ODA_SIDS","Republic of Korea",10.40736
2003,"DC_ODA_SIDS","Republic of Korea",12.75772
2004,"DC_ODA_SIDS","Republic of Korea",4.92015
2005,"DC_ODA_SIDS","Republic of Korea",35.30659
2006,"DC_ODA_SIDS","Republic of Korea",8.18841
2007,"DC_ODA_SIDS","Republic of Korea",15.1376
2008,"DC_ODA_SIDS","Republic of Korea",54.69951
2009,"DC_ODA_SIDS","Republic of Korea",44.68499
2010,"DC_ODA_SIDS","Republic of Korea",32.10104
2011,"DC_ODA_SIDS","Republic of Korea",30.0514
2012,"DC_ODA_SIDS","Republic of Korea",37.39664
2013,"DC_ODA_SIDS","Republic of Korea",34.98803
2014,"DC_ODA_SIDS","Republic of Korea",28.92995
2015,"DC_ODA_SIDS","Republic of Korea",49.45042
2016,"DC_ODA_SIDS","Republic of Korea",50.30697
2017,"DC_ODA_SIDS","Republic of Korea",50.28483
2018,"DC_ODA_SIDS","Republic of Korea",52.36706
2019,"DC_ODA_SIDS","Republic of Korea",57.98723
2020,"DC_ODA_SIDS","Republic of Korea",55.11242
