Year,SeriesCode,GeoAreaName,Value
2016,"DC_OSSD_PRVGRT","Albania",0.98825
2017,"DC_OSSD_PRVGRT","Albania",2.72773
2018,"DC_OSSD_PRVGRT","Albania",0.26767
2019,"DC_OSSD_PRVGRT","Albania",0.72758
2020,"DC_OSSD_PRVGRT","Albania",1.58022
2021,"DC_OSSD_PRVGRT","Albania",0.94575
2018,"DC_OSSD_PRVGRT","Azerbaijan",0.11988
2020,"DC_OSSD_PRVGRT","Azerbaijan",0.15
2021,"DC_OSSD_PRVGRT","Azerbaijan",0.1
2016,"DC_OSSD_PRVGRT","Armenia",0.66341
2018,"DC_OSSD_PRVGRT","Armenia",0.49045
2019,"DC_OSSD_PRVGRT","Armenia",0.70881
2020,"DC_OSSD_PRVGRT","Armenia",0.64235
2021,"DC_OSSD_PRVGRT","Armenia",0.94137
2016,"DC_OSSD_PRVGRT","Bosnia and Herzegovina",0.4818
2017,"DC_OSSD_PRVGRT","Bosnia and Herzegovina",0.16011
2018,"DC_OSSD_PRVGRT","Bosnia and Herzegovina",2.41508
2020,"DC_OSSD_PRVGRT","Bosnia and Herzegovina",0.29894
2021,"DC_OSSD_PRVGRT","Bosnia and Herzegovina",2.91168
2021,"DC_OSSD_PRVGRT","Belarus",0.14994
2016,"DC_OSSD_PRVGRT","Chile",5.45633
2017,"DC_OSSD_PRVGRT","Chile",3.51
2016,"DC_OSSD_PRVGRT","China",22.11972
2017,"DC_OSSD_PRVGRT","China",81.40735
2018,"DC_OSSD_PRVGRT","China",102.96483
2019,"DC_OSSD_PRVGRT","China",123.13332
2020,"DC_OSSD_PRVGRT","China",116.40492
2021,"DC_OSSD_PRVGRT","China",110.55647
2016,"DC_OSSD_PRVGRT","Colombia",8.13363
2017,"DC_OSSD_PRVGRT","Colombia",57.44157
2018,"DC_OSSD_PRVGRT","Colombia",29.8137
2019,"DC_OSSD_PRVGRT","Colombia",71.32476
2020,"DC_OSSD_PRVGRT","Colombia",31.94339
2021,"DC_OSSD_PRVGRT","Colombia",71.6098
2016,"DC_OSSD_PRVGRT","Costa Rica",0.228
2017,"DC_OSSD_PRVGRT","Costa Rica",0.86913
2018,"DC_OSSD_PRVGRT","Costa Rica",5.46579
2019,"DC_OSSD_PRVGRT","Costa Rica",0.90324
2020,"DC_OSSD_PRVGRT","Costa Rica",8.49138
2021,"DC_OSSD_PRVGRT","Costa Rica",2.79622
2016,"DC_OSSD_PRVGRT","Georgia",0.3336
2017,"DC_OSSD_PRVGRT","Georgia",0.59285
2018,"DC_OSSD_PRVGRT","Georgia",0.3733
2019,"DC_OSSD_PRVGRT","Georgia",0.15956
2020,"DC_OSSD_PRVGRT","Georgia",0.71579
2021,"DC_OSSD_PRVGRT","Georgia",0.15198
2016,"DC_OSSD_PRVGRT","India",264.53676
2017,"DC_OSSD_PRVGRT","India",413.62456
2018,"DC_OSSD_PRVGRT","India",433.16675
2019,"DC_OSSD_PRVGRT","India",509.85984
2020,"DC_OSSD_PRVGRT","India",442.85156
2021,"DC_OSSD_PRVGRT","India",472.93057
2018,"DC_OSSD_PRVGRT","Kazakhstan",0.145
2021,"DC_OSSD_PRVGRT","Kazakhstan",0.59487
2016,"DC_OSSD_PRVGRT","Kyrgyzstan",0.01445
2017,"DC_OSSD_PRVGRT","Kyrgyzstan",0.29999
2018,"DC_OSSD_PRVGRT","Kyrgyzstan",0.00221
2019,"DC_OSSD_PRVGRT","Kyrgyzstan",0.22375
2020,"DC_OSSD_PRVGRT","Kyrgyzstan",0.10682
2021,"DC_OSSD_PRVGRT","Kyrgyzstan",2.14
2016,"DC_OSSD_PRVGRT","Mexico",4.06918
2017,"DC_OSSD_PRVGRT","Mexico",41.05954
2018,"DC_OSSD_PRVGRT","Mexico",49.07271
2019,"DC_OSSD_PRVGRT","Mexico",53.41394
2020,"DC_OSSD_PRVGRT","Mexico",59.19568
2021,"DC_OSSD_PRVGRT","Mexico",47.34981
2016,"DC_OSSD_PRVGRT","Republic of Moldova",3.24291
2017,"DC_OSSD_PRVGRT","Republic of Moldova",3.84086
2018,"DC_OSSD_PRVGRT","Republic of Moldova",2.4906
2019,"DC_OSSD_PRVGRT","Republic of Moldova",2.40993
2020,"DC_OSSD_PRVGRT","Republic of Moldova",2.48432
2021,"DC_OSSD_PRVGRT","Republic of Moldova",2.86053
2016,"DC_OSSD_PRVGRT","Montenegro",0.1482
2017,"DC_OSSD_PRVGRT","Montenegro",0.87949
2018,"DC_OSSD_PRVGRT","Montenegro",2.3477
2020,"DC_OSSD_PRVGRT","Montenegro",0.2963
2021,"DC_OSSD_PRVGRT","Montenegro",3.16034
2016,"DC_OSSD_PRVGRT","Serbia",0.1882
2017,"DC_OSSD_PRVGRT","Serbia",0.70775
2018,"DC_OSSD_PRVGRT","Serbia",2.48972
2019,"DC_OSSD_PRVGRT","Serbia",0.76018
2020,"DC_OSSD_PRVGRT","Serbia",0.88331
2021,"DC_OSSD_PRVGRT","Serbia",4.88009
2016,"DC_OSSD_PRVGRT","Viet Nam",10.09792
2017,"DC_OSSD_PRVGRT","Viet Nam",16.48151
2018,"DC_OSSD_PRVGRT","Viet Nam",14.84443
2019,"DC_OSSD_PRVGRT","Viet Nam",16.74029
2020,"DC_OSSD_PRVGRT","Viet Nam",9.81273
2021,"DC_OSSD_PRVGRT","Viet Nam",22.50003
2016,"DC_OSSD_PRVGRT","Tajikistan",0.01445
2017,"DC_OSSD_PRVGRT","Tajikistan",0.0069
2018,"DC_OSSD_PRVGRT","Tajikistan",0.00221
2019,"DC_OSSD_PRVGRT","Tajikistan",0.1118
2021,"DC_OSSD_PRVGRT","Tajikistan",0.07492
2016,"DC_OSSD_PRVGRT","Türkiye",5.17834
2017,"DC_OSSD_PRVGRT","Türkiye",6.32232
2018,"DC_OSSD_PRVGRT","Türkiye",2.04952
2019,"DC_OSSD_PRVGRT","Türkiye",0.8649
2020,"DC_OSSD_PRVGRT","Türkiye",2.26545
2021,"DC_OSSD_PRVGRT","Türkiye",3.17723
2016,"DC_OSSD_PRVGRT","Ukraine",0.255
2017,"DC_OSSD_PRVGRT","Ukraine",1.15009
2018,"DC_OSSD_PRVGRT","Ukraine",1.49647
2019,"DC_OSSD_PRVGRT","Ukraine",5.13082
2020,"DC_OSSD_PRVGRT","Ukraine",0.67778
2021,"DC_OSSD_PRVGRT","Ukraine",5.40323
2016,"DC_OSSD_PRVGRT","North Macedonia",0.65465
2018,"DC_OSSD_PRVGRT","North Macedonia",0
2019,"DC_OSSD_PRVGRT","North Macedonia",0.08167
2020,"DC_OSSD_PRVGRT","North Macedonia",0.01167
2021,"DC_OSSD_PRVGRT","North Macedonia",0.57775
2016,"DC_OSSD_PRVGRT","Uzbekistan",0.37385
2017,"DC_OSSD_PRVGRT","Uzbekistan",0.0069
2018,"DC_OSSD_PRVGRT","Uzbekistan",0.00221
2021,"DC_OSSD_PRVGRT","Uzbekistan",0.735
2021,"DC_OSSD_PRVGRT","Uzbekistan",0.735
