Year,SeriesCode,GeoAreaName,Sex,Value
2001,"PD_AGR_SSFP","Canada","BOTHSEX",39.3
2001,"PD_AGR_SSFP","Canada","FEMALE",29.9
2001,"PD_AGR_SSFP","Canada","MALE",42.7
2006,"PD_AGR_SSFP","Canada","BOTHSEX",38.7
2006,"PD_AGR_SSFP","Canada","FEMALE",31.3
2006,"PD_AGR_SSFP","Canada","MALE",41.6
2011,"PD_AGR_SSFP","Canada","BOTHSEX",76.2
2011,"PD_AGR_SSFP","Canada","FEMALE",60.9
2011,"PD_AGR_SSFP","Canada","MALE",83.1
2016,"PD_AGR_SSFP","Canada","MALE",90.8
2016,"PD_AGR_SSFP","Canada","FEMALE",68.7
2016,"PD_AGR_SSFP","Canada","BOTHSEX",83.5
2010,"PD_AGR_SSFP","Croatia","MALE",60.04
2010,"PD_AGR_SSFP","Croatia","FEMALE",53.62
2010,"PD_AGR_SSFP","Croatia","BOTHSEX",58.54
2010,"PD_AGR_SSFP","Austria","MALE",118.23
2010,"PD_AGR_SSFP","Austria","BOTHSEX",110.4
2010,"PD_AGR_SSFP","Austria","FEMALE",100.51
2013,"PD_AGR_SSFP","Croatia","BOTHSEX",44.88
2013,"PD_AGR_SSFP","Croatia","FEMALE",42.47
2013,"PD_AGR_SSFP","Croatia","MALE",45.77
2016,"PD_AGR_SSFP","Croatia","MALE",47.65
2013,"PD_AGR_SSFP","Austria","FEMALE",94.78
2013,"PD_AGR_SSFP","Austria","BOTHSEX",109.26
2013,"PD_AGR_SSFP","Austria","MALE",119.8
2016,"PD_AGR_SSFP","Croatia","FEMALE",43.56
2016,"PD_AGR_SSFP","Croatia","BOTHSEX",46.49
2010,"PD_AGR_LSFP","Ireland","BOTHSEX",277.08
2010,"PD_AGR_LSFP","Ireland","FEMALE",183.96
2010,"PD_AGR_LSFP","Ireland","MALE",284.18
2020,"PD_AGR_SSFP","Croatia","MALE",51.11
2020,"PD_AGR_SSFP","Croatia","FEMALE",46.72
2020,"PD_AGR_SSFP","Croatia","BOTHSEX",49.94
2016,"PD_AGR_SSFP","Austria","MALE",144.96
2016,"PD_AGR_SSFP","Austria","FEMALE",95.94
2016,"PD_AGR_SSFP","Austria","BOTHSEX",123.64
2010,"PD_AGR_SSFP","Cyprus","BOTHSEX",64.03
2010,"PD_AGR_SSFP","Cyprus","FEMALE",62.11
2010,"PD_AGR_SSFP","Cyprus","MALE",64.43
2013,"PD_AGR_SSFP","Cyprus","BOTHSEX",55.63
2013,"PD_AGR_SSFP","Cyprus","FEMALE",51.12
2010,"PD_AGR_LSFP","Austria","BOTHSEX",371.65
2010,"PD_AGR_LSFP","Austria","MALE",379.96
2010,"PD_AGR_LSFP","Austria","FEMALE",351.06
2013,"PD_AGR_SSFP","Cyprus","MALE",56.58
2016,"PD_AGR_SSFP","Cyprus","FEMALE",60.73
2016,"PD_AGR_SSFP","Cyprus","BOTHSEX",64.43
2016,"PD_AGR_SSFP","Cyprus","MALE",65.39
2020,"PD_AGR_SSFP","Cyprus","FEMALE",51.27
2020,"PD_AGR_SSFP","Cyprus","BOTHSEX",59.41
2020,"PD_AGR_SSFP","Cyprus","MALE",61.55
2020,"PD_AGR_SSFP","Austria","MALE",87.99
2020,"PD_AGR_SSFP","Austria","BOTHSEX",81
2020,"PD_AGR_SSFP","Austria","FEMALE",71.18
2013,"PD_AGR_LSFP","Austria","BOTHSEX",345.76
2013,"PD_AGR_LSFP","Austria","MALE",351.51
2013,"PD_AGR_LSFP","Austria","FEMALE",330.31
2010,"PD_AGR_SSFP","Denmark","BOTHSEX",156.47
2010,"PD_AGR_SSFP","Denmark","FEMALE",127.59
2010,"PD_AGR_SSFP","Denmark","MALE",161.19
2016,"PD_AGR_LSFP","Austria","BOTHSEX",390.63
2016,"PD_AGR_LSFP","Austria","MALE",402.26
2016,"PD_AGR_LSFP","Austria","FEMALE",360.47
2013,"PD_AGR_SSFP","Denmark","MALE",148.27
2013,"PD_AGR_SSFP","Denmark","FEMALE",124.67
2013,"PD_AGR_SSFP","Denmark","BOTHSEX",145.33
2016,"PD_AGR_SSFP","Denmark","BOTHSEX",157.14
2016,"PD_AGR_SSFP","Denmark","FEMALE",103.66
2016,"PD_AGR_SSFP","Denmark","MALE",166.8
2010,"PD_AGR_SSFP","Belgium","MALE",98.95
2010,"PD_AGR_SSFP","Belgium","FEMALE",98.05
2010,"PD_AGR_SSFP","Belgium","BOTHSEX",98.75
2013,"PD_AGR_SSFP","Belgium","BOTHSEX",105.16
2013,"PD_AGR_SSFP","Belgium","FEMALE",102.49
2013,"PD_AGR_SSFP","Belgium","MALE",105.92
2016,"PD_AGR_SSFP","Belgium","MALE",118.63
2016,"PD_AGR_SSFP","Belgium","FEMALE",113.34
2020,"PD_AGR_LSFP","Austria","BOTHSEX",355.78
2020,"PD_AGR_LSFP","Austria","MALE",378.86
2020,"PD_AGR_LSFP","Austria","FEMALE",314.04
2016,"PD_AGR_SSFP","Belgium","BOTHSEX",117.61
2020,"PD_AGR_SSFP","Belgium","MALE",113.76
2020,"PD_AGR_SSFP","Belgium","FEMALE",115.89
2020,"PD_AGR_SSFP","Belgium","BOTHSEX",114.15
2010,"PD_AGR_LSFP","Belgium","MALE",807.72
2010,"PD_AGR_LSFP","Belgium","BOTHSEX",801.83
2010,"PD_AGR_LSFP","Belgium","FEMALE",749.7
2013,"PD_AGR_LSFP","Belgium","BOTHSEX",952.22
2013,"PD_AGR_LSFP","Belgium","MALE",962.65
2013,"PD_AGR_LSFP","Belgium","FEMALE",866.8
2016,"PD_AGR_LSFP","Belgium","MALE",914.48
2016,"PD_AGR_LSFP","Belgium","BOTHSEX",906.08
2020,"PD_AGR_SSFP","Denmark","FEMALE",24.62
2020,"PD_AGR_SSFP","Denmark","BOTHSEX",31.49
2020,"PD_AGR_SSFP","Denmark","MALE",32.81
2010,"PD_AGR_SSFP","Bulgaria","BOTHSEX",26.03
2010,"PD_AGR_SSFP","Bulgaria","FEMALE",24.64
2010,"PD_AGR_SSFP","Bulgaria","MALE",26.43
2013,"PD_AGR_SSFP","Bulgaria","MALE",29.2
2013,"PD_AGR_SSFP","Bulgaria","FEMALE",26.43
2013,"PD_AGR_SSFP","Bulgaria","BOTHSEX",28.56
2016,"PD_AGR_SSFP","Bulgaria","MALE",34.95
2016,"PD_AGR_SSFP","Bulgaria","BOTHSEX",34.28
2016,"PD_AGR_SSFP","Bulgaria","FEMALE",32.36
2016,"PD_AGR_LSFP","Belgium","FEMALE",841.85
2020,"PD_AGR_SSFP","Bulgaria","FEMALE",46.43
2020,"PD_AGR_SSFP","Bulgaria","BOTHSEX",46.92
2010,"PD_AGR_SSFP","Estonia","FEMALE",47.64
2010,"PD_AGR_SSFP","Estonia","BOTHSEX",54.9
2010,"PD_AGR_SSFP","Estonia","MALE",60.17
2020,"PD_AGR_LSFP","Belgium","MALE",1002.74
2020,"PD_AGR_LSFP","Belgium","BOTHSEX",1000.56
2020,"PD_AGR_LSFP","Belgium","FEMALE",984.03
2013,"PD_AGR_SSFP","Estonia","MALE",55.76
2013,"PD_AGR_SSFP","Estonia","BOTHSEX",52.52
2013,"PD_AGR_SSFP","Estonia","FEMALE",47.39
2016,"PD_AGR_SSFP","Estonia","BOTHSEX",57.16
2016,"PD_AGR_SSFP","Estonia","FEMALE",51.23
2016,"PD_AGR_SSFP","Estonia","MALE",60.85
2013,"PD_AGR_LSFP","Ireland","MALE",323.71
2013,"PD_AGR_LSFP","Ireland","BOTHSEX",317.2
2013,"PD_AGR_LSFP","Ireland","FEMALE",213.6
2020,"PD_AGR_SSFP","Estonia","MALE",64.78
2020,"PD_AGR_SSFP","Estonia","BOTHSEX",59.42
2020,"PD_AGR_SSFP","Estonia","FEMALE",50.39
2010,"PD_AGR_LSFP","Bulgaria","MALE",298.05
2010,"PD_AGR_LSFP","Bulgaria","BOTHSEX",288.74
2010,"PD_AGR_LSFP","Bulgaria","FEMALE",244.54
