Year,SeriesCode,GeoAreaName,Value
2014,"ER_GRF_ANIMKPT_TRB","Estonia",35
2015,"ER_GRF_ANIMKPT_TRB","Estonia",35
2016,"ER_GRF_ANIMKPT_TRB","Estonia",35
2017,"ER_GRF_ANIMKPT_TRB","Estonia",35
2018,"ER_GRF_ANIMKPT_TRB","Estonia",35
2019,"ER_GRF_ANIMKPT_TRB","Estonia",35
2020,"ER_GRF_ANIMKPT_TRB","Estonia",35
2021,"ER_GRF_ANIMKPT_TRB","Estonia",35
2022,"ER_GRF_ANIMKPT_TRB","Estonia",35
2023,"ER_GRF_ANIMKPT_TRB","Estonia",35
2000,"ER_GRF_ANIMKPT_TRB","Finland",17
2001,"ER_GRF_ANIMKPT_TRB","Finland",17
2002,"ER_GRF_ANIMKPT_TRB","Finland",17
2003,"ER_GRF_ANIMKPT_TRB","Finland",17
2004,"ER_GRF_ANIMKPT_TRB","Finland",22
2005,"ER_GRF_ANIMKPT_TRB","Finland",22
2006,"ER_GRF_ANIMKPT_TRB","Finland",46
2007,"ER_GRF_ANIMKPT_TRB","Finland",46
2008,"ER_GRF_ANIMKPT_TRB","Finland",46
2009,"ER_GRF_ANIMKPT_TRB","Finland",46
2010,"ER_GRF_ANIMKPT_TRB","Finland",46
2011,"ER_GRF_ANIMKPT_TRB","Finland",46
2012,"ER_GRF_ANIMKPT_TRB","Finland",46
2013,"ER_GRF_ANIMKPT_TRB","Finland",46
2014,"ER_GRF_ANIMKPT_TRB","Finland",46
2015,"ER_GRF_ANIMKPT_TRB","Finland",46
2016,"ER_GRF_ANIMKPT_TRB","Finland",46
2017,"ER_GRF_ANIMKPT_TRB","Finland",46
2018,"ER_GRF_ANIMKPT_TRB","Finland",46
2019,"ER_GRF_ANIMKPT_TRB","Finland",46
2020,"ER_GRF_ANIMKPT_TRB","Finland",46
2021,"ER_GRF_ANIMKPT_TRB","Finland",46
2022,"ER_GRF_ANIMKPT_TRB","Finland",46
2023,"ER_GRF_ANIMKPT_TRB","Finland",46
2000,"ER_GRF_ANIMKPT_TRB","France",92
2001,"ER_GRF_ANIMKPT_TRB","France",92
2002,"ER_GRF_ANIMKPT_TRB","France",92
2003,"ER_GRF_ANIMKPT_TRB","France",92
2004,"ER_GRF_ANIMKPT_TRB","France",92
2005,"ER_GRF_ANIMKPT_TRB","France",92
2006,"ER_GRF_ANIMKPT_TRB","France",136
2007,"ER_GRF_ANIMKPT_TRB","France",136
2008,"ER_GRF_ANIMKPT_TRB","France",136
2009,"ER_GRF_ANIMKPT_TRB","France",136
2010,"ER_GRF_ANIMKPT_TRB","France",136
2011,"ER_GRF_ANIMKPT_TRB","France",136
2012,"ER_GRF_ANIMKPT_TRB","France",136
2013,"ER_GRF_ANIMKPT_TRB","France",136
2014,"ER_GRF_ANIMKPT_TRB","France",136
2015,"ER_GRF_ANIMKPT_TRB","France",136
2016,"ER_GRF_ANIMKPT_TRB","France",136
2017,"ER_GRF_ANIMKPT_TRB","France",136
2018,"ER_GRF_ANIMKPT_TRB","France",137
2019,"ER_GRF_ANIMKPT_TRB","France",137
2020,"ER_GRF_ANIMKPT_TRB","France",137
2021,"ER_GRF_ANIMKPT_TRB","France",137
2022,"ER_GRF_ANIMKPT_TRB","France",137
2023,"ER_GRF_ANIMKPT_TRB","France",137
2000,"ER_GRF_ANIMKPT_TRB","Georgia",3
2001,"ER_GRF_ANIMKPT_TRB","Georgia",3
2002,"ER_GRF_ANIMKPT_TRB","Georgia",3
2003,"ER_GRF_ANIMKPT_TRB","Georgia",3
2004,"ER_GRF_ANIMKPT_TRB","Georgia",3
2005,"ER_GRF_ANIMKPT_TRB","Georgia",3
2006,"ER_GRF_ANIMKPT_TRB","Georgia",4
2007,"ER_GRF_ANIMKPT_TRB","Georgia",4
2008,"ER_GRF_ANIMKPT_TRB","Georgia",4
2009,"ER_GRF_ANIMKPT_TRB","Georgia",4
2010,"ER_GRF_ANIMKPT_TRB","Georgia",4
2011,"ER_GRF_ANIMKPT_TRB","Georgia",4
2012,"ER_GRF_ANIMKPT_TRB","Georgia",4
2013,"ER_GRF_ANIMKPT_TRB","Georgia",4
2014,"ER_GRF_ANIMKPT_TRB","Georgia",4
2015,"ER_GRF_ANIMKPT_TRB","Georgia",4
2016,"ER_GRF_ANIMKPT_TRB","Georgia",4
2017,"ER_GRF_ANIMKPT_TRB","Georgia",4
2018,"ER_GRF_ANIMKPT_TRB","Georgia",4
2019,"ER_GRF_ANIMKPT_TRB","Georgia",4
2020,"ER_GRF_ANIMKPT_TRB","Georgia",4
2000,"ER_GRF_ANIMKPT_TRB","Albania",13
2001,"ER_GRF_ANIMKPT_TRB","Albania",13
2002,"ER_GRF_ANIMKPT_TRB","Albania",13
2003,"ER_GRF_ANIMKPT_TRB","Albania",13
2004,"ER_GRF_ANIMKPT_TRB","Albania",13
2005,"ER_GRF_ANIMKPT_TRB","Albania",13
2006,"ER_GRF_ANIMKPT_TRB","Albania",29
2007,"ER_GRF_ANIMKPT_TRB","Albania",29
2008,"ER_GRF_ANIMKPT_TRB","Albania",29
2009,"ER_GRF_ANIMKPT_TRB","Albania",29
2010,"ER_GRF_ANIMKPT_TRB","Albania",29
2011,"ER_GRF_ANIMKPT_TRB","Albania",29
2021,"ER_GRF_ANIMKPT_TRB","Georgia",4
2022,"ER_GRF_ANIMKPT_TRB","Georgia",4
2023,"ER_GRF_ANIMKPT_TRB","Georgia",4
2000,"ER_GRF_ANIMKPT_TRB","Germany",148
2001,"ER_GRF_ANIMKPT_TRB","Germany",150
2002,"ER_GRF_ANIMKPT_TRB","Germany",151
2003,"ER_GRF_ANIMKPT_TRB","Germany",153
2004,"ER_GRF_ANIMKPT_TRB","Germany",185
2005,"ER_GRF_ANIMKPT_TRB","Germany",185
2006,"ER_GRF_ANIMKPT_TRB","Germany",197
2007,"ER_GRF_ANIMKPT_TRB","Germany",197
2008,"ER_GRF_ANIMKPT_TRB","Germany",197
2009,"ER_GRF_ANIMKPT_TRB","Germany",197
2010,"ER_GRF_ANIMKPT_TRB","Germany",197
2011,"ER_GRF_ANIMKPT_TRB","Germany",197
2012,"ER_GRF_ANIMKPT_TRB","Germany",197
2013,"ER_GRF_ANIMKPT_TRB","Germany",197
2014,"ER_GRF_ANIMKPT_TRB","Germany",197
2015,"ER_GRF_ANIMKPT_TRB","Germany",197
2016,"ER_GRF_ANIMKPT_TRB","Germany",197
2017,"ER_GRF_ANIMKPT_TRB","Germany",197
2018,"ER_GRF_ANIMKPT_TRB","Germany",197
2019,"ER_GRF_ANIMKPT_TRB","Germany",200
2020,"ER_GRF_ANIMKPT_TRB","Germany",201
2021,"ER_GRF_ANIMKPT_TRB","Germany",202
2022,"ER_GRF_ANIMKPT_TRB","Germany",202
2023,"ER_GRF_ANIMKPT_TRB","Germany",203
2000,"ER_GRF_ANIMKPT_TRB","Greece",3
2001,"ER_GRF_ANIMKPT_TRB","Greece",3
2002,"ER_GRF_ANIMKPT_TRB","Greece",3
2003,"ER_GRF_ANIMKPT_TRB","Greece",3
2004,"ER_GRF_ANIMKPT_TRB","Greece",4
2005,"ER_GRF_ANIMKPT_TRB","Greece",4
2006,"ER_GRF_ANIMKPT_TRB","Greece",21
2007,"ER_GRF_ANIMKPT_TRB","Greece",21
2008,"ER_GRF_ANIMKPT_TRB","Greece",21
2009,"ER_GRF_ANIMKPT_TRB","Greece",21
2010,"ER_GRF_ANIMKPT_TRB","Greece",21
2011,"ER_GRF_ANIMKPT_TRB","Greece",21
2012,"ER_GRF_ANIMKPT_TRB","Greece",21
2013,"ER_GRF_ANIMKPT_TRB","Greece",21
2014,"ER_GRF_ANIMKPT_TRB","Greece",21
2015,"ER_GRF_ANIMKPT_TRB","Greece",21
2016,"ER_GRF_ANIMKPT_TRB","Greece",21
2017,"ER_GRF_ANIMKPT_TRB","Greece",21
2018,"ER_GRF_ANIMKPT_TRB","Greece",21
2019,"ER_GRF_ANIMKPT_TRB","Greece",21
2020,"ER_GRF_ANIMKPT_TRB","Greece",21
2021,"ER_GRF_ANIMKPT_TRB","Greece",21
2022,"ER_GRF_ANIMKPT_TRB","Greece",21
2023,"ER_GRF_ANIMKPT_TRB","Greece",21
2000,"ER_GRF_ANIMKPT_TRB","Hungary",59
2001,"ER_GRF_ANIMKPT_TRB","Hungary",61
2002,"ER_GRF_ANIMKPT_TRB","Hungary",62
2003,"ER_GRF_ANIMKPT_TRB","Hungary",63
2004,"ER_GRF_ANIMKPT_TRB","Hungary",65
2005,"ER_GRF_ANIMKPT_TRB","Hungary",66
2006,"ER_GRF_ANIMKPT_TRB","Hungary",78
2007,"ER_GRF_ANIMKPT_TRB","Hungary",78
2008,"ER_GRF_ANIMKPT_TRB","Hungary",78
2009,"ER_GRF_ANIMKPT_TRB","Hungary",78
2010,"ER_GRF_ANIMKPT_TRB","Hungary",78
2011,"ER_GRF_ANIMKPT_TRB","Hungary",78
2012,"ER_GRF_ANIMKPT_TRB","Hungary",78
2013,"ER_GRF_ANIMKPT_TRB","Hungary",78
2014,"ER_GRF_ANIMKPT_TRB","Hungary",78
2015,"ER_GRF_ANIMKPT_TRB","Hungary",78
2016,"ER_GRF_ANIMKPT_TRB","Hungary",78
2017,"ER_GRF_ANIMKPT_TRB","Hungary",78
2018,"ER_GRF_ANIMKPT_TRB","Hungary",78
2019,"ER_GRF_ANIMKPT_TRB","Hungary",78
2020,"ER_GRF_ANIMKPT_TRB","Hungary",79
2021,"ER_GRF_ANIMKPT_TRB","Hungary",79
2022,"ER_GRF_ANIMKPT_TRB","Hungary",79
2023,"ER_GRF_ANIMKPT_TRB","Hungary",79
2000,"ER_GRF_ANIMKPT_TRB","Iceland",3
2001,"ER_GRF_ANIMKPT_TRB","Iceland",3
2002,"ER_GRF_ANIMKPT_TRB","Iceland",3
2003,"ER_GRF_ANIMKPT_TRB","Iceland",3
2004,"ER_GRF_ANIMKPT_TRB","Iceland",3
2005,"ER_GRF_ANIMKPT_TRB","Iceland",3
2006,"ER_GRF_ANIMKPT_TRB","Iceland",6
2007,"ER_GRF_ANIMKPT_TRB","Iceland",6
2008,"ER_GRF_ANIMKPT_TRB","Iceland",6
2009,"ER_GRF_ANIMKPT_TRB","Iceland",6
2010,"ER_GRF_ANIMKPT_TRB","Iceland",6
2011,"ER_GRF_ANIMKPT_TRB","Iceland",6
2012,"ER_GRF_ANIMKPT_TRB","Iceland",6
2013,"ER_GRF_ANIMKPT_TRB","Iceland",6
2014,"ER_GRF_ANIMKPT_TRB","Iceland",6
2015,"ER_GRF_ANIMKPT_TRB","Iceland",6
2016,"ER_GRF_ANIMKPT_TRB","Iceland",6
2017,"ER_GRF_ANIMKPT_TRB","Iceland",6
2018,"ER_GRF_ANIMKPT_TRB","Iceland",6
2019,"ER_GRF_ANIMKPT_TRB","Iceland",6
2020,"ER_GRF_ANIMKPT_TRB","Iceland",6
2021,"ER_GRF_ANIMKPT_TRB","Iceland",6
2022,"ER_GRF_ANIMKPT_TRB","Iceland",6
2023,"ER_GRF_ANIMKPT_TRB","Iceland",6
2000,"ER_GRF_ANIMKPT_TRB","India",9
2001,"ER_GRF_ANIMKPT_TRB","India",9
2002,"ER_GRF_ANIMKPT_TRB","India",9
2003,"ER_GRF_ANIMKPT_TRB","India",10
2004,"ER_GRF_ANIMKPT_TRB","India",10
2005,"ER_GRF_ANIMKPT_TRB","India",10
2006,"ER_GRF_ANIMKPT_TRB","India",72
2007,"ER_GRF_ANIMKPT_TRB","India",72
2008,"ER_GRF_ANIMKPT_TRB","India",72
2009,"ER_GRF_ANIMKPT_TRB","India",72
2010,"ER_GRF_ANIMKPT_TRB","India",72
2011,"ER_GRF_ANIMKPT_TRB","India",72
2012,"ER_GRF_ANIMKPT_TRB","India",72
2013,"ER_GRF_ANIMKPT_TRB","India",72
2014,"ER_GRF_ANIMKPT_TRB","India",72
2015,"ER_GRF_ANIMKPT_TRB","India",72
2016,"ER_GRF_ANIMKPT_TRB","India",72
2017,"ER_GRF_ANIMKPT_TRB","India",72
2018,"ER_GRF_ANIMKPT_TRB","India",72
2019,"ER_GRF_ANIMKPT_TRB","India",72
2020,"ER_GRF_ANIMKPT_TRB","India",72
2021,"ER_GRF_ANIMKPT_TRB","India",72
2022,"ER_GRF_ANIMKPT_TRB","India",72
2023,"ER_GRF_ANIMKPT_TRB","India",72
2000,"ER_GRF_ANIMKPT_TRB","Ireland",30
2001,"ER_GRF_ANIMKPT_TRB","Ireland",30
2002,"ER_GRF_ANIMKPT_TRB","Ireland",30
2003,"ER_GRF_ANIMKPT_TRB","Ireland",40
2004,"ER_GRF_ANIMKPT_TRB","Ireland",41
2005,"ER_GRF_ANIMKPT_TRB","Ireland",42
2006,"ER_GRF_ANIMKPT_TRB","Ireland",130
2007,"ER_GRF_ANIMKPT_TRB","Ireland",130
2008,"ER_GRF_ANIMKPT_TRB","Ireland",130
2009,"ER_GRF_ANIMKPT_TRB","Ireland",130
2010,"ER_GRF_ANIMKPT_TRB","Ireland",130
2011,"ER_GRF_ANIMKPT_TRB","Ireland",130
2012,"ER_GRF_ANIMKPT_TRB","Ireland",130
2013,"ER_GRF_ANIMKPT_TRB","Ireland",130
2014,"ER_GRF_ANIMKPT_TRB","Ireland",130
2015,"ER_GRF_ANIMKPT_TRB","Ireland",130
2016,"ER_GRF_ANIMKPT_TRB","Ireland",130
2017,"ER_GRF_ANIMKPT_TRB","Ireland",130
2018,"ER_GRF_ANIMKPT_TRB","Ireland",130
2019,"ER_GRF_ANIMKPT_TRB","Ireland",130
2020,"ER_GRF_ANIMKPT_TRB","Ireland",130
2021,"ER_GRF_ANIMKPT_TRB","Ireland",130
2022,"ER_GRF_ANIMKPT_TRB","Ireland",130
2023,"ER_GRF_ANIMKPT_TRB","Ireland",130
2000,"ER_GRF_ANIMKPT_TRB","Israel",2
2001,"ER_GRF_ANIMKPT_TRB","Israel",2
2002,"ER_GRF_ANIMKPT_TRB","Israel",2
2003,"ER_GRF_ANIMKPT_TRB","Israel",2
2004,"ER_GRF_ANIMKPT_TRB","Israel",2
2005,"ER_GRF_ANIMKPT_TRB","Israel",2
2006,"ER_GRF_ANIMKPT_TRB","Israel",9
2007,"ER_GRF_ANIMKPT_TRB","Israel",9
2008,"ER_GRF_ANIMKPT_TRB","Israel",9
2009,"ER_GRF_ANIMKPT_TRB","Israel",9
2010,"ER_GRF_ANIMKPT_TRB","Israel",9
2011,"ER_GRF_ANIMKPT_TRB","Israel",9
2012,"ER_GRF_ANIMKPT_TRB","Israel",9
2013,"ER_GRF_ANIMKPT_TRB","Israel",9
2014,"ER_GRF_ANIMKPT_TRB","Israel",9
2015,"ER_GRF_ANIMKPT_TRB","Israel",9
2016,"ER_GRF_ANIMKPT_TRB","Israel",9
2017,"ER_GRF_ANIMKPT_TRB","Israel",9
2018,"ER_GRF_ANIMKPT_TRB","Israel",9
2019,"ER_GRF_ANIMKPT_TRB","Israel",9
2020,"ER_GRF_ANIMKPT_TRB","Israel",9
2021,"ER_GRF_ANIMKPT_TRB","Israel",9
2022,"ER_GRF_ANIMKPT_TRB","Israel",9
2023,"ER_GRF_ANIMKPT_TRB","Israel",9
2000,"ER_GRF_ANIMKPT_TRB","Italy",24
2001,"ER_GRF_ANIMKPT_TRB","Italy",25
