Year,SeriesCode,GeoAreaName,Value
2021,"AG_FPA_CFPI","Kyrgyzstan",0.97
2010,"AG_FPA_CFPI","Latvia",0.2
2011,"AG_FPA_CFPI","Latvia",0.66
2012,"AG_FPA_CFPI","Latvia",-0.32
2013,"AG_FPA_CFPI","Latvia",-0.03
2014,"AG_FPA_CFPI","Latvia",-0.66
2015,"AG_FPA_CFPI","Latvia",-0.64
2016,"AG_FPA_CFPI","Latvia",0.2
2017,"AG_FPA_CFPI","Latvia",0.69
2018,"AG_FPA_CFPI","Latvia",-1.02
2019,"AG_FPA_CFPI","Latvia",-0.09
2020,"AG_FPA_CFPI","Latvia",0.6
2021,"AG_FPA_CFPI","Latvia",-0.63
2010,"AG_FPA_CFPI","Lithuania",-0.68
2011,"AG_FPA_CFPI","Lithuania",0.6
2012,"AG_FPA_CFPI","Lithuania",-0.34
2013,"AG_FPA_CFPI","Lithuania",-0.15
2014,"AG_FPA_CFPI","Lithuania",-0.13
2015,"AG_FPA_CFPI","Lithuania",-0.33
2016,"AG_FPA_CFPI","Lithuania",-0.14
2017,"AG_FPA_CFPI","Lithuania",-0.26
2018,"AG_FPA_CFPI","Lithuania",-0.86
2019,"AG_FPA_CFPI","Lithuania",0.22
2020,"AG_FPA_CFPI","Lithuania",0.12
2021,"AG_FPA_CFPI","Lithuania",-0.86
2010,"AG_FPA_CFPI","Luxembourg",-1.39
2011,"AG_FPA_CFPI","Luxembourg",-0.64
2012,"AG_FPA_CFPI","Luxembourg",0.11
2013,"AG_FPA_CFPI","Luxembourg",1.32
2014,"AG_FPA_CFPI","Luxembourg",-0.36
2015,"AG_FPA_CFPI","Luxembourg",0.16
2016,"AG_FPA_CFPI","Luxembourg",0.5
2010,"AG_FPA_CFPI","Albania",-0.03
2011,"AG_FPA_CFPI","Albania",-0.31
2012,"AG_FPA_CFPI","Albania",-0.39
2013,"AG_FPA_CFPI","Albania",0.44
2014,"AG_FPA_CFPI","Albania",-0.43
2015,"AG_FPA_CFPI","Albania",0.78
2016,"AG_FPA_CFPI","Albania",0.28
2017,"AG_FPA_CFPI","Albania",0.23
2018,"AG_FPA_CFPI","Albania",-0.54
2019,"AG_FPA_CFPI","Albania",0.04
2020,"AG_FPA_CFPI","Albania",0.37
2021,"AG_FPA_CFPI","Albania",0.23
2010,"AG_FPA_CFPI","Azerbaijan",0.07
2011,"AG_FPA_CFPI","Azerbaijan",0.22
2012,"AG_FPA_CFPI","Azerbaijan",-0.54
2013,"AG_FPA_CFPI","Azerbaijan",-0.52
2014,"AG_FPA_CFPI","Azerbaijan",-0.39
2017,"AG_FPA_CFPI","Luxembourg",0.57
2018,"AG_FPA_CFPI","Luxembourg",0.11
2019,"AG_FPA_CFPI","Luxembourg",-0.73
2020,"AG_FPA_CFPI","Luxembourg",1.08
2021,"AG_FPA_CFPI","Luxembourg",-1.59
2010,"AG_FPA_CFPI","Malta",-0.9
2011,"AG_FPA_CFPI","Malta",-0.49
2012,"AG_FPA_CFPI","Malta",0.2
2013,"AG_FPA_CFPI","Malta",0.36
2014,"AG_FPA_CFPI","Malta",-0.53
2015,"AG_FPA_CFPI","Malta",-0.07
2016,"AG_FPA_CFPI","Malta",0.13
