Year,SeriesCode,GeoAreaName,Age,Name of non-communicable disease,Sex,Value
2000,"SH_DTH_NCOM","Republic of Moldova","30-70","","BOTHSEX",33
2000,"SH_DTH_NCOM","Republic of Moldova","30-70","","MALE",40.8
2000,"SH_DTH_NCOM","Republic of Moldova","30-70","","FEMALE",26.4
2005,"SH_DTH_NCOM","Republic of Moldova","30-70","","BOTHSEX",32.3
2005,"SH_DTH_NCOM","Republic of Moldova","30-70","","FEMALE",25.1
2005,"SH_DTH_NCOM","Republic of Moldova","30-70","","MALE",40.8
2010,"SH_DTH_NCOM","Republic of Moldova","30-70","","BOTHSEX",29.9
2010,"SH_DTH_NCOM","Republic of Moldova","30-70","","FEMALE",22.2
2000,"SH_DTH_NCOM","Albania","30-70","","FEMALE",12.9
2000,"SH_DTH_NCOM","Albania","30-70","","BOTHSEX",18.7
2000,"SH_DTH_NCOM","Albania","30-70","","MALE",23.5
2005,"SH_DTH_NCOM","Albania","30-70","","MALE",25.2
2005,"SH_DTH_NCOM","Albania","30-70","","FEMALE",14.5
2005,"SH_DTH_NCOM","Albania","30-70","","BOTHSEX",20.3
2010,"SH_DTH_NCOM","Albania","30-70","","FEMALE",17
2010,"SH_DTH_NCOM","Albania","30-70","","BOTHSEX",19.5
2010,"SH_DTH_NCOM","Republic of Moldova","30-70","","MALE",38.5
2015,"SH_DTH_NCOM","Republic of Moldova","30-70","","BOTHSEX",26.6
2015,"SH_DTH_NCOM","Republic of Moldova","30-70","","MALE",35.5
2015,"SH_DTH_NCOM","Republic of Moldova","30-70","","FEMALE",18.6
2019,"SH_DTH_NCOM","Republic of Moldova","30-70","","BOTHSEX",24.1
2019,"SH_DTH_NCOM","Republic of Moldova","30-70","","FEMALE",15.7
2019,"SH_DTH_NCOM","Republic of Moldova","30-70","","MALE",33.8
2000,"SH_DTH_NCOM","Montenegro","30-70","","MALE",30.5
2000,"SH_DTH_NCOM","Montenegro","30-70","","BOTHSEX",24.8
2000,"SH_DTH_NCOM","Montenegro","30-70","","FEMALE",19.3
2005,"SH_DTH_NCOM","Montenegro","30-70","","BOTHSEX",25.8
2005,"SH_DTH_NCOM","Montenegro","30-70","","MALE",32.9
2005,"SH_DTH_NCOM","Montenegro","30-70","","FEMALE",19
2010,"SH_DTH_NCOM","Montenegro","30-70","","BOTHSEX",23.6
2010,"SH_DTH_NCOM","Montenegro","30-70","","FEMALE",17.9
2010,"SH_DTH_NCOM","Montenegro","30-70","","MALE",29.7
2010,"SH_DTH_NCOM","Albania","30-70","","MALE",21.8
2015,"SH_DTH_NCOM","Albania","30-70","","BOTHSEX",13.6
2015,"SH_DTH_NCOM","Albania","30-70","","FEMALE",10
2015,"SH_DTH_NCOM","Albania","30-70","","MALE",17
2019,"SH_DTH_NCOM","Albania","30-70","","MALE",16.7
2019,"SH_DTH_NCOM","Albania","30-70","","FEMALE",6
2019,"SH_DTH_NCOM","Albania","30-70","","BOTHSEX",11.4
2000,"SH_DTH_NCOM","Azerbaijan","30-70","","MALE",39.7
2000,"SH_DTH_NCOM","Azerbaijan","30-70","","FEMALE",25.5
2000,"SH_DTH_NCOM","Azerbaijan","30-70","","BOTHSEX",32.5
2005,"SH_DTH_NCOM","Azerbaijan","30-70","","BOTHSEX",32.1
2005,"SH_DTH_NCOM","Azerbaijan","30-70","","MALE",39.6
2005,"SH_DTH_NCOM","Azerbaijan","30-70","","FEMALE",25
2010,"SH_DTH_NCOM","Azerbaijan","30-70","","MALE",37.4
2010,"SH_DTH_NCOM","Azerbaijan","30-70","","FEMALE",22.6
2010,"SH_DTH_NCOM","Azerbaijan","30-70","","BOTHSEX",29.8
2015,"SH_DTH_NCOM","Montenegro","30-70","","BOTHSEX",22.8
2015,"SH_DTH_NCOM","Montenegro","30-70","","FEMALE",16.7
2015,"SH_DTH_NCOM","Montenegro","30-70","","MALE",29
2019,"SH_DTH_NCOM","Montenegro","30-70","","FEMALE",16
2019,"SH_DTH_NCOM","Montenegro","30-70","","MALE",28.6
2019,"SH_DTH_NCOM","Montenegro","30-70","","BOTHSEX",22.3
2000,"SH_DTH_NCOM","Netherlands (Kingdom of the)","30-70","","BOTHSEX",16.5
2000,"SH_DTH_NCOM","Netherlands (Kingdom of the)","30-70","","FEMALE",12.5
2015,"SH_DTH_NCOM","Azerbaijan","30-70","","BOTHSEX",28.4
2015,"SH_DTH_NCOM","Azerbaijan","30-70","","MALE",36.1
2015,"SH_DTH_NCOM","Azerbaijan","30-70","","FEMALE",21.1
2019,"SH_DTH_NCOM","Azerbaijan","30-70","","MALE",34.4
2019,"SH_DTH_NCOM","Azerbaijan","30-70","","FEMALE",20.4
2019,"SH_DTH_NCOM","Azerbaijan","30-70","","BOTHSEX",27.2
2000,"SH_DTH_NCOM","Australia","30-70","","MALE",16
2000,"SH_DTH_NCOM","Australia","30-70","","FEMALE",9.8
2000,"SH_DTH_NCOM","Netherlands (Kingdom of the)","30-70","","MALE",20.4
2005,"SH_DTH_NCOM","Netherlands (Kingdom of the)","30-70","","BOTHSEX",14
2005,"SH_DTH_NCOM","Netherlands (Kingdom of the)","30-70","","FEMALE",11.2
2005,"SH_DTH_NCOM","Netherlands (Kingdom of the)","30-70","","MALE",16.8
