Year,SeriesCode,GeoAreaName,Age,Location,Sex,Value
2000,"SP_DYN_ADKL","Albania","10-14","","FEMALE",0.00
2001,"SP_DYN_ADKL","Albania","10-14","","FEMALE",0.00
2002,"SP_DYN_ADKL","Albania","15-19","","FEMALE",13.80
2002,"SP_DYN_ADKL","Albania","10-14","","FEMALE",0.00
2003,"SP_DYN_ADKL","Albania","10-14","","FEMALE",0.00
2003,"SP_DYN_ADKL","Albania","15-19","","FEMALE",15.93
2004,"SP_DYN_ADKL","Albania","10-14","","FEMALE",0.00
2005,"SP_DYN_ADKL","Albania","10-14","","FEMALE",0.00
2006,"SP_DYN_ADKL","Albania","15-19","","FEMALE",17.67
2006,"SP_DYN_ADKL","Albania","10-14","","FEMALE",0.00
2007,"SP_DYN_ADKL","Albania","10-14","","FEMALE",0.00
2008,"SP_DYN_ADKL","Albania","15-19","","FEMALE",18.43
2008,"SP_DYN_ADKL","Albania","10-14","","FEMALE",0.00
2009,"SP_DYN_ADKL","Albania","10-14","","FEMALE",0.00
2009,"SP_DYN_ADKL","Albania","15-19","","FEMALE",18.99
2010,"SP_DYN_ADKL","Albania","10-14","","FEMALE",0.00
2010,"SP_DYN_ADKL","Albania","15-19","","FEMALE",19.42
2011,"SP_DYN_ADKL","Albania","15-19","","FEMALE",20.57
2012,"SP_DYN_ADKL","Albania","15-19","","FEMALE",21.02
2013,"SP_DYN_ADKL","Albania","15-19","","FEMALE",20.42
2015,"SP_DYN_ADKL","Albania","15-19","","FEMALE",19.96
2016,"SP_DYN_ADKL","Albania","15-19","","FEMALE",17.35
2017,"SP_DYN_ADKL","Albania","15-19","","FEMALE",15.99
2017,"SP_DYN_ADKL","Albania","10-14","","FEMALE",0.21
2002,"SP_DYN_ADKL","Ukraine","10-14","","FEMALE",0.10
2003,"SP_DYN_ADKL","Ukraine","10-14","","FEMALE",0.10
2004,"SP_DYN_ADKL","Ukraine","10-14","","FEMALE",0.11
2007,"SP_DYN_ADKL","Ukraine","15-19","","FEMALE",30.13
2008,"SP_DYN_ADKL","Ukraine","10-14","","FEMALE",0.15
2011,"SP_DYN_ADKL","Ukraine","15-19","","FEMALE",28.04
2012,"SP_DYN_ADKL","Ukraine","15-19","","FEMALE",28.53
2013,"SP_DYN_ADKL","Ukraine","15-19","","FEMALE",27.05
2014,"SP_DYN_ADKL","Ukraine","15-19","","FEMALE",26.09
2015,"SP_DYN_ADKL","Ukraine","15-19","","FEMALE",24.97
2016,"SP_DYN_ADKL","Ukraine","15-19","","FEMALE",23.21
2016,"SP_DYN_ADKL","Ukraine","10-14","","FEMALE",0.19
2018,"SP_DYN_ADKL","Albania","10-14","","FEMALE",0.26
2018,"SP_DYN_ADKL","Albania","15-19","","FEMALE",14.27
2019,"SP_DYN_ADKL","Albania","15-19","","FEMALE",14.03
2019,"SP_DYN_ADKL","Albania","10-14","","FEMALE",0.29
2020,"SP_DYN_ADKL","Albania","15-19","","FEMALE",13.15
2000,"SP_DYN_ADKL","Azerbaijan","10-14","","FEMALE",0.00
2001,"SP_DYN_ADKL","Azerbaijan","10-14","","FEMALE",0.00
2001,"SP_DYN_ADKL","Azerbaijan","15-19","","FEMALE",25.59
2002,"SP_DYN_ADKL","Azerbaijan","15-19","","FEMALE",25.54
2002,"SP_DYN_ADKL","Azerbaijan","10-14","","FEMALE",0.00
2003,"SP_DYN_ADKL","Azerbaijan","10-14","","FEMALE",0.00
2004,"SP_DYN_ADKL","Azerbaijan","10-14","","FEMALE",0.00
2017,"SP_DYN_ADKL","Ukraine","10-14","","FEMALE",0.16
2017,"SP_DYN_ADKL","Ukraine","15-19","","FEMALE",20.60
2018,"SP_DYN_ADKL","Ukraine","15-19","","FEMALE",17.98
2019,"SP_DYN_ADKL","Ukraine","15-19","","FEMALE",15.53
2019,"SP_DYN_ADKL","Ukraine","10-14","","FEMALE",0.09
2020,"SP_DYN_ADKL","Ukraine","10-14","","FEMALE",0.08
2020,"SP_DYN_ADKL","Ukraine","15-19","","FEMALE",14.45
2000,"SP_DYN_ADKL","North Macedonia","10-14","","FEMALE",0.37
2002,"SP_DYN_ADKL","North Macedonia","15-19","","FEMALE",25.49
2003,"SP_DYN_ADKL","North Macedonia","15-19","","FEMALE",25.42
2006,"SP_DYN_ADKL","North Macedonia","10-14","","FEMALE",0.40
2007,"SP_DYN_ADKL","North Macedonia","10-14","","FEMALE",0.34
2000,"SP_DYN_ADKL","Hungary","10-14","","FEMALE",0.54
2000,"SP_DYN_ADKL","Hungary","15-19","","FEMALE",23.31
2001,"SP_DYN_ADKL","Hungary","15-19","","FEMALE",21.83
2001,"SP_DYN_ADKL","Hungary","10-14","","FEMALE",0.57
2002,"SP_DYN_ADKL","Hungary","15-19","","FEMALE",21.37
2003,"SP_DYN_ADKL","Hungary","15-19","","FEMALE",20.57
