Year,SeriesCode,GeoAreaName,Education level,Location,Quantile,Sex,Value
2000,"SE_AWP_CPRA","Albania","LOWSEC","ALLAREA","_T","BOTHSEX",0.93444
2000,"SE_AWP_CPRA","Albania","UPPSEC","ALLAREA","_T","BOTHSEX",0.5026
2000,"SE_AWP_CPRA","Albania","PRIMAR","ALLAREA","_T","BOTHSEX",0.97251
2005,"SE_AWP_CPRA","Albania","LOWSEC","ALLAREA","_T","BOTHSEX",0.97682
2005,"SE_AWP_CPRA","Albania","PRIMAR","ALLAREA","_T","BOTHSEX",1.0007
2005,"SE_AWP_CPRA","Albania","UPPSEC","ALLAREA","_T","BOTHSEX",0.21595
2009,"SE_AWP_CPRA","Albania","LOWSEC","ALLAREA","_T","BOTHSEX",0.42906
2009,"SE_AWP_CPRA","Albania","LOWSEC","RURAL","_T","MALE",0
2009,"SE_AWP_CPRA","Albania","LOWSEC","RURAL","_T","FEMALE",0
2009,"SE_AWP_CPRA","Albania","PRIMAR","RURAL","_T","MALE",0
2009,"SE_AWP_CPRA","Albania","PRIMAR","RURAL","_T","FEMALE",0
2009,"SE_AWP_CPRA","Albania","LOWSEC","ALLAREA","_T","MALE",0.45957
2009,"SE_AWP_CPRA","Albania","UPPSEC","URBAN","_T","BOTHSEX",0
2009,"SE_AWP_CPRA","Albania","UPPSEC","RURAL","_T","MALE",0
2009,"SE_AWP_CPRA","Albania","PRIMAR","RURAL","_T","BOTHSEX",0
2009,"SE_AWP_CPRA","Albania","PRIMAR","URBAN","_T","MALE",0
2009,"SE_AWP_CPRA","Albania","UPPSEC","RURAL","_T","FEMALE",0
2009,"SE_AWP_CPRA","Albania","UPPSEC","ALLAREA","_T","FEMALE",0.14785
2009,"SE_AWP_CPRA","Albania","PRIMAR","URBAN","_T","FEMALE",0
2009,"SE_AWP_CPRA","Albania","UPPSEC","ALLAREA","_T","MALE",0.22223
2009,"SE_AWP_CPRA","Albania","UPPSEC","URBAN","_T","FEMALE",0
2009,"SE_AWP_CPRA","Albania","UPPSEC","URBAN","_T","MALE",0
2009,"SE_AWP_CPRA","Albania","UPPSEC","ALLAREA","_T","BOTHSEX",0.18084
2009,"SE_AWP_CPRA","Albania","PRIMAR","ALLAREA","_T","MALE",0.97531
2009,"SE_AWP_CPRA","Albania","PRIMAR","ALLAREA","_T","FEMALE",0.97177
