Year,SeriesCode,GeoAreaName,Value
2001,"SE_GPI_PTNPRE","Albania",1.13489
2003,"SE_GPI_PTNPRE","Albania",1.07729
2004,"SE_GPI_PTNPRE","Albania",1.04256
2008,"SE_GPI_PTNPRE","Albania",1.00852
2009,"SE_GPI_PTNPRE","Albania",1.03135
2010,"SE_GPI_PTNPRE","Albania",1.01198
2011,"SE_GPI_PTNPRE","Albania",1.03032
2012,"SE_GPI_PTNPRE","Albania",1.03039
2013,"SE_GPI_PTNPRE","Albania",1.06314
2014,"SE_GPI_PTNPRE","Albania",1.04518
2015,"SE_GPI_PTNPRE","Albania",1.03978
2016,"SE_GPI_PTNPRE","Albania",1.02565
2017,"SE_GPI_PTNPRE","Albania",1.05193
2018,"SE_GPI_PTNPRE","Albania",1.0209
2021,"SE_GPI_PTNPRE","Albania",1.0019
2000,"SE_GPI_PTNPRE","Azerbaijan",1.03201
2001,"SE_GPI_PTNPRE","Azerbaijan",0.94309
2002,"SE_GPI_PTNPRE","Azerbaijan",1.02607
2003,"SE_GPI_PTNPRE","Azerbaijan",0.98582
2004,"SE_GPI_PTNPRE","Azerbaijan",0.93238
2005,"SE_GPI_PTNPRE","Azerbaijan",0.91414
2006,"SE_GPI_PTNPRE","Azerbaijan",0.96475
2007,"SE_GPI_PTNPRE","Azerbaijan",1.01925
2008,"SE_GPI_PTNPRE","Azerbaijan",0.99022
2009,"SE_GPI_PTNPRE","Azerbaijan",1.01666
2010,"SE_GPI_PTNPRE","Azerbaijan",0.96249
2011,"SE_GPI_PTNPRE","Azerbaijan",0.95566
2012,"SE_GPI_PTNPRE","Azerbaijan",0.9521
2013,"SE_GPI_PTNPRE","Azerbaijan",0.98896
2014,"SE_GPI_PTNPRE","Azerbaijan",1.02882
2015,"SE_GPI_PTNPRE","Azerbaijan",1.02352
2016,"SE_GPI_PTNPRE","Azerbaijan",1.00872
2017,"SE_GPI_PTNPRE","Azerbaijan",1.00316
2019,"SE_GPI_PTNPRE","Azerbaijan",1.15999
2020,"SE_GPI_PTNPRE","Azerbaijan",0.9876
2021,"SE_GPI_PTNPRE","Azerbaijan",0.99436
2001,"SE_GPI_PTNPRE","Australia",1.02495
2002,"SE_GPI_PTNPRE","Australia",1.0291
2003,"SE_GPI_PTNPRE","Australia",1.01692
2004,"SE_GPI_PTNPRE","Australia",1.0107
2011,"SE_GPI_PTNPRE","Netherlands (Kingdom of the)",1.01186
2012,"SE_GPI_PTNPRE","Netherlands (Kingdom of the)",1.00502
2015,"SE_GPI_PTNPRE","Netherlands (Kingdom of the)",1.00886
2016,"SE_GPI_PTNPRE","Netherlands (Kingdom of the)",1.01627
2017,"SE_GPI_PTNPRE","Netherlands (Kingdom of the)",1.00514
2018,"SE_GPI_PTNPRE","Netherlands (Kingdom of the)",1.00729
2019,"SE_GPI_PTNPRE","Netherlands (Kingdom of the)",1.00393
2020,"SE_GPI_PTNPRE","Netherlands (Kingdom of the)",1.01547
2014,"SE_GPI_PTNPRE","New Zealand",1.02701
2015,"SE_GPI_PTNPRE","New Zealand",1.0134
2016,"SE_GPI_PTNPRE","New Zealand",1.00941
2017,"SE_GPI_PTNPRE","New Zealand",1.0077
2018,"SE_GPI_PTNPRE","New Zealand",0.9854
2019,"SE_GPI_PTNPRE","New Zealand",0.98459
2020,"SE_GPI_PTNPRE","New Zealand",0.98056
2000,"SE_GPI_PTNPRE","Norway",1.05577
2001,"SE_GPI_PTNPRE","Norway",1.05558
2002,"SE_GPI_PTNPRE","Norway",1.05459
2008,"SE_GPI_PTNPRE","Norway",1.01038
2009,"SE_GPI_PTNPRE","Norway",0.99884
2005,"SE_GPI_PTNPRE","Australia",1.00904
2006,"SE_GPI_PTNPRE","Australia",0.97951
2007,"SE_GPI_PTNPRE","Australia",0.98395
2008,"SE_GPI_PTNPRE","Australia",0.97924
2009,"SE_GPI_PTNPRE","Australia",0.98542
2010,"SE_GPI_PTNPRE","Australia",0.98376
2013,"SE_GPI_PTNPRE","Australia",1.00071
2014,"SE_GPI_PTNPRE","Australia",0.99759
2015,"SE_GPI_PTNPRE","Australia",0.99727
2016,"SE_GPI_PTNPRE","Australia",0.98592
2017,"SE_GPI_PTNPRE","Australia",0.99327
2018,"SE_GPI_PTNPRE","Australia",0.99213
2019,"SE_GPI_PTNPRE","Australia",0.99208
2020,"SE_GPI_PTNPRE","Australia",0.99506
2000,"SE_GPI_PTNPRE","Austria",1.00754
2001,"SE_GPI_PTNPRE","Austria",1.00698
2002,"SE_GPI_PTNPRE","Austria",1.00213
2003,"SE_GPI_PTNPRE","Austria",1.00536
2004,"SE_GPI_PTNPRE","Austria",1.0025
2005,"SE_GPI_PTNPRE","Austria",1.00058
2006,"SE_GPI_PTNPRE","Austria",0.99904
2007,"SE_GPI_PTNPRE","Austria",1.00981
