Year,SeriesCode,GeoAreaName,Education level,Type of skill,Value
2015,"SE_LGP_ACHI","Bulgaria","LOWSEC","SKILL_READ",0.42294
2015,"SE_LGP_ACHI","Bulgaria","PRIMAR","SKILL_MATH",0.5976
2015,"SE_LGP_ACHI","Bulgaria","LOWSEC","SKILL_MATH",0.46306
2016,"SE_LGP_ACHI","Bulgaria","PRIMAR","SKILL_READ",0.83638
2018,"SE_LGP_ACHI","Bulgaria","LOWSEC","SKILL_MATH",0.56445
2018,"SE_LGP_ACHI","Bulgaria","LOWSEC","SKILL_READ",0.43419
2019,"SE_LGP_ACHI","Bulgaria","PRIMAR","SKILL_MATH",0.3572
2018,"SE_LGP_ACHI","Belarus","LOWSEC","SKILL_MATH",0.72708
2018,"SE_LGP_ACHI","Belarus","LOWSEC","SKILL_READ",0.6947
2000,"SE_LGP_ACHI","Canada","LOWSEC","SKILL_READ",0.91094
2000,"SE_LGP_ACHI","Canada","LOWSEC","SKILL_MATH",0.95555
2001,"SE_LGP_ACHI","Canada","PRIMAR","SKILL_READ",0.85475
2003,"SE_LGP_ACHI","Canada","LOWSEC","SKILL_MATH",0.96017
2003,"SE_LGP_ACHI","Canada","LOWSEC","SKILL_READ",0.92703
2006,"SE_LGP_ACHI","Canada","LOWSEC","SKILL_READ",0.92237
2006,"SE_LGP_ACHI","Canada","LOWSEC","SKILL_MATH",0.95908
2009,"SE_LGP_ACHI","Canada","LOWSEC","SKILL_MATH",0.96454
2009,"SE_LGP_ACHI","Canada","LOWSEC","SKILL_READ",0.94109
2011,"SE_LGP_ACHI","Canada","PRIMAR","SKILL_READ",0.95853
2012,"SE_LGP_ACHI","Canada","LOWSEC","SKILL_MATH",0.9984
2012,"SE_LGP_ACHI","Canada","LOWSEC","SKILL_READ",0.98449
2015,"SE_LGP_ACHI","Canada","LOWSEC","SKILL_READ",0.96578
2015,"SE_LGP_ACHI","Canada","PRIMAR","SKILL_MATH",0.76335
2015,"SE_LGP_ACHI","Canada","LOWSEC","SKILL_MATH",1.01389
2016,"SE_LGP_ACHI","Canada","PRIMAR","SKILL_READ",0.9976
2018,"SE_LGP_ACHI","Canada","LOWSEC","SKILL_MATH",0.96807
2018,"SE_LGP_ACHI","Canada","LOWSEC","SKILL_READ",0.92019
2019,"SE_LGP_ACHI","Canada","PRIMAR","SKILL_MATH",0.98054
2000,"SE_LGP_ACHI","Chile","LOWSEC","SKILL_READ",0.5573
2003,"SE_LGP_ACHI","Chile","LOWSEC","SKILL_MATH",0.40393
2006,"SE_LGP_ACHI","Chile","PRIMAR","SKILL_READ",0.73179
2006,"SE_LGP_ACHI","Chile","GRAD23","SKILL_MATH",0.65661
2006,"SE_LGP_ACHI","Chile","LOWSEC","SKILL_READ",0.8726
2006,"SE_LGP_ACHI","Chile","GRAD23","SKILL_READ",0.71667
2006,"SE_LGP_ACHI","Chile","PRIMAR","SKILL_MATH",0.76505
2009,"SE_LGP_ACHI","Chile","LOWSEC","SKILL_READ",0.59365
2011,"SE_LGP_ACHI","Chile","LOWSEC","SKILL_MATH",0.12099
2012,"SE_LGP_ACHI","Chile","LOWSEC","SKILL_READ",0.69446
2015,"SE_LGP_ACHI","Chile","LOWSEC","SKILL_MATH",0.44262
2015,"SE_LGP_ACHI","Chile","LOWSEC","SKILL_READ",0.78142
2018,"SE_LGP_ACHI","Chile","LOWSEC","SKILL_READ",0.90311
2019,"SE_LGP_ACHI","Chile","LOWSEC","SKILL_MATH",0.65447
2006,"SE_LGP_ACHI","Colombia","LOWSEC","SKILL_READ",1.24579
2006,"SE_LGP_ACHI","Colombia","GRAD23","SKILL_READ",0.72938
2006,"SE_LGP_ACHI","Colombia","GRAD23","SKILL_MATH",0.66516
2006,"SE_LGP_ACHI","Colombia","LOWSEC","SKILL_MATH",0.27624
2006,"SE_LGP_ACHI","Colombia","PRIMAR","SKILL_READ",0.50552
