Year,SeriesCode,GeoAreaName,Age,Type of skill,Value
2012,"SE_TOT_GPI_FS","Australia","16-65","LITE",1.00359
2012,"SE_TOT_GPI_FS","Australia","16-65","NUME",0.93052
2012,"SE_TOT_GPI_FS","Austria","16-65","NUME",0.95141
2012,"SE_TOT_GPI_FS","Austria","16-65","LITE",0.9866
2012,"SE_TOT_GPI_FS","Belgium","16-65","LITE",0.97875
2012,"SE_TOT_GPI_FS","Belgium","16-65","NUME",0.94306
2012,"SE_TOT_GPI_FS","Canada","16-65","NUME",0.92378
2012,"SE_TOT_GPI_FS","Canada","16-65","LITE",0.99413
2015,"SE_TOT_GPI_FS","Chile","16-65","LITE",0.89933
2015,"SE_TOT_GPI_FS","Chile","16-65","NUME",0.70061
2012,"SE_TOT_GPI_FS","Cyprus","16-65","NUME",0.94667
2012,"SE_TOT_GPI_FS","Cyprus","16-65","LITE",1.01454
2012,"SE_TOT_GPI_FS","Czechia","16-65","NUME",0.95616
2012,"SE_TOT_GPI_FS","Czechia","16-65","LITE",0.98786
2012,"SE_TOT_GPI_FS","Denmark","16-65","LITE",1.03161
2012,"SE_TOT_GPI_FS","Denmark","16-65","NUME",0.97466
2012,"SE_TOT_GPI_FS","Estonia","16-65","LITE",1.01309
2012,"SE_TOT_GPI_FS","Estonia","16-65","NUME",0.97865
2012,"SE_TOT_GPI_FS","Finland","16-65","LITE",1.01972
2012,"SE_TOT_GPI_FS","Finland","16-65","NUME",0.97785
2012,"SE_TOT_GPI_FS","France","16-65","LITE",1.01805
2012,"SE_TOT_GPI_FS","France","16-65","NUME",0.9406
2012,"SE_TOT_GPI_FS","Germany","16-65","LITE",0.97439
2012,"SE_TOT_GPI_FS","Germany","16-65","NUME",0.90869
2015,"SE_TOT_GPI_FS","Greece","16-65","NUME",0.94359
2015,"SE_TOT_GPI_FS","Greece","16-65","LITE",1.05082
2017,"SE_TOT_GPI_FS","Hungary","16-65","NUME",1.01075
2017,"SE_TOT_GPI_FS","Hungary","16-65","LITE",1.03856
2012,"SE_TOT_GPI_FS","Ireland","16-65","LITE",1.00597
2012,"SE_TOT_GPI_FS","Ireland","16-65","NUME",0.91522
2015,"SE_TOT_GPI_FS","Israel","16-65","NUME",0.91569
2015,"SE_TOT_GPI_FS","Israel","16-65","LITE",1.01044
2012,"SE_TOT_GPI_FS","Italy","16-65","LITE",1.03617
2012,"SE_TOT_GPI_FS","Italy","16-65","NUME",0.91755
2012,"SE_TOT_GPI_FS","Japan","16-65","NUME",0.97914
2012,"SE_TOT_GPI_FS","Japan","16-65","LITE",1.00357
2017,"SE_TOT_GPI_FS","Kazakhstan","16-65","NUME",1.00826
2017,"SE_TOT_GPI_FS","Kazakhstan","16-65","LITE",1.02681
2012,"SE_TOT_GPI_FS","Republic of Korea","16-65","LITE",0.96633
2012,"SE_TOT_GPI_FS","Republic of Korea","16-65","NUME",0.93635
2015,"SE_TOT_GPI_FS","Lithuania","16-65","NUME",0.99428
2015,"SE_TOT_GPI_FS","Lithuania","16-65","LITE",1.02343
2017,"SE_TOT_GPI_FS","Mexico","16-65","LITE",0.9853
2017,"SE_TOT_GPI_FS","Mexico","16-65","NUME",0.80013
2012,"SE_TOT_GPI_FS","Netherlands (Kingdom of the)","16-65","NUME",0.94548
2012,"SE_TOT_GPI_FS","Netherlands (Kingdom of the)","16-65","LITE",0.98234
2014,"SE_TOT_GPI_FS","New Zealand","16-65","LITE",1.01098
2014,"SE_TOT_GPI_FS","New Zealand","16-65","NUME",0.94777
2012,"SE_TOT_GPI_FS","Norway","16-65","NUME",0.95103
2012,"SE_TOT_GPI_FS","Norway","16-65","LITE",0.9972
2012,"SE_TOT_GPI_FS","Poland","16-65","NUME",1.00958
2012,"SE_TOT_GPI_FS","Poland","16-65","LITE",1.06091
2012,"SE_TOT_GPI_FS","Slovakia","16-65","NUME",1.00077
2012,"SE_TOT_GPI_FS","Slovakia","16-65","LITE",1.00596
2015,"SE_TOT_GPI_FS","Slovenia","16-65","NUME",0.97625
2015,"SE_TOT_GPI_FS","Slovenia","16-65","LITE",1.01926
2012,"SE_TOT_GPI_FS","Spain","16-65","NUME",0.90183
2012,"SE_TOT_GPI_FS","Spain","16-65","LITE",0.96748
2012,"SE_TOT_GPI_FS","Sweden","16-65","NUME",0.9487
2012,"SE_TOT_GPI_FS","Sweden","16-65","LITE",0.98382
2015,"SE_TOT_GPI_FS","Türkiye","16-65","LITE",0.84474
2015,"SE_TOT_GPI_FS","Türkiye","16-65","NUME",0.68105
2012,"SE_TOT_GPI_FS","United Kingdom of Great Britain and Northern Ireland","16-65","LITE",1.00608
2012,"SE_TOT_GPI_FS","United Kingdom of Great Britain and Northern Ireland","16-65","NUME",0.92303
2012,"SE_TOT_GPI_FS","United Kingdom of Great Britain and Northern Ireland","16-65","NUME",0.92303
