Year,SeriesCode,GeoAreaName,Education level,Type of skill,Value
2000,"SE_TOT_RUPI","Albania","LOWSEC","SKILL_MATH",0.44378
2000,"SE_TOT_RUPI","Albania","LOWSEC","SKILL_READ",0.32392
2009,"SE_TOT_RUPI","Albania","LOWSEC","SKILL_READ",0.5811
2009,"SE_TOT_RUPI","Albania","LOWSEC","SKILL_MATH",0.5481
2012,"SE_TOT_RUPI","Albania","LOWSEC","SKILL_MATH",0.8677
2012,"SE_TOT_RUPI","Albania","LOWSEC","SKILL_READ",0.90681
2018,"SE_TOT_RUPI","Albania","LOWSEC","SKILL_READ",0.55775
2018,"SE_TOT_RUPI","Albania","LOWSEC","SKILL_MATH",0.79086
2019,"SE_TOT_RUPI","Albania","PRIMAR","SKILL_MATH",0.92549
2006,"SE_TOT_RUPI","Azerbaijan","LOWSEC","SKILL_MATH",1.0098
2006,"SE_TOT_RUPI","Azerbaijan","LOWSEC","SKILL_READ",0.48005
2009,"SE_TOT_RUPI","Azerbaijan","LOWSEC","SKILL_READ",0.52863
2009,"SE_TOT_RUPI","Azerbaijan","LOWSEC","SKILL_MATH",0.9767
2011,"SE_TOT_RUPI","Azerbaijan","PRIMAR","SKILL_READ",0.93177
2016,"SE_TOT_RUPI","Azerbaijan","PRIMAR","SKILL_READ",0.72013
2019,"SE_TOT_RUPI","Azerbaijan","PRIMAR","SKILL_MATH",0.87196
2000,"SE_TOT_RUPI","Australia","LOWSEC","SKILL_MATH",0.96803
2000,"SE_TOT_RUPI","Australia","LOWSEC","SKILL_READ",0.93706
2003,"SE_TOT_RUPI","Australia","LOWSEC","SKILL_READ",0.92678
2003,"SE_TOT_RUPI","Australia","LOWSEC","SKILL_MATH",0.93377
2003,"SE_TOT_RUPI","Australia","PRIMAR","SKILL_MATH",0.74025
2003,"SE_TOT_RUPI","Australia","GRAD23","SKILL_MATH",0.93591
2006,"SE_TOT_RUPI","Australia","LOWSEC","SKILL_MATH",0.91457
2006,"SE_TOT_RUPI","Australia","LOWSEC","SKILL_READ",0.90093
2007,"SE_TOT_RUPI","Australia","PRIMAR","SKILL_MATH",0.72263
2007,"SE_TOT_RUPI","Australia","GRAD23","SKILL_MATH",0.95948
2009,"SE_TOT_RUPI","Australia","LOWSEC","SKILL_MATH",0.91545
2009,"SE_TOT_RUPI","Australia","LOWSEC","SKILL_READ",0.91703
2011,"SE_TOT_RUPI","Australia","GRAD23","SKILL_READ",0.91317
2011,"SE_TOT_RUPI","Australia","PRIMAR","SKILL_MATH",0.50093
2011,"SE_TOT_RUPI","Australia","GRAD23","SKILL_MATH",0.95606
2012,"SE_TOT_RUPI","Australia","LOWSEC","SKILL_MATH",0.88699
2012,"SE_TOT_RUPI","Australia","LOWSEC","SKILL_READ",0.89633
2015,"SE_TOT_RUPI","Australia","PRIMAR","SKILL_MATH",0.45197
2015,"SE_TOT_RUPI","Australia","GRAD23","SKILL_MATH",0.88851
2016,"SE_TOT_RUPI","Australia","GRAD23","SKILL_READ",0.9017
2018,"SE_TOT_RUPI","Australia","LOWSEC","SKILL_READ",0.80413
2018,"SE_TOT_RUPI","Australia","LOWSEC","SKILL_MATH",0.79038
2019,"SE_TOT_RUPI","Australia","PRIMAR","SKILL_MATH",0.63609
2019,"SE_TOT_RUPI","Australia","GRAD23","SKILL_MATH",1.0347
2000,"SE_TOT_RUPI","Austria","LOWSEC","SKILL_MATH",0.94986
2000,"SE_TOT_RUPI","Austria","LOWSEC","SKILL_READ",0.93764
2003,"SE_TOT_RUPI","Austria","LOWSEC","SKILL_READ",0.91372
2003,"SE_TOT_RUPI","Austria","LOWSEC","SKILL_MATH",0.92771
2006,"SE_TOT_RUPI","Austria","LOWSEC","SKILL_MATH",0.94777
2006,"SE_TOT_RUPI","Austria","PRIMAR","SKILL_READ",1.02132
2006,"SE_TOT_RUPI","Austria","LOWSEC","SKILL_READ",0.92195
2009,"SE_TOT_RUPI","Austria","LOWSEC","SKILL_READ",0.93457
2009,"SE_TOT_RUPI","Austria","LOWSEC","SKILL_MATH",0.95833
2011,"SE_TOT_RUPI","Austria","PRIMAR","SKILL_READ",1.04979
2012,"SE_TOT_RUPI","Austria","LOWSEC","SKILL_READ",0.96371
2012,"SE_TOT_RUPI","Austria","LOWSEC","SKILL_MATH",0.98317
2016,"SE_TOT_RUPI","Austria","PRIMAR","SKILL_READ",1.06322
2018,"SE_TOT_RUPI","Austria","LOWSEC","SKILL_MATH",0.99821
2018,"SE_TOT_RUPI","Austria","LOWSEC","SKILL_READ",1.00258
2019,"SE_TOT_RUPI","Austria","PRIMAR","SKILL_MATH",1.19883
2003,"SE_TOT_RUPI","Armenia","PRIMAR","SKILL_MATH",0.8276
2003,"SE_TOT_RUPI","Armenia","LOWSEC","SKILL_MATH",0.65572
2007,"SE_TOT_RUPI","Armenia","LOWSEC","SKILL_MATH",0.86298
2007,"SE_TOT_RUPI","Armenia","PRIMAR","SKILL_MATH",1.07727
2011,"SE_TOT_RUPI","Armenia","PRIMAR","SKILL_MATH",0.65894
2011,"SE_TOT_RUPI","Armenia","LOWSEC","SKILL_MATH",0.53052
2015,"SE_TOT_RUPI","Armenia","LOWSEC","SKILL_MATH",0.77297
2015,"SE_TOT_RUPI","Armenia","PRIMAR","SKILL_MATH",0.87569
2019,"SE_TOT_RUPI","Armenia","PRIMAR","SKILL_MATH",1.00819
2000,"SE_TOT_RUPI","Belgium","LOWSEC","SKILL_READ",0.9838
2000,"SE_TOT_RUPI","Belgium","LOWSEC","SKILL_MATH",0.93723
2003,"SE_TOT_RUPI","Belgium","LOWSEC","SKILL_READ",1.03152
2003,"SE_TOT_RUPI","Belgium","LOWSEC","SKILL_MATH",1.04442
2006,"SE_TOT_RUPI","Belgium","LOWSEC","SKILL_MATH",1.05603
2006,"SE_TOT_RUPI","Belgium","LOWSEC","SKILL_READ",1.04902
2009,"SE_TOT_RUPI","Belgium","LOWSEC","SKILL_READ",1.07368
2009,"SE_TOT_RUPI","Belgium","LOWSEC","SKILL_MATH",1.08237
2012,"SE_TOT_RUPI","Belgium","LOWSEC","SKILL_MATH",0.98549
2012,"SE_TOT_RUPI","Belgium","LOWSEC","SKILL_READ",0.99346
2019,"SE_TOT_RUPI","Belgium","PRIMAR","SKILL_MATH",1.16217
2018,"SE_TOT_RUPI","Bosnia and Herzegovina","LOWSEC","SKILL_READ",0.55535
2019,"SE_TOT_RUPI","Bosnia and Herzegovina","PRIMAR","SKILL_MATH",0.7634
2000,"SE_TOT_RUPI","Bulgaria","LOWSEC","SKILL_MATH",0.55296
2000,"SE_TOT_RUPI","Bulgaria","LOWSEC","SKILL_READ",0.58138
2001,"SE_TOT_RUPI","Bulgaria","PRIMAR","SKILL_READ",0.91991
2006,"SE_TOT_RUPI","Bulgaria","LOWSEC","SKILL_MATH",0.48733
2006,"SE_TOT_RUPI","Bulgaria","LOWSEC","SKILL_READ",0.50089
2006,"SE_TOT_RUPI","Bulgaria","PRIMAR","SKILL_READ",0.931
2009,"SE_TOT_RUPI","Bulgaria","LOWSEC","SKILL_READ",0.6532
2009,"SE_TOT_RUPI","Bulgaria","LOWSEC","SKILL_MATH",0.64969
2011,"SE_TOT_RUPI","Bulgaria","PRIMAR","SKILL_READ",1.0414
2012,"SE_TOT_RUPI","Bulgaria","LOWSEC","SKILL_MATH",0.54295
2012,"SE_TOT_RUPI","Bulgaria","LOWSEC","SKILL_READ",0.5361
2015,"SE_TOT_RUPI","Bulgaria","PRIMAR","SKILL_MATH",0.77671
2016,"SE_TOT_RUPI","Bulgaria","PRIMAR","SKILL_READ",0.92403
2018,"SE_TOT_RUPI","Bulgaria","LOWSEC","SKILL_MATH",0.37337
2018,"SE_TOT_RUPI","Bulgaria","LOWSEC","SKILL_READ",0.25396
2019,"SE_TOT_RUPI","Bulgaria","PRIMAR","SKILL_MATH",0.67304
2018,"SE_TOT_RUPI","Belarus","LOWSEC","SKILL_READ",0.70371
2018,"SE_TOT_RUPI","Belarus","LOWSEC","SKILL_MATH",0.64035
2001,"SE_TOT_RUPI","Canada","PRIMAR","SKILL_READ",0.99837
2003,"SE_TOT_RUPI","Canada","LOWSEC","SKILL_READ",0.98349
2003,"SE_TOT_RUPI","Canada","LOWSEC","SKILL_MATH",0.98184
2006,"SE_TOT_RUPI","Canada","LOWSEC","SKILL_MATH",0.98233
2006,"SE_TOT_RUPI","Canada","LOWSEC","SKILL_READ",0.96567
2009,"SE_TOT_RUPI","Canada","LOWSEC","SKILL_READ",0.95872
2009,"SE_TOT_RUPI","Canada","LOWSEC","SKILL_MATH",0.96671
2011,"SE_TOT_RUPI","Canada","PRIMAR","SKILL_READ",0.97709
2012,"SE_TOT_RUPI","Canada","LOWSEC","SKILL_READ",0.96715
2012,"SE_TOT_RUPI","Canada","LOWSEC","SKILL_MATH",0.95475
2015,"SE_TOT_RUPI","Canada","PRIMAR","SKILL_MATH",0.8395
2016,"SE_TOT_RUPI","Canada","PRIMAR","SKILL_READ",0.84492
2018,"SE_TOT_RUPI","Canada","LOWSEC","SKILL_MATH",0.91969
2018,"SE_TOT_RUPI","Canada","LOWSEC","SKILL_READ",0.91203
2019,"SE_TOT_RUPI","Canada","PRIMAR","SKILL_MATH",0.85989
2000,"SE_TOT_RUPI","Chile","LOWSEC","SKILL_READ",0.62615
2003,"SE_TOT_RUPI","Chile","LOWSEC","SKILL_MATH",0.05818
2006,"SE_TOT_RUPI","Chile","GRAD23","SKILL_MATH",0.81333
2006,"SE_TOT_RUPI","Chile","LOWSEC","SKILL_READ",0.71885
2006,"SE_TOT_RUPI","Chile","PRIMAR","SKILL_MATH",0.63676
2006,"SE_TOT_RUPI","Chile","PRIMAR","SKILL_READ",0.7476
2006,"SE_TOT_RUPI","Chile","GRAD23","SKILL_READ",0.90961
2009,"SE_TOT_RUPI","Chile","LOWSEC","SKILL_READ",0.63941
2011,"SE_TOT_RUPI","Chile","LOWSEC","SKILL_MATH",0.2323
2012,"SE_TOT_RUPI","Chile","LOWSEC","SKILL_READ",0.61836
2015,"SE_TOT_RUPI","Chile","LOWSEC","SKILL_MATH",0.62344
2018,"SE_TOT_RUPI","Chile","LOWSEC","SKILL_READ",0.63123
2019,"SE_TOT_RUPI","Chile","LOWSEC","SKILL_MATH",0.45921
2006,"SE_TOT_RUPI","Colombia","PRIMAR","SKILL_MATH",0.65325
2006,"SE_TOT_RUPI","Colombia","PRIMAR","SKILL_READ",0.58574
2006,"SE_TOT_RUPI","Colombia","LOWSEC","SKILL_READ",0.68476
2006,"SE_TOT_RUPI","Colombia","GRAD23","SKILL_READ",0.72676
2006,"SE_TOT_RUPI","Colombia","LOWSEC","SKILL_MATH",0.50875
2006,"SE_TOT_RUPI","Colombia","GRAD23","SKILL_MATH",0.68246
2009,"SE_TOT_RUPI","Colombia","LOWSEC","SKILL_MATH",0.65553
