Year,SeriesCode,GeoAreaName,Education level,Value
2016,"SE_ACS_CMPTR","Azerbaijan","PRIMAR",94.28507
2016,"SE_ACS_CMPTR","Azerbaijan","LOWSEC",97.76916
2016,"SE_ACS_CMPTR","Azerbaijan","UPPSEC",98.73303
2016,"SE_ACS_CMPTR","Azerbaijan","SECOND",98.19868
2017,"SE_ACS_CMPTR","Azerbaijan","LOWSEC",97.33139
2017,"SE_ACS_CMPTR","Azerbaijan","PRIMAR",93.93531
2017,"SE_ACS_CMPTR","Azerbaijan","SECOND",97.75507
2017,"SE_ACS_CMPTR","Azerbaijan","UPPSEC",98.28158
2018,"SE_ACS_CMPTR","Azerbaijan","PRIMAR",94.38936
2018,"SE_ACS_CMPTR","Azerbaijan","LOWSEC",97.13244
2018,"SE_ACS_CMPTR","Azerbaijan","UPPSEC",98.37202
2018,"SE_ACS_CMPTR","Azerbaijan","SECOND",97.68568
2019,"SE_ACS_CMPTR","Azerbaijan","SECOND",97.84917
2019,"SE_ACS_CMPTR","Azerbaijan","UPPSEC",98.4041
2019,"SE_ACS_CMPTR","Azerbaijan","LOWSEC",97.40165
2019,"SE_ACS_CMPTR","Azerbaijan","PRIMAR",94.88624
2020,"SE_ACS_CMPTR","Azerbaijan","PRIMAR",96.48094
2020,"SE_ACS_CMPTR","Azerbaijan","LOWSEC",98.34871
2020,"SE_ACS_CMPTR","Azerbaijan","UPPSEC",98.82848
2020,"SE_ACS_CMPTR","Azerbaijan","SECOND",98.56318
2021,"SE_ACS_CMPTR","Azerbaijan","SECOND",99.00844
2021,"SE_ACS_CMPTR","Azerbaijan","UPPSEC",99.13278
2021,"SE_ACS_CMPTR","Azerbaijan","LOWSEC",98.9075
2021,"SE_ACS_CMPTR","Azerbaijan","PRIMAR",97.83345
2000,"SE_ACS_CMPTR","Australia","SECOND",100
2000,"SE_ACS_CMPTR","Australia","LOWSEC",100
2000,"SE_ACS_CMPTR","Australia","PRIMAR",100
2000,"SE_ACS_CMPTR","Australia","UPPSEC",100
2001,"SE_ACS_CMPTR","Australia","UPPSEC",100
2001,"SE_ACS_CMPTR","Australia","PRIMAR",100
2014,"SE_ACS_CMPTR","Slovakia","UPPSEC",78.37756
2015,"SE_ACS_CMPTR","Slovakia","UPPSEC",89.75313
2015,"SE_ACS_CMPTR","Slovakia","SECOND",100
2015,"SE_ACS_CMPTR","Slovakia","PRIMAR",58.39524
2016,"SE_ACS_CMPTR","Slovakia","UPPSEC",89.65995
2018,"SE_ACS_CMPTR","Slovakia","SECOND",99.60195
2019,"SE_ACS_CMPTR","Slovakia","PRIMAR",57.72231
2015,"SE_ACS_CMPTR","Viet Nam","SECOND",93.76878
2018,"SE_ACS_CMPTR","Viet Nam","SECOND",91.17721
2020,"SE_ACS_CMPTR","Viet Nam","UPPSEC",93.56193
2020,"SE_ACS_CMPTR","Viet Nam","SECOND",92.5521
2001,"SE_ACS_CMPTR","Australia","LOWSEC",100
2001,"SE_ACS_CMPTR","Australia","SECOND",100
2002,"SE_ACS_CMPTR","Australia","PRIMAR",100
2002,"SE_ACS_CMPTR","Australia","UPPSEC",100
2002,"SE_ACS_CMPTR","Australia","SECOND",100
2002,"SE_ACS_CMPTR","Australia","LOWSEC",100
2003,"SE_ACS_CMPTR","Australia","UPPSEC",100
2003,"SE_ACS_CMPTR","Australia","PRIMAR",100
2003,"SE_ACS_CMPTR","Australia","LOWSEC",100
2003,"SE_ACS_CMPTR","Australia","SECOND",100
2004,"SE_ACS_CMPTR","Australia","SECOND",100
2020,"SE_ACS_CMPTR","Viet Nam","LOWSEC",92.28412
2020,"SE_ACS_CMPTR","Viet Nam","PRIMAR",84.61538
2021,"SE_ACS_CMPTR","Viet Nam","PRIMAR",88.20371
2021,"SE_ACS_CMPTR","Viet Nam","LOWSEC",88.69307
2021,"SE_ACS_CMPTR","Viet Nam","SECOND",89.08054
2021,"SE_ACS_CMPTR","Viet Nam","UPPSEC",90.52051
2000,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2000,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2001,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2001,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2002,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2004,"SE_ACS_CMPTR","Australia","LOWSEC",100
2004,"SE_ACS_CMPTR","Australia","PRIMAR",100
2004,"SE_ACS_CMPTR","Australia","UPPSEC",100
2005,"SE_ACS_CMPTR","Australia","UPPSEC",100
2005,"SE_ACS_CMPTR","Australia","PRIMAR",100
2005,"SE_ACS_CMPTR","Australia","LOWSEC",100
2005,"SE_ACS_CMPTR","Australia","SECOND",100
2006,"SE_ACS_CMPTR","Australia","SECOND",100
2006,"SE_ACS_CMPTR","Australia","LOWSEC",100
2006,"SE_ACS_CMPTR","Australia","PRIMAR",100
2006,"SE_ACS_CMPTR","Australia","UPPSEC",100
2002,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2003,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2003,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2004,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2004,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2004,"SE_ACS_CMPTR","Slovenia","UPPSEC",100
2004,"SE_ACS_CMPTR","Slovenia","SECOND",100
2005,"SE_ACS_CMPTR","Slovenia","UPPSEC",100
2005,"SE_ACS_CMPTR","Slovenia","SECOND",100
2005,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2005,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2006,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2006,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2006,"SE_ACS_CMPTR","Slovenia","SECOND",100
2006,"SE_ACS_CMPTR","Slovenia","UPPSEC",100
2007,"SE_ACS_CMPTR","Slovenia","UPPSEC",100
2007,"SE_ACS_CMPTR","Slovenia","SECOND",100
2007,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2007,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2008,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2008,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2008,"SE_ACS_CMPTR","Slovenia","SECOND",100
2008,"SE_ACS_CMPTR","Slovenia","UPPSEC",100
2009,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2009,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2009,"SE_ACS_CMPTR","Slovenia","SECOND",100
2009,"SE_ACS_CMPTR","Slovenia","UPPSEC",100
2010,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2010,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2010,"SE_ACS_CMPTR","Slovenia","SECOND",100
2010,"SE_ACS_CMPTR","Slovenia","UPPSEC",100
2011,"SE_ACS_CMPTR","Slovenia","SECOND",100
2011,"SE_ACS_CMPTR","Slovenia","UPPSEC",100
2011,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2011,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2012,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2012,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2012,"SE_ACS_CMPTR","Slovenia","UPPSEC",100
2012,"SE_ACS_CMPTR","Slovenia","SECOND",100
2013,"SE_ACS_CMPTR","Slovenia","SECOND",100
2013,"SE_ACS_CMPTR","Slovenia","UPPSEC",100
2013,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2013,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2014,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2014,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2014,"SE_ACS_CMPTR","Slovenia","UPPSEC",100
2014,"SE_ACS_CMPTR","Slovenia","SECOND",100
