Year,SeriesCode,GeoAreaName,Education level,Value
2000,"SE_ACS_ELECT","Netherlands (Kingdom of the)","PRIMAR",100
2000,"SE_ACS_ELECT","Netherlands (Kingdom of the)","UPPSEC",100
2000,"SE_ACS_ELECT","Netherlands (Kingdom of the)","LOWSEC",100
2001,"SE_ACS_ELECT","Netherlands (Kingdom of the)","LOWSEC",100
2001,"SE_ACS_ELECT","Netherlands (Kingdom of the)","UPPSEC",100
2001,"SE_ACS_ELECT","Netherlands (Kingdom of the)","PRIMAR",100
2002,"SE_ACS_ELECT","Netherlands (Kingdom of the)","PRIMAR",100
2002,"SE_ACS_ELECT","Netherlands (Kingdom of the)","UPPSEC",100
2002,"SE_ACS_ELECT","Netherlands (Kingdom of the)","LOWSEC",100
2003,"SE_ACS_ELECT","Netherlands (Kingdom of the)","UPPSEC",100
2003,"SE_ACS_ELECT","Netherlands (Kingdom of the)","PRIMAR",100
2003,"SE_ACS_ELECT","Netherlands (Kingdom of the)","LOWSEC",100
2004,"SE_ACS_ELECT","Netherlands (Kingdom of the)","PRIMAR",100
2004,"SE_ACS_ELECT","Netherlands (Kingdom of the)","UPPSEC",100
2004,"SE_ACS_ELECT","Netherlands (Kingdom of the)","LOWSEC",100
2005,"SE_ACS_ELECT","Netherlands (Kingdom of the)","LOWSEC",100
2005,"SE_ACS_ELECT","Netherlands (Kingdom of the)","UPPSEC",100
2005,"SE_ACS_ELECT","Netherlands (Kingdom of the)","PRIMAR",100
2006,"SE_ACS_ELECT","Netherlands (Kingdom of the)","PRIMAR",100
2006,"SE_ACS_ELECT","Netherlands (Kingdom of the)","UPPSEC",100
2006,"SE_ACS_ELECT","Netherlands (Kingdom of the)","LOWSEC",100
2007,"SE_ACS_ELECT","Netherlands (Kingdom of the)","LOWSEC",100
2007,"SE_ACS_ELECT","Netherlands (Kingdom of the)","UPPSEC",100
2007,"SE_ACS_ELECT","Netherlands (Kingdom of the)","PRIMAR",100
2008,"SE_ACS_ELECT","Netherlands (Kingdom of the)","PRIMAR",100
2008,"SE_ACS_ELECT","Netherlands (Kingdom of the)","UPPSEC",100
2008,"SE_ACS_ELECT","Netherlands (Kingdom of the)","LOWSEC",100
2009,"SE_ACS_ELECT","Netherlands (Kingdom of the)","LOWSEC",100
2009,"SE_ACS_ELECT","Netherlands (Kingdom of the)","UPPSEC",100
2009,"SE_ACS_ELECT","Netherlands (Kingdom of the)","PRIMAR",100
2010,"SE_ACS_ELECT","Netherlands (Kingdom of the)","PRIMAR",100
2010,"SE_ACS_ELECT","Netherlands (Kingdom of the)","UPPSEC",100
2010,"SE_ACS_ELECT","Netherlands (Kingdom of the)","LOWSEC",100
2017,"SE_ACS_ELECT","Albania","UPPSEC",89.48413
2018,"SE_ACS_ELECT","Albania","UPPSEC",90.90909
2018,"SE_ACS_ELECT","Albania","PRIMAR",94.08521
