Year,SeriesCode,GeoAreaName,Education level,Value
2017,"SE_ACS_INTNT","Albania","UPPSEC",76.19048
2018,"SE_ACS_INTNT","Albania","UPPSEC",90.90909
2018,"SE_ACS_INTNT","Albania","SECOND",74.40217
2018,"SE_ACS_INTNT","Albania","LOWSEC",68.32714
2018,"SE_ACS_INTNT","Albania","PRIMAR",46.76692
2019,"SE_ACS_INTNT","Albania","PRIMAR",50.70873
2019,"SE_ACS_INTNT","Albania","LOWSEC",83.92435
2019,"SE_ACS_INTNT","Albania","SECOND",85.90034
2019,"SE_ACS_INTNT","Albania","UPPSEC",90.94567
2020,"SE_ACS_INTNT","Albania","UPPSEC",100
2020,"SE_ACS_INTNT","Albania","SECOND",100
2020,"SE_ACS_INTNT","Albania","LOWSEC",100
2020,"SE_ACS_INTNT","Albania","PRIMAR",56.81391
2021,"SE_ACS_INTNT","Albania","SECOND",70.77844
2021,"SE_ACS_INTNT","Albania","UPPSEC",67.26908
2021,"SE_ACS_INTNT","Albania","PRIMAR",72.26962
2021,"SE_ACS_INTNT","Albania","LOWSEC",72.26962
2016,"SE_ACS_INTNT","Azerbaijan","SECOND",56.60707
2016,"SE_ACS_INTNT","Azerbaijan","UPPSEC",61.5083
2016,"SE_ACS_INTNT","Azerbaijan","PRIMAR",49.19319
2016,"SE_ACS_INTNT","Azerbaijan","LOWSEC",52.66731
2017,"SE_ACS_INTNT","Azerbaijan","LOWSEC",56.57448
2017,"SE_ACS_INTNT","Azerbaijan","PRIMAR",52.53819
2017,"SE_ACS_INTNT","Azerbaijan","UPPSEC",65.60145
2017,"SE_ACS_INTNT","Azerbaijan","SECOND",60.59954
2018,"SE_ACS_INTNT","Azerbaijan","UPPSEC",66.77721
2018,"SE_ACS_INTNT","Azerbaijan","PRIMAR",53.62776
2018,"SE_ACS_INTNT","Azerbaijan","LOWSEC",57.56987
2018,"SE_ACS_INTNT","Azerbaijan","SECOND",61.67922
2019,"SE_ACS_INTNT","Azerbaijan","PRIMAR",54.49426
2021,"SE_ACS_INTNT","Republic of Moldova","PRIMAR",94.46705
2021,"SE_ACS_INTNT","Republic of Moldova","UPPSEC",97.95918
2015,"SE_ACS_INTNT","Montenegro","SECOND",97.56411
2018,"SE_ACS_INTNT","Montenegro","SECOND",98.78458
2000,"SE_ACS_INTNT","Netherlands (Kingdom of the)","UPPSEC",100
2000,"SE_ACS_INTNT","Netherlands (Kingdom of the)","SECOND",100
2000,"SE_ACS_INTNT","Netherlands (Kingdom of the)","LOWSEC",100
2000,"SE_ACS_INTNT","Netherlands (Kingdom of the)","PRIMAR",100
2001,"SE_ACS_INTNT","Netherlands (Kingdom of the)","PRIMAR",100
2001,"SE_ACS_INTNT","Netherlands (Kingdom of the)","LOWSEC",100
2019,"SE_ACS_INTNT","Azerbaijan","UPPSEC",67.75068
2019,"SE_ACS_INTNT","Azerbaijan","SECOND",62.64283
2019,"SE_ACS_INTNT","Azerbaijan","LOWSEC",58.52356
2020,"SE_ACS_INTNT","Azerbaijan","LOWSEC",64.61875
2020,"SE_ACS_INTNT","Azerbaijan","SECOND",68.28253
2020,"SE_ACS_INTNT","Azerbaijan","UPPSEC",72.81466
2020,"SE_ACS_INTNT","Azerbaijan","PRIMAR",60.36544
2021,"SE_ACS_INTNT","Azerbaijan","LOWSEC",68.80311
2021,"SE_ACS_INTNT","Azerbaijan","PRIMAR",64.31957
2021,"SE_ACS_INTNT","Azerbaijan","UPPSEC",76.31579
2001,"SE_ACS_INTNT","Netherlands (Kingdom of the)","SECOND",100
