Year,SeriesCode,GeoAreaName,Value
2006,"DC_TOF_SCHIPSL","Bosnia and Herzegovina",0.3961
2007,"DC_TOF_SCHIPSL","Bosnia and Herzegovina",0.33975
2008,"DC_TOF_SCHIPSL","Bosnia and Herzegovina",0.93754
2009,"DC_TOF_SCHIPSL","Bosnia and Herzegovina",0.93586
2010,"DC_TOF_SCHIPSL","Bosnia and Herzegovina",1.32635
2011,"DC_TOF_SCHIPSL","Bosnia and Herzegovina",1.5511
2012,"DC_TOF_SCHIPSL","Bosnia and Herzegovina",1.71408
2013,"DC_TOF_SCHIPSL","Bosnia and Herzegovina",2.24878
2014,"DC_TOF_SCHIPSL","Bosnia and Herzegovina",2.05798
2015,"DC_TOF_SCHIPSL","Bosnia and Herzegovina",2.36296
2016,"DC_TOF_SCHIPSL","Bosnia and Herzegovina",1.89325
2017,"DC_TOF_SCHIPSL","Bosnia and Herzegovina",3.04527
2018,"DC_TOF_SCHIPSL","Bosnia and Herzegovina",4.39657
2019,"DC_TOF_SCHIPSL","Bosnia and Herzegovina",5.6153
2020,"DC_TOF_SCHIPSL","Bosnia and Herzegovina",3.68735
2021,"DC_TOF_SCHIPSL","Bosnia and Herzegovina",3.4715
2006,"DC_TOF_SCHIPSL","Belarus",0.13765
2007,"DC_TOF_SCHIPSL","Belarus",0.1208
2008,"DC_TOF_SCHIPSL","Belarus",2.51604
2009,"DC_TOF_SCHIPSL","Belarus",3.65749
2010,"DC_TOF_SCHIPSL","Belarus",2.16609
2011,"DC_TOF_SCHIPSL","Belarus",2.54959
2012,"DC_TOF_SCHIPSL","Belarus",4.66463
2013,"DC_TOF_SCHIPSL","Belarus",8.70179
2014,"DC_TOF_SCHIPSL","Belarus",7.48105
2015,"DC_TOF_SCHIPSL","Belarus",11.62059
2016,"DC_TOF_SCHIPSL","Belarus",8.61034
2006,"DC_TOF_SCHIPSL","Türkiye",1.01825
2007,"DC_TOF_SCHIPSL","Türkiye",0.96985
2008,"DC_TOF_SCHIPSL","Türkiye",3.89221
2009,"DC_TOF_SCHIPSL","Türkiye",5.35341
2010,"DC_TOF_SCHIPSL","Türkiye",5.59542
2011,"DC_TOF_SCHIPSL","Türkiye",6.20091
2012,"DC_TOF_SCHIPSL","Türkiye",7.46908
2013,"DC_TOF_SCHIPSL","Türkiye",9.45876
2014,"DC_TOF_SCHIPSL","Türkiye",9.76007
2015,"DC_TOF_SCHIPSL","Türkiye",10.69485
2016,"DC_TOF_SCHIPSL","Türkiye",18.8662
2017,"DC_TOF_SCHIPSL","Türkiye",18.94934
2018,"DC_TOF_SCHIPSL","Türkiye",24.56148
2019,"DC_TOF_SCHIPSL","Türkiye",27.75094
2020,"DC_TOF_SCHIPSL","Türkiye",27.52714
2021,"DC_TOF_SCHIPSL","Türkiye",16.26681
2007,"DC_TOF_SCHIPSL","Turkmenistan",0.00112
2008,"DC_TOF_SCHIPSL","Turkmenistan",0.12962
2009,"DC_TOF_SCHIPSL","Turkmenistan",0.33518
2010,"DC_TOF_SCHIPSL","Turkmenistan",0.92775
2011,"DC_TOF_SCHIPSL","Turkmenistan",0.81877
2012,"DC_TOF_SCHIPSL","Turkmenistan",0.59121
2013,"DC_TOF_SCHIPSL","Turkmenistan",0.67477
2014,"DC_TOF_SCHIPSL","Turkmenistan",0.84181
2015,"DC_TOF_SCHIPSL","Turkmenistan",0.99818
2016,"DC_TOF_SCHIPSL","Turkmenistan",0.61589
2017,"DC_TOF_SCHIPSL","Turkmenistan",0.88857
2017,"DC_TOF_SCHIPSL","Belarus",6.94865
2018,"DC_TOF_SCHIPSL","Belarus",3.51436
2019,"DC_TOF_SCHIPSL","Belarus",3.78848
2020,"DC_TOF_SCHIPSL","Belarus",6.95635
2021,"DC_TOF_SCHIPSL","Belarus",10.79248
2006,"DC_TOF_SCHIPSL","Chile",0.62963
2007,"DC_TOF_SCHIPSL","Chile",1.70208
2008,"DC_TOF_SCHIPSL","Chile",4.45514
2009,"DC_TOF_SCHIPSL","Chile",6.81618
2010,"DC_TOF_SCHIPSL","Chile",4.02593
2011,"DC_TOF_SCHIPSL","Chile",4.39071
2012,"DC_TOF_SCHIPSL","Chile",4.67158
2013,"DC_TOF_SCHIPSL","Chile",4.12893
2014,"DC_TOF_SCHIPSL","Chile",3.79546
2015,"DC_TOF_SCHIPSL","Chile",4.96924
2016,"DC_TOF_SCHIPSL","Chile",3.75958
2017,"DC_TOF_SCHIPSL","Chile",3.67107
2006,"DC_TOF_SCHIPSL","China",12.10278
2007,"DC_TOF_SCHIPSL","China",14.81425
2008,"DC_TOF_SCHIPSL","China",34.89762
2009,"DC_TOF_SCHIPSL","China",237.12913
2010,"DC_TOF_SCHIPSL","China",274.59832
2011,"DC_TOF_SCHIPSL","China",289.63913
2012,"DC_TOF_SCHIPSL","China",107.26512
2013,"DC_TOF_SCHIPSL","China",35.25519
2014,"DC_TOF_SCHIPSL","China",32.53261
2015,"DC_TOF_SCHIPSL","China",20.21925
2016,"DC_TOF_SCHIPSL","China",20.22833
2017,"DC_TOF_SCHIPSL","China",21.80552
2018,"DC_TOF_SCHIPSL","China",25.06493
2019,"DC_TOF_SCHIPSL","China",37.20611
2020,"DC_TOF_SCHIPSL","China",37.23478
2021,"DC_TOF_SCHIPSL","China",17.56536
2006,"DC_TOF_SCHIPSL","Colombia",0.43026
2007,"DC_TOF_SCHIPSL","Colombia",2.48409
2008,"DC_TOF_SCHIPSL","Colombia",10.71657
2009,"DC_TOF_SCHIPSL","Colombia",10.10687
2010,"DC_TOF_SCHIPSL","Colombia",5.64129
2011,"DC_TOF_SCHIPSL","Colombia",5.81211
2012,"DC_TOF_SCHIPSL","Colombia",8.42691
2013,"DC_TOF_SCHIPSL","Colombia",7.92491
2014,"DC_TOF_SCHIPSL","Colombia",5.90286
2015,"DC_TOF_SCHIPSL","Colombia",8.3898
2016,"DC_TOF_SCHIPSL","Colombia",5.79533
2017,"DC_TOF_SCHIPSL","Colombia",8.62044
2018,"DC_TOF_SCHIPSL","Colombia",8.89373
2019,"DC_TOF_SCHIPSL","Colombia",9.86836
2020,"DC_TOF_SCHIPSL","Colombia",9.74307
2021,"DC_TOF_SCHIPSL","Colombia",6.60508
2006,"DC_TOF_SCHIPSL","Costa Rica",0.12922
2007,"DC_TOF_SCHIPSL","Costa Rica",0.62934
2008,"DC_TOF_SCHIPSL","Costa Rica",1.65375
2009,"DC_TOF_SCHIPSL","Costa Rica",2.37649
2010,"DC_TOF_SCHIPSL","Costa Rica",1.41823
2006,"DC_TOF_SCHIPSL","Albania",1.15148
2007,"DC_TOF_SCHIPSL","Albania",1.03764
2008,"DC_TOF_SCHIPSL","Albania",1.7011
2009,"DC_TOF_SCHIPSL","Albania",2.27951
2010,"DC_TOF_SCHIPSL","Albania",2.1022
2011,"DC_TOF_SCHIPSL","Albania",2.60648
2012,"DC_TOF_SCHIPSL","Albania",2.30079
2013,"DC_TOF_SCHIPSL","Albania",3.52015
2014,"DC_TOF_SCHIPSL","Albania",3.00856
2011,"DC_TOF_SCHIPSL","Costa Rica",1.52127
2012,"DC_TOF_SCHIPSL","Costa Rica",1.73145
2013,"DC_TOF_SCHIPSL","Costa Rica",2.10041
2014,"DC_TOF_SCHIPSL","Costa Rica",1.58465
2015,"DC_TOF_SCHIPSL","Costa Rica",2.16877
2016,"DC_TOF_SCHIPSL","Costa Rica",1.03744
2017,"DC_TOF_SCHIPSL","Costa Rica",1.32964
2018,"DC_TOF_SCHIPSL","Costa Rica",1.52184
2019,"DC_TOF_SCHIPSL","Costa Rica",1.62225
2020,"DC_TOF_SCHIPSL","Costa Rica",1.06646
2021,"DC_TOF_SCHIPSL","Costa Rica",0.95359
2006,"DC_TOF_SCHIPSL","Croatia",0.27661
2007,"DC_TOF_SCHIPSL","Croatia",0.26517
2008,"DC_TOF_SCHIPSL","Croatia",0.68181
2009,"DC_TOF_SCHIPSL","Croatia",1.06465
2010,"DC_TOF_SCHIPSL","Croatia",0.89182
2006,"DC_TOF_SCHIPSL","Georgia",0.50396
2007,"DC_TOF_SCHIPSL","Georgia",0.43309
2008,"DC_TOF_SCHIPSL","Georgia",1.33388
2009,"DC_TOF_SCHIPSL","Georgia",2.8089
2010,"DC_TOF_SCHIPSL","Georgia",2.19994
2011,"DC_TOF_SCHIPSL","Georgia",2.99253
2012,"DC_TOF_SCHIPSL","Georgia",2.59684
2013,"DC_TOF_SCHIPSL","Georgia",6.1469
2014,"DC_TOF_SCHIPSL","Georgia",4.39478
2015,"DC_TOF_SCHIPSL","Georgia",4.01558
2016,"DC_TOF_SCHIPSL","Georgia",3.85501
2015,"DC_TOF_SCHIPSL","Albania",4.23729
2016,"DC_TOF_SCHIPSL","Albania",3.15684
2017,"DC_TOF_SCHIPSL","Albania",5.63754
2018,"DC_TOF_SCHIPSL","Albania",6.93644
2019,"DC_TOF_SCHIPSL","Albania",12.14381
