Year,SeriesCode,GeoAreaName,Sex,Value
2010,"SG_GEN_PARL","Finland","FEMALE",40.00
2011,"SG_GEN_PARL","Finland","FEMALE",40.00
2012,"SG_GEN_PARL","Finland","FEMALE",42.50
2013,"SG_GEN_PARL","Finland","FEMALE",42.50
2014,"SG_GEN_PARL","Finland","FEMALE",42.50
2015,"SG_GEN_PARL","Finland","FEMALE",42.50
2016,"SG_GEN_PARL","Finland","FEMALE",41.50
2017,"SG_GEN_PARL","Finland","FEMALE",42.00
2018,"SG_GEN_PARL","Finland","FEMALE",42.00
2000,"SG_GEN_PARL","Albania","FEMALE",5.16
2001,"SG_GEN_PARL","Albania","FEMALE",5.16
2002,"SG_GEN_PARL","Albania","FEMALE",5.71
2003,"SG_GEN_PARL","Albania","FEMALE",5.71
2004,"SG_GEN_PARL","Albania","FEMALE",5.71
2005,"SG_GEN_PARL","Albania","FEMALE",6.43
2006,"SG_GEN_PARL","Albania","FEMALE",7.14
2007,"SG_GEN_PARL","Albania","FEMALE",7.14
2008,"SG_GEN_PARL","Albania","FEMALE",7.14
2019,"SG_GEN_PARL","Finland","FEMALE",41.50
2020,"SG_GEN_PARL","Finland","FEMALE",46.00
2021,"SG_GEN_PARL","Finland","FEMALE",46
2022,"SG_GEN_PARL","Finland","FEMALE",45.5
2023,"SG_GEN_PARL","Finland","FEMALE",45.5
2000,"SG_GEN_PARL","France","FEMALE",10.92
2001,"SG_GEN_PARL","France","FEMALE",10.92
2002,"SG_GEN_PARL","France","FEMALE",10.92
2003,"SG_GEN_PARL","France","FEMALE",12.20
2009,"SG_GEN_PARL","Albania","FEMALE",7.14
2010,"SG_GEN_PARL","Albania","FEMALE",16.43
2011,"SG_GEN_PARL","Albania","FEMALE",16.43
2012,"SG_GEN_PARL","Albania","FEMALE",15.71
2013,"SG_GEN_PARL","Albania","FEMALE",15.71
2014,"SG_GEN_PARL","Albania","FEMALE",20.00
2015,"SG_GEN_PARL","Albania","FEMALE",20.71
2016,"SG_GEN_PARL","Albania","FEMALE",20.71
2017,"SG_GEN_PARL","Albania","FEMALE",22.86
2004,"SG_GEN_PARL","France","FEMALE",12.20
2005,"SG_GEN_PARL","France","FEMALE",12.20
2006,"SG_GEN_PARL","France","FEMALE",12.20
2007,"SG_GEN_PARL","France","FEMALE",12.20
2008,"SG_GEN_PARL","France","FEMALE",18.20
2009,"SG_GEN_PARL","France","FEMALE",18.20
2010,"SG_GEN_PARL","France","FEMALE",18.89
2011,"SG_GEN_PARL","France","FEMALE",18.89
2012,"SG_GEN_PARL","France","FEMALE",18.89
2013,"SG_GEN_PARL","France","FEMALE",26.86
2014,"SG_GEN_PARL","France","FEMALE",26.17
2015,"SG_GEN_PARL","France","FEMALE",26.17
2016,"SG_GEN_PARL","France","FEMALE",26.17
2017,"SG_GEN_PARL","France","FEMALE",25.82
2018,"SG_GEN_PARL","France","FEMALE",38.99
2019,"SG_GEN_PARL","France","FEMALE",39.69
2020,"SG_GEN_PARL","France","FEMALE",39.51
2021,"SG_GEN_PARL","France","FEMALE",39.51
2018,"SG_GEN_PARL","Albania","FEMALE",27.86
2019,"SG_GEN_PARL","Albania","FEMALE",29.29
2020,"SG_GEN_PARL","Albania","FEMALE",29.51
2021,"SG_GEN_PARL","Albania","FEMALE",29.51
2022,"SG_GEN_PARL","Albania","FEMALE",35.71
2023,"SG_GEN_PARL","Albania","FEMALE",35.71
2000,"SG_GEN_PARL","Azerbaijan","FEMALE",10.40
2001,"SG_GEN_PARL","Azerbaijan","FEMALE",10.40
2002,"SG_GEN_PARL","Azerbaijan","FEMALE",10.48
2016,"SG_GEN_PARL","Romania","FEMALE",13.72
2017,"SG_GEN_PARL","Romania","FEMALE",20.67
2018,"SG_GEN_PARL","Romania","FEMALE",20.67
2019,"SG_GEN_PARL","Romania","FEMALE",20.67
2020,"SG_GEN_PARL","Romania","FEMALE",21.88
2021,"SG_GEN_PARL","Romania","FEMALE",18.54
2022,"SG_GEN_PARL","Romania","FEMALE",19.09
2023,"SG_GEN_PARL","Romania","FEMALE",19.09
2007,"SG_GEN_PARL","Serbia","FEMALE",20.40
2022,"SG_GEN_PARL","France","FEMALE",39.51
2023,"SG_GEN_PARL","France","FEMALE",37.78
2000,"SG_GEN_PARL","Georgia","FEMALE",7.23
2001,"SG_GEN_PARL","Georgia","FEMALE",7.23
2002,"SG_GEN_PARL","Georgia","FEMALE",7.23
2003,"SG_GEN_PARL","Georgia","FEMALE",7.23
2004,"SG_GEN_PARL","Georgia","FEMALE",7.23
2005,"SG_GEN_PARL","Georgia","FEMALE",9.36
2006,"SG_GEN_PARL","Georgia","FEMALE",9.36
2003,"SG_GEN_PARL","Azerbaijan","FEMALE",10.48
2004,"SG_GEN_PARL","Azerbaijan","FEMALE",10.48
2005,"SG_GEN_PARL","Azerbaijan","FEMALE",10.48
2006,"SG_GEN_PARL","Azerbaijan","FEMALE",12.00
2007,"SG_GEN_PARL","Azerbaijan","FEMALE",11.29
2008,"SG_GEN_PARL","Azerbaijan","FEMALE",11.38
2009,"SG_GEN_PARL","Azerbaijan","FEMALE",11.38
2010,"SG_GEN_PARL","Azerbaijan","FEMALE",11.38
2011,"SG_GEN_PARL","Azerbaijan","FEMALE",16.00
2007,"SG_GEN_PARL","Georgia","FEMALE",9.36
2008,"SG_GEN_PARL","Georgia","FEMALE",9.36
2009,"SG_GEN_PARL","Georgia","FEMALE",6.00
2010,"SG_GEN_PARL","Georgia","FEMALE",5.11
2011,"SG_GEN_PARL","Georgia","FEMALE",6.52
2012,"SG_GEN_PARL","Georgia","FEMALE",6.57
2013,"SG_GEN_PARL","Georgia","FEMALE",12.00
2014,"SG_GEN_PARL","Georgia","FEMALE",12.00
2015,"SG_GEN_PARL","Georgia","FEMALE",11.33
2012,"SG_GEN_PARL","Azerbaijan","FEMALE",16.00
2013,"SG_GEN_PARL","Azerbaijan","FEMALE",16.00
2014,"SG_GEN_PARL","Azerbaijan","FEMALE",15.57
2015,"SG_GEN_PARL","Azerbaijan","FEMALE",15.57
2016,"SG_GEN_PARL","Azerbaijan","FEMALE",16.94
2017,"SG_GEN_PARL","Azerbaijan","FEMALE",16.80
2018,"SG_GEN_PARL","Azerbaijan","FEMALE",16.80
2019,"SG_GEN_PARL","Azerbaijan","FEMALE",16.81
2020,"SG_GEN_PARL","Azerbaijan","FEMALE",16.81
2008,"SG_GEN_PARL","Serbia","FEMALE",20.40
2009,"SG_GEN_PARL","Serbia","FEMALE",21.60
2010,"SG_GEN_PARL","Serbia","FEMALE",21.60
2011,"SG_GEN_PARL","Serbia","FEMALE",21.60
2012,"SG_GEN_PARL","Serbia","FEMALE",22.00
2013,"SG_GEN_PARL","Serbia","FEMALE",33.20
2014,"SG_GEN_PARL","Serbia","FEMALE",33.60
2015,"SG_GEN_PARL","Serbia","FEMALE",34.00
2016,"SG_GEN_PARL","Serbia","FEMALE",34.00
2016,"SG_GEN_PARL","Georgia","FEMALE",11.33
2017,"SG_GEN_PARL","Georgia","FEMALE",16.00
2018,"SG_GEN_PARL","Georgia","FEMALE",16.00
2019,"SG_GEN_PARL","Georgia","FEMALE",14.77
2020,"SG_GEN_PARL","Georgia","FEMALE",14.09
2021,"SG_GEN_PARL","Georgia","FEMALE",20.67
2022,"SG_GEN_PARL","Georgia","FEMALE",19.05
2023,"SG_GEN_PARL","Georgia","FEMALE",18.44
2000,"SG_GEN_PARL","Germany","FEMALE",30.94
2001,"SG_GEN_PARL","Germany","FEMALE",30.94
2002,"SG_GEN_PARL","Germany","FEMALE",31.68
2003,"SG_GEN_PARL","Germany","FEMALE",32.17
2004,"SG_GEN_PARL","Germany","FEMALE",32.17
2005,"SG_GEN_PARL","Germany","FEMALE",32.78
2006,"SG_GEN_PARL","Germany","FEMALE",31.76
2007,"SG_GEN_PARL","Germany","FEMALE",31.60
2008,"SG_GEN_PARL","Germany","FEMALE",31.65
2009,"SG_GEN_PARL","Germany","FEMALE",32.19
2021,"SG_GEN_PARL","Azerbaijan","FEMALE",18.18
2022,"SG_GEN_PARL","Azerbaijan","FEMALE",18.33
2023,"SG_GEN_PARL","Azerbaijan","FEMALE",18.64
2000,"SG_GEN_PARL","Australia","FEMALE",22.45
2001,"SG_GEN_PARL","Australia","FEMALE",22.97
2002,"SG_GEN_PARL","Australia","FEMALE",25.33
2003,"SG_GEN_PARL","Australia","FEMALE",25.33
2004,"SG_GEN_PARL","Australia","FEMALE",25.33
2005,"SG_GEN_PARL","Australia","FEMALE",24.67
2017,"SG_GEN_PARL","Serbia","FEMALE",34.40
2018,"SG_GEN_PARL","Serbia","FEMALE",34.40
2019,"SG_GEN_PARL","Serbia","FEMALE",37.65
2020,"SG_GEN_PARL","Serbia","FEMALE",37.65
2021,"SG_GEN_PARL","Serbia","FEMALE",39.2
2022,"SG_GEN_PARL","Serbia","FEMALE",40
2023,"SG_GEN_PARL","Serbia","FEMALE",34.8
2000,"SG_GEN_PARL","Slovakia","FEMALE",12.67
2001,"SG_GEN_PARL","Slovakia","FEMALE",14.00
2010,"SG_GEN_PARL","Germany","FEMALE",32.80
2011,"SG_GEN_PARL","Germany","FEMALE",32.80
2012,"SG_GEN_PARL","Germany","FEMALE",32.90
2013,"SG_GEN_PARL","Germany","FEMALE",32.90
2014,"SG_GEN_PARL","Germany","FEMALE",36.45
2015,"SG_GEN_PARL","Germany","FEMALE",36.45
2016,"SG_GEN_PARL","Germany","FEMALE",36.45
2017,"SG_GEN_PARL","Germany","FEMALE",36.98
2018,"SG_GEN_PARL","Germany","FEMALE",30.75
2019,"SG_GEN_PARL","Germany","FEMALE",30.89
2020,"SG_GEN_PARL","Germany","FEMALE",31.17
2021,"SG_GEN_PARL","Germany","FEMALE",31.45
2022,"SG_GEN_PARL","Germany","FEMALE",34.92
2023,"SG_GEN_PARL","Germany","FEMALE",35.05
2000,"SG_GEN_PARL","Greece","FEMALE",6.33
2001,"SG_GEN_PARL","Greece","FEMALE",8.67
2002,"SG_GEN_PARL","Greece","FEMALE",8.67
2003,"SG_GEN_PARL","Greece","FEMALE",8.67
2006,"SG_GEN_PARL","Australia","FEMALE",24.67
2007,"SG_GEN_PARL","Australia","FEMALE",24.67
2008,"SG_GEN_PARL","Australia","FEMALE",26.67
2009,"SG_GEN_PARL","Australia","FEMALE",26.67
2010,"SG_GEN_PARL","Australia","FEMALE",27.33
2011,"SG_GEN_PARL","Australia","FEMALE",24.67
2012,"SG_GEN_PARL","Australia","FEMALE",24.67
2013,"SG_GEN_PARL","Australia","FEMALE",24.67
2014,"SG_GEN_PARL","Australia","FEMALE",26.00
2004,"SG_GEN_PARL","Greece","FEMALE",8.67
2005,"SG_GEN_PARL","Greece","FEMALE",14.00
2006,"SG_GEN_PARL","Greece","FEMALE",13.00
2007,"SG_GEN_PARL","Greece","FEMALE",13.00
2008,"SG_GEN_PARL","Greece","FEMALE",14.67
2009,"SG_GEN_PARL","Greece","FEMALE",14.67
2010,"SG_GEN_PARL","Greece","FEMALE",17.33
2011,"SG_GEN_PARL","Greece","FEMALE",17.33
2012,"SG_GEN_PARL","Greece","FEMALE",18.67
2013,"SG_GEN_PARL","Greece","FEMALE",21.00
2014,"SG_GEN_PARL","Greece","FEMALE",21.00
2015,"SG_GEN_PARL","Greece","FEMALE",23.00
2016,"SG_GEN_PARL","Greece","FEMALE",19.67
2017,"SG_GEN_PARL","Greece","FEMALE",18.33
2018,"SG_GEN_PARL","Greece","FEMALE",18.33
2019,"SG_GEN_PARL","Greece","FEMALE",18.67
2020,"SG_GEN_PARL","Greece","FEMALE",20.67
2021,"SG_GEN_PARL","Greece","FEMALE",21.67
2002,"SG_GEN_PARL","Slovakia","FEMALE",14.00
2003,"SG_GEN_PARL","Slovakia","FEMALE",19.33
2004,"SG_GEN_PARL","Slovakia","FEMALE",19.33
2005,"SG_GEN_PARL","Slovakia","FEMALE",16.67
2006,"SG_GEN_PARL","Slovakia","FEMALE",16.67
2007,"SG_GEN_PARL","Slovakia","FEMALE",20.00
2008,"SG_GEN_PARL","Slovakia","FEMALE",19.33
2009,"SG_GEN_PARL","Slovakia","FEMALE",19.33
2010,"SG_GEN_PARL","Slovakia","FEMALE",18.00
2015,"SG_GEN_PARL","Australia","FEMALE",26.67
2016,"SG_GEN_PARL","Australia","FEMALE",26.67
2017,"SG_GEN_PARL","Australia","FEMALE",28.67
2018,"SG_GEN_PARL","Australia","FEMALE",28.67
2019,"SG_GEN_PARL","Australia","FEMALE",30.00
2020,"SG_GEN_PARL","Australia","FEMALE",30.46
2021,"SG_GEN_PARL","Australia","FEMALE",31.13
2022,"SG_GEN_PARL","Australia","FEMALE",31.13
2023,"SG_GEN_PARL","Australia","FEMALE",38.41
2011,"SG_GEN_PARL","Slovakia","FEMALE",15.33
2012,"SG_GEN_PARL","Slovakia","FEMALE",16.00
2013,"SG_GEN_PARL","Slovakia","FEMALE",18.67
2014,"SG_GEN_PARL","Slovakia","FEMALE",18.67
2015,"SG_GEN_PARL","Slovakia","FEMALE",18.67
2016,"SG_GEN_PARL","Slovakia","FEMALE",18.67
2017,"SG_GEN_PARL","Slovakia","FEMALE",20.00
2018,"SG_GEN_PARL","Slovakia","FEMALE",20.00
2019,"SG_GEN_PARL","Slovakia","FEMALE",20.00
2022,"SG_GEN_PARL","Greece","FEMALE",21
2023,"SG_GEN_PARL","Greece","FEMALE",21
2000,"SG_GEN_PARL","Hungary","FEMALE",8.29
2001,"SG_GEN_PARL","Hungary","FEMALE",8.29
