Year,SeriesCode,GeoAreaName,Age,Sex,Value
2008,"IC_GEN_MGTL","Armenia","","FEMALE",35.2
2011,"IC_GEN_MGTL","Armenia","","FEMALE",31.7
2013,"IC_GEN_MGTL","Armenia","","FEMALE",28.8
2014,"IC_GEN_MGTL","Armenia","","FEMALE",32.4
2015,"IC_GEN_MGTL","Armenia","","FEMALE",29.1
2016,"IC_GEN_MGTL","Armenia","","FEMALE",29.5
2017,"IC_GEN_MGTL","Armenia","","FEMALE",28.7
2018,"IC_GEN_MGTL","Armenia","","FEMALE",25.7
2019,"IC_GEN_MGTL","Armenia","","FEMALE",24.4
2020,"IC_GEN_MGTL","Armenia","","FEMALE",28.1
2000,"IC_GEN_MGTL","Belgium","","FEMALE",32.1
2001,"IC_GEN_MGTL","Belgium","","FEMALE",32.9
2002,"IC_GEN_MGTL","Belgium","","FEMALE",31.8
2003,"IC_GEN_MGTL","Belgium","","FEMALE",29.9
2004,"IC_GEN_MGTL","Belgium","","FEMALE",29.9
2005,"IC_GEN_MGTL","Belgium","","FEMALE",31.8
2006,"IC_GEN_MGTL","Belgium","","FEMALE",31.5
2007,"IC_GEN_MGTL","Belgium","","FEMALE",33.9
2008,"IC_GEN_MGTL","Belgium","","FEMALE",32.7
2009,"IC_GEN_MGTL","Belgium","","FEMALE",34
2010,"IC_GEN_MGTL","Belgium","","FEMALE",34.1
2011,"IC_GEN_MGTL","Belgium","","FEMALE",29.9
2012,"IC_GEN_MGTL","Belgium","","FEMALE",32.4
2013,"IC_GEN_MGTL","Belgium","","FEMALE",31.4
2014,"IC_GEN_MGTL","Belgium","","FEMALE",31.7
2015,"IC_GEN_MGTL","Belgium","","FEMALE",32.6
2016,"IC_GEN_MGTL","Belgium","","FEMALE",32.7
2017,"IC_GEN_MGTL","Belgium","","FEMALE",33.6
2018,"IC_GEN_MGTL","Belgium","","FEMALE",33.9
2019,"IC_GEN_MGTL","Belgium","","FEMALE",32.7
2020,"IC_GEN_MGTL","Belgium","","FEMALE",34.5
2021,"IC_GEN_MGTL","Belgium","","FEMALE",35.4
2001,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",18.9
2006,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",20.8
2007,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",16.1
2008,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",23
2009,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",25.3
2010,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",23.8
2011,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",21.4
2012,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",24.2
2013,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",22.8
2014,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",24.2
2015,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",22
2016,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",21.6
2017,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",20.3
2018,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",25.9
2019,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",24.3
2020,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",25.1
2021,"IC_GEN_MGTL","Bosnia and Herzegovina","","FEMALE",24.2
2000,"IC_GEN_MGTL","Bulgaria","","FEMALE",29.8
2001,"IC_GEN_MGTL","Bulgaria","","FEMALE",32.7
2002,"IC_GEN_MGTL","Bulgaria","","FEMALE",33.5
2003,"IC_GEN_MGTL","Bulgaria","","FEMALE",31.3
2004,"IC_GEN_MGTL","Bulgaria","","FEMALE",34.4
2005,"IC_GEN_MGTL","Bulgaria","","FEMALE",34
2006,"IC_GEN_MGTL","Bulgaria","","FEMALE",31.6
2007,"IC_GEN_MGTL","Bulgaria","","FEMALE",31.4
2008,"IC_GEN_MGTL","Bulgaria","","FEMALE",32.3
2009,"IC_GEN_MGTL","Bulgaria","","FEMALE",32.2
2010,"IC_GEN_MGTL","Bulgaria","","FEMALE",33.3
2011,"IC_GEN_MGTL","Bulgaria","","FEMALE",36.8
2012,"IC_GEN_MGTL","Bulgaria","","FEMALE",36.4
2002,"IC_GEN_MGTL","Albania","","FEMALE",13.1
2007,"IC_GEN_MGTL","Albania","","FEMALE",20.5
2008,"IC_GEN_MGTL","Albania","","FEMALE",23.7
2009,"IC_GEN_MGTL","Albania","","FEMALE",22.5
2010,"IC_GEN_MGTL","Albania","","FEMALE",19.1
2012,"IC_GEN_MGTL","Albania","","FEMALE",16.1
2014,"IC_GEN_MGTL","Albania","","FEMALE",18.7
2015,"IC_GEN_MGTL","Albania","","FEMALE",19.8
2016,"IC_GEN_MGTL","Albania","","FEMALE",24.1
2017,"IC_GEN_MGTL","Albania","","FEMALE",22.7
2018,"IC_GEN_MGTL","Albania","","FEMALE",29.3
2013,"IC_GEN_MGTL","Bulgaria","","FEMALE",36.5
2014,"IC_GEN_MGTL","Bulgaria","","FEMALE",36.7
2015,"IC_GEN_MGTL","Bulgaria","","FEMALE",36.5
2016,"IC_GEN_MGTL","Bulgaria","","FEMALE",37.9
2017,"IC_GEN_MGTL","Bulgaria","","FEMALE",39.2
2018,"IC_GEN_MGTL","Bulgaria","","FEMALE",38.6
2019,"IC_GEN_MGTL","Bulgaria","","FEMALE",39
2020,"IC_GEN_MGTL","Bulgaria","","FEMALE",41.3
2021,"IC_GEN_MGTL","Bulgaria","","FEMALE",38.3
2016,"IC_GEN_MGTL","Belarus","","FEMALE",46
2017,"IC_GEN_MGTL","Belarus","","FEMALE",47.6
2018,"IC_GEN_MGTL","Belarus","","FEMALE",47.3
2019,"IC_GEN_MGTL","Belarus","","FEMALE",49.1
