Year,SeriesCode,GeoAreaName,Value
2022,"SH_LGR_ACSRHEC12","Albania",60
2022,"SH_LGR_ACSRHEC12","Australia",100
2022,"SH_LGR_ACSRHEC12","Austria",100
2019,"SH_LGR_ACSRHEC12","Armenia",100
2019,"SH_LGR_ACSRHEC12","Belgium",100
2022,"SH_LGR_ACSRHEC12","Bosnia and Herzegovina",100
2022,"SH_LGR_ACSRHEC12","Bulgaria",100
2022,"SH_LGR_ACSRHEC12","Belarus",100
2022,"SH_LGR_ACSRHEC12","Canada",80
2022,"SH_LGR_ACSRHEC12","Chile",100
2022,"SH_LGR_ACSRHEC12","China",100
2022,"SH_LGR_ACSRHEC12","Colombia",100
2022,"SH_LGR_ACSRHEC12","Costa Rica",100
2022,"SH_LGR_ACSRHEC12","Croatia",100
2022,"SH_LGR_ACSRHEC12","Cyprus",100
2022,"SH_LGR_ACSRHEC12","Czechia",60
2022,"SH_LGR_ACSRHEC12","Denmark",80
2022,"SH_LGR_ACSRHEC12","Estonia",100
2022,"SH_LGR_ACSRHEC12","Finland",100
2022,"SH_LGR_ACSRHEC12","Georgia",100
2022,"SH_LGR_ACSRHEC12","Germany",100
2022,"SH_LGR_ACSRHEC12","Greece",100
2022,"SH_LGR_ACSRHEC12","Hungary",100
2022,"SH_LGR_ACSRHEC12","India",100
2022,"SH_LGR_ACSRHEC12","Japan",100
2022,"SH_LGR_ACSRHEC12","Kazakhstan",100
2019,"SH_LGR_ACSRHEC12","Kyrgyzstan",100
2019,"SH_LGR_ACSRHEC12","Latvia",100
2022,"SH_LGR_ACSRHEC12","Lithuania",80
2019,"SH_LGR_ACSRHEC12","Malta",100
2022,"SH_LGR_ACSRHEC12","Mexico",100
2019,"SH_LGR_ACSRHEC12","Republic of Moldova",75
2019,"SH_LGR_ACSRHEC12","Montenegro",75
2022,"SH_LGR_ACSRHEC12","Netherlands (Kingdom of the)",100
2019,"SH_LGR_ACSRHEC12","New Zealand",100
2022,"SH_LGR_ACSRHEC12","Norway",100
2022,"SH_LGR_ACSRHEC12","Poland",100
2022,"SH_LGR_ACSRHEC12","Portugal",100
2022,"SH_LGR_ACSRHEC12","Romania",100
2022,"SH_LGR_ACSRHEC12","Serbia",100
2022,"SH_LGR_ACSRHEC12","Slovakia",100
2019,"SH_LGR_ACSRHEC12","Viet Nam",100
2022,"SH_LGR_ACSRHEC12","Slovenia",100
2019,"SH_LGR_ACSRHEC12","Sweden",100
2019,"SH_LGR_ACSRHEC12","Switzerland",100
2022,"SH_LGR_ACSRHEC12","United Arab Emirates",100
2022,"SH_LGR_ACSRHEC12","Türkiye",100
2022,"SH_LGR_ACSRHEC12","Turkmenistan",100
2022,"SH_LGR_ACSRHEC12","Ukraine",100
2022,"SH_LGR_ACSRHEC12","North Macedonia",100
2022,"SH_LGR_ACSRHEC12","United Kingdom of Great Britain and Northern Ireland",100
2022,"SH_LGR_ACSRHEC12","Uzbekistan",80
2022,"SH_LGR_ACSRHEC12","Uzbekistan",80
