Year,SeriesCode,GeoAreaName,Sex,Value
2015,"SP_LGL_LNDAGSEC","Armenia","BOTHSEX",58.4
2015,"SP_LGL_LNDAGSEC","Armenia","FEMALE",51.2
2015,"SP_LGL_LNDAGSEC","Armenia","MALE",67.6
2012,"SP_LGL_LNDAGSEC","India","MALE",39.8
2012,"SP_LGL_LNDAGSEC","India","FEMALE",6.3
2012,"SP_LGL_LNDAGSEC","India","BOTHSEX",22.6
2015,"SP_LGL_LNDAGSEC","India","FEMALE",20.9
2017,"SP_LGL_LNDAGSEC","Albania","BOTHSEX",52.9
2017,"SP_LGL_LNDAGSEC","Albania","FEMALE",47.7
2017,"SP_LGL_LNDAGSEC","Albania","MALE",59.3
2015,"SP_LGL_LNDAGSEC","India","BOTHSEX",31.3
2015,"SP_LGL_LNDAGSEC","India","MALE",43.6
2020,"SP_LGL_LNDAGSEC","India","MALE",42.8
2020,"SP_LGL_LNDAGSEC","India","BOTHSEX",34.2
2020,"SP_LGL_LNDAGSEC","India","FEMALE",26.6
2012,"SP_LGL_LNDAGSEC","Kyrgyzstan","MALE",80.6
2012,"SP_LGL_LNDAGSEC","Kyrgyzstan","FEMALE",60.9
2012,"SP_LGL_LNDAGSEC","Kyrgyzstan","BOTHSEX",71.4
