Year,SeriesCode,GeoAreaName,Sex,Value
2013,"IT_MOB_OWN","Azerbaijan","BOTHSEX",72.41433
2014,"IT_MOB_OWN","Azerbaijan","MALE",77.2075
2014,"IT_MOB_OWN","Azerbaijan","BOTHSEX",73.9173
2014,"IT_MOB_OWN","Azerbaijan","FEMALE",70.65596
2015,"IT_MOB_OWN","Azerbaijan","BOTHSEX",74.1245
2015,"IT_MOB_OWN","Azerbaijan","FEMALE",70.46501
2015,"IT_MOB_OWN","Azerbaijan","MALE",77.80999
2016,"IT_MOB_OWN","Azerbaijan","FEMALE",69.84266
2016,"IT_MOB_OWN","Azerbaijan","MALE",77.01012
2016,"IT_MOB_OWN","Azerbaijan","BOTHSEX",73.41631
2017,"IT_MOB_OWN","Azerbaijan","BOTHSEX",84
2017,"IT_MOB_OWN","Azerbaijan","FEMALE",79.72038
2017,"IT_MOB_OWN","Azerbaijan","MALE",88.3795
2018,"IT_MOB_OWN","Azerbaijan","BOTHSEX",83.5
2018,"IT_MOB_OWN","Azerbaijan","FEMALE",79.34035
2018,"IT_MOB_OWN","Azerbaijan","MALE",87.74649
2019,"IT_MOB_OWN","Azerbaijan","BOTHSEX",83.5
2019,"IT_MOB_OWN","Azerbaijan","FEMALE",79.43088
2019,"IT_MOB_OWN","Azerbaijan","MALE",87.64452
2020,"IT_MOB_OWN","Azerbaijan","MALE",88.12328
2020,"IT_MOB_OWN","Azerbaijan","BOTHSEX",84.00001
2020,"IT_MOB_OWN","Azerbaijan","FEMALE",79.94754
2021,"IT_MOB_OWN","Azerbaijan","BOTHSEX",84
2021,"IT_MOB_OWN","Azerbaijan","FEMALE",83.37485
2021,"IT_MOB_OWN","Azerbaijan","MALE",84.63484
2017,"IT_MOB_OWN","Armenia","BOTHSEX",72.60673
2017,"IT_MOB_OWN","Armenia","FEMALE",72.63815
2017,"IT_MOB_OWN","Armenia","MALE",72.56871
2018,"IT_MOB_OWN","Armenia","FEMALE",76.81744
2018,"IT_MOB_OWN","Armenia","MALE",75.95236
2018,"IT_MOB_OWN","Armenia","BOTHSEX",76.42854
2021,"IT_MOB_OWN","Belgium","FEMALE",90.285
2021,"IT_MOB_OWN","Belgium","MALE",89.77226
2021,"IT_MOB_OWN","Belgium","BOTHSEX",90.02923
2017,"IT_MOB_OWN","Belarus","MALE",91.48085
2017,"IT_MOB_OWN","Belarus","FEMALE",94.98769
2017,"IT_MOB_OWN","Belarus","BOTHSEX",93.48521
2018,"IT_MOB_OWN","Belarus","BOTHSEX",94.83765
2018,"IT_MOB_OWN","Belarus","MALE",93.68755
2018,"IT_MOB_OWN","Belarus","FEMALE",95.69948
2019,"IT_MOB_OWN","Belarus","BOTHSEX",95.26146
2019,"IT_MOB_OWN","Belarus","FEMALE",96.25902
2019,"IT_MOB_OWN","Belarus","MALE",93.94575
2020,"IT_MOB_OWN","Belarus","BOTHSEX",95.88722
2020,"IT_MOB_OWN","Belarus","FEMALE",96.88836
2020,"IT_MOB_OWN","Belarus","MALE",94.59995
