Year,SeriesCode,GeoAreaName,Level/Status,Value
2017,"ER_H2O_IWRMD_FI","Albania","_T",16
2020,"ER_H2O_IWRMD_FI","Albania","_T",33
2017,"ER_H2O_IWRMD_FI","Azerbaijan","_T",78
2020,"ER_H2O_IWRMD_FI","Azerbaijan","_T",48
2017,"ER_H2O_IWRMD_FI","Australia","_T",83
2020,"ER_H2O_IWRMD_FI","Australia","_T",88
2017,"ER_H2O_IWRMD_FI","Austria","_T",70
2020,"ER_H2O_IWRMD_FI","Austria","_T",84
2017,"ER_H2O_IWRMD_FI","Armenia","_T",34
2020,"ER_H2O_IWRMD_FI","Armenia","_T",54
2017,"ER_H2O_IWRMD_FI","Belgium","_T",55
2020,"ER_H2O_IWRMD_FI","Belgium","_T",63
2017,"ER_H2O_IWRMD_FI","Bosnia and Herzegovina","_T",53
2020,"ER_H2O_IWRMD_FI","Bosnia and Herzegovina","_T",43
2017,"ER_H2O_IWRMD_FI","Bulgaria","_T",52
2020,"ER_H2O_IWRMD_FI","Bulgaria","_T",58
2017,"ER_H2O_IWRMD_FI","Belarus","_T",24
2020,"ER_H2O_IWRMD_FI","Belarus","_T",42
2020,"ER_H2O_IWRMD_FI","Canada","_T",0
2017,"ER_H2O_IWRMD_FI","Chile","_T",28
2020,"ER_H2O_IWRMD_FI","Chile","_T",30
2017,"ER_H2O_IWRMD_FI","China","_T",72
2020,"ER_H2O_IWRMD_FI","China","_T",82
2017,"ER_H2O_IWRMD_FI","Colombia","_T",38
2020,"ER_H2O_IWRMD_FI","Colombia","_T",42
2017,"ER_H2O_IWRMD_FI","Costa Rica","_T",48
2020,"ER_H2O_IWRMD_FI","Costa Rica","_T",45
2017,"ER_H2O_IWRMD_FI","Croatia","_T",80
2020,"ER_H2O_IWRMD_FI","Croatia","_T",80
2017,"ER_H2O_IWRMD_FI","Cyprus","_T",87
2020,"ER_H2O_IWRMD_FI","Cyprus","_T",90
2017,"ER_H2O_IWRMD_FI","Czechia","_T",64
2020,"ER_H2O_IWRMD_FI","Czechia","_T",67
2017,"ER_H2O_IWRMD_FI","Denmark","_T",93
2020,"ER_H2O_IWRMD_FI","Denmark","_T",92
2017,"ER_H2O_IWRMD_FI","Estonia","_T",64
2020,"ER_H2O_IWRMD_FI","Estonia","_T",73
2017,"ER_H2O_IWRMD_FI","Finland","_T",55
2020,"ER_H2O_IWRMD_FI","Finland","_T",68
2017,"ER_H2O_IWRMD_FI","France","_T",100
2020,"ER_H2O_IWRMD_FI","France","_T",100
2017,"ER_H2O_IWRMD_FI","Georgia","_T",24
2020,"ER_H2O_IWRMD_FI","Georgia","_T",36
2017,"ER_H2O_IWRMD_FI","Germany","_T",84
2020,"ER_H2O_IWRMD_FI","Germany","_T",85
2020,"ER_H2O_IWRMD_FI","Greece","_T",72
2017,"ER_H2O_IWRMD_FI","Hungary","_T",60
2020,"ER_H2O_IWRMD_FI","Hungary","_T",63
2017,"ER_H2O_IWRMD_FI","Iceland","_T",35
2020,"ER_H2O_IWRMD_FI","Iceland","_T",67
2020,"ER_H2O_IWRMD_FI","India","_T",37
2017,"ER_H2O_IWRMD_FI","Ireland","_T",76
2020,"ER_H2O_IWRMD_FI","Ireland","_T",78
2017,"ER_H2O_IWRMD_FI","Israel","_T",93
2020,"ER_H2O_IWRMD_FI","Israel","_T",93
2017,"ER_H2O_IWRMD_FI","Italy","_T",46
2020,"ER_H2O_IWRMD_FI","Italy","_T",63
2017,"ER_H2O_IWRMD_FI","Japan","_T",90
2020,"ER_H2O_IWRMD_FI","Japan","_T",90
2017,"ER_H2O_IWRMD_FI","Kazakhstan","_T",28
2020,"ER_H2O_IWRMD_FI","Kazakhstan","_T",43
2017,"ER_H2O_IWRMD_FI","Republic of Korea","_T",78
2020,"ER_H2O_IWRMD_FI","Republic of Korea","_T",63
2020,"ER_H2O_IWRMD_FI","Kyrgyzstan","_T",23
2017,"ER_H2O_IWRMD_FI","Latvia","_T",44
2020,"ER_H2O_IWRMD_FI","Latvia","_T",47
2017,"ER_H2O_IWRMD_FI","Liechtenstein","_T",75
2020,"ER_H2O_IWRMD_FI","Liechtenstein","_T",75
2017,"ER_H2O_IWRMD_FI","Lithuania","_T",54
2020,"ER_H2O_IWRMD_FI","Lithuania","_T",70
2017,"ER_H2O_IWRMD_FI","Luxembourg","_T",85
2020,"ER_H2O_IWRMD_FI","Luxembourg","_T",88
2017,"ER_H2O_IWRMD_FI","Malta","_T",65
2020,"ER_H2O_IWRMD_FI","Malta","_T",87
2017,"ER_H2O_IWRMD_FI","Mexico","_T",28
2020,"ER_H2O_IWRMD_FI","Mexico","_T",28
2017,"ER_H2O_IWRMD_FI","Republic of Moldova","_T",20
2020,"ER_H2O_IWRMD_FI","Republic of Moldova","_T",27
2017,"ER_H2O_IWRMD_FI","Montenegro","_T",20
2020,"ER_H2O_IWRMD_FI","Montenegro","_T",23
2017,"ER_H2O_IWRMD_FI","Netherlands (Kingdom of the)","_T",94
2020,"ER_H2O_IWRMD_FI","Netherlands (Kingdom of the)","_T",93
2017,"ER_H2O_IWRMD_FI","New Zealand","_T",60
2020,"ER_H2O_IWRMD_FI","New Zealand","_T",60
2017,"ER_H2O_IWRMD_FI","Norway","_T",66
2020,"ER_H2O_IWRMD_FI","Norway","_T",67
2017,"ER_H2O_IWRMD_FI","Poland","_T",28
2020,"ER_H2O_IWRMD_FI","Poland","_T",62
2017,"ER_H2O_IWRMD_FI","Portugal","_T",60
2020,"ER_H2O_IWRMD_FI","Portugal","_T",67
2017,"ER_H2O_IWRMD_FI","Romania","_T",44
2020,"ER_H2O_IWRMD_FI","Romania","_T",52
2017,"ER_H2O_IWRMD_FI","Serbia","_T",24
2020,"ER_H2O_IWRMD_FI","Serbia","_T",23
2017,"ER_H2O_IWRMD_FI","Slovakia","_T",54
2020,"ER_H2O_IWRMD_FI","Slovakia","_T",48
2017,"ER_H2O_IWRMD_FI","Viet Nam","_T",34
2020,"ER_H2O_IWRMD_FI","Viet Nam","_T",57
2017,"ER_H2O_IWRMD_FI","Slovenia","_T",56
2020,"ER_H2O_IWRMD_FI","Slovenia","_T",90
2017,"ER_H2O_IWRMD_FI","Spain","_T",66
2020,"ER_H2O_IWRMD_FI","Spain","_T",66
2017,"ER_H2O_IWRMD_FI","Sweden","_T",100
2020,"ER_H2O_IWRMD_FI","Sweden","_T",90
2017,"ER_H2O_IWRMD_FI","Switzerland","_T",94
2020,"ER_H2O_IWRMD_FI","Switzerland","_T",92
2020,"ER_H2O_IWRMD_FI","Tajikistan","_T",42
2017,"ER_H2O_IWRMD_FI","United Arab Emirates","_T",80
2020,"ER_H2O_IWRMD_FI","United Arab Emirates","_T",93
2017,"ER_H2O_IWRMD_FI","Türkiye","_T",58
2020,"ER_H2O_IWRMD_FI","Türkiye","_T",62
2020,"ER_H2O_IWRMD_FI","Turkmenistan","_T",80
2017,"ER_H2O_IWRMD_FI","Ukraine","_T",32
2020,"ER_H2O_IWRMD_FI","Ukraine","_T",32
2017,"ER_H2O_IWRMD_FI","North Macedonia","_T",16
2020,"ER_H2O_IWRMD_FI","North Macedonia","_T",28
2017,"ER_H2O_IWRMD_FI","United Kingdom of Great Britain and Northern Ireland","_T",66
2020,"ER_H2O_IWRMD_FI","United Kingdom of Great Britain and Northern Ireland","_T",68
2017,"ER_H2O_IWRMD_FI","Uzbekistan","_T",34
2020,"ER_H2O_IWRMD_FI","Uzbekistan","_T",37
2020,"ER_H2O_IWRMD_FI","Uzbekistan","_T",37
