Year,SeriesCode,GeoAreaName,Value
2000,"EN_LKRV_SWAN","Bosnia and Herzegovina",4.48583
2001,"EN_LKRV_SWAN","Bosnia and Herzegovina",15.70308
2002,"EN_LKRV_SWAN","Bosnia and Herzegovina",36.94994
2003,"EN_LKRV_SWAN","Bosnia and Herzegovina",50.57756
2004,"EN_LKRV_SWAN","Bosnia and Herzegovina",62.60016
2005,"EN_LKRV_SWAN","Bosnia and Herzegovina",80.70444
2006,"EN_LKRV_SWAN","Bosnia and Herzegovina",94.00306
2007,"EN_LKRV_SWAN","Bosnia and Herzegovina",92.69879
2008,"EN_LKRV_SWAN","Bosnia and Herzegovina",93.86829
2009,"EN_LKRV_SWAN","Bosnia and Herzegovina",101.9335
2010,"EN_LKRV_SWAN","Bosnia and Herzegovina",95.48293
2011,"EN_LKRV_SWAN","Bosnia and Herzegovina",95.21826
2012,"EN_LKRV_SWAN","Bosnia and Herzegovina",85.59456
2013,"EN_LKRV_SWAN","Bosnia and Herzegovina",83.46911
2014,"EN_LKRV_SWAN","Bosnia and Herzegovina",90.4602
2015,"EN_LKRV_SWAN","Bosnia and Herzegovina",97.41045
2016,"EN_LKRV_SWAN","Bosnia and Herzegovina",87.27362
2017,"EN_LKRV_SWAN","Bosnia and Herzegovina",98.98236
2018,"EN_LKRV_SWAN","Bosnia and Herzegovina",103.31956
2019,"EN_LKRV_SWAN","Bosnia and Herzegovina",103.67642
2020,"EN_LKRV_SWAN","Bosnia and Herzegovina",94.80561
2021,"EN_LKRV_SWAN","Bosnia and Herzegovina",94.4393
2022,"EN_LKRV_SWAN","Bosnia and Herzegovina",90.53656
2000,"EN_LKRV_SWAN","Bulgaria",9.61442
2001,"EN_LKRV_SWAN","Bulgaria",31.45299
2002,"EN_LKRV_SWAN","Bulgaria",48.2332
2003,"EN_LKRV_SWAN","Bulgaria",66.73915
2004,"EN_LKRV_SWAN","Bulgaria",92.34222
2005,"EN_LKRV_SWAN","Bulgaria",102.37059
2006,"EN_LKRV_SWAN","Bulgaria",104.27358
2007,"EN_LKRV_SWAN","Bulgaria",112.01125
2008,"EN_LKRV_SWAN","Bulgaria",115.80444
2009,"EN_LKRV_SWAN","Bulgaria",112.84312
2010,"EN_LKRV_SWAN","Bulgaria",114.19454
2011,"EN_LKRV_SWAN","Bulgaria",115.27418
2012,"EN_LKRV_SWAN","Bulgaria",113.33589
