Year,SeriesCode,GeoAreaName,Value
2000,"EN_RSRV_MNWAP","Costa Rica",0.00126
2001,"EN_RSRV_MNWAP","Costa Rica",0.00158
2002,"EN_RSRV_MNWAP","Costa Rica",0.0016
2003,"EN_RSRV_MNWAP","Costa Rica",0.0016
2004,"EN_RSRV_MNWAP","Costa Rica",0.00159
2005,"EN_RSRV_MNWAP","Costa Rica",0.00159
2006,"EN_RSRV_MNWAP","Costa Rica",0.00157
2007,"EN_RSRV_MNWAP","Costa Rica",0.00155
2008,"EN_RSRV_MNWAP","Costa Rica",0.00153
2009,"EN_RSRV_MNWAP","Costa Rica",0.00153
2010,"EN_RSRV_MNWAP","Costa Rica",0.00153
2011,"EN_RSRV_MNWAP","Costa Rica",0.00155
2012,"EN_RSRV_MNWAP","Costa Rica",0.00157
2013,"EN_RSRV_MNWAP","Costa Rica",0.00158
2014,"EN_RSRV_MNWAP","Costa Rica",0.00157
2015,"EN_RSRV_MNWAP","Costa Rica",0.00156
2016,"EN_RSRV_MNWAP","Costa Rica",0.00156
2017,"EN_RSRV_MNWAP","Costa Rica",0.00157
2018,"EN_RSRV_MNWAP","Costa Rica",0.00159
2019,"EN_RSRV_MNWAP","Costa Rica",0.00161
2020,"EN_RSRV_MNWAP","Costa Rica",0.00163
2021,"EN_RSRV_MNWAP","Costa Rica",0.00163
2022,"EN_RSRV_MNWAP","Costa Rica",0.00163
2000,"EN_RSRV_MNWAP","Croatia",0.00017
2001,"EN_RSRV_MNWAP","Croatia",0.00033
2002,"EN_RSRV_MNWAP","Croatia",0.0005
2003,"EN_RSRV_MNWAP","Croatia",0.00067
2004,"EN_RSRV_MNWAP","Croatia",0.00082
2005,"EN_RSRV_MNWAP","Croatia",0.00082
2006,"EN_RSRV_MNWAP","Croatia",0.00083
2007,"EN_RSRV_MNWAP","Croatia",0.00083
2008,"EN_RSRV_MNWAP","Croatia",0.00083
2009,"EN_RSRV_MNWAP","Croatia",0.00084
2010,"EN_RSRV_MNWAP","Croatia",0.00084
2011,"EN_RSRV_MNWAP","Croatia",0.00084
2012,"EN_RSRV_MNWAP","Croatia",0.00083
2013,"EN_RSRV_MNWAP","Croatia",0.00083
2014,"EN_RSRV_MNWAP","Croatia",0.00084
2015,"EN_RSRV_MNWAP","Croatia",0.00084
2016,"EN_RSRV_MNWAP","Croatia",0.00084
2017,"EN_RSRV_MNWAP","Croatia",0.00084
2018,"EN_RSRV_MNWAP","Croatia",0.00085
2019,"EN_RSRV_MNWAP","Croatia",0.00085
2020,"EN_RSRV_MNWAP","Croatia",0.00084
2021,"EN_RSRV_MNWAP","Croatia",0.00084
2022,"EN_RSRV_MNWAP","Croatia",0.00084
2000,"EN_RSRV_MNWAP","Cyprus",0.0001
2001,"EN_RSRV_MNWAP","Cyprus",0.00015
2002,"EN_RSRV_MNWAP","Cyprus",0.00019
2003,"EN_RSRV_MNWAP","Cyprus",0.00028
2004,"EN_RSRV_MNWAP","Cyprus",0.00033
2005,"EN_RSRV_MNWAP","Cyprus",0.00038
2006,"EN_RSRV_MNWAP","Cyprus",0.00042
2007,"EN_RSRV_MNWAP","Cyprus",0.00045
2008,"EN_RSRV_MNWAP","Cyprus",0.00042
2009,"EN_RSRV_MNWAP","Cyprus",0.00035
2010,"EN_RSRV_MNWAP","Cyprus",0.00032
2011,"EN_RSRV_MNWAP","Cyprus",0.00032
2012,"EN_RSRV_MNWAP","Cyprus",0.00034
2013,"EN_RSRV_MNWAP","Cyprus",0.00039
2014,"EN_RSRV_MNWAP","Cyprus",0.00046
2015,"EN_RSRV_MNWAP","Cyprus",0.00046
2016,"EN_RSRV_MNWAP","Cyprus",0.00045
2017,"EN_RSRV_MNWAP","Cyprus",0.00043
2018,"EN_RSRV_MNWAP","Cyprus",0.00039
2019,"EN_RSRV_MNWAP","Cyprus",0.00037
2020,"EN_RSRV_MNWAP","Cyprus",0.00041
2021,"EN_RSRV_MNWAP","Cyprus",0.00043
2022,"EN_RSRV_MNWAP","Cyprus",0.00047
2000,"EN_RSRV_MNWAP","Czechia",0.00082
2001,"EN_RSRV_MNWAP","Czechia",0.00125
2002,"EN_RSRV_MNWAP","Czechia",0.00168
2006,"EN_RSRV_MNWAP","Serbia",0.00167
2007,"EN_RSRV_MNWAP","Serbia",0.00168
2008,"EN_RSRV_MNWAP","Serbia",0.00167
2009,"EN_RSRV_MNWAP","Serbia",0.00167
2010,"EN_RSRV_MNWAP","Serbia",0.00167
2011,"EN_RSRV_MNWAP","Serbia",0.00168
2012,"EN_RSRV_MNWAP","Serbia",0.00168
2013,"EN_RSRV_MNWAP","Serbia",0.00168
2014,"EN_RSRV_MNWAP","Serbia",0.00168
2015,"EN_RSRV_MNWAP","Serbia",0.00167
2016,"EN_RSRV_MNWAP","Serbia",0.00167
2017,"EN_RSRV_MNWAP","Serbia",0.00168
2003,"EN_RSRV_MNWAP","Czechia",0.00195
2004,"EN_RSRV_MNWAP","Czechia",0.00213
2005,"EN_RSRV_MNWAP","Czechia",0.00214
2006,"EN_RSRV_MNWAP","Czechia",0.00214
2007,"EN_RSRV_MNWAP","Czechia",0.00215
2008,"EN_RSRV_MNWAP","Czechia",0.00215
2009,"EN_RSRV_MNWAP","Czechia",0.00216
2010,"EN_RSRV_MNWAP","Czechia",0.00216
2011,"EN_RSRV_MNWAP","Czechia",0.00216
2012,"EN_RSRV_MNWAP","Czechia",0.00215
2013,"EN_RSRV_MNWAP","Czechia",0.00214
2014,"EN_RSRV_MNWAP","Czechia",0.00214
2015,"EN_RSRV_MNWAP","Czechia",0.00214
2016,"EN_RSRV_MNWAP","Czechia",0.00213
2017,"EN_RSRV_MNWAP","Czechia",0.00214
2018,"EN_RSRV_MNWAP","Czechia",0.00215
2019,"EN_RSRV_MNWAP","Czechia",0.00215
2020,"EN_RSRV_MNWAP","Czechia",0.00216
2021,"EN_RSRV_MNWAP","Czechia",0.00216
2022,"EN_RSRV_MNWAP","Czechia",0.00216
2000,"EN_RSRV_MNWAP","Denmark",0
2001,"EN_RSRV_MNWAP","Denmark",0
2002,"EN_RSRV_MNWAP","Denmark",0
2003,"EN_RSRV_MNWAP","Denmark",0
2004,"EN_RSRV_MNWAP","Denmark",0
2005,"EN_RSRV_MNWAP","Denmark",0
2006,"EN_RSRV_MNWAP","Denmark",0
2007,"EN_RSRV_MNWAP","Denmark",0
2008,"EN_RSRV_MNWAP","Denmark",0
2009,"EN_RSRV_MNWAP","Denmark",0
2010,"EN_RSRV_MNWAP","Denmark",0
2011,"EN_RSRV_MNWAP","Denmark",0
2012,"EN_RSRV_MNWAP","Denmark",0
2013,"EN_RSRV_MNWAP","Denmark",0
2014,"EN_RSRV_MNWAP","Denmark",0
2015,"EN_RSRV_MNWAP","Denmark",0
2016,"EN_RSRV_MNWAP","Denmark",0
2017,"EN_RSRV_MNWAP","Denmark",0
2018,"EN_RSRV_MNWAP","Denmark",0
2019,"EN_RSRV_MNWAP","Denmark",0
2020,"EN_RSRV_MNWAP","Denmark",0
2021,"EN_RSRV_MNWAP","Denmark",0
2022,"EN_RSRV_MNWAP","Denmark",0
