Year,SeriesCode,GeoAreaName,Value
2021,"EN_WBE_HMWTL","Austria",0.77
2021,"EN_WBE_HMWTL","Armenia",283
2021,"EN_WBE_HMWTL","Bulgaria",756.5
2021,"EN_WBE_HMWTL","Belarus",1333.03
2021,"EN_WBE_HMWTL","China",368079.8
2021,"EN_WBE_HMWTL","Costa Rica",259.9
2021,"EN_WBE_HMWTL","Czechia",893.36
2021,"EN_WBE_HMWTL","Estonia",800
2021,"EN_WBE_HMWTL","India",39418.32
2021,"EN_WBE_HMWTL","Republic of Korea",109.9
2021,"EN_WBE_HMWTL","Lithuania",472.74
2021,"EN_WBE_HMWTL","Mexico",8383.27
2021,"EN_WBE_HMWTL","Montenegro",14.5
2021,"EN_WBE_HMWTL","Poland",1180
2021,"EN_WBE_HMWTL","Portugal",81.53
2021,"EN_WBE_HMWTL","Viet Nam",92450.4
2021,"EN_WBE_HMWTL","Spain",612.22
2021,"EN_WBE_HMWTL","Tajikistan",611
2021,"EN_WBE_HMWTL","Türkiye",3523.46
2021,"EN_WBE_HMWTL","Türkiye",3523.46
