Year,SeriesCode,GeoAreaName,Value
2007,"EN_WBE_MANGC","Australia",-1.88694
2008,"EN_WBE_MANGC","Australia",-3.14568
2009,"EN_WBE_MANGC","Australia",-3.15564
2010,"EN_WBE_MANGC","Australia",-3.68058
2015,"EN_WBE_MANGC","Australia",-4.47193
2016,"EN_WBE_MANGC","Australia",-4.96359
2017,"EN_WBE_MANGC","Australia",-4.71955
2018,"EN_WBE_MANGC","Australia",-4.29779
2019,"EN_WBE_MANGC","Australia",-4.09374
2020,"EN_WBE_MANGC","Australia",-4.54177
2007,"EN_WBE_MANGC","China",-8.1431
2008,"EN_WBE_MANGC","China",-10.61038
2009,"EN_WBE_MANGC","China",-12.76983
2010,"EN_WBE_MANGC","China",-13.73515
2015,"EN_WBE_MANGC","China",-11.9124
2016,"EN_WBE_MANGC","China",-10.16437
2017,"EN_WBE_MANGC","China",-9.81203
2018,"EN_WBE_MANGC","China",-10.92759
2019,"EN_WBE_MANGC","China",-11.05813
2020,"EN_WBE_MANGC","China",-11.91273
2007,"EN_WBE_MANGC","Colombia",-2.89436
2008,"EN_WBE_MANGC","Colombia",-3.31421
2009,"EN_WBE_MANGC","Colombia",-3.04497
2010,"EN_WBE_MANGC","Colombia",-2.79032
2015,"EN_WBE_MANGC","Colombia",-3.12782
2016,"EN_WBE_MANGC","Colombia",-3.38452
2017,"EN_WBE_MANGC","Colombia",-3.38955
2018,"EN_WBE_MANGC","Colombia",-2.84965
2019,"EN_WBE_MANGC","Colombia",-2.42474
2020,"EN_WBE_MANGC","Colombia",-2.52388
2007,"EN_WBE_MANGC","Costa Rica",0.88777
2008,"EN_WBE_MANGC","Costa Rica",0.84057
2009,"EN_WBE_MANGC","Costa Rica",0.93239
2010,"EN_WBE_MANGC","Costa Rica",0.81381
2015,"EN_WBE_MANGC","Costa Rica",0.50887
2016,"EN_WBE_MANGC","Costa Rica",0.44733
2017,"EN_WBE_MANGC","Costa Rica",0.45998
2018,"EN_WBE_MANGC","Costa Rica",-0.02828
2019,"EN_WBE_MANGC","Costa Rica",-1.23305
2020,"EN_WBE_MANGC","Costa Rica",-2.18318
2007,"EN_WBE_MANGC","India",-1.20865
2008,"EN_WBE_MANGC","India",-1.92048
2009,"EN_WBE_MANGC","India",-1.87772
2010,"EN_WBE_MANGC","India",-2.09728
2015,"EN_WBE_MANGC","India",-1.20171
2016,"EN_WBE_MANGC","India",-0.73094
2017,"EN_WBE_MANGC","India",-0.594
2018,"EN_WBE_MANGC","India",-0.3949
2019,"EN_WBE_MANGC","India",-0.72854
2020,"EN_WBE_MANGC","India",-1.7839
2007,"EN_WBE_MANGC","Japan",-0.56852
2008,"EN_WBE_MANGC","Japan",-1.07751
2009,"EN_WBE_MANGC","Japan",-1.27579
2010,"EN_WBE_MANGC","Japan",-1.60741
2015,"EN_WBE_MANGC","Japan",-1.92324
2016,"EN_WBE_MANGC","Japan",-2.42042
2017,"EN_WBE_MANGC","Japan",-2.71282
2018,"EN_WBE_MANGC","Japan",-1.80184
2019,"EN_WBE_MANGC","Japan",-0.62206
2020,"EN_WBE_MANGC","Japan",-0.47029
2007,"EN_WBE_MANGC","Mexico",-2.14248
2008,"EN_WBE_MANGC","Mexico",-3.36516
2009,"EN_WBE_MANGC","Mexico",-4.11628
2010,"EN_WBE_MANGC","Mexico",-4.40683
2015,"EN_WBE_MANGC","Mexico",-4.85262
2016,"EN_WBE_MANGC","Mexico",-4.81585
2017,"EN_WBE_MANGC","Mexico",-4.40774
2018,"EN_WBE_MANGC","Mexico",-3.55993
2019,"EN_WBE_MANGC","Mexico",-3.41767
2020,"EN_WBE_MANGC","Mexico",-4.26429
2007,"EN_WBE_MANGC","New Zealand",2.83348
2008,"EN_WBE_MANGC","New Zealand",2.8264
2009,"EN_WBE_MANGC","New Zealand",3.30121
2010,"EN_WBE_MANGC","New Zealand",3.34306
2015,"EN_WBE_MANGC","New Zealand",3.38765
2016,"EN_WBE_MANGC","New Zealand",3.23649
2017,"EN_WBE_MANGC","New Zealand",3.29385
2018,"EN_WBE_MANGC","New Zealand",3.51912
2019,"EN_WBE_MANGC","New Zealand",3.12891
2020,"EN_WBE_MANGC","New Zealand",2.00179
2007,"EN_WBE_MANGC","Viet Nam",-2.45173
2008,"EN_WBE_MANGC","Viet Nam",-3.87738
2009,"EN_WBE_MANGC","Viet Nam",-4.05094
2010,"EN_WBE_MANGC","Viet Nam",-4.21819
2015,"EN_WBE_MANGC","Viet Nam",-4.67523
2016,"EN_WBE_MANGC","Viet Nam",-5.30752
2017,"EN_WBE_MANGC","Viet Nam",-5.3444
2018,"EN_WBE_MANGC","Viet Nam",-4.87619
2019,"EN_WBE_MANGC","Viet Nam",-4.74517
2020,"EN_WBE_MANGC","Viet Nam",-4.72065
2020,"EN_WBE_MANGC","Viet Nam",-4.72065
