Year,SeriesCode,GeoAreaName,Value
2000,"EN_WBE_MANGN","India",4111.18558
2007,"EN_WBE_MANGN","India",4061.49587
2008,"EN_WBE_MANGN","India",4032.23126
2009,"EN_WBE_MANGN","India",4033.98893
2010,"EN_WBE_MANGN","India",4024.96269
2015,"EN_WBE_MANGN","India",4061.78105
2016,"EN_WBE_MANGN","India",4081.13521
2017,"EN_WBE_MANGN","India",4086.76493
2018,"EN_WBE_MANGN","India",4094.95036
2019,"EN_WBE_MANGN","India",4081.23375
2020,"EN_WBE_MANGN","India",4037.84618
2000,"EN_WBE_MANGN","Japan",10.36004
2007,"EN_WBE_MANGN","Japan",10.30114
2008,"EN_WBE_MANGN","Japan",10.24841
2009,"EN_WBE_MANGN","Japan",10.22787
2010,"EN_WBE_MANGN","Japan",10.19352
2015,"EN_WBE_MANGN","Japan",10.16079
2016,"EN_WBE_MANGN","Japan",10.10929
2017,"EN_WBE_MANGN","Japan",10.07899
2018,"EN_WBE_MANGN","Japan",10.17337
2019,"EN_WBE_MANGN","Japan",10.2956
2020,"EN_WBE_MANGN","Japan",10.31132
2000,"EN_WBE_MANGN","Mexico",10503.06211
2007,"EN_WBE_MANGN","Mexico",10278.03561
2008,"EN_WBE_MANGN","Mexico",10149.61758
2009,"EN_WBE_MANGN","Mexico",10070.7269
2010,"EN_WBE_MANGN","Mexico",10040.21039
2015,"EN_WBE_MANGN","Mexico",9993.38845
2016,"EN_WBE_MANGN","Mexico",9997.25087
2017,"EN_WBE_MANGN","Mexico",10040.1142
2018,"EN_WBE_MANGN","Mexico",10129.1608
2019,"EN_WBE_MANGN","Mexico",10144.10251
2020,"EN_WBE_MANGN","Mexico",10055.18145
2000,"EN_WBE_MANGN","New Zealand",290.27312
2007,"EN_WBE_MANGN","New Zealand",298.49796
2008,"EN_WBE_MANGN","New Zealand",298.47739
2009,"EN_WBE_MANGN","New Zealand",299.85563
2010,"EN_WBE_MANGN","New Zealand",299.97711
2015,"EN_WBE_MANGN","New Zealand",300.10656
2016,"EN_WBE_MANGN","New Zealand",299.66779
2017,"EN_WBE_MANGN","New Zealand",299.83428
2018,"EN_WBE_MANGN","New Zealand",300.48818
2019,"EN_WBE_MANGN","New Zealand",299.3555
2020,"EN_WBE_MANGN","New Zealand",296.08378
2000,"EN_WBE_MANGN","Viet Nam",1964.19491
2007,"EN_WBE_MANGN","Viet Nam",1916.03811
2008,"EN_WBE_MANGN","Viet Nam",1888.03567
2009,"EN_WBE_MANGN","Viet Nam",1884.62646
2010,"EN_WBE_MANGN","Viet Nam",1881.34135
2015,"EN_WBE_MANGN","Viet Nam",1872.36432
2000,"EN_WBE_MANGN","Australia",10654.71832
2007,"EN_WBE_MANGN","Australia",10453.66986
2008,"EN_WBE_MANGN","Australia",10319.55523
2009,"EN_WBE_MANGN","Australia",10318.49353
2010,"EN_WBE_MANGN","Australia",10262.5625
2015,"EN_WBE_MANGN","Australia",10178.24667
2016,"EN_WBE_MANGN","Australia",10125.86205
2017,"EN_WBE_MANGN","Australia",10151.86336
2018,"EN_WBE_MANGN","Australia",10196.80053
2019,"EN_WBE_MANGN","Australia",10218.5419
2020,"EN_WBE_MANGN","Australia",10170.80575
2000,"EN_WBE_MANGN","China",244.99185
2007,"EN_WBE_MANGN","China",225.04191
2008,"EN_WBE_MANGN","China",218.99728
2009,"EN_WBE_MANGN","China",213.70682
2010,"EN_WBE_MANGN","China",211.34185
2015,"EN_WBE_MANGN","China",215.80745
2016,"EN_WBE_MANGN","China",220.08997
2017,"EN_WBE_MANGN","China",220.95317
2018,"EN_WBE_MANGN","China",218.22014
2019,"EN_WBE_MANGN","China",217.90033
2020,"EN_WBE_MANGN","China",215.80663
2000,"EN_WBE_MANGN","Colombia",2880.23587
2007,"EN_WBE_MANGN","Colombia",2796.87146
2008,"EN_WBE_MANGN","Colombia",2784.77895
2009,"EN_WBE_MANGN","Colombia",2792.53361
2010,"EN_WBE_MANGN","Colombia",2799.86819
2015,"EN_WBE_MANGN","Colombia",2790.14714
2016,"EN_WBE_MANGN","Colombia",2782.75368
2017,"EN_WBE_MANGN","Colombia",2782.60875
2018,"EN_WBE_MANGN","Colombia",2798.15909
2019,"EN_WBE_MANGN","Colombia",2810.39776
2020,"EN_WBE_MANGN","Colombia",2807.54218
2000,"EN_WBE_MANGN","Costa Rica",379.39132
2007,"EN_WBE_MANGN","Costa Rica",382.75943
2008,"EN_WBE_MANGN","Costa Rica",382.58036
2009,"EN_WBE_MANGN","Costa Rica",382.92872
2016,"EN_WBE_MANGN","Viet Nam",1859.94482
2017,"EN_WBE_MANGN","Viet Nam",1859.2205
2018,"EN_WBE_MANGN","Viet Nam",1868.41707
2019,"EN_WBE_MANGN","Viet Nam",1870.9905
2020,"EN_WBE_MANGN","Viet Nam",1871.47224
2010,"EN_WBE_MANGN","Costa Rica",382.47885
2015,"EN_WBE_MANGN","Costa Rica",381.32193
2016,"EN_WBE_MANGN","Costa Rica",381.08846
2017,"EN_WBE_MANGN","Costa Rica",381.13646
2018,"EN_WBE_MANGN","Costa Rica",379.28404
2019,"EN_WBE_MANGN","Costa Rica",374.71322
2020,"EN_WBE_MANGN","Costa Rica",371.10855
2020,"EN_WBE_MANGN","Costa Rica",371.10855
