Year,SeriesCode,GeoAreaName,Value
2017,"EN_WBE_WTLP","Albania",0.19
2017,"EN_WBE_WTLP","Azerbaijan",0.26
2017,"EN_WBE_WTLP","Australia",7.96
2017,"EN_WBE_WTLP","Austria",0.25
2017,"EN_WBE_WTLP","Armenia",0.09
2017,"EN_WBE_WTLP","Belgium",0.19
2017,"EN_WBE_WTLP","Bosnia and Herzegovina",0.09
2017,"EN_WBE_WTLP","Bulgaria",0.22
2017,"EN_WBE_WTLP","Chile",1.74
2017,"EN_WBE_WTLP","China",0.66
2017,"EN_WBE_WTLP","Colombia",5.1
2017,"EN_WBE_WTLP","Costa Rica",0.76
2017,"EN_WBE_WTLP","Croatia",0.33
2017,"EN_WBE_WTLP","Cyprus",0.78
2017,"EN_WBE_WTLP","Czechia",0.16
2017,"EN_WBE_WTLP","Denmark",0.91
2017,"EN_WBE_WTLP","Estonia",4.23
2017,"EN_WBE_WTLP","France",0.33
2017,"EN_WBE_WTLP","Georgia",0.13
2017,"EN_WBE_WTLP","Greece",0.16
2017,"EN_WBE_WTLP","Hungary",0.69
2017,"EN_WBE_WTLP","Iceland",0.94
2017,"EN_WBE_WTLP","India",2.65
2017,"EN_WBE_WTLP","Ireland",4.94
2017,"EN_WBE_WTLP","Israel",2.27
2017,"EN_WBE_WTLP","Italy",0.31
2017,"EN_WBE_WTLP","Japan",0.86
2017,"EN_WBE_WTLP","Kazakhstan",0.73
2017,"EN_WBE_WTLP","Republic of Korea",0.1
2017,"EN_WBE_WTLP","Kyrgyzstan",0.16
2017,"EN_WBE_WTLP","Latvia",2.79
2017,"EN_WBE_WTLP","Liechtenstein",0.97
2017,"EN_WBE_WTLP","Lithuania",1
2017,"EN_WBE_WTLP","Luxembourg",0.03
2017,"EN_WBE_WTLP","Malta",0
2017,"EN_WBE_WTLP","Mexico",1.46
2017,"EN_WBE_WTLP","Republic of Moldova",0.53
2017,"EN_WBE_WTLP","Montenegro",0.52
2017,"EN_WBE_WTLP","New Zealand",4.38
2017,"EN_WBE_WTLP","Norway",2.75
2017,"EN_WBE_WTLP","Poland",0.68
2017,"EN_WBE_WTLP","Portugal",0.26
2017,"EN_WBE_WTLP","Romania",1.45
2017,"EN_WBE_WTLP","Serbia",0.15
2017,"EN_WBE_WTLP","Slovakia",0.15
2017,"EN_WBE_WTLP","Viet Nam",12.56
2017,"EN_WBE_WTLP","Slovenia",0.18
2017,"EN_WBE_WTLP","Spain",0.21
2017,"EN_WBE_WTLP","Switzerland",0.34
2017,"EN_WBE_WTLP","Tajikistan",1.15
2017,"EN_WBE_WTLP","United Arab Emirates",0.05
2017,"EN_WBE_WTLP","Türkiye",0.29
2017,"EN_WBE_WTLP","Turkmenistan",1.14
2017,"EN_WBE_WTLP","Ukraine",0.9
2017,"EN_WBE_WTLP","North Macedonia",0.22
2017,"EN_WBE_WTLP","United Kingdom of Great Britain and Northern Ireland",5.58
2017,"EN_WBE_WTLP","Uzbekistan",1.77
2017,"EN_WBE_WTLP","Uzbekistan",1.77
